@relation data

@attribute id string
@attribute 10476 numeric
@attribute 10975 numeric
@attribute 11315 numeric
@attribute 118424 numeric
@attribute 120892 numeric
@attribute 125965 numeric
@attribute 126328 numeric
@attribute 1327 numeric
@attribute 1329 numeric
@attribute 1339 numeric
@attribute 1340 numeric
@attribute 1346 numeric
@attribute 1347 numeric
@attribute 1349 numeric
@attribute 1351 numeric
@attribute 1537 numeric
@attribute 170712 numeric
@attribute 27089 numeric
@attribute 27429 numeric
@attribute 2861 numeric
@attribute 291 numeric
@attribute 292 numeric
@attribute 29796 numeric
@attribute 317 numeric
@attribute 374291 numeric
@attribute 4694 numeric
@attribute 4695 numeric
@attribute 4696 numeric
@attribute 4697 numeric
@attribute 4698 numeric
@attribute 4700 numeric
@attribute 4701 numeric
@attribute 4702 numeric
@attribute 4704 numeric
@attribute 4705 numeric
@attribute 4706 numeric
@attribute 4707 numeric
@attribute 4708 numeric
@attribute 4710 numeric
@attribute 4711 numeric
@attribute 4712 numeric
@attribute 4713 numeric
@attribute 4714 numeric
@attribute 4716 numeric
@attribute 4717 numeric
@attribute 4718 numeric
@attribute 4719 numeric
@attribute 4720 numeric
@attribute 4722 numeric
@attribute 4723 numeric
@attribute 4724 numeric
@attribute 4726 numeric
@attribute 4728 numeric
@attribute 4731 numeric
@attribute 506 numeric
@attribute 5071 numeric
@attribute 509 numeric
@attribute 51079 numeric
@attribute 513 numeric
@attribute 51465 numeric
@attribute 515 numeric
@attribute 517 numeric
@attribute 518 numeric
@attribute 522 numeric
@attribute 539 numeric
@attribute 5413 numeric
@attribute 54205 numeric
@attribute 54539 numeric
@attribute 55967 numeric
@attribute 56901 numeric
@attribute 6390 numeric
@attribute 6391 numeric
@attribute 65018 numeric
@attribute 6531 numeric
@attribute 6570 numeric
@attribute 6571 numeric
@attribute 6622 numeric
@attribute 7054 numeric
@attribute 7317 numeric
@attribute 7318 numeric
@attribute 7326 numeric
@attribute 7327 numeric
@attribute 7332 numeric
@attribute 7345 numeric
@attribute 7381 numeric
@attribute 7384 numeric
@attribute 7385 numeric
@attribute 7419 numeric
@attribute 83447 numeric
@attribute 836 numeric
@attribute 842 numeric
@attribute 84701 numeric
@attribute 9167 numeric
@attribute 9246 numeric
@attribute 9377 numeric
@attribute 9627 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,0.0767799700,1.4147584383,2.8769536282,0.3719827726,-0.1065610588,0.0424494181,1.3477269952,1.8800193184,2.6441417863,-0.1231737756,2.5851830245,0.9104682394,3.4270724655,3.5484192370,3.4318609535,1.0486653098,-0.1798962800,2.9208294814,0.7617011736,0.1671082956,1.5245117468,0.0399595843,0.9666787901,0.2989577477,0.4102331797,2.5790731379,2.1786052734,1.5315126553,2.9946871600,0.5228171585,1.7639541275,1.5752913560,2.3407166301,2.4020723957,0.3953792758,2.3739492150,1.3034839436,1.8724469924,0.9508915414,2.3230243474,0.5427154791,1.3590093426,1.2006336368,1.2069364997,2.4780960083,2.3354428608,0.4609976812,2.0639304071,2.2221976650,1.7973273993,1.0936874372,2.7867643568,1.5670990583,0.9961353469,3.0691533352,-0.0858659869,1.9177078921,1.8050025340,2.1000130028,1.0750996671,0.6818482897,0.0332799006,2.7704187315,2.5078887087,1.0212899239,-0.1164001034,0.2962079536,2.2293982748,2.7914009392,-0.2018738620,0.6201968742,0.9449959803,0.6270662683,-0.2211540897,-0.0625281076,0.2946702333,-0.0492703791,-0.1843143120,1.3643541326,0.1898558221,1.5849706904,1.3198193088,1.2154494536,0.3602871610,2.0235058267,0.3596358622,0.9467838178,2.6003748311,-0.2170959677,0.4014198135,0.2530695895,0.1040086366,3.1681083611,0.5369417437,1.3486559728,-0.0831670670,BRCA
GSM480985,0.1639860806,1.4094918858,2.5593677957,0.2450936343,-0.0312982283,0.0173166727,1.2224409564,1.7491732957,2.5247498751,-0.1041436054,2.5167332692,1.8886925131,3.4544742704,3.2603294057,3.2747211159,0.5444121816,-0.0736343862,2.8328286011,0.7238407722,0.2954733556,1.2195487900,0.0332931683,1.0142645156,0.3494800181,0.2536071339,2.6998609303,2.3956858070,1.2364532462,2.9789295197,0.5681091451,1.5496100468,1.7027533111,2.0056311490,2.1484044279,0.3325219604,1.9236591533,1.3926248501,1.7349884399,1.3873323873,2.2578136921,0.4661512643,1.1172437244,1.4811245171,0.8891766342,2.5203391710,2.2482151339,0.3782156192,1.8568286003,1.8194379408,1.5080628321,1.0698728630,2.3862690266,1.1837900571,0.7962038178,2.7453804811,-0.1151121933,1.8960162261,1.8658852023,1.5996801792,1.0339014455,0.5749595936,0.0130898761,2.4936953392,2.4656646933,0.9344838813,-0.0764656907,0.0386221876,2.0416658055,2.3643059880,-0.1734340142,0.5398994706,0.9822114862,1.0013981909,-0.1823737236,-0.0874700124,0.0805851974,0.1670401886,-0.1159210932,1.2188737688,0.6675246495,1.4278726280,0.9669884886,1.0626372753,0.5380222204,1.6613836439,0.1494129637,0.9108453438,2.4102814792,-0.1353731688,0.3647103445,0.2134292614,0.0269597916,3.2740509850,1.5470599863,1.0856469381,-0.1164753870,BRCA
GSM480986,-0.0336382097,1.5579831730,2.8182360594,0.3000567875,-0.0803767553,-0.0084535634,1.3746184165,1.7950517596,2.6089025174,-0.0251089779,2.8630647658,0.8604786015,3.5387535989,3.4467352230,3.5043250025,1.0456493049,-0.1650240475,3.0361878739,0.7589800587,0.3302681656,1.5319489472,0.0670803441,0.9554687156,0.2234449131,0.3461276375,2.6965588994,2.3216353952,1.5823261664,3.0113698640,0.4263001634,1.5961905595,1.6585950814,2.3781791776,2.6931894506,0.3092975064,2.2629095540,1.2028439923,1.9702969895,0.9393631332,2.2594260425,0.3675468832,1.0608376434,1.1689440757,1.1539204158,2.6605611640,2.3742785952,0.5071624520,1.9149106741,2.0398407643,1.7594746948,1.0146201463,2.7603964806,1.4225703242,0.8234068095,3.1473193964,-0.1044490912,1.7482983978,1.8007315311,2.2145576105,1.0570714950,0.6082250034,0.0108936705,2.6780174347,2.6811052050,0.9710769419,-0.0112899646,0.3220589667,2.2836548351,2.6896047443,-0.1111203458,0.4918469413,1.1145135098,1.0511663947,-0.1586654794,-0.1323945983,0.0528985192,0.0945767220,-0.1356675994,1.5661488916,0.2548334089,1.6226263344,1.2201881828,1.4549083046,0.4927902664,1.7544271589,0.3865470647,0.9392579124,2.6672879326,-0.1007603380,0.2347654519,0.4383908262,0.0539876037,3.2844195366,1.0638423858,1.4714064678,-0.0680387013,BRCA
GSM480987,0.0332196029,1.5483073221,2.7587866120,0.2325008147,0.4834164182,-0.0549585451,1.4473519886,1.8620933963,2.6119707192,0.0588961331,2.5893713435,0.3960130734,3.4431424141,3.7116197743,3.4794374704,0.9474813692,-0.0906852847,2.9923180870,0.6226854412,-0.0290590872,0.8868841687,0.0265716336,0.7244511977,0.1720295425,0.1992497309,2.7444951138,2.1474726646,1.0170880937,2.8365645013,0.2773525813,1.6890701791,1.4716175830,2.4194074571,2.6947127920,0.2045498919,2.2029468007,1.0510979764,1.9836659712,0.6285944043,2.1835881770,0.2361733591,0.9373136460,0.8500841279,1.1262940004,2.2426957290,2.3532645256,0.3818332076,1.7049315274,1.9252675110,1.5037874504,0.9965586298,2.8373980390,1.2285433283,0.9247255012,3.3339642949,-0.1130505014,1.6921351903,1.6427985004,2.0351079889,1.1094228152,0.5178212225,0.0385048655,2.8550744857,2.6114896026,0.9352572696,0.0716234554,0.4047028517,2.2485054621,2.5737714321,0.5207173153,0.4667196364,0.8301454794,0.5206162379,-0.2239413844,-0.0612379767,0.0089983054,0.0400075481,-0.0232365340,1.4761524657,0.2050718660,1.5617455778,1.1341211768,1.2081482697,2.5628298224,1.5239882888,0.1892731293,0.8549370172,2.5254845488,-0.1050582264,0.2230391835,0.1857093530,0.0713490623,3.8161665713,1.8275737033,1.3265686443,-0.0769831032,BRCA
GSM480988,0.0131784733,1.0391375089,2.5381566452,0.1563640363,-0.1578688687,0.0437322547,0.7778331785,1.5280717509,2.4310698808,-0.0544706349,2.5415298342,0.6075258255,3.5903268455,3.5632109643,2.9582526685,0.8753562803,-0.1172570286,2.7686368889,0.5281285305,0.1823260510,1.4778905808,0.0988541350,0.5309720529,0.2048250465,0.1930112019,2.7243874206,1.9499285595,0.9903650600,2.9657080967,0.3106117491,1.5990241625,1.4281306305,2.2421025634,2.7946935379,0.1603641275,2.5174946262,1.1437491644,2.0195549955,1.0159953310,2.0677417218,0.2904050328,0.4611046656,1.2457949635,0.7263722536,2.4681818487,2.0110698422,0.4689942604,1.6818410720,1.9690023926,1.5246780665,0.8160987161,2.4693820574,0.9986146884,0.6581086746,3.3063159252,-0.0961962392,1.7751844942,0.9553163941,1.4657099479,0.8747351678,0.6242817767,-0.0682729349,2.3836103297,2.1940289909,1.1295807667,-0.0535938673,0.0992772953,1.7693305240,2.4782971740,-0.1764368483,0.5242627501,1.1902519783,0.8630317547,-0.2032258370,-0.0769532028,0.2919191110,0.0554785535,-0.0292729959,1.7187269224,0.3630211729,1.4466884285,0.8733580569,0.8290633238,0.1549804915,1.4371620273,0.1912600433,0.8955960034,2.5908891857,-0.2398080490,0.1758982928,0.4995689597,0.0368996694,3.1527424541,0.6459967767,1.3240040779,-0.0614233588,BRCA
GSM480989,0.0668165242,1.7552074548,2.6330522828,0.2367078032,-0.1237371100,0.0926503360,1.7857396428,2.1340415721,2.9796418862,-0.2378311222,3.1335273783,1.7033701090,4.0700815022,3.5488193827,3.9613547920,1.2300872647,-0.1185719971,3.4968348608,0.8645846256,0.1361641660,1.3813472157,0.1539426148,0.8800742628,0.2827313408,0.5124567831,2.7105823359,2.5870779306,2.1302643267,2.8290385407,0.2683247736,1.4556423250,1.9151880259,2.4667692631,3.2476058687,0.2213360476,2.2828131765,1.3622255757,2.2215796266,0.9569158685,1.8614832610,0.2080110709,1.6189035133,1.1796468264,1.3013640981,3.0140888690,2.4475744766,0.2837294929,1.8549276291,2.3744408953,2.1510638744,0.6412169951,3.1078833672,1.9011756464,0.9436102802,3.4578404957,-0.1092558474,1.6773121551,2.5386785524,2.5261857397,0.7689067522,0.3673348365,0.0818868848,3.0972921000,2.3977353573,0.9280979003,0.0515053736,0.0888926102,2.7461639345,2.6228408813,-0.2696185394,0.4818084316,0.9822125902,1.1995537113,-0.1988808691,-0.0224448769,0.3101469584,0.0002927121,-0.1206839850,1.8219898196,0.4406772485,1.5781718058,1.2497944358,1.7222828818,0.4062398779,1.2445914656,0.2875250331,0.7344066938,2.4934273313,-0.2777579681,0.1138846011,0.5414225689,0.0323367647,3.6041034970,1.2037699719,1.5610145161,-0.0993450650,BRCA
GSM480990,-0.0620586827,1.4454849492,2.6366656091,0.3304817325,-0.0115296456,0.0517665168,1.6160476847,1.8122139895,3.0200660929,-0.0525418175,2.9141588310,0.8497787806,4.0086092055,3.6396413643,4.1255401969,1.3391252673,-0.1587630591,2.8055837022,0.7881130874,-0.0714341684,0.9187243581,0.1393969006,0.7492041707,0.2409829762,0.4366570931,2.7939025824,2.0454952567,1.5599493311,2.6927824817,0.2738806265,1.0491422729,1.4680382832,2.3569882808,2.5327774287,0.1231852659,2.1940840074,0.9483823761,1.9121432351,0.7702361686,1.9267982987,0.2548555928,1.4532241859,0.9617669296,1.3140478284,2.6311710677,2.3934767892,0.2171838662,1.8234005494,1.9218206934,2.1770029365,0.8995748588,2.8061103091,1.8446077186,1.0279968887,3.2979678048,-0.1532758123,1.2607771447,1.9970140841,2.7007984556,0.8176078507,0.3689083702,0.0659851056,2.8897378456,2.4097764490,0.8433594816,0.0802237292,0.0356193407,2.5992990658,2.9649400265,-0.2508752277,0.3949826356,0.9301648117,1.0633837171,-0.1438699079,-0.0113262983,0.1504962361,0.3043441863,-0.1015555037,1.8603541511,0.1348848798,1.5502818178,1.1364236277,1.6190985005,0.7612413793,1.4703692757,0.2102089732,0.6611518788,2.2394720681,-0.1568536721,0.0401264709,0.3181734394,0.0343530848,3.7346337866,1.1170679761,1.4966637179,-0.0930310847,Control
GSM480991,-0.0182906061,1.5515686907,2.8365595339,0.3006010337,-0.0425572230,0.1241007300,1.4833563237,1.8832398690,2.8777215410,-0.0751755479,2.8551897803,1.9846106098,3.7389813362,3.4733667373,3.7136605977,1.0459017753,-0.1528523310,3.0806593232,0.6430527550,0.3467835552,1.4454906350,0.0915237828,0.8633415593,0.1191125174,0.3902518363,2.6590077480,2.5735933335,1.7541966662,2.9673169453,0.3005390735,1.4348399815,1.7359422445,2.3120828122,2.7433253016,0.3018956727,2.2283421680,1.1065239228,2.0969550107,0.7494436904,2.1799539924,0.3079901611,1.3540177964,0.9749992775,1.2091733013,2.6983372370,2.3990266273,0.3761448412,1.9338733404,2.1474709510,1.7654684634,0.9273870912,2.7988567652,1.6437186207,0.9273097725,3.2209119002,-0.1261657920,1.5657176485,2.0149812527,2.4944071359,0.8980810035,0.4579528600,0.0756633949,2.7557867371,2.4722771134,0.8730897507,0.0139675000,0.1039387215,2.3736780044,2.4763701409,-0.1619860071,0.4224859876,1.2209260207,1.3676533868,-0.1873393291,-0.0487561419,0.1601521271,0.1075226812,-0.1109221383,1.7552335166,0.3242428526,1.5996244749,1.0941234408,1.4775191041,0.2812031441,1.4697199503,0.3686100013,0.8417523124,2.4593116608,-0.1704971830,0.1772719718,0.5430663557,0.1004779784,3.3566855701,1.2257923750,1.4697012005,-0.1124863538,Control
GSM480992,0.0436351321,1.5052996314,2.5849018496,0.4411841333,-0.1249349542,0.1072666178,1.6340337672,1.8565931799,2.9134306347,-0.1295131660,2.9603282015,0.9986972632,3.7898347376,2.9723732473,4.1191732882,1.4363558438,-0.2037982712,2.5033878883,0.8596302114,0.2651398251,0.9809066461,-0.0013418660,0.8232307482,0.0999823145,0.6214155494,2.2498565252,2.0831756291,1.9763529973,2.3969766697,0.2167529686,1.0286999862,1.5891236738,1.9978834093,2.4150560756,0.2737099200,2.1607327535,0.9967125401,1.8803495011,0.8173289473,1.6214071512,0.1512522806,1.5091925989,1.0915238465,1.4013012038,2.4958771863,2.1407557330,0.2313617113,2.0677032769,1.9953831170,2.2124366166,0.6999191179,3.0174425443,2.0315674512,0.8990888902,3.2300364178,-0.0754970524,1.2726147105,1.9273984134,3.0351112113,0.7446319660,0.3781747637,0.0971907729,2.7319306335,2.5811069693,0.8111424002,0.0149992970,-0.0133180718,2.6575420799,2.7859428824,-0.1473591948,0.3062242891,0.8876542938,1.5837286040,-0.2094873998,-0.0524488216,0.0884045239,0.0249145964,-0.0821576885,2.0081897813,0.1461564504,1.6022511596,1.1474594036,1.6844049050,0.1284940682,1.1865357925,0.6358898381,0.7107424068,1.9634987114,-0.1886587926,0.0732875811,0.4716532580,0.1595277016,3.3394765173,1.0593365299,1.6979932189,-0.0646768467,Control
GSM480993,-0.0217610554,1.5078174091,2.6733121609,0.3338969566,-0.0678698490,0.1875058857,1.5231844738,1.8564429452,2.7184812181,-0.0783596511,2.9099283418,1.4912662991,3.5240723192,3.0813806853,3.8593398928,1.1176417301,-0.1421918277,2.9675442511,0.8617496946,0.2568045486,1.2801744139,0.0734973551,0.7904321804,0.2123312633,0.3761149262,2.5379271111,2.2965392915,1.9432272613,2.9347724913,0.3458222656,1.3658503120,1.8176816330,2.3574859499,2.7369103943,0.2805398945,2.1955187842,1.1519269166,2.0082805819,0.8505191160,2.2105291782,0.3077100398,1.2219735683,1.1003682372,1.2195750973,2.6991728943,2.1819625645,0.4983456701,2.0052084474,2.1426679424,2.1362978668,0.8188119192,3.0341738792,1.7130491356,0.9582222139,3.2092238798,-0.1223478035,1.5895338901,1.9662201574,2.5720573925,1.0072587585,0.5012176446,0.0353644352,2.5945062544,2.4755535294,0.9083646271,0.0025378224,0.1211480606,2.7051851750,2.4751581996,-0.1976552220,0.4951463326,1.0565381431,1.2001733407,-0.1600911664,-0.0987126194,0.0779125332,0.0451851415,-0.1145601916,1.7130136955,0.3838727376,1.7395867581,1.1375252786,1.3796240917,0.2867154340,1.2952646493,0.4122679911,0.7950734610,2.5012451410,-0.0872064448,0.1338819088,0.4849967851,0.0767692261,3.4536580019,1.4925895598,1.6701275347,-0.1096533942,Control
