@relation data

@attribute 11226 numeric
@attribute 11227 numeric
@attribute 114805 numeric
@attribute 117248 numeric
@attribute 168391 numeric
@attribute 192134 numeric
@attribute 2589 numeric
@attribute 2590 numeric
@attribute 2591 numeric
@attribute 26290 numeric
@attribute 2650 numeric
@attribute 29071 numeric
@attribute 374378 numeric
@attribute 442117 numeric
@attribute 50614 numeric
@attribute 51809 numeric
@attribute 55568 numeric
@attribute 55808 numeric
@attribute 56913 numeric
@attribute 57452 numeric
@attribute 63917 numeric
@attribute 64409 numeric
@attribute 6482 numeric
@attribute 6483 numeric
@attribute 79623 numeric
@attribute 79695 numeric
@attribute 8693 numeric
@attribute 9245 numeric
@attribute 9334 numeric
@attribute Class {Control,BRCA}

@data
7.36527506,5.257964097,5.998427535,9.449938467,4.429532455,5.471521792,6.2773124585,6.783656769,8.194856713,6.322383937,6.6422077465,7.12422601767,9.626197781,5.475874941,5.16743282075,5.555364666,6.69458366667,6.515388896,6.009555025,9.115484895,10.59491265,6.117700885,9.8368951365,7.303783316,6.358392415,6.921011149,9.006607384,5.26866948,10.86915448,Control
8.577656473,4.981180512,5.652207716,9.126240571,4.881923051,5.831124321,6.6101562455,6.427862262,9.608181403,5.827572151,7.1288623445,6.99337254667,8.546181736,5.2540543905,5.316289114,4.44952763,6.704313445,5.726293954,6.163705646,8.615398283,10.53344682,5.115003321,9.4015370715,6.78372224,6.54404145,6.319767507,9.839432587,5.644873832,10.4353997,BRCA
8.565484009,5.403788568,5.375570566,7.103762836,4.801431976,4.96764272,7.0985905965,5.73478497,9.012485657,5.917677146,6.947872141,6.91997588533,8.699521377,5.066964609,5.414956458,4.694341356,7.03545635633,5.477524542,6.263133611,8.527746649,10.45090222,5.661572365,8.8347240695,7.197661783,6.612356646,6.401780305,8.902097045,4.571466258,10.77439198,BRCA
8.446608924,5.182703468,4.826817,8.662473563,4.29634707,6.034364988,6.9615805485,6.427443278,10.1630147,5.859106883,7.046523943,7.53265452533,8.535684722,5.100960244,5.5605063795,4.313245239,6.19911822933,4.932877618,5.71562658,8.614898066,11.04197755,5.945918559,8.2836000845,7.627900667,6.377475723,5.189242669,7.456192424,5.108536217,10.2700474,Control
8.35053164,5.041999937,5.544432256,8.536442598,5.166927545,5.340305225,7.5582680955,6.131965608,9.179860041,5.607338636,7.3503575015,7.14956976733,7.297193996,5.537311876,5.48276575775,4.977063788,6.98669316167,5.645882653,6.682085592,8.301454476,10.80616717,5.913853554,9.6413430855,6.805650779,6.571150131,5.883749862,9.794773703,6.447005198,10.45556383,BRCA
8.361890192,5.554597484,5.186075849,7.875505362,5.401742447,4.895316255,6.9988767775,6.648469487,7.516785639,6.050290137,7.5549096015,6.76192833867,8.962217233,5.5864875915,5.47807407375,5.028139516,7.13608715167,5.835678584,6.818266204,8.6123926435,10.25321554,5.865430938,9.8193320055,7.42827877,6.845807173,7.815256994,8.241317194,4.673859936,10.80422,BRCA
10.48524596,5.23363046,5.650629048,7.832290546,5.246418775,5.159277237,5.8417293765,6.381677589,10.30226796,6.401567006,7.5125819965,6.87035427467,7.222073073,5.9403147395,5.50110595725,4.261837702,6.14765243033,4.668481241,6.893972281,9.2652213785,11.1461265,6.640935836,9.172954892,8.392855247,7.227811157,5.447092526,8.309977771,5.66903474,10.23589789,BRCA
8.002760351,5.596496342,5.317422789,7.455884307,5.451879748,5.555364666,6.5098410675,6.312978791,7.491534716,6.147312423,7.3457591335,6.97382876667,8.496295686,5.6796306165,5.463608232,5.273526379,6.70736305467,5.544895869,5.54798282,9.3039767465,10.45556383,6.046639068,8.9961435315,7.065392235,5.917199751,7.343365902,7.883225397,5.233822166,10.81229788,Control
8.832511198,5.004514032,5.69321599,7.322944667,5.227097249,5.855623029,6.9687767855,6.508908434,7.989892757,5.93841004,6.76534498,6.97032349267,8.888546253,5.547575947,5.218811201,5.545359333,6.89723505533,6.589730253,6.112810233,8.7369707995,10.90047838,6.083112955,9.0707221845,6.747458314,6.671615809,6.180710433,8.708481379,5.264922245,10.87885198,BRCA
9.908978409,4.748476814,6.246413431,8.441949357,5.637647374,4.61298674,6.8370431045,6.288732869,9.763129822,6.056806358,6.844501818,7.05792848633,7.558059277,5.2970481895,5.66509417375,4.889243844,6.77340204467,5.871604195,6.184285874,7.7672771465,11.10921707,6.29131404,9.2875049185,6.960584469,5.997750375,5.901054678,8.639124627,5.546594509,9.969261,BRCA
8.336429709,5.586773185,5.301232095,7.60485179,4.874319002,4.809686189,6.7729317255,6.00641655,8.869887692,5.749340677,6.5228805645,7.15252081167,9.337511034,5.876086266,5.5072178835,5.20751344,6.24942224233,5.20751344,6.634452146,9.451643247,10.85873307,5.338612717,8.694832367,7.387201232,6.195943635,7.190716395,8.495976037,4.856999696,10.28330866,BRCA
7.700632397,5.0686829,5.717958252,7.968668413,5.243375136,5.808263565,6.631642116,6.329397776,8.042399643,5.733904229,6.7452493235,7.035132573,8.913937397,5.780917546,5.23745458625,5.287445744,6.67883224833,7.229254138,5.94146509,8.699650303,10.40145051,5.977000087,9.0418741245,7.217330395,6.423120638,6.221737545,8.951576959,5.418368122,10.72975267,Control
7.453231788,4.769786816,6.070610035,8.408118602,4.247815235,5.212774804,6.7129660585,6.449978627,7.994581315,5.840785003,6.855935666,7.13835548167,8.656997827,5.6681556755,5.127073078,5.092980397,7.27756954967,6.829694594,5.970112363,8.6060750605,10.4035503,6.358963769,9.655342191,7.567311803,6.47151722,6.529356855,8.927586226,5.425099433,10.69259831,Control
7.774162951,5.667190506,5.211315238,6.654997999,4.27633458,5.655216748,5.764746599,6.674408126,8.141291161,6.158968739,7.2941464955,6.976746751,9.372267145,5.7010841305,5.685747727,4.877021802,6.954196626,6.884540305,5.119782831,8.444415158,10.55366796,6.165666403,8.649778607,7.611303577,6.454961876,6.529708231,8.854152408,5.241850906,10.64364002,BRCA
8.925377244,5.862086362,5.826428522,6.556357083,5.297201735,6.196140414,5.8908667655,6.741605603,7.154390615,5.83390919,6.6319114955,7.07796385767,9.030647223,5.4453846735,5.59162175825,5.68566776,7.088210732,5.992151647,4.828214269,10.177955617,11.39078175,6.276781031,8.776111887,8.655871568,6.605779971,7.550383421,8.668956873,5.822864756,10.36783001,BRCA
8.724600075,6.0664182,4.879474508,6.93820087,5.414821571,6.0664182,5.6599056115,6.576601968,7.926268008,6.075164235,6.459670231,6.770867865,9.480331335,5.6262833805,5.43228173725,4.904256777,6.737418298,6.601774966,5.056595719,8.560535318,10.5240375,5.879345077,8.295796758,7.246410759,6.420386078,6.047020956,8.723875178,4.926487253,10.8590069,BRCA
7.97630796,6.560872072,5.208879341,6.912892703,5.328685023,5.515077886,5.663489719,6.607704348,8.071758815,6.087256632,6.900867684,7.02345231167,9.093193797,5.7096907365,5.532158037,5.310350345,7.012173145,6.272961555,5.197915751,8.484487581,10.53323265,5.821079567,8.563762714,7.777191399,6.506728574,6.203891817,9.25803663,5.139767484,10.33178501,BRCA
8.480750953,5.547365958,5.075544663,6.805328332,5.127954352,6.230938495,5.797394128,6.624397495,7.412868569,6.132685436,7.1611747085,7.296731046,9.337890083,5.8481839245,5.39220014825,5.537770712,6.61599258367,5.705018031,5.297385178,9.946738466,10.92233559,6.12696834,8.233650862,7.655389622,6.531931626,6.555437049,8.665869833,5.349976695,10.66888523,BRCA
6.873785904,5.757564188,5.299584672,6.651199272,4.871364705,5.800130634,5.8315117055,6.470297392,7.284572257,5.821079567,7.1451279915,7.182606022,9.887083928,5.10521522,5.5312146265,4.709583584,6.89762666767,6.807004269,5.255511354,9.288484934,10.76808942,5.964751666,8.5500438155,7.27775495,6.675961001,6.727686082,8.359223688,5.362129031,10.26278816,BRCA
9.999683363,5.567280188,5.537615426,6.239651629,5.065239741,5.430127385,5.93224793,6.989880165,7.599468671,6.081303006,6.031236789,6.68047162567,9.381565189,5.5040933575,5.4551279805,5.461734198,6.06186541,5.771893004,4.740943304,8.733145084,6.855058834,6.164912581,9.1404077495,8.735523129,6.412997934,5.734852697,8.37126603,5.716038325,7.144151235,BRCA
