@relation data

@attribute 8853 numeric
@attribute 9265 numeric
@attribute 9266 numeric
@attribute 9267 numeric
@attribute 55738 numeric
@attribute 26286 numeric
@attribute 1314 numeric
@attribute 27128 numeric
@attribute 11015 numeric
@attribute 8729 numeric
@attribute 10945 numeric
@attribute 375 numeric
@attribute 11014 numeric
@attribute 1212 numeric
@attribute 10564 numeric
@attribute 10565 numeric
@attribute 2822 numeric
@attribute Class {Control,BRCA}

@data
9.54766629,8.806520258,7.6933760075,9.364711743,8.177703181,8.147236501,12.13981521,9.144799144,8.35003278467,9.254793094,10.87936138,9.435961159,10.99511368,8.8823458495,7.255267326,7.787561375,6.234638318,Control
8.936292773,7.862546427,7.645540975,9.453499377,9.043300581,8.0772143925,12.16828986,9.277578656,7.374025829,9.499970984,10.8492802,9.02931504067,10.21737345,8.8609266685,7.489569276,7.917258932,5.5398075445,BRCA
7.917627363,8.1650331645,7.641633677,9.20961099,8.5336614035,8.2724408725,12.30980751,9.162423509,7.16382515567,9.393380334,11.15442592,8.92200073633,10.84822018,8.8352614895,6.935698777,8.004763132,5.5127772445,BRCA
8.189591244,7.64713778,8.5001292895,9.230551296,9.1271838005,7.24010979,12.32274087,9.294495039,7.300543852,9.532073946,11.0799649,9.036098299,10.14344097,8.6118201585,6.882218507,7.596600986,5.8448790145,Control
8.291586436,7.7973471825,7.792772853,9.465192061,8.361477899,8.353472536,12.28023003,9.006046297,7.39338145833,9.356529619,11.41166472,9.30135474967,10.76195031,8.599359637,7.338137177,8.379831393,5.608287503,BRCA
8.904928944,8.1273819365,7.814486458,10.1567471375,8.6807595895,8.517730457,12.20235811,9.995463717,7.85385351533,8.343586732,11.30927755,9.44563937567,11.1700551,8.8915464885,7.971372727,8.548651831,5.9496552855,BRCA
7.258945501,6.905191708,8.247839989,9.0740663425,8.810813116,6.8818528295,12.49990449,9.662295026,8.71135332,9.321195924,11.1168006,8.593332009,10.20922218,8.9956657065,7.110851603,8.2032076905,5.514480122,BRCA
9.4642502,8.509027252,7.954947072,9.1513208185,7.827331406,8.04835926,12.12504541,9.319006569,7.74752624967,8.70989467,11.07871142,9.138314752,11.4325551,8.823776494,7.422655866,7.908489764,5.3709100885,Control
8.930930318,7.876344342,7.7371531295,9.2621487085,8.6141219015,8.249446721,12.16189092,8.928874471,7.317655246,9.206233641,11.23136237,9.39829013367,11.13901746,9.3589978265,7.518242268,8.3438872875,4.915996065,BRCA
8.669488455,7.5512467795,7.598648141,9.272795955,9.0113517305,7.6102836665,12.08449626,9.290140483,6.944049045,9.616108215,11.21226855,8.762425327,9.877100477,8.828950772,6.262194115,8.2795793905,6.661747409,BRCA
9.058871908,8.3063358125,8.051091675,9.482172258,9.50373666,7.91665464,12.02547364,10.10365536,8.01986630667,9.642061229,10.80520803,9.06733291667,10.57244471,9.2005478835,7.01892656,8.0358974025,5.700322496,BRCA
9.08890821,8.3537986095,7.521346622,9.3633047445,7.9399211375,8.2906920855,12.20870084,9.215327395,7.96171329833,9.023353173,10.78591649,9.15885341667,11.02156667,9.142903461,7.8694722,8.234218903,5.6358884485,Control
9.350724377,8.4994251385,7.5939693145,9.25991298,7.9029496665,8.08052788,12.11775357,9.590110341,7.56279595333,9.333972157,11.34473713,9.02863103533,10.83615712,8.8916756725,7.457136903,7.9007665135,6.24793894,Control
9.300250232,8.373247356,7.7033818245,9.869655593,9.531655345,8.418512984,12.16288073,9.2928284,7.33533531267,9.956354783,11.23391938,9.44034213133,11.09066178,9.316210737,7.280866154,7.7634636445,5.482343122,BRCA
9.827664684,8.92399709,7.633148922,9.846501935,9.5964393685,8.732839915,12.14356347,9.902560198,8.90313205033,9.251175332,10.56613044,9.602992126,11.17848141,8.706131848,7.479540047,8.0419288095,5.6128355365,BRCA
8.777617896,8.4441542725,7.811938666,9.491030673,9.1121465045,8.3532589985,12.28676141,9.834408286,7.198596346,9.590110341,11.34349681,9.52585421467,10.21535739,9.3048856515,7.361288328,7.6242431455,5.234733823,BRCA
9.153799716,8.334146918,7.8735069355,9.7821321125,9.3760633305,8.2401051245,12.31303756,9.312021348,7.602913824,9.975214277,11.18352391,9.454326801,11.26946293,9.018946549,7.657106049,7.5586977395,5.644884777,BRCA
9.283471048,8.625045406,7.899442092,9.384356013,8.753912209,8.1293953875,12.63872105,9.643162233,8.03791868233,9.485125458,11.21226855,9.73109120033,11.53262879,9.319117738,7.6746533,7.3644065535,5.666570181,BRCA
9.223652493,8.3654340215,7.7178460865,9.788457735,9.346038452,8.4866441545,12.2590489,9.493320655,8.45486188167,10.09896674,10.85463489,9.70770383567,11.54782732,9.1582434995,7.295863332,7.613383097,5.498126737,BRCA
9.518501269,8.8476603525,8.923134981,9.567208129,9.479346166,8.033641053,11.90436283,10.43822556,7.347768415,9.788408852,11.9029781,10.165604926,10.51270618,9.3300027835,7.260334165,7.032978284,4.5449044525,BRCA
