@relation data

@attribute 5747 numeric
@attribute 5906 numeric
@attribute 6714 numeric
@attribute 54518 numeric
@attribute 5908 numeric
@attribute 7450 numeric
@attribute 2266 numeric
@attribute 2335 numeric
@attribute 3690 numeric
@attribute 2243 numeric
@attribute 3674 numeric
@attribute 2885 numeric
@attribute 2244 numeric
@attribute 7094 numeric
@attribute 6654 numeric
@attribute Class {Control,BRCA}

@data
9.55016911,7.005431822,6.75911734333,10.69644187,6.582741757,14.70026172,5.61663289,5.784851809,6.147515948,6.212296819,5.361953639,9.4954151895,5.66197871,10.9484368,8.001564595,Control
9.45642471,6.434568757,6.586005659,9.15231091,6.355006684,14.48484431,5.08042485533,5.68055279233,5.52873637,5.7937330178,5.442455259,9.5539178325,5.223664671,10.35004996,7.481398095,BRCA
8.9981409465,6.699751273,7.22912163867,9.031467655,6.466000385,13.62992806,5.12813079533,5.278519036,5.194176951,5.862260741,5.488973851,9.480270588,5.7185873855,10.20981921,7.228580927,BRCA
9.0133211855,5.6556447465,6.91032494133,9.212168732,6.3700012095,13.98232431,5.394216664,5.20244744133,5.254944744,6.142895466,5.402254249,9.432546201,6.1111201375,10.43742988,6.648325671,Control
9.0250253645,6.4308542,6.72839437467,9.432772131,6.499527711,13.44200721,5.16471474267,5.25964903267,5.476714818,6.0545063174,5.256266489,9.66718229,5.524787686,9.987545106,7.634958261,BRCA
9.420287121,7.3002942325,6.38912935567,9.365546625,6.8410633585,14.1393823,4.86237598533,5.707811796,6.672712173,6.1325254104,5.950883181,9.9164802245,5.8811445325,10.55627639,8.19601328,BRCA
8.8796586,7.2132301705,7.54701473933,9.0923747,7.062352436,13.74350963,5.183358411,6.4670477,5.418536788,5.8629718688,5.323740468,9.167523377,5.5239862235,10.32302692,7.292025067,BRCA
9.585335464,6.7375606535,7.00963552967,9.679942359,6.2456860685,13.93643461,5.73127573267,6.11171869767,5.838328613,6.2905934128,5.388371455,9.1611827995,6.0018505655,10.49035982,7.787382059,Control
9.2675642675,6.6237057305,6.85674479767,8.805777017,6.516538676,13.56248158,4.90385191767,5.79816158467,5.40668228,5.777716958,5.151586144,9.3657406255,5.5854962715,9.984080577,6.878728789,BRCA
8.984597332,6.458550254,6.973025285,9.878281298,6.496219087,13.90066922,5.373245961,5.37743589167,5.411944154,5.834084272,5.384059522,9.70078824,5.882017596,10.50808719,7.4960371,BRCA
8.7160245685,6.367097734,6.89592443067,10.47980075,6.813421843,13.93264756,5.10876104267,5.303385894,5.576228285,5.8878688452,6.239603899,9.153599552,5.589234893,10.87277127,6.507481989,BRCA
9.5799510855,6.6803573705,6.98144085767,9.677226824,6.676402561,14.84397331,5.33171452,5.616571363,5.887897624,5.890793344,5.295182325,9.5256586835,5.3609119885,10.38874414,8.512524314,Control
9.807955308,6.6358028665,6.75905554167,10.29322767,6.4678002685,14.65913186,5.43919162867,6.18745509633,5.582263377,5.9960739032,5.346257748,9.597360232,5.578027233,11.16338255,8.640083234,Control
9.6749751715,6.5600925975,6.82951290367,9.777124244,5.7981775515,14.26763347,5.244861722,5.540230241,4.840980873,5.8533394194,5.917677146,9.06038523,5.7407899085,11.32350252,7.7584583,BRCA
9.2641454985,6.965484196,6.91208436433,9.8765404,5.632718325,14.45371146,5.892500193,5.960731805,4.788047896,6.6576685756,5.234397132,9.5800955565,7.706848707,10.42478333,7.8511886,BRCA
9.278094081,6.4715114345,7.22720437133,10.03091577,5.6294457825,13.37610779,5.01693401867,5.30175675867,5.364932404,5.871486022,5.887593047,9.0393998015,5.679065704,10.80365511,7.192690117,BRCA
9.5786882385,6.023625171,7.35444662233,9.199280412,5.676905305,13.42739342,5.221348673,5.298779371,5.229790979,5.9806233382,5.946152572,8.9731778835,5.594069333,10.88922276,7.688986551,BRCA
9.21652246,6.459501324,7.03736704367,10.26227726,5.8486648255,13.31846094,6.427978353,5.62889739467,5.69000583,6.2075168774,6.109888752,8.9213733295,5.8824568005,10.80905688,7.192172276,BRCA
9.337026401,6.2166346505,7.07743364033,9.692319577,5.862625222,13.50983997,5.34856477533,5.63963242033,5.50954641,5.8517522696,5.787648759,9.111304808,5.8434161095,10.86047424,7.574595656,BRCA
9.6546657745,5.5290771255,6.94510312533,10.37511578,5.6300144245,14.52512866,5.01021263533,5.319722061,4.766875281,6.2169609176,5.113545539,10.2970447,5.783726554,11.58959862,8.480033951,BRCA
