@relation data

@attribute 55902 numeric
@attribute 10858 numeric
@attribute 1572 numeric
@attribute 1571 numeric
@attribute 1577 numeric
@attribute 1579 numeric
@attribute 1573 numeric
@attribute 1576 numeric
@attribute 1580 numeric
@attribute 1581 numeric
@attribute 1582 numeric
@attribute 54498 numeric
@attribute 1583 numeric
@attribute 5740 numeric
@attribute 1562 numeric
@attribute 84532 numeric
@attribute 8529 numeric
@attribute 1565 numeric
@attribute 29785 numeric
@attribute 125 numeric
@attribute 126 numeric
@attribute 127 numeric
@attribute 5743 numeric
@attribute 124 numeric
@attribute 5742 numeric
@attribute 1589 numeric
@attribute 1588 numeric
@attribute 57834 numeric
@attribute 1586 numeric
@attribute 2326 numeric
@attribute 1585 numeric
@attribute 2327 numeric
@attribute 1584 numeric
@attribute 2328 numeric
@attribute 1593 numeric
@attribute 1594 numeric
@attribute 11283 numeric
@attribute 1591 numeric
@attribute 1592 numeric
@attribute 1559 numeric
@attribute 340665 numeric
@attribute 1557 numeric
@attribute 1558 numeric
@attribute 1555 numeric
@attribute 1553 numeric
@attribute 1551 numeric
@attribute 56603 numeric
@attribute 113612 numeric
@attribute 4129 numeric
@attribute 4128 numeric
@attribute 216 numeric
@attribute 1595 numeric
@attribute 217 numeric
@attribute 1548 numeric
@attribute 51302 numeric
@attribute 66002 numeric
@attribute 4051 numeric
@attribute 1543 numeric
@attribute 1544 numeric
@attribute 131 numeric
@attribute 1545 numeric
@attribute 130 numeric
@attribute 64816 numeric
@attribute 9420 numeric
@attribute 54905 numeric
@attribute 120227 numeric
@attribute 6916 numeric
@attribute Class {Control,BRCA}

@data
8.6154488574,7.069103653,5.316843255,6.68951277,6.026142315,6.328365825,8.877100909,5.081735071,8.7823019175,5.019047182,5.178526673,7.15574284533,7.930502474,11.21989318,5.831251023,9.442218403,5.183252225,6.1045471795,5.631870814,10.96541655,9.6928862,6.262508033,9.3930229045,13.65917147,6.9407233715,6.572931815,5.15709054133,6.461565904,5.499695432,9.230429477,5.626155278,11.38201077,4.7654509215,6.833625349,10.7221503,5.968558082,5.499695432,4.866921886,5.7562670555,5.45451419,5.68566776,5.011016147,6.137611747,4.8997521625,5.0553050655,5.264922245,10.23091542,8.0242798075,9.957331028,13.1577646,10.137118032,6.879341631,13.0288437,5.667190506,6.456568394,8.557943363,5.4682021915,5.821079567,5.147928634,5.169936271,9.562295439,5.609704182,5.1516093565,5.927073476,5.536217098,8.448437571,9.338959802,Control
8.4546626756,7.099981891,5.465835985,8.113873832,6.015254046,6.033319063,8.259591602,5.119990277,6.797461589,5.862210374,5.201056716,6.418258258,7.070285,10.1567155,4.888269882,9.791114496,5.643108953,6.036831682,6.267025434,10.78521972,9.225400943,6.19947933,8.8139773665,12.45678569,7.140230465,6.379383241,5.43543742333,7.421057314,5.214524337,8.49777314,5.59724157,10.93507131,4.8854495585,8.0499627145,11.02832761,6.464101029,6.289378595,4.789483203,5.92241252925,5.214524337,5.576228285,4.771900633,5.899424146,5.2804050785,5.1448679035,5.501288856,8.276811994,7.3399386995,9.304694199,11.8442763,10.2706930805,6.631326684,11.95442182,5.039150733,6.445892764,7.981954125,5.2680027985,8.886611969,4.98710623,5.301232095,9.503697124,5.946445035,5.3758344395,5.394043544,5.415666779,8.60235659,8.92187152,BRCA
8.1184164756,6.774659006,5.430688356,7.258945501,5.190428437,5.539167536,9.02903948,4.806596392,7.03298844,5.995434345,5.182504847,7.21022588667,7.580562199,7.940168402,5.135874705,10.09063551,5.516672551,6.521229341,6.0626441065,8.439977457,6.558195394,5.1797990125,8.056837029,10.37227772,7.072765053,6.362211787,5.38759982333,7.760505606,5.442952823,7.837424719,5.90202005,11.54965727,4.922826352,5.7362196345,11.28307404,7.380766509,4.628224624,5.001702332,7.67993413475,5.112503363,5.329313116,4.525994391,5.960124324,5.2980693585,5.6510240955,5.245658467,6.981998527,7.2006711255,9.175325691,10.08093113,8.166738199,6.316874894,10.45871961,5.033215116,7.029139294,6.869874875,4.9984634065,4.844123557,4.747402994,5.057354142,9.321038041,5.970630084,4.715631588,5.383800396,5.028581582,8.838022945,9.407427708,BRCA
8.3242083128,7.252526182,5.181175634,7.334946144,5.203995173,5.549369797,9.036723879,5.584068992,6.284975251,6.340211188,5.000914074,7.42228359,8.063854951,8.20904039,5.460424154,10.49616,5.3384361325,6.0570922065,6.294199749,9.933831202,7.149216488,5.3573935195,7.8889224205,11.67143283,6.9325116935,7.080127653,5.510095752,8.722244962,5.574564199,8.18271852,6.381331506,11.77322176,4.3905643155,5.371653937,11.11355354,7.168674938,5.82808014,6.605705905,7.01049456225,5.144669712,5.273526379,4.92244912,5.633294061,5.437870183,5.6412953675,5.402254249,7.589016492,6.834846364,9.215327395,12.02630394,8.7478253225,6.261818145,11.12925744,5.229406468,6.9302706035,7.514519035,5.29068023,7.345363384,5.677798027,5.801553978,10.09354338,6.528106825,5.1616151485,5.233822166,5.963942952,9.099052616,8.769293322,Control
8.5402300052,6.062214149,5.0931555565,6.64810992,5.567432314,5.780579955,8.962217233,5.197326058,6.2237080395,5.415666779,5.326799101,6.99904950733,7.910194676,8.695994791,4.714811949,9.970480225,5.446280443,6.1063090835,5.8300268945,10.54993411,8.718559525,6.084648569,7.9471266005,13.18229429,7.0536377325,6.603630517,5.59586093667,7.457013745,5.810386064,9.373507452,5.687908393,10.42395132,5.3791610015,6.4440675505,10.93731517,7.504801363,5.412113573,5.476714818,5.84249806275,5.494584616,5.776374632,5.200272115,6.060539901,5.543792467,5.841531388,5.588723066,8.411766376,7.2320908965,9.091145182,11.21616247,9.751713309,6.777719287,11.84647188,5.130324729,6.7706665135,6.850377908,5.0091304025,6.454345052,4.841735742,5.038053386,8.8794769,5.854002662,5.041888608,5.744774144,5.925412759,8.413650273,9.12926442,BRCA
8.5381748902,6.590366699,5.1821067405,7.022259953,6.100931012,6.153405728,9.238041109,5.342529189,6.8838399025,5.743764871,5.222467693,7.22409014567,7.22451093,9.927193184,5.377480603,9.266119565,5.1112105055,5.9247114275,6.557170721,10.03551433,8.716211674,5.779174922,8.852128455,13.03513077,7.37406127,5.770572224,5.10312416833,5.665201768,5.577437325,7.701135104,5.823119603,10.02243063,5.0492724515,8.118509425,11.89018267,7.095347239,5.673988298,5.357033992,5.56123223425,4.519748404,5.844869715,5.861342069,5.679488016,5.113218362,5.4400429355,5.028139516,8.557780662,7.6315761935,9.616108215,12.05151325,10.1207332755,7.098824623,12.28941816,5.234397132,6.982590593,6.989766657,5.375395078,5.743764871,5.040904755,5.10518698,9.242996091,5.69000583,4.9272180185,5.413806667,5.443615974,8.410834102,9.457525103,BRCA
8.3440081242,8.050339969,4.5491187455,8.564912682,5.646674804,8.643748998,8.813172827,4.649642211,5.8495123165,5.836246857,5.630093262,7.35939696733,8.641348343,9.274833037,4.342031665,9.382883972,5.298557779,5.923097401,5.929658509,7.873876433,6.194663913,5.4084174235,7.978764199,9.616503414,6.1559204335,6.742953157,5.64127889433,8.123579715,5.614644516,10.85319669,5.564234295,11.47374394,5.1441596575,6.303990273,10.84461576,6.757593772,6.203793958,4.976376524,8.147913393,5.219373048,5.614644516,4.904497645,6.488889022,4.864967766,5.3621893625,5.072332275,5.654644083,5.9946841285,8.706030693,11.45071911,9.6761316425,6.816347305,9.234794159,4.948613986,6.01779139,6.725676834,4.754459499,5.981059894,4.981180512,4.904497645,10.55561035,6.335440044,5.4155921825,5.544509535,5.46859248,8.093524689,7.40164993,BRCA
7.8220650316,6.47143593,5.0378674725,7.459003511,5.517599514,5.956063188,9.291090747,5.364932404,6.7759801765,5.808263565,5.528970731,6.99658925567,7.359993557,11.29154789,5.506693372,8.494986676,5.609278123,5.410974137,5.920545668,9.812803484,9.137478628,5.379819241,7.884541234,13.10298289,7.1148430665,6.240415109,5.60759746067,5.483018649,5.865554662,9.775841161,5.859479655,11.58069917,4.882252345,6.740968142,10.92031584,6.031721187,4.601155548,6.091811548,7.19551181575,4.607083101,5.281894103,6.007201809,6.190817922,5.1632701255,5.520568082,4.846005888,8.320508512,7.4208706425,9.515168153,11.60131362,10.5980063685,6.353195907,11.61805062,5.273526379,7.0861768335,6.986072764,5.05252071,5.859479655,5.273526379,4.918399651,10.31838495,5.757697518,5.2353643615,5.439466268,5.115211455,8.664234931,9.777124244,Control
7.8515227798,6.424171013,4.965573006,6.695997726,6.274732813,6.507997257,11.09023172,5.835425946,6.245092121,5.430796457,5.425183376,7.152575091,7.985615876,8.713129681,4.948613986,10.28274128,5.8506081515,5.897486223,5.87304746,8.050530436,7.163325442,5.286166152,9.7271422725,10.81594784,6.969180441,6.271841744,5.40751594967,8.097822936,5.39361462,9.138438926,6.089376987,11.72223985,5.0970489625,7.6464704015,11.30129057,7.433086984,5.455665247,8.270226548,6.10094608225,5.352274105,5.221694654,5.287261033,6.337091664,5.0189983305,5.724689425,5.686368332,7.481882409,7.355927097,9.690059592,10.5650833,9.0682075815,6.83687446,10.9270559,5.391468086,7.471796476,7.008487799,5.0853477355,5.167931151,5.241850906,4.920187583,11.19831015,5.531234258,5.3230765195,5.886008211,5.508596024,8.797321986,8.946263807,BRCA
8.4585073162,7.861042112,5.058433046,7.517947124,5.970169897,5.411944154,9.540709807,4.854508448,6.103163209,5.303973626,5.622938584,6.69351571733,7.921991334,8.780376645,5.408721412,10.27274674,5.349190508,5.867366683,5.787482428,10.51195055,7.703490296,5.5590900495,7.7737994165,12.68048706,6.8642442865,6.627610941,5.48548137333,5.561105567,5.495064524,7.693210109,6.472573571,11.39154181,5.4576375785,6.946083848,10.6623838,6.579395613,5.696975347,5.149555339,5.74493773925,5.32446073,5.871604195,5.246228736,6.152087694,5.511947247,5.267633249,5.787909903,8.144506733,6.854213905,9.835174498,12.30758799,9.8389993355,7.252526182,12.50386679,6.009890885,7.009118688,7.439251456,5.0539765205,5.856743757,5.542111953,4.963487128,8.197955209,6.129803967,5.4861945155,5.438884356,5.748737112,8.595333135,8.840700143,BRCA
8.288257174,7.842619252,5.434572367,6.949129628,6.427778475,5.564234295,8.524229367,5.083225336,6.7075594515,6.086619917,5.732683853,7.08445452033,9.177744123,10.32073319,5.404469963,10.23384167,5.2480871525,5.80432452,6.076693959,10.19503414,10.38874414,6.592045787,9.678145087,12.63275562,6.946759454,6.520348088,5.56133875533,5.606154407,5.263890047,9.263915348,6.264916969,10.52031448,4.9864844825,6.944785774,11.55806922,6.260313286,5.656361397,4.310896376,6.03568038575,4.541969328,5.507882823,5.224977213,5.967866753,5.4108585,5.277469767,4.990967619,8.442664802,7.015102427,9.678182465,11.8471671,11.42485272,7.013967798,12.8865864,4.990967619,6.307228857,8.410834102,5.285938956,8.159670966,4.547045185,5.787779337,10.39480059,5.58030474,4.942571063,5.944279407,4.851888002,8.640788217,9.60410892,BRCA
8.440843213,7.121484628,5.0326773865,7.158612528,5.532793245,6.008659014,10.8133766,4.32324994,6.98524815,5.451879748,5.291135005,7.098297964,7.408841599,8.809238474,5.321036278,9.258413586,5.30970877,5.826151982,6.071991055,10.55403266,9.113990271,5.938127412,9.0197711345,13.33171827,6.9211902895,6.475656937,5.494171808,7.302321621,5.664419727,9.997137528,5.981059894,11.36117359,5.3912241155,8.4735709515,11.13168997,6.677582676,5.686228245,5.538857248,6.448757564,4.124871089,5.574564199,5.555211263,5.955133321,5.254808295,5.087437039,5.432467779,8.977681421,7.5001673765,9.684643931,12.07353083,10.7955408295,6.898090799,11.97837451,5.328415757,6.537252681,7.388450298,4.572415694,5.535906174,5.255511354,4.549507972,10.23019795,5.620081415,5.330975331,5.406852318,5.709849771,8.920353693,9.793587511,Control
8.5004139464,7.506131263,5.2168619935,7.435526765,5.939585825,6.335440044,8.307076831,5.346257748,8.387466747,5.457225929,5.593287468,6.51716888933,8.031385719,9.841556928,5.100463921,9.087993892,5.732924301,5.7394451015,5.868488434,11.35660343,8.737501821,6.0505347045,8.1763049215,14.08516788,7.057542725,6.140477679,5.51675636433,6.757893739,5.485435883,8.936918446,6.289378595,10.98307218,5.477321663,8.162332147,10.5503671,6.185822575,5.457225929,4.773747658,5.42614437,4.542585892,5.422074229,4.642152489,6.252481536,5.295894453,5.5021896915,5.968097233,9.731803154,8.1707764385,9.650594552,13.074006,10.3479422995,6.502239591,12.97619003,5.6098519,6.300763877,8.118657079,4.929419167,5.702942321,5.249645622,4.963024656,9.374290255,5.836309985,4.572181593,5.788040457,5.972239586,8.408500779,9.41509797,Control
8.4106566408,7.780213504,5.3721938995,7.982196629,5.652064272,6.805554052,10.70965705,5.172738766,8.61153377,5.507962085,5.463533568,7.447061762,7.804520085,8.731659403,5.481404906,10.40449794,5.3507176935,6.238366589,5.9557668195,8.628446565,7.023674317,5.141764623,7.101106939,11.17659722,6.3752950245,7.349106756,5.425696196,5.619861398,5.545359333,8.856706512,5.619861398,10.56788744,4.674861496,6.523048183,11.03869289,6.957163362,5.88722747,5.325000691,5.5788510345,4.081589455,5.790779367,5.354567863,7.119696279,5.0142821485,5.40722417,5.831124321,9.417336261,7.705755231,8.330638085,12.32769025,8.159371112,5.718369332,10.97440404,5.580003175,6.541109169,9.537335445,5.1603119275,6.167423791,5.109999067,5.149758548,8.657212253,5.511287161,5.115486711,5.317422789,5.36790503,9.316316114,9.117877553,BRCA
