@relation data

@attribute 10026 numeric
@attribute 128869 numeric
@attribute 23556 numeric
@attribute 2822 numeric
@attribute 284098 numeric
@attribute 51227 numeric
@attribute 51604 numeric
@attribute 5277 numeric
@attribute 5279 numeric
@attribute 5281 numeric
@attribute 5283 numeric
@attribute 54872 numeric
@attribute 54965 numeric
@attribute 55650 numeric
@attribute 80055 numeric
@attribute 80235 numeric
@attribute 84720 numeric
@attribute 84992 numeric
@attribute 8733 numeric
@attribute 8818 numeric
@attribute 9091 numeric
@attribute 93183 numeric
@attribute 94005 numeric
@attribute 9487 numeric
@attribute 9488 numeric
@attribute Class {Control,BRCA}

@data
8.50735971,9.121676695,8.04412636667,6.234638318,6.5707902115,8.53700730633,11.12925744,7.23981939967,9.765775267,8.02381491,7.753135041,7.994411603,6.945564178,8.603108073,7.163400925,7.714556565,7.74421843133,11.71457622,10.59188254,7.74125349,9.645469809,8.092415088,9.930146364,6.720624337,9.137978063,Control
8.510013578,9.309829381,8.188698413,5.5398075445,6.112441681,8.53218335567,11.21084804,7.21996035467,9.67619169,8.330781039,7.739039878,8.014705553,7.917015651,9.261978018,6.060593939,8.174028243,8.221467157,11.92978186,10.74490974,7.837934361,10.14362273,8.676883662,9.57720274,7.186191325,8.92187152,BRCA
8.696325232,8.891541557,8.562166494,5.5127772445,5.948971675,8.81441805167,11.02231599,7.03462703267,10.180638838,8.1715336145,8.131292534,8.45875635,6.488286537,8.916380445,6.661354578,7.353634535,8.40787930533,11.94479817,10.84372503,7.9716527945,10.30105061,8.915133289,10.06098671,6.728366549,9.153704732,BRCA
7.761885482,10.04754695,8.26649326133,5.8448790145,5.5354118945,8.44343975767,10.84346202,7.22662152233,9.1047993305,8.0447451285,7.223521802,8.196443679,8.789559014,9.531518473,6.708398067,8.373899518,7.96111261433,11.49682397,10.47705018,7.9512470805,10.8441842,8.93233371,10.2060898,6.988744679,8.496405549,Control
8.440932608,8.649131418,7.990375378,5.608287503,6.5373853955,8.40450294767,11.08650467,7.28404884667,9.8537962525,8.2508985355,7.961205305,8.359970367,7.581880569,9.406960242,6.90286083,7.865673157,8.113463477,12.10010062,10.50280226,7.72238319,9.563425638,9.272916152,9.681155435,6.533295173,8.743918095,BRCA
8.568812243,8.269104612,8.615202493,5.9496552855,6.9443124995,7.98527750033,11.29699664,7.87103496167,10.024405336,7.80889912,8.34478537,8.525208673,6.552827093,9.185012371,6.872247394,6.668073461,8.18427990433,11.9744837,11.16790123,7.8602774115,10.49616,8.42512265,10.01166444,6.96578753,9.144085336,BRCA
7.043358518,10.55708099,8.84299203433,5.514480122,5.1378638975,7.586830405,10.79848418,7.50492171633,8.9320808535,7.2547566775,6.11442494,7.963475749,9.124600272,9.515010415,5.865430938,7.66206505,7.180469508,10.84047132,9.487297979,8.487118189,11.05496734,7.765039273,9.334698502,6.86505622,7.067706269,BRCA
9.168052243,8.849890707,8.30212877267,5.3709100885,6.1255573745,8.630745103,11.45478009,7.00033662133,10.4598789235,8.408379753,8.07320585,8.111528412,6.787155314,9.4362072,6.570846646,7.317709093,7.86289947167,12.04910329,10.06684974,7.908429577,10.26670197,7.852500054,9.409964254,6.560413565,9.45882753,Control
8.736318314,8.62348019,8.31309122367,4.915996065,6.6350246845,8.80522187433,10.93329621,7.16106509733,10.457989949,8.503306651,8.022452603,8.354404912,6.976309571,9.177899811,6.672888927,7.648215777,7.99187695633,12.39966386,10.86526952,8.139125384,10.46596965,9.222928376,10.1655983,6.093766806,9.195151403,BRCA
8.454896737,9.3680432,7.991635597,6.661747409,6.0213591505,8.50294587267,11.15055986,6.83094407133,9.7219680125,8.071036546,7.921991334,8.327284429,8.089451971,9.165611215,7.021260744,7.781525491,7.98655184433,11.68503795,10.77919838,8.0937199085,10.62399145,9.097940678,10.2453926,6.554439682,8.930930318,BRCA
7.841440318,9.119292054,7.74806483233,5.700322496,6.192690901,8.12167257967,11.85143099,6.93625798433,9.8945986145,8.407470318,7.887922939,8.24541143,7.693802512,8.925377244,6.29205067,8.398680773,8.154577987,11.45279735,11.05191093,8.086340055,10.68360899,8.657551696,9.741079768,6.702730691,8.411575733,BRCA
8.912680643,8.796235248,8.13370422633,5.6358884485,6.428837461,9.04907150067,11.16381336,7.19481161767,10.1798955705,8.417848444,8.033617263,8.73509998,7.170979399,9.116857992,7.00745097,7.784374949,8.245733889,12.12322914,10.37700472,7.8461107455,10.19970336,8.594232333,9.574726497,6.630380442,9.44114996,Control
9.373311685,8.829295511,8.117242463,6.24793894,6.27128643,8.84107549867,11.30129057,7.203563562,9.9943478075,8.2728929735,7.743489933,8.51852641,6.479138081,8.940975048,6.931450009,8.609567645,7.877366453,12.07175489,10.6149769,7.776047217,10.63162297,8.724318688,10.10864243,6.922498552,9.294196335,Control
