@relation data

@attribute id string
@attribute 10197 numeric
@attribute 10437 numeric
@attribute 1385 numeric
@attribute 1508 numeric
@attribute 1514 numeric
@attribute 1520 numeric
@attribute 2923 numeric
@attribute 3105 numeric
@attribute 3106 numeric
@attribute 3107 numeric
@attribute 3108 numeric
@attribute 3109 numeric
@attribute 3111 numeric
@attribute 3112 numeric
@attribute 3113 numeric
@attribute 3115 numeric
@attribute 3117 numeric
@attribute 3119 numeric
@attribute 3122 numeric
@attribute 3123 numeric
@attribute 3133 numeric
@attribute 3134 numeric
@attribute 3135 numeric
@attribute 3303 numeric
@attribute 3304 numeric
@attribute 3305 numeric
@attribute 3306 numeric
@attribute 3308 numeric
@attribute 3309 numeric
@attribute 3310 numeric
@attribute 3320 numeric
@attribute 3458 numeric
@attribute 3805 numeric
@attribute 3812 numeric
@attribute 3823 numeric
@attribute 3824 numeric
@attribute 4261 numeric
@attribute 4800 numeric
@attribute 4801 numeric
@attribute 4802 numeric
@attribute 567 numeric
@attribute 5720 numeric
@attribute 5993 numeric
@attribute 5994 numeric
@attribute 6890 numeric
@attribute 6891 numeric
@attribute 6892 numeric
@attribute 7124 numeric
@attribute 811 numeric
@attribute 821 numeric
@attribute 8625 numeric
@attribute 920 numeric
@attribute 925 numeric
@attribute 926 numeric
@attribute 972 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,1.7593188546,0.8452148340,0.3960468965,0.9411051525,1.1087656209,0.1629681584,1.4069550224,1.6537600474,1.3405720888,2.1069503623,0.0626108013,-0.0021598573,-0.0444646151,0.1910638078,0.0322430879,0.0734804541,-0.0575062146,-0.1060773984,-0.1346518659,-0.0876011369,1.1231825212,0.2924461898,0.3239665159,2.9697711170,1.7846097918,-0.0071032289,0.4555979681,1.6106662863,1.3437435329,0.0636480931,3.7246808213,-0.1502639149,-0.1709275341,-0.0607703884,-0.1557643050,-0.1101566781,-0.1057172362,0.3192628647,0.7529475113,0.5126260101,1.7066748172,1.9308002658,1.2133226274,0.4089852928,1.0794833005,0.6327117811,0.5768582904,-0.0286056817,1.9767761031,2.2184926470,0.5124300121,-0.1204670775,-0.0480929209,-0.1294551434,0.0223986725,BRCA
GSM480985,1.0737894159,1.0726993380,0.2730189453,1.5770175770,0.7972431890,0.7136214170,1.4568618787,2.4575460184,2.4352716603,3.1083826223,0.6915450320,0.1251381343,-0.0231436351,0.2698293427,-0.0650405677,0.0428558186,-0.1290383934,0.1628512691,0.0374173649,-0.1197701725,1.8947312062,0.9323109125,0.4446605109,3.1069582999,2.0404402000,0.0544814206,0.6992694347,1.1433990386,1.7148520948,0.0881125467,3.8482525347,-0.1919777421,-0.1677823680,-0.0707471493,-0.1736406832,0.0011808020,-0.0892143797,0.1741973036,1.3901590273,0.4555670373,2.2545238521,2.0249512593,1.3116177902,0.3878419484,1.4393866136,0.3256542231,0.8987258961,0.0503361004,2.3356797743,2.2574458645,0.4830309108,-0.0646950120,-0.0884987430,-0.1462289999,0.2682488645,BRCA
GSM480986,1.8491583764,0.7794358033,0.3807973232,1.4858362991,1.2153582944,0.2504070161,1.4593290027,2.0518530268,1.2703523437,2.4764992397,0.4945947789,0.1963292633,0.0140152021,0.2892794812,-0.0956911196,0.1620062226,-0.1481252838,0.1136571739,-0.0432058185,-0.1058928922,1.4104321598,0.3907815265,0.4288124712,3.0790505111,1.9584478553,0.0013618719,0.8233810456,1.5683037750,1.4107512236,0.0197932966,3.6994577250,-0.1827084002,-0.1811368391,-0.0240202736,-0.1205730890,-0.0314933395,-0.0682876390,0.2375855381,0.6838605367,0.4840310794,1.6450680888,1.9915900364,1.5782780388,0.2413423070,1.4265306740,0.5392768257,0.7190671073,-0.0117659394,2.1202563883,2.1939437280,0.5215375946,-0.0579067368,-0.0300618196,-0.0785622794,0.1425747226,BRCA
GSM480987,1.7688858435,0.4551194857,0.2020458693,1.8548068975,2.4482087120,0.0078317968,1.1068538898,1.5371368601,0.6320671228,1.8324638603,0.0661166904,0.1146925516,-0.0216950949,-0.0708309157,0.1852427243,0.2594022517,-0.1046273241,-0.1178809743,-0.1097697392,-0.1023941331,1.4748642164,0.0766551047,0.2709267356,2.8797291519,1.6363823860,0.0847624176,0.8027994977,1.5509941066,2.1148679256,0.0891156542,3.8704057537,-0.0920013336,-0.1851898127,-0.0118740331,-0.1538469326,-0.0158892594,-0.0641573651,0.3032193462,0.5394896361,0.3864741830,1.7874305205,1.8858662712,1.4693110358,0.2664730561,1.1407036446,0.3714142816,0.5858492923,-0.0407701192,2.0685987108,2.3793313574,0.2989096445,-0.1082901696,-0.0132302226,-0.0993839056,-0.0256328082,BRCA
GSM480988,1.8225000948,0.6200338057,0.2373043370,1.2302137000,0.5724089941,0.2853974567,1.5577739948,1.8993243343,1.3362236422,2.2586958013,0.4122418322,0.0454927820,0.0066495671,0.2402783686,-0.0805971442,0.0238832242,-0.0136553543,-0.0180359739,-0.1178864969,-0.0838345339,1.0490108484,0.2393908122,0.3191216097,3.0691732914,0.9329245273,0.1092327345,1.0987868772,1.3337931840,1.9312407853,0.0164984320,3.7638259730,-0.1157230785,-0.1670038421,-0.0502397537,-0.1342143835,-0.0465752083,-0.0311951002,0.1849439857,0.4321823335,0.3691212549,1.4467981017,1.9116452998,1.6903656129,0.3992458859,1.7345908060,0.4068267665,0.5794530799,0.0001304974,2.0855021606,2.0492791145,0.2341585179,-0.0813145423,-0.1150906629,-0.0891134516,0.0746478193,BRCA
GSM480989,1.9073935897,1.0975765490,0.1316228062,1.8922351581,0.7887181625,0.3369124245,1.3642723748,2.3293326482,1.6630823217,3.0372506777,0.8770841099,0.1130909237,-0.0627682461,0.5084585080,-0.0473541224,0.0141822898,-0.0902577417,0.2084253303,-0.1505416402,0.0919470743,1.7113409392,0.3886206459,0.4232647989,3.3498574794,2.0035465757,0.0953085466,1.2457128407,0.8309529865,1.4224224628,0.0795537012,3.6763444743,-0.2689341306,-0.1933943856,0.0210698834,-0.2911053132,-0.0271696066,-0.0396731464,0.1343519358,0.2283400925,0.4686470246,1.4996691811,2.4617627858,1.4498804947,0.1423048574,1.6393108814,0.3937741132,0.9253326315,-0.0217998318,2.6896760001,1.9101020234,0.5993849543,-0.0625123944,-0.1193337496,-0.0522587583,0.0937890115,BRCA
GSM480990,1.9044463635,0.8273210923,0.1244135859,2.1320328243,1.1117833592,0.0180568368,0.9842895301,2.1450957076,0.6589503208,1.9529268740,0.1208910512,0.1960860100,0.0098015560,0.0771852141,0.0482923948,0.1855409761,-0.0054088302,-0.0469217674,0.0769794038,0.0021974898,1.5506209451,0.2228912147,0.5529283491,3.3278006017,2.2106347414,-0.0515089416,0.6718396539,1.5197182931,1.1399651318,-0.0107263610,4.0356965860,-0.1534946757,-0.1573350882,0.0692344261,-0.1202639179,-0.1040510756,-0.1339479469,0.1806961899,0.3564559263,0.4957627628,1.0134730950,1.7466791339,1.6092557097,0.0202610471,1.6628698000,0.3717573312,0.8734051656,-0.0152148257,2.2032395589,2.0418515467,0.4528877960,-0.0763895354,-0.0524672205,-0.0772161086,0.1848716456,Control
GSM480991,1.7922020852,1.1079226533,0.1756075131,1.9452381165,0.9815350211,0.4148792883,1.3944124172,2.4425219173,1.6814781328,2.7070651850,0.8700902536,0.2280225680,-0.0335729512,0.2943344935,0.0232491174,0.0698537100,-0.0889617601,0.7456210894,-0.0470037273,0.0457426893,1.8251722632,0.4402090488,0.4654662125,3.2851191164,2.1332542748,0.0895354379,0.8998768803,1.2276671123,1.3146805762,0.0308038716,3.8149829707,-0.1411837970,-0.1926721820,0.0261982086,-0.1669305880,-0.0208668880,-0.0853008362,0.2113286596,0.4927389833,0.4514043123,1.6864060450,2.1818544863,1.5547995896,0.1299209389,1.8520574570,0.5574121033,0.9398106520,0.1726690396,2.2356395307,2.0410270457,0.5110147574,-0.0782935824,-0.0360897136,-0.0783442961,0.2758787877,Control
GSM480992,1.9878609218,1.3054566183,0.1568766059,1.6074999379,0.6114042641,0.0405047584,1.1541444032,2.0768291049,0.8279471597,2.0167463620,0.3343284855,0.1347692112,0.0117455605,0.1602105837,0.0454827089,-0.0322465841,-0.0244123454,-0.0797030918,-0.0839464270,-0.0198893765,1.5038647161,0.3282676265,0.3809352829,3.4385763109,2.3896104942,0.0592270871,0.7089384481,1.2416755345,0.9087282598,0.0500175453,3.8272416590,-0.1471509594,-0.1654000706,-0.0251651127,-0.1865263585,-0.0550066709,-0.0442688729,0.0966037164,0.1821091868,0.4918168894,0.8879585187,2.2309278118,1.4332472622,0.0306079235,1.6524087339,0.4947423692,0.9394454199,-0.0538811761,2.3307807697,1.7407998750,0.5441206414,-0.0207560157,-0.0394278675,-0.0389066301,0.1029967704,Control
GSM480993,1.8616356552,1.2099726793,0.2239596708,1.4200339525,0.8980644234,0.3842712446,1.3653207704,2.2138408538,1.6431057453,2.7194665273,0.5518651867,0.0842804099,-0.0596483520,0.2476261285,0.1215528380,0.1667407294,-0.0892533154,0.9970571118,-0.0267558961,-0.0672223516,1.5650096220,0.4914898902,0.5762706393,3.1655949354,2.1218675299,0.2261703166,0.9498438941,1.3052179226,1.5506032942,-0.0929784321,3.7825589180,-0.1658804081,-0.1648529066,-0.0217197123,-0.1951822806,-0.0790436161,-0.0527511586,0.1803641666,0.3841329458,0.4871381997,1.7298643403,2.3526830144,1.5998766628,0.2930559434,1.6326931603,0.6116601538,0.8566184349,-0.0270253466,2.5175289595,2.0684187575,0.5030157463,-0.0625347915,-0.0681744929,-0.0773493846,0.3328856269,Control
