@relation data

@attribute id string
@attribute 10062 numeric
@attribute 10498 numeric
@attribute 10499 numeric
@attribute 116519 numeric
@attribute 123 numeric
@attribute 1374 numeric
@attribute 1376 numeric
@attribute 1387 numeric
@attribute 1579 numeric
@attribute 1581 numeric
@attribute 183 numeric
@attribute 19 numeric
@attribute 1962 numeric
@attribute 2167 numeric
@attribute 2180 numeric
@attribute 2194 numeric
@attribute 23054 numeric
@attribute 23309 numeric
@attribute 25942 numeric
@attribute 31 numeric
@attribute 335 numeric
@attribute 336 numeric
@attribute 34 numeric
@attribute 376497 numeric
@attribute 3992 numeric
@attribute 4023 numeric
@attribute 4199 numeric
@attribute 4547 numeric
@attribute 51 numeric
@attribute 51129 numeric
@attribute 5244 numeric
@attribute 5346 numeric
@attribute 5360 numeric
@attribute 5465 numeric
@attribute 5469 numeric
@attribute 6256 numeric
@attribute 6319 numeric
@attribute 6342 numeric
@attribute 6514 numeric
@attribute 6555 numeric
@attribute 6604 numeric
@attribute 6720 numeric
@attribute 6822 numeric
@attribute 6907 numeric
@attribute 7350 numeric
@attribute 7363 numeric
@attribute 79718 numeric
@attribute 80205 numeric
@attribute 8202 numeric
@attribute 85441 numeric
@attribute 8648 numeric
@attribute 8694 numeric
@attribute 8800 numeric
@attribute 8841 numeric
@attribute 9415 numeric
@attribute 948 numeric
@attribute 9611 numeric
@attribute 9612 numeric
@attribute 96764 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,0.0679556582,2.1342009172,-0.0444843287,-0.0758548406,2.7552233006,0.9882885427,0.4807521223,0.6553813652,0.0063906746,-0.1030535959,-0.1120901046,0.1331653556,0.2505638963,-0.1236206743,0.5504470655,-0.1038044322,0.6138703866,0.6613549396,1.0394519237,0.2509364644,0.0666437114,-0.1113032559,0.4754629302,0.9820606311,1.1899177830,-0.1117923361,0.2891621975,0.0375306459,0.7942225787,0.6529434972,-0.0772177679,-0.1401663480,1.1751419604,0.0811142552,0.4483436473,0.9204617303,2.9862534720,0.7953496452,-0.1759816651,-0.0148101484,1.5366053880,0.2546903614,-0.1615976435,0.4150053476,-0.1315885359,-0.2121124591,0.4894288099,-0.0047014708,0.3435558803,-0.0343054325,0.2203711216,0.3582487902,0.0236540090,0.6625436882,0.2991206026,-0.0639162206,0.2552432971,0.6874854405,0.3336101404,BRCA
GSM481003,0.0939167341,2.5189710987,-0.0560191052,-0.0975412421,1.8955519597,0.7344680382,0.3616421534,0.6896365619,-0.0347747363,-0.1392633299,0.1677330759,0.0944818215,0.1019095926,-0.0812888356,0.6048027216,-0.0542369777,0.7673776595,0.7627264538,0.7236623586,0.2049212657,1.0870792727,-0.0864052675,0.4304200546,0.9431015054,0.7050792563,-0.1283536547,0.4446667564,0.1511335779,0.5687061689,0.8132932355,-0.0767863501,-0.1103184608,1.5409008935,-0.0336124844,0.2599448327,0.8595386953,2.5842301968,0.6196606711,-0.1847200774,0.0499008701,1.7105042935,0.3648779830,-0.1146992834,0.3395481104,-0.0986317885,-0.1256563828,0.4288471439,-0.0439189404,0.2293424922,0.0338237678,0.1240839924,0.6715540390,0.0380946931,0.6515898791,0.0893027258,-0.0715040995,0.1334774700,0.7163258048,0.2050871275,BRCA
GSM481004,0.2374550350,2.3119915856,-0.0942080384,-0.1111421983,3.4504239294,0.8399013131,0.4839841908,0.7104525116,-0.0089214040,-0.1183594408,-0.0217560859,0.2429146853,0.0615678967,-0.0623125148,0.7153210319,-0.0229330522,0.8437994966,0.7920698139,1.0198948979,0.2336806176,0.5311889070,-0.0798912379,0.3596199945,1.0010576977,1.4445512368,-0.0806917530,0.5494453705,0.0351829131,0.5448857079,0.6758000027,-0.0950680129,-0.0915370011,2.0135303325,0.1161531197,0.2862602367,1.2359945222,3.0887552315,0.6138951894,-0.1426593660,-0.0411641283,1.6832448021,0.4569973332,-0.1352525596,0.3929890448,-0.1399220474,-0.1349669725,0.4365807045,-0.0433269183,0.2723151249,-0.0518080616,0.1830052385,0.6179478368,0.0203841353,0.7827821134,0.3042791786,-0.0965311680,0.2267847681,0.6584890430,0.2753581789,BRCA
GSM481005,0.1229930610,1.8005984227,-0.0464020735,-0.1188146544,2.3617155288,0.8432476462,0.3635529188,0.6607257612,-0.0909896149,-0.1279284892,-0.0178412233,0.3124521105,0.1532871830,-0.0977153768,0.7069192415,-0.1464191222,0.6449214037,0.8887173449,0.9559358722,0.2023640250,-0.1191916900,-0.0492537196,0.7020193695,0.9294287893,0.7180544665,-0.1087241627,0.3029874787,-0.1449800889,0.8575256561,1.1537514592,-0.1081239845,-0.1316651307,0.8815395041,0.0135936726,0.4605513912,1.0320280119,2.3896827800,1.2087476185,-0.1333741046,-0.0361730398,1.7792323529,0.2857845285,-0.1552392772,0.2431176288,-0.1024195010,-0.1150697751,0.5871366012,0.0580464449,0.5828735784,-0.0803778509,0.1669348318,0.3787719976,0.1028442792,0.8078041228,0.0638231831,0.0500329547,0.2784591393,0.6896472373,0.4908531085,BRCA
GSM481006,0.2433422953,2.1793656349,-0.0229638007,-0.1232563754,2.7217666706,0.8560396330,0.2395267150,0.4717476930,-0.0798972317,-0.1062638571,0.1622340593,0.2663775892,-0.0091416504,-0.0519849439,0.6686341315,-0.1604232449,0.5784982590,1.1464117022,1.0502465267,0.1110831791,0.1986684730,-0.0355677407,0.6950991573,0.8659147886,1.4688349665,-0.0739018210,0.3427406615,-0.0345674921,0.8793326621,0.5928666095,-0.1048684332,-0.1031707862,1.2568418514,0.0575395885,0.3869081511,0.9341763254,3.0932919420,1.1400382028,-0.1606435776,-0.0112822313,1.9788137525,0.2591457557,-0.1591103327,0.4455611734,-0.1375326610,-0.0919221442,0.6275228683,0.0654234798,0.5056926487,0.0141262189,0.2482903931,0.3419248642,0.0613120737,0.6549511686,0.2474691574,-0.1116888564,0.3546992336,0.7054856620,0.4685186060,BRCA
GSM481007,0.3503816303,2.5048043992,-0.0913952285,-0.1057188789,1.8987979623,0.3507803643,0.2018490715,0.6012359342,-0.0249337369,-0.0845425805,0.5141294134,0.2421041307,-0.0824301871,-0.0574636290,0.3770829265,-0.0638570730,0.8395660593,1.0611024992,0.6311931577,0.1825923061,0.6184876531,-0.0493517761,0.8405222045,0.7502260771,1.6818260053,-0.0732098790,0.5883744342,-0.0766830746,0.6388246096,0.0455421128,-0.1523085143,-0.1658393608,1.5723337384,0.0524622256,0.3350658032,0.8169288688,3.1998956650,0.9016285416,-0.1876361217,0.0389738131,2.4475107789,0.4599773816,-0.1001286145,0.3591099725,-0.0892690666,-0.0882182437,0.6496708852,0.0428613765,0.2806929290,0.0207702663,0.1400553527,0.9355845686,-0.0442623789,0.7129076130,0.5275154506,-0.0562751821,0.2477219035,0.6862365284,0.1941271768,BRCA
GSM481008,0.5146495854,2.2536927859,-0.0213399603,-0.1157443619,1.1473088231,0.5090410097,0.2849969615,0.6167750674,-0.1333054129,-0.1341327794,-0.0906978261,0.3733933531,0.0738928081,-0.1120254682,0.5056613719,-0.0683338992,0.8660465673,0.5846803610,1.3233740130,0.2898866295,-0.0504092346,-0.0630495302,0.7779287658,0.6919619276,1.4291166563,-0.0517943256,0.5449007348,-0.0786505534,0.3480577841,0.7257725511,-0.0851385501,-0.0478172387,1.9708515591,0.0173403844,0.5888522878,1.1870108308,2.9196131359,0.5435174616,-0.1729283276,-0.0523031238,1.0012991278,0.5934099981,-0.0266525214,0.3906696997,0.0275655856,-0.1635736044,0.4876532515,0.0006258664,0.3181488231,0.0674872312,0.2185854150,0.7415980210,-0.0435531484,0.7612597543,0.1723544168,-0.0258508692,0.4109001369,0.7017897840,0.5293904219,Control
GSM481009,-0.1071274894,1.6053765151,-0.1013433311,-0.2545611124,2.3953167464,0.7162814163,0.0780807681,0.5215228253,-0.0138560049,-0.0770162962,0.1032766087,0.2472652213,-0.0799766013,-0.1187795873,0.3376999679,-0.2502843386,0.4247915602,0.3538302552,0.7923640576,0.1241208093,-0.2319907978,-0.0125159532,0.9706303440,0.2404089886,0.6646279186,-0.0520099834,0.4102416003,-0.1158522250,0.6665760218,-0.0910033109,-0.0955275001,-0.2099126680,1.1974636586,-0.0757152603,0.2705595644,0.6041149985,2.7987190280,1.0387541826,-0.2322168130,-0.1026914186,1.1929976046,0.1851172895,-0.2232153600,0.1705908069,-0.2331624038,-0.1308127437,0.6343395692,-0.0134726361,0.3561174016,-0.1493594053,0.1193322962,-0.0721708867,0.0095148552,0.3790128891,-0.0191364873,-0.0695099781,0.2500773932,0.4083086616,0.3855546791,Control
GSM481010,0.1561175644,1.7102371718,-0.0095959640,-0.0746534282,3.1992564201,0.7453469637,0.4205025202,0.6855350051,-0.0935490101,-0.1121586697,-0.1275365269,0.2215137149,0.2136401419,-0.1057960295,0.5770887419,-0.1378316058,0.4933799449,0.7227308966,0.9011998373,0.2685949191,0.7874044630,-0.0951081980,0.7105358574,0.8316907917,0.9455032499,-0.1318852761,0.6946487114,-0.0417793510,0.7501806079,1.1653646205,-0.0661620211,-0.0777873934,1.2114929221,0.0166037419,0.5331177983,0.9438281523,2.9047927204,1.2021017741,-0.1231662354,-0.0717750007,1.6063725575,0.1534143447,-0.1272155344,0.5391741409,-0.1314075096,-0.1056606520,0.6549874236,0.0926153903,0.4222894315,0.0226093765,0.3103599036,0.3704159102,-0.0088249837,0.7826129434,0.1616734099,-0.0988731951,0.2427048411,0.7349074932,0.5283968191,Control
GSM481011,0.1678060964,2.7984124820,-0.0979736023,-0.1276972845,1.5227104491,0.8115627029,0.3113163992,0.4229259233,0.0162686964,-0.0867794139,-0.0954623277,0.0677180698,-0.0053312622,-0.1229056448,0.3353112991,-0.1005235003,0.6151787956,1.1532552627,0.6977597988,0.1032028885,-0.0657874784,-0.0249242675,0.4515731000,1.0127481553,0.9372655344,-0.0697190603,0.2559191646,0.0214106450,0.3662979665,0.4756281859,-0.1218963774,-0.0933334716,1.3931668224,-0.0444032069,0.2163122512,1.0993553696,2.4583369390,0.5541670048,-0.1369910271,0.0263808413,2.2511719168,0.4179728462,-0.1624750384,0.2032955504,-0.0898335479,-0.1457992264,0.3856761944,-0.0072110411,0.2929815436,0.0001293153,0.0813263724,0.6725537887,-0.1445628977,0.7212472755,0.3925721400,-0.0505232476,0.1484072971,0.6455582645,0.0879836981,Control
