@relation data

@attribute id string
@attribute 2271 numeric
@attribute 3418 numeric
@attribute 4190 numeric
@attribute 4967 numeric
@attribute 50 numeric
@attribute 8803 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,0.5324431879,1.0037058204,1.0054841208,0.1014964005,0.3759324820,0.9821933891,BRCA
GSM481003,0.4616179247,1.3177307136,0.7425117001,0.0486644649,0.6135344431,0.6218352873,BRCA
GSM481004,0.5073901220,1.0098025477,0.8906614674,0.0970933052,0.7736434831,0.6679735491,BRCA
GSM481005,0.4823140474,1.1721289531,0.9517489068,0.0370098016,0.4777990756,1.3904672946,BRCA
GSM481006,0.3958208592,1.1659828099,0.8589297873,0.0995135659,0.3651815681,0.9786211103,BRCA
GSM481007,0.2959614441,0.6159584747,0.9681255544,0.0487666074,0.5757690874,0.9402327921,BRCA
GSM481008,0.3801271811,1.1073818021,0.7757612466,0.0648288636,0.5987889321,0.9039854876,Control
GSM481009,0.2177427286,0.6504592499,0.6164813905,-0.0086393547,-0.0244834540,1.1293141990,Control
GSM481010,0.6539538513,1.1222084975,1.1865821532,0.0751152021,0.5344473644,1.6088742484,Control
GSM481011,0.3698542246,1.2732929057,0.8549612272,0.0559968131,0.6581265536,0.9991618734,Control
GSM481012,0.5568185860,0.8206896878,1.0001970939,0.0571462818,0.5882214421,1.2403377697,Control
GSM481013,0.3839501046,1.2048283536,0.7719396200,0.0775297967,0.6361152459,1.2792504781,Control
GSM481014,0.3960134049,0.5031085218,0.7243818866,-0.0034482348,0.5889499150,1.4106350551,BRCA
GSM481015,0.3911497698,1.3800851350,0.5499048316,0.0461188119,0.6663929214,1.0303996460,BRCA
GSM481016,0.6772721386,0.8550187618,1.0478265621,0.0467986329,0.6191795991,1.0931820317,BRCA
GSM481017,0.7622158492,0.5368098838,1.2999086304,0.0481849307,0.1582744271,2.0119744836,BRCA
GSM481018,0.4938413684,1.0268964157,0.4907861279,0.0252282901,0.4415660826,0.4409033953,BRCA
GSM481019,0.6506899484,0.8292187588,1.2344733681,0.0766763039,0.6794707522,1.5676984126,BRCA
