@relation data

@attribute 9365 numeric
@attribute 26281 numeric
@attribute 10818 numeric
@attribute 2254 numeric
@attribute 2253 numeric
@attribute 867 numeric
@attribute 2252 numeric
@attribute 2251 numeric
@attribute 2250 numeric
@attribute 8074 numeric
@attribute 8817 numeric
@attribute 2248 numeric
@attribute 2249 numeric
@attribute 2246 numeric
@attribute 2247 numeric
@attribute 27006 numeric
@attribute 2263 numeric
@attribute 2264 numeric
@attribute 2261 numeric
@attribute 2260 numeric
@attribute 8822 numeric
@attribute 8823 numeric
@attribute 2255 numeric
@attribute 2885 numeric
@attribute 6383 numeric
@attribute 10817 numeric
@attribute 9965 numeric
@attribute Class {Control,BRCA}

@data
7.633596724,6.0331958605,5.772677763,7.282998326,5.066614647,7.886226753,5.641987591,5.3193541885,6.303073629,5.9442327955,6.1941920175,5.238988625,5.787387568,6.390483226,7.9169360095,5.261729425,5.703219255,5.16471875233,7.167255083,6.63167228267,5.596123584,6.260125068,6.54048116,9.4954151895,7.707361073,9.203483287,5.616777635,Control
7.811296214,5.597035406,5.65943283333,7.601327189,5.2827490955,7.645116667,5.968327676,5.1967514595,5.9112008435,5.649825465,6.30034954,5.291687581,5.176333993,6.34676698033,6.9758426655,5.002940155,5.672079654,5.66166144333,6.9461560065,6.761059759,5.663779561,4.689877288,6.160683884,9.5539178325,7.576562054,8.659693702,5.110416751,BRCA
6.608332915,6.0967740745,5.55073379133,7.068969348,5.430857273,7.644869593,5.144669712,5.0087123895,5.892872074,5.414083738,5.51106377,5.219566658,5.126406353,6.68734698167,6.381302865,5.477524542,6.089429956,5.56615300933,6.6484163275,6.26887747967,5.515393331,4.774274953,5.165119293,9.480270588,6.967604178,8.999958525,5.885764236,BRCA
6.901473714,5.696887672,5.33781834633,6.753287377,4.764148849,7.1870936865,5.057029153,5.487602415,5.708151602,6.094828639,6.2894737505,6.171732872,5.470383322,6.014935264,6.830263151,5.391983545,5.475661496,6.45499970067,6.9962006475,5.89010381667,5.949658216,4.876039551,5.072117861,9.432546201,8.334922547,8.473463378,6.369340517,Control
6.573689312,5.481438136,5.688073818,6.42089131,5.266359202,7.59092276,5.55659131,5.1968665985,5.8843623285,6.033873071,6.0401487175,6.172883123,6.447005198,6.431967867,6.8612433615,5.380600673,6.216508824,5.580378299,6.6243939125,6.706029596,5.375136114,5.488491912,5.938174768,9.66718229,8.318227715,8.261532137,5.371568663,BRCA
7.784080438,5.3222232545,6.26184317333,6.228631729,5.4297209045,7.9410335545,5.909059769,5.092094303,5.74825501,5.64447514,6.9462021345,5.011016147,5.023045997,6.89771458167,7.451942014,5.070616072,6.631654085,5.81638087933,6.5237362205,7.05955089,5.346435058,5.214330049,6.715073541,9.9164802245,7.82918539,7.4075251,6.344744738,BRCA
8.090034492,5.624642194,6.52939292733,7.603442983,5.3098015135,7.242328474,6.107065996,5.34423418,5.9518845585,6.505384745,6.699186128,5.614644516,5.614644516,6.082425078,6.9085147385,5.192698437,5.583918611,6.15449700133,7.0034241525,6.91813654967,5.850631456,5.259377247,5.544509535,9.167523377,8.090034492,8.323506447,6.00607988,BRCA
7.648431512,5.9329925075,5.97148952467,6.746988283,5.22771396,7.794277783,5.82324701,5.013470784,6.4175923805,6.457948301,6.69967863,5.555364666,5.179721278,6.927217263,7.152234567,5.281894103,5.808263565,5.61018452233,6.4604834375,6.477000624,5.125580074,6.302461288,6.391635094,9.1611827995,8.304535141,9.24901928,5.989996857,Control
6.995713808,5.9723644955,5.54762997267,5.961629839,5.139545746,7.465168109,5.244897759,5.366990285,5.9754857605,5.747274549,6.6541556965,5.855623029,5.354744155,6.65253264333,6.8182341645,5.274272145,6.450184887,6.45919725867,6.785049226,5.68970163167,5.065239741,4.786611159,5.98687237,9.3657406255,8.022452603,8.908453514,6.134432096,BRCA
6.516256016,6.1387688815,5.70757979267,6.829282328,5.12339042,7.356733999,5.574866903,5.491706318,5.698125565,5.675663172,5.824272396,4.943465724,5.353156751,6.353105852,6.9513043535,5.391983545,5.926361974,6.62868312967,7.582218724,6.59057193467,6.187011156,5.411944154,5.368603583,9.70078824,7.904094356,8.233656972,5.714253246,BRCA
7.511142096,5.19585778,5.474832278,6.447005198,5.3773706135,7.2106038955,5.584068992,5.413835314,5.8926750885,5.934896574,6.0082541625,5.720286161,4.385487242,6.39940453067,6.5242523515,5.115003321,5.424427713,6.165517671,6.9774516075,6.09726277333,5.357737827,5.038053386,6.392622782,9.153599552,8.22382208,8.369238672,5.8736971,BRCA
