@relation data

@attribute 5436 numeric
@attribute 5437 numeric
@attribute 5435 numeric
@attribute 5438 numeric
@attribute 5439 numeric
@attribute 8930 numeric
@attribute 5440 numeric
@attribute 10714 numeric
@attribute 9656 numeric
@attribute 5441 numeric
@attribute 675 numeric
@attribute 672 numeric
@attribute 80233 numeric
@attribute 472 numeric
@attribute 4595 numeric
@attribute 545 numeric
@attribute 55215 numeric
@attribute 7518 numeric
@attribute 23583 numeric
@attribute 7515 numeric
@attribute 2072 numeric
@attribute 2071 numeric
@attribute 2074 numeric
@attribute 2073 numeric
@attribute 57804 numeric
@attribute 57697 numeric
@attribute 2068 numeric
@attribute 2175 numeric
@attribute 1643 numeric
@attribute 29089 numeric
@attribute 7520 numeric
@attribute 2176 numeric
@attribute 10111 numeric
@attribute 2177 numeric
@attribute 1642 numeric
@attribute 5427 numeric
@attribute 5429 numeric
@attribute 5423 numeric
@attribute 5424 numeric
@attribute 328 numeric
@attribute 5425 numeric
@attribute 5426 numeric
@attribute 2178 numeric
@attribute 3014 numeric
@attribute 2966 numeric
@attribute 2965 numeric
@attribute 5431 numeric
@attribute 2187 numeric
@attribute 2188 numeric
@attribute 5430 numeric
@attribute 5433 numeric
@attribute 5432 numeric
@attribute 91442 numeric
@attribute 2968 numeric
@attribute 2967 numeric
@attribute 4350 numeric
@attribute 221120 numeric
@attribute 5893 numeric
@attribute 2189 numeric
@attribute 4255 numeric
@attribute 10309 numeric
@attribute 4968 numeric
@attribute 5984 numeric
@attribute 5985 numeric
@attribute 5887 numeric
@attribute 6117 numeric
@attribute 5888 numeric
@attribute 6119 numeric
@attribute 6118 numeric
@attribute 7398 numeric
@attribute 2067 numeric
@attribute 4361 numeric
@attribute 27033 numeric
@attribute 5981 numeric
@attribute 5980 numeric
@attribute 5983 numeric
@attribute 5982 numeric
@attribute 7314 numeric
@attribute 7508 numeric
@attribute 7507 numeric
@attribute 55120 numeric
@attribute 5591 numeric
@attribute 56949 numeric
@attribute 4331 numeric
@attribute 4683 numeric
@attribute 121642 numeric
@attribute 79728 numeric
@attribute 5111 numeric
@attribute 55775 numeric
@attribute 6996 numeric
@attribute 3980 numeric
@attribute 3981 numeric
@attribute 7158 numeric
@attribute 4913 numeric
@attribute 1022 numeric
@attribute 2237 numeric
@attribute 51455 numeric
@attribute 10459 numeric
@attribute 6917 numeric
@attribute 3978 numeric
@attribute 2547 numeric
@attribute 1161 numeric
@attribute 902 numeric
@attribute Class {Control,BRCA}

@data
11.06244102,10.33896506,12.07353083,11.03306523,7.484019523,11.25294051,6.365977347,7.2083497295,8.994142056,9.950818724,4.757305356,5.98817485275,11.37148006,7.15912118675,7.20369829767,5.382345047,5.539477758,5.081735071,10.06155384,8.968509215,6.3552688025,10.0776573,6.023427942,10.8503707,8.824450546,4.767140212,8.220113618,5.77242274767,6.645049976,6.661782105,9.908633222,5.105815554,7.5850123165,6.22349787733,9.28863507075,7.168850407,6.1569136975,10.26691568,7.558728975,11.860247565,12.66507944,7.905163024,9.226111776,7.8736305755,5.474931823,6.107234293,9.502643438,6.0393824645,5.250214317,11.4871292,9.588630847,9.734545643,7.197317764,10.43957668,8.439499644,5.28077853933,9.917491848,5.2123828815,8.692703652,10.65812692,6.3376236415,7.862280933,8.8069355085,7.105454747,9.849237412,10.83471386,6.922699549,10.66108355,11.61752958,7.11855341133,9.188663982,7.21711226567,5.63902319,8.7287213215,8.249671841,6.65416022267,6.4996565905,14.001314075,11.01901053,6.002877587,6.73117087,7.43044094167,10.22941402,6.69676284,7.67254028567,9.764863766,7.937699144,7.30666968733,7.96753589867,10.1388748805,7.02092254267,5.79541874633,9.243864886,9.153799716,9.361681261,8.6356430945,9.966292408,10.50202152,7.69516215867,8.306085763,11.102244477,5.98923741275,8.45525079,Control
11.20928598,11.03103278,12.14356347,11.31379869,6.750074255,12.51339458,6.504704302,7.3078710955,9.649157865,8.536044277,5.415666779,5.98222220675,11.2551704,7.09089637525,7.45287893667,5.67954943775,5.563242994,4.759304314,10.1463972,9.150712694,6.408355982,10.50841903,5.469081112,11.24175993,8.865378449,4.600264016,8.497094498,5.32341271633,6.494940064,6.549750501,9.347167964,5.176333993,7.1208131195,6.79805654467,9.382637282,7.041826475,6.570983868,10.8129396,7.88603356,12.13245253,12.99332148,7.56639873,8.971091653,7.8908509875,5.210049084,6.586162299,9.076489033,6.0179414665,5.376786337,11.94573106,9.975440003,9.498501844,7.71507161,9.94572954,8.965352223,5.292532206,10.20130339,5.1608846735,9.392012066,10.3594479,6.543411328,7.234342757,8.3511951665,7.5130075585,9.747668991,10.800436875,7.553437762,10.48441034,11.88379655,7.661076186,8.87572558875,7.36313658733,5.018602184,8.46553658,7.213179877,6.803627506,6.4959528655,13.81882705,11.56978693,6.374174967,6.8856854245,7.29190135533,11.47305897,7.086882265,7.49895584667,10.12192882,7.972923979,7.18042006333,8.74069999733,10.266475092,6.82155315167,5.73390055067,8.8184233,9.118734206,9.155780297,8.8318933355,9.7871697685,10.69680263,7.36046158267,9.214775128,10.979063953,5.671599723,7.832012647,BRCA
11.27344029,11.02625388,12.38193096,11.43055462,6.90941648,11.86917365,6.401780305,7.33191487,9.181985278,8.618450775,5.679910204,5.7519684745,11.75693374,7.165383526,7.84354431833,5.3269021,6.082900138,4.707652488,10.12017343,9.125207529,6.4049587985,10.71269919,5.7913656,11.18453773,8.72987657,6.023760589,8.892012333,5.83623147567,6.857020303,7.892711475,10.39899511,5.503993644,7.28927811,6.99468810567,9.370427593,8.010949209,6.515945219,10.84615266,8.575114814,12.74342873,13.23568448,8.099283532,8.918789554,8.4900776405,5.664561948,6.582656103,9.480992671,6.8120436455,6.158463896,11.65775177,9.936402792,9.55547611,7.73048903,10.27514127,8.580466923,5.535786363,10.33640924,5.1338950195,9.956354783,10.76412956,6.5480430905,7.854565194,9.396101263,7.613135391,9.348673457,11.330452225,7.45197832433,10.72737618,12.02968073,7.437377753,9.4100312975,7.251834494,5.10686257,8.908217113,7.230959803,7.26523884267,7.0004963375,13.884698385,11.5269639,5.770175754,7.277530094,7.406676876,11.36143133,6.839081327,7.77270160333,10.67836711,8.245078613,7.63223048933,9.19179848,10.2173037845,7.231605893,6.067924063,9.388921983,9.376006585,9.394656215,9.620597091,9.998965515,10.86915448,7.362647587,9.862320087,11.344617395,5.76207503975,7.667131787,BRCA
11.08706186,11.73846187,12.34948589,11.62261253,7.827852559,12.8554292,6.648325671,6.472480484,9.584831527,8.674016666,5.377480603,6.35824610575,11.94707994,6.962212015,7.782301121,4.95432611925,6.105076296,4.59311789,10.55708099,9.634820634,5.8412655795,10.43052602,6.424087011,10.98412667,9.24062507,5.04506203,8.85164062,5.98783850833,6.866076894,7.381285806,9.101877951,5.525294697,6.9248886435,7.06370593833,9.1882839575,7.627900667,5.77938785,11.23136237,9.123553123,11.92434597,13.52549699,8.251862414,9.543109718,8.530230259,6.002540089,6.970019164,8.607368346,6.711037711,5.854439094,11.94385185,9.42569906,9.5760667495,8.706030693,10.44466839,7.704562712,5.77680888833,10.30170799,5.704772863,10.02554833,10.32012392,6.785574294,6.606006159,8.859174667,7.7690752125,9.261261134,11.057611095,7.72103170467,10.83441597,12.38193096,6.74199202667,9.282287986,7.25113540867,5.30196368,8.594608411,6.314928158,6.47039307033,6.4544177505,13.10949585,11.43596985,5.171138007,6.813241995,7.03988827733,12.36769602,7.265055029,7.808745052,10.75842751,8.198299076,6.55166353833,9.22739987233,10.2693194195,7.479015333,5.688306841,8.791530131,9.500125395,9.99050151,9.0906394765,9.5057197595,10.64647346,6.74089657333,9.825110289,11.217717136,5.44909299075,7.517316273,Control
11.3442156,10.79386361,12.13760287,11.5269639,6.693630261,12.08543106,6.908516092,7.2216641085,9.030143702,7.919118257,5.60541377,5.846463069,10.75166563,7.2431584955,7.309090149,5.394762578,6.377041844,4.583830504,9.071489932,9.431466851,6.0308847905,9.889641277,5.607338636,11.05169516,8.91062109,5.263044971,8.312657375,5.84275699833,6.134329409,7.081033649,10.37139037,5.883749862,7.5737548545,6.86306344467,9.2360283925,7.098298285,6.2697548905,10.35669986,7.821010387,12.50752481,12.73729283,7.31664612,8.374019108,8.185466732,5.206341637,7.045217151,9.566592153,6.879715694,5.799353673,11.82274022,9.787507202,9.5036457565,7.5453142,9.47543003,8.732388881,5.21905511167,10.03037096,5.2778736865,9.139564862,10.69893493,6.540057221,7.7672310675,8.74540583,7.403741513,10.17351822,10.93374845,7.573134545,10.45090222,11.96009799,7.94840448267,9.282575993,7.277262479,5.182107523,8.8095545205,6.90286083,7.072920173,7.0312218105,13.92393915,11.57537865,6.117700885,7.2177793145,7.50186736,11.45168263,6.867961695,7.50920137,10.26349255,7.972923979,7.35432909133,8.515262432,9.9802698565,6.920440493,5.96365757867,8.748604735,8.914662525,9.627078354,9.329909791,9.745088309,10.83158062,7.74437634867,8.767556421,11.22178646,5.729943951,8.195898639,BRCA
10.31037169,9.875964751,10.92233559,9.599160216,6.361510132,11.30524968,5.738505243,7.523174648,9.323393222,7.686957644,5.006983802,5.8408213995,11.76903417,7.08122523275,7.16284299333,5.5992247945,6.129494897,4.83277771,9.869532589,9.033520136,6.4132325025,10.75975321,6.249071368,10.9376315,7.992656742,5.433553102,8.645353223,5.58979814333,6.41193939,6.509185635,10.79813582,5.862954219,7.3259269905,6.583851982,9.695129357,7.395150919,6.2648761365,10.75166563,8.467973436,12.382249835,12.65702034,8.336909437,8.448953719,7.6042942415,5.527329405,6.922969386,10.07813116,6.4085392105,5.849568518,11.63953303,10.20626383,9.9366689445,6.602369002,9.72642302,8.769772669,5.62655114467,9.812915765,5.5738565485,8.953622554,9.64780967,6.0357928015,7.634784038,9.358156732,7.0064152045,10.45470056,11.641461875,7.302284244,9.132050545,11.54965727,7.567105032,8.85686059575,7.601319597,5.889480387,8.81729114,8.210063853,7.68158217733,7.138537016,13.72048402,11.88081762,6.020708453,6.8694877505,7.78387541633,10.44344636,6.499332184,7.46595288633,9.574726497,7.228508778,7.408697217,8.25762728233,9.2555921005,7.260434776,5.914014792,9.759697278,7.773569684,9.01498366,9.476334725,10.194972265,10.55758842,8.590482648,9.430484502,11.53243099,6.00430999675,8.0884774495,BRCA
10.67974863,11.62683849,12.15346979,11.33246195,6.933398915,12.91933548,6.973327498,6.6588492955,9.160433125,8.661565351,5.46859248,5.961989724,12.2590489,6.392001616,7.39461638267,5.20754562,5.401230463,4.202973577,10.69644187,9.582283668,6.5872881545,10.0173308,5.455665247,10.97255645,9.121676695,5.315069158,8.838495753,6.073600243,5.460260315,6.374696641,8.744658219,4.95444207,6.9757173555,7.072047259,9.70044005225,6.452575359,6.2235271735,11.32409911,8.346005182,11.40704581,13.63244094,7.690279365,8.754203667,8.160140768,6.082580853,6.719438847,7.728874776,6.6177754715,5.491381137,11.94707994,8.931979298,9.310331427,9.286985727,9.822443813,8.357575234,5.33813977367,9.674130959,5.569630608,9.777124244,10.46146439,6.913426407,6.7376305225,7.4871109445,7.0904318015,9.250826081,10.3458464955,8.00726663667,10.38702135,12.52245777,6.53645314767,8.88063195375,6.93887945233,5.410418489,7.738491062,6.288871263,6.54805513767,6.220650197,13.157660585,11.49170796,5.751283781,5.8008289045,7.50204637833,13.06629278,5.895672973,8.02999223933,9.958574872,7.392233961,6.44602920733,8.558902733,10.877865575,7.437515926,6.09141939833,8.440081308,9.611246684,9.547121611,8.2961196055,9.1230201995,10.67814039,7.92873725133,8.95908991,10.8579926505,5.31781740375,7.0980443305,BRCA
11.18055585,11.02111204,12.42339047,11.33541843,5.975453214,10.76195031,7.098982487,7.325273656,8.655487008,8.961436038,5.018602184,5.8897078505,11.14107911,7.21389689,7.25691438633,5.31897246825,5.532793245,4.846005888,9.943892444,9.132371922,6.169888467,10.17798975,6.616552979,10.549732,9.20124246,5.083438106,7.900747773,5.58709052567,6.299625309,7.30417133,10.28617686,5.451879748,6.8899599365,6.45005063967,9.079293666,6.995289824,5.9262416115,10.74723656,7.539955806,12.41858501,12.59766508,7.956610113,8.817432296,7.787027341,5.520745364,6.479895483,9.579754867,5.93786969,5.777032522,11.36417449,9.659501442,9.9425822725,7.43837837,9.751904322,8.78938784,5.308348805,9.889804763,5.5221871125,9.106144874,10.45584633,6.7512992535,8.041884692,9.1247667975,7.5927585855,8.938213094,11.06229666,7.04465982233,10.88785292,11.90810746,7.37023188133,9.45367708375,7.404848849,5.796890531,8.303306849,7.576410887,6.93605146533,6.9810465865,14.498215135,11.16600002,5.551370856,7.4490315075,7.251948296,10.3940878,6.573196985,7.671411069,10.35335393,8.044026739,8.02092389867,8.08036081667,9.864436016,6.986172067,5.72950169833,9.622747882,8.901176988,9.825825817,8.609435701,9.975490305,10.71101325,8.33785800367,9.111501597,11.191873825,6.4364185585,8.2150115435,Control
11.62550351,11.34089896,12.19349773,11.31701417,6.260971855,11.15202194,6.517673816,7.244781381,9.032239399,8.771812245,4.897254041,6.432318605,11.38319952,7.14878397875,7.28698373767,5.76377410275,6.726903149,4.854508448,10.16197619,8.845553657,6.350290065,10.24019539,5.982201443,10.99419451,8.811664588,5.758164072,8.755431019,5.99262977467,6.653207393,8.299094802,10.4297627,6.099511534,7.148445982,6.775828829,9.197656891,7.782983675,6.311500948,10.59348943,8.608200408,12.6923268,13.17297049,8.048106907,8.785216325,8.5057825605,5.082799703,7.1126508515,9.777995431,6.63947822,5.833276737,11.48468963,9.969027107,9.5458512545,7.539858901,9.751444107,8.620110863,5.16059168133,10.01228971,5.139450051,9.603014797,11.0768258,6.319620794,7.743082408,9.70168359,7.7796863265,9.561608303,11.49735519,7.40702966467,10.77226531,11.92126273,7.617102493,9.7162674425,7.61606197033,5.321757891,8.9257842175,7.174279382,7.65912161233,7.2222320135,14.242274775,11.07481734,5.835425946,6.8969961515,7.97532141333,10.65887222,7.327824597,7.800748506,10.69932543,8.144506733,7.82590120133,8.69808566267,9.9149141085,6.95715352,5.85664665967,9.426642744,9.599160216,10.15470456,9.642109982,10.0035580105,10.7601172,7.93997874133,9.394248914,11.506838215,6.10800944,8.2231503775,BRCA
11.31223081,11.14633337,12.31595909,11.64258438,6.154418781,12.44601199,6.645878602,7.099785483,9.08246917,9.146391192,5.185877691,6.30739354225,11.58069917,6.89333590125,7.334662445,5.13981355375,5.672857555,5.203799462,10.51810261,9.059798105,6.2036937575,10.10676612,5.442621133,11.17080781,9.25541878,5.647898183,8.379801934,5.62483719967,7.181105347,6.698430771,9.741079768,5.163308771,6.8471499935,6.58651719133,9.154795135,6.840718531,6.693310015,11.08467572,8.45693048,11.846433465,12.92825655,7.391761545,8.758823761,7.7151803595,5.287630431,7.07342704,8.832954179,6.64863413,5.838328613,12.0199261,9.532570767,9.4451757265,7.350543933,10.12301596,8.305344864,5.061784792,10.18730911,5.422846603,9.2928284,10.9243451,6.5133733505,7.5220444345,8.509561114,7.4371940695,9.377612436,10.656153568,7.56085246633,10.47860813,12.52742331,7.30564495367,9.004615212,7.24246221967,5.096358059,8.7210455935,6.692340448,6.42676862133,6.8236640905,13.80215118,11.62135377,5.846751073,6.7874974715,7.25249120567,11.44205205,6.996504912,7.64305520567,10.06979248,7.223135616,7.315615812,8.78948765133,10.23937461,7.273639805,5.67038463533,9.107073927,9.204950795,9.154553037,8.75940589,9.587754894,10.68752903,7.448378636,9.143141549,11.385444715,5.652080806,8.1149854775,BRCA
