@relation data

@attribute id string
@attribute 11124 numeric
@attribute 1616 numeric
@attribute 1676 numeric
@attribute 1677 numeric
@attribute 355 numeric
@attribute 356 numeric
@attribute 3725 numeric
@attribute 397 numeric
@attribute 4000 numeric
@attribute 4001 numeric
@attribute 4214 numeric
@attribute 5058 numeric
@attribute 5062 numeric
@attribute 5591 numeric
@attribute 5599 numeric
@attribute 5783 numeric
@attribute 5925 numeric
@attribute 6416 numeric
@attribute 6709 numeric
@attribute 6885 numeric
@attribute 836 numeric
@attribute 839 numeric
@attribute 840 numeric
@attribute 841 numeric
@attribute 843 numeric
@attribute 84823 numeric
@attribute 8767 numeric
@attribute 8772 numeric
@attribute 8837 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,0.1753177564,0.8197669268,0.6567379836,0.4271916688,0.2668822305,-0.0072285445,1.7024177213,0.4622597255,0.9040112879,0.2885481695,0.4242359363,0.4033383753,1.3998379606,0.3403536905,0.6904673187,0.0120848583,0.4170598776,0.2565123712,2.1744926922,0.2768544875,0.0052920096,0.4137211830,0.5470014745,0.1048994176,-0.0064779885,0.5400777823,0.6162338108,1.1454639601,0.3946563084,BRCA
GSM481003,0.1670276765,0.8100307297,0.9652459709,0.7775049358,0.0943974674,-0.1151960538,2.4163282448,0.9470082469,1.0929474598,0.8250159933,0.4940745450,0.5633794381,1.8544124930,0.1291189450,0.6729280780,-0.0490129885,0.4086979734,0.2222999979,2.0139065178,0.2633005434,0.0413504756,0.7060568912,0.6720979764,0.1321838536,-0.0000994813,0.7100376884,0.7397027474,1.3959826067,0.4604086661,BRCA
GSM481004,0.2562120850,1.3887278959,0.9907437571,0.2368152252,0.0639764964,-0.0492128852,1.9569436598,0.4108253932,1.0895719028,0.8613782506,0.2035975778,0.4561246896,1.7169649695,0.2842731770,0.6871232500,-0.0124194373,0.2011434678,0.2880970038,2.2867089779,0.2940910289,0.0227122911,0.5954682015,0.5435008611,0.0914597162,0.0499261181,0.5539390937,1.0226274510,1.4400380619,0.4613454718,BRCA
GSM481005,0.1400491151,0.6996099856,0.6355714482,0.5410236554,0.5774546972,-0.0388775236,1.9105042447,0.4076916931,0.8098332005,0.0346642584,0.5196754609,0.5092585007,1.7067998852,0.3027884051,0.8086081992,0.2349351798,0.7030548256,0.4676337253,1.7849416738,0.6410530742,0.1452049680,0.4556981718,0.3544646166,0.1227475022,0.0269903768,0.5255361862,0.5842907192,1.2396340239,0.5493073225,BRCA
GSM481006,0.1817218903,0.8282176453,0.6762053416,0.5691636287,0.3577389630,-0.0263599712,1.8248747664,0.5611030732,1.0190164120,0.3746376437,0.4536705289,0.5787126888,1.7934826566,0.3629644454,0.7695189350,0.1536480792,0.6889269474,0.3639865402,1.3645559378,0.5432311448,0.0978846997,0.5816822311,0.9203133194,0.1767319650,0.0225465108,1.0384363433,0.7860515617,1.1236223613,0.4692782080,BRCA
GSM481007,0.1863616692,0.8751958659,0.8456355448,0.6257671566,0.0829495256,0.0419518193,2.0019709589,0.2387859241,1.1271720196,0.1680870660,0.3479610627,0.4080061787,1.4387447677,0.2104100706,0.3326362380,0.1029316411,0.6629691342,0.2094873252,1.3734828520,0.3382505102,0.0586705186,0.2173313741,0.9262292235,0.1683203725,0.0001815175,0.3077724100,0.4491444476,1.3381449249,0.1118762767,BRCA
GSM481008,0.1818463471,1.3893046330,0.9488343467,0.5740240522,0.1062172761,-0.0779219265,2.1130765477,0.2336067353,0.8291577330,2.2845945134,0.3505251462,0.4095634027,1.3603685686,0.6921098750,0.7429268004,0.0829936256,0.6538910852,0.3020598857,1.7949530157,0.3780345452,0.0279587975,0.3943970685,0.5166528075,0.2110551038,0.0193326599,1.3371529910,1.4473513996,1.3797544043,0.2001410015,Control
GSM481009,0.0178968037,0.5448543259,0.4324776653,0.0933806742,0.3526260266,-0.1702981595,1.1429168019,0.4913277809,0.6016953898,0.5621430310,0.3211863863,0.0829424338,1.0164196166,0.3099200923,0.6203827706,0.2019386155,0.6089003728,0.0517636729,1.6174411757,0.2541130532,-0.0766929161,0.5341628007,0.4724040300,0.2052960319,-0.0737737967,0.4607905097,0.4072276253,0.7153020533,0.1667075575,Control
GSM481010,0.2068270490,1.0247067609,0.8570031879,0.3326625368,0.2218772557,-0.0221168976,2.0214559557,0.4292223471,0.7848732112,1.2009258570,0.6825766645,0.5802971647,1.7903627032,0.4519854390,0.8636795770,0.3515838732,0.6300583106,0.7657218578,2.2026424287,0.5448883692,0.1088690767,0.6977833167,0.5923628490,0.0754469297,0.0235196726,0.6957977564,1.1813988317,1.3444891074,0.4466109948,Control
GSM481011,0.0536194843,1.0044699116,0.9243046698,0.4183264731,0.2600723965,-0.0394266611,1.9929131126,0.7323982264,1.3270472519,0.7047109866,0.1779143085,0.2936353860,1.1011350507,0.2232471732,0.4733123278,0.1136178643,0.2998918322,0.1213096739,1.9040792997,0.1588936072,-0.0036057916,0.3974827927,0.2007519566,0.0645896237,-0.0662813277,0.5322405176,0.4136765280,1.3676190143,0.3790538642,Control
GSM481012,0.2467067242,1.1151776877,0.7866024059,0.5359085077,0.3411532286,-0.0181944962,1.2819637983,0.2084204078,1.0188749679,1.1198295845,0.2965689986,0.4303741797,1.4803216849,0.3784052493,0.6613713608,0.3020936947,0.3807823643,0.3905063720,2.4561508696,0.4517391891,0.0171263263,0.5825620993,0.5873437941,0.1549620091,0.0800619614,0.7608322952,1.0493068704,1.1537734513,0.2959709065,Control
