@relation data

@attribute 9530 numeric
@attribute 841 numeric
@attribute 8772 numeric
@attribute 7186 numeric
@attribute 8737 numeric
@attribute 7124 numeric
@attribute 330 numeric
@attribute 7133 numeric
@attribute 8717 numeric
@attribute 7132 numeric
@attribute Class {Control,BRCA}

@data
7.2304857115,5.6639776582,9.964760013,7.722570406,9.943694688,8.519696323,9.50184663267,8.084942721,8.13891188267,12.08918571,Control
7.646662423,5.8528914586,10.15158143,8.156008632,10.07879165,7.177920594,9.90022641533,7.532124306,7.57672874133,12.001308,BRCA
7.1997887055,5.7897319854,10.64474883,8.551997661,9.929872764,8.414834386,10.2655236773,7.074920481,7.91175192233,11.63162057,BRCA
7.656293033,5.6257131728,10.26616024,9.141437341,10.01119619,8.370459788,10.2724422663,8.059386544,7.18497456933,11.41027128,Control
7.499193841,5.7767472574,10.77308997,8.106250323,9.484878832,6.675961001,9.404843943,7.497654525,7.786651762,11.76197512,BRCA
6.775472276,6.1557894346,10.34100757,7.922110302,10.12499078,6.320264091,9.51612918533,8.260238737,8.01981551,11.96720294,BRCA
8.589382972,5.645039366,9.911339974,8.283761058,9.601752743,6.423120638,10.4052109017,7.800739973,6.84780819533,11.42772678,BRCA
6.780637691,6.1264922834,10.36365325,7.748127633,9.671351374,6.14308278,9.25162105967,7.711014946,8.008015864,11.92850738,Control
7.2078722295,5.8838277246,10.67652155,8.550151431,9.108531726,8.252974189,9.76997316367,7.59152445,7.927182045,11.36056745,BRCA
7.8772033795,5.7581840748,10.1525514,8.509301078,9.863923404,6.105390642,8.98711892533,7.286837552,7.73106613,11.57911804,BRCA
6.890428139,5.3816807882,10.44646331,8.81368591,9.933705821,6.992205122,9.10786861,7.427399015,8.26798057567,11.97837451,BRCA
6.978671921,6.0308489854,10.4522647,7.562397229,9.477151683,7.871691396,9.64187447267,8.409445169,7.74767978867,11.79193625,Control
8.1261586565,5.9638642464,10.26227726,7.489328426,9.882639658,6.162699096,8.950697414,8.577788631,7.976421966,11.70928645,Control
6.3861084835,6.0564723368,9.334318613,8.174789799,10.43762494,5.841225451,8.831709234,8.171178205,8.60516057033,12.32501877,BRCA
7.3731095315,5.9408978668,9.828898548,8.260238737,10.76657469,5.923868951,9.59777171733,8.792953849,7.70289810533,12.15610687,BRCA
6.9491101965,5.9484693628,10.02000108,8.569372533,10.39270411,7.264445239,8.328009681,7.964515778,7.81029065433,12.03603115,BRCA
6.685090749,5.7945629282,9.304157994,8.554263753,10.31328586,6.665268844,8.109536,7.885637086,8.33003132667,11.81753744,BRCA
6.8357319225,5.8306412028,9.892717783,8.466179598,10.26978741,7.183985468,8.50859886567,7.911723223,7.89650067567,11.86989657,BRCA
6.488642528,5.884185454,9.408563868,8.512702074,9.880004788,6.778573689,7.88922588267,7.553957774,8.82616985867,12.24889125,BRCA
7.5373189165,5.3899325582,8.136146677,8.362997044,10.94323478,5.97155002,8.26887307167,8.530075742,7.901426815,12.56790862,BRCA
