@relation data

@attribute 9969 numeric
@attribute 4855 numeric
@attribute 9968 numeric
@attribute 4854 numeric
@attribute 51003 numeric
@attribute 4853 numeric
@attribute 10046 numeric
@attribute 4851 numeric
@attribute 90390 numeric
@attribute 9862 numeric
@attribute 9282 numeric
@attribute 22938 numeric
@attribute 1024 numeric
@attribute 2648 numeric
@attribute 81857 numeric
@attribute 84246 numeric
@attribute 3516 numeric
@attribute 1387 numeric
@attribute 9794 numeric
@attribute 9477 numeric
@attribute 9443 numeric
@attribute 9442 numeric
@attribute 9441 numeric
@attribute 51586 numeric
@attribute 84441 numeric
@attribute 8850 numeric
@attribute 112950 numeric
@attribute 9440 numeric
@attribute 5469 numeric
@attribute 10001 numeric
@attribute 10025 numeric
@attribute 55534 numeric
@attribute 29079 numeric
@attribute 892 numeric
@attribute 9439 numeric
@attribute Class {Control,BRCA}

@data
5.84424205,10.24684186,8.84456543,11.67803681,5.451055498,6.47439573025,7.846432395,12.1006805,10.61826186,9.662953376,5.7986494462,7.00045394,7.397249194,11.14654022,8.386521194,10.99685144,6.56502392833,9.174412855,6.198239365,11.04119731,7.3086744645,8.368507689,7.99887404,7.4212397965,8.211244807,5.85450143,8.70671024167,7.036451476,8.142746712,11.19313431,9.442423429,5.673281687,9.689771386,8.83139637767,7.375944294,Control
5.282820861,9.128046616,9.431466851,11.65330651,5.368428976,6.07531273025,7.813382191,11.57672774,10.61222834,9.872017476,5.558333292,7.224100886,6.269225466,11.4325551,8.436358762,10.80905688,7.28539932133,9.719195242,6.26818312267,11.06502412,6.958945669,8.31106838,8.504323566,7.6915711455,7.164708668,4.916490079,8.46811947,7.150105526,8.739072693,11.46239505,9.383977574,5.51775697,10.7221503,7.94769597233,8.25268682533,BRCA
5.616777635,9.018729528,9.332881953,11.01404508,4.889243844,6.102078177,6.490454306,11.43412272,10.77722677,10.464948565,5.759860599,6.671085011,6.941696526,11.73774813,8.890082693,10.78613914,6.60532864167,9.441990946,6.852133258,11.41932045,7.381196553,8.474406762,8.290227544,7.798436087,7.765851503,5.275017526,8.540681894,7.295817425,8.327284429,11.34287486,9.74964443075,6.082900138,10.68029603,8.62880256267,7.88421458433,BRCA
5.198898037,10.23091542,9.836169177,11.66997027,5.859106883,6.06609324425,7.39887433,11.4373387,9.948907821,10.1602019605,6.2517984538,6.876459007,5.062004299,12.01909212,9.205378537,10.64603237,6.46343322533,9.0089772035,5.56709595733,11.34154956,6.521677929,8.612648414,8.377884128,8.0898284015,6.443942775,5.745177655,8.11467731467,7.207261156,8.444229248,11.73537632,9.66077486,6.931745467,10.06933601,7.31268147533,7.842874159,Control
5.510179653,8.698731684,9.060122471,10.97842288,5.291135005,6.688592839,7.523407338,10.60435889,10.75691093,10.74804983,5.476361255,7.347712434,6.700929059,10.85845918,8.789893153,10.96383915,6.98920056967,9.6688997565,6.240140522,11.0532575,7.293525154,8.077484859,8.299461183,7.5481082545,7.996333838,5.144465785,8.580679133,6.855868653,9.435868748,10.99939073,9.30128187675,6.082261497,9.558756055,8.826336993,7.77609938,BRCA
6.138226355,9.245874202,8.194979796,10.65453335,5.450725666,6.58571501825,7.787871755,11.53538974,9.758864923,9.9083571685,5.320029793,7.52642319,7.295863332,11.63638911,8.925733282,10.26648823,7.10650899533,9.509274839,6.485386506,11.01241872,7.072219771,8.284235482,8.008150036,7.206525917,8.40171272,5.563776856,8.80663506633,7.450182567,8.48631327,10.78569381,10.3354228698,6.203989669,9.607700708,9.71602086167,8.21523628367,BRCA
5.259377247,9.3715867,9.432250161,11.77608148,5.701348918,6.38240255,7.192172276,10.50583912,9.047751801,9.9918071965,5.842719222,5.93517168,5.516024013,11.7032051,9.139564862,10.33772813,7.82722742,9.006275549,5.81289427833,11.16790123,6.562755384,8.22256686,7.768880894,8.25821634,7.064260775,5.857863615,7.950925261,5.949599858,9.853185215,11.87896296,9.414317448,7.44226163,9.988805779,7.22288144767,8.343244024,BRCA
6.112601751,9.271183522,8.629521578,10.90352059,5.243375136,6.54827450925,7.469827229,11.06222513,11.14633337,9.905476764,5.6258959048,7.412106427,6.826424947,11.48628211,8.279077887,11.29513197,7.020281624,8.7304792815,6.318426194,11.27072181,7.4299816915,8.48506563,8.187650387,7.134291561,7.970553337,5.959081123,8.89271412533,7.884523325,7.509302192,11.15778289,9.44458298375,5.996056084,10.06155384,9.18219370733,7.63016148167,Control
5.760494586,8.674157944,8.630750483,10.75902287,5.472171943,6.3229155455,7.230071187,11.03013967,10.503672,9.909320389,5.6743189388,7.676452764,6.77235128,11.62683849,8.30472906,10.82076955,6.81385209633,9.1075112315,6.37390771033,11.26252082,7.382417202,8.658542769,8.27137096,7.389087299,7.961422381,5.863264042,8.48304845233,7.29075873,8.312861547,11.18792748,9.66702541425,5.555364666,9.569955799,9.34912461,7.94574214733,BRCA
6.093080125,9.467881187,9.014760551,10.91869949,4.35562555,6.3463999045,6.80180898,11.34861214,10.26227726,9.619791566,5.7811264158,7.296207587,5.662213512,11.49745034,8.799282532,11.1050886,6.900100722,9.532397347,6.53946943167,11.17329317,7.6104432505,8.569173133,8.388255337,7.5696680135,6.513653091,5.076613872,8.50900872133,7.183762216,9.174452064,10.87349431,9.63919839075,6.671438898,9.580042347,8.040845657,7.59986246067,BRCA
