@relation data

@attribute 5995 numeric
@attribute 221391 numeric
@attribute 94233 numeric
@attribute 2652 numeric
@attribute 611 numeric
@attribute 5956 numeric
@attribute 10692 numeric
@attribute 23596 numeric
@attribute 6010 numeric
@attribute Class {Control,BRCA}

@data
5.770759606,5.220728929,4.7430825485,5.0412338635,5.561487483,5.061788345,5.405661632,7.085198317,5.316518,Control
6.043119281,5.153101365,5.160097198,5.1151968005,5.779267108,4.569042829,5.769779175,6.42959645833,4.435394156,BRCA
5.805056142,5.287421103,5.066630617,5.08777539,5.84800395,4.628224624,5.507645012,7.43111428567,5.186670157,BRCA
5.9960450585,5.1261933805,5.0830409175,5.140635991,5.960298117,5.193979903,5.475661496,6.08350458,5.254944744,Control
5.8771922655,5.4040156405,5.0372366665,4.9808205395,5.361953639,5.530141964,4.940179966,6.954355393,4.915773338,BRCA
5.7396072805,4.901555256,5.151094498,5.3274956865,4.976605648,4.963718308,5.761558711,7.80384200367,4.596397442,BRCA
6.4958982935,5.5558326475,5.1035326705,5.4817348725,5.540408023,5.192698437,5.032113243,6.76112829067,5.119575355,BRCA
6.011478627,5.208810676,5.0247562935,5.146924194,5.247463545,5.540872931,4.693784032,8.03157021633,4.947679304,Control
5.938502863,5.3410626845,5.3503244845,5.46419859,5.601259162,5.479627701,5.40668228,7.542747719,5.117810604,BRCA
5.805134734,5.26197334,5.203253314,4.990994964,5.163308771,5.279296008,4.384657885,6.30573154233,5.087262599,BRCA
6.198961329,4.588304139,4.8390706245,5.358780347,5.820888166,5.596496342,4.916251205,5.956038273,4.719610733,BRCA
5.85154416,5.0770709025,5.0178505475,4.835871713,5.168332398,4.932877618,5.253432694,7.30351515967,4.682592971,Control
6.1483767325,5.416788845,5.5307556565,4.8944706135,5.375918034,5.206146244,4.529423989,7.01415466167,5.212774804,Control
6.131886718,4.5355783965,4.8247538005,4.9730037835,5.754627826,4.993687096,4.916490079,7.71746716667,5.094670216,BRCA
5.573202235,5.47147049,5.298518098,5.328095774,5.045935721,5.149758548,5.678079829,7.886475356,4.571466258,BRCA
5.953476789,5.2498311785,5.015495287,4.740050587,5.020603594,5.015706349,5.352627229,7.47870632233,5.321216715,BRCA
5.9156056605,5.0392074275,5.1673283705,5.1115370545,5.242422681,4.837705203,4.984374307,7.45976674633,5.425938643,BRCA
6.047236054,5.349440987,4.5915021325,4.5915021325,5.371568663,5.388026974,5.313256056,7.64100819233,5.281801394,BRCA
5.819891213,5.2928515955,4.7848679835,4.975495715,5.179124099,4.78687249,5.418199436,8.30970193867,5.345015965,BRCA
6.0995996285,5.5518701515,5.6318342025,4.9554723975,4.977521783,5.039808741,5.113545539,7.161603705,4.450633198,BRCA
