@relation data

@attribute 10268 numeric
@attribute 10267 numeric
@attribute 133 numeric
@attribute 10266 numeric
@attribute 79924 numeric
@attribute 799 numeric
@attribute 797 numeric
@attribute 796 numeric
@attribute 10203 numeric
@attribute 3375 numeric
@attribute Class {Control,BRCA}

@data
10.083847385,6.2950853,13.85986526,8.925557862,7.699071153,6.502239591,5.291135005,5.72117192133,8.742226161,5.492342928,Control
9.4417166025,5.718917257,12.78963253,8.6325233155,7.321479719,5.808134829,5.171138007,5.14634821233,8.130108627,5.263796174,BRCA
7.9017104695,5.883261105,10.42417183,7.742845697,7.863289793,5.383800396,5.672716149,5.35110594467,6.69676284,6.667754223,BRCA
9.0655112035,5.985392981,11.47762688,8.502443557,8.390288414,5.123512303,6.225261069,5.51017349,5.776111392,5.549369797,Control
8.296105902,5.835046906,12.06768485,8.4627555425,8.12528576,5.435804628,6.117700885,5.52152172833,8.058155641,6.252197663,BRCA
8.7132275515,6.246603446,12.29328779,7.5522545465,7.454322173,6.177524808,5.891547537,5.59871499867,8.429543916,5.727111263,BRCA
7.759543745,8.582331246,11.22396264,8.592360747,8.574301293,5.259377247,5.328236218,5.36635519667,7.275475337,5.062651968,BRCA
8.662827402,6.776831487,12.82636383,8.940444787,7.984462786,5.748602952,5.585722157,5.52759608267,8.299953361,6.026363672,Control
9.0856134675,6.354959533,10.61443405,7.852648975,8.027271741,6.1022441,5.615748247,5.35697918767,7.437109373,6.044345618,BRCA
9.3125107395,6.859786731,12.54945867,8.3733873235,7.804520085,5.641120592,5.897973236,5.413186665,7.078740911,5.784773056,BRCA
9.7124632,7.25903969,12.83574159,8.8189721535,7.886307978,5.283376631,5.541492575,5.46800579033,7.609328588,5.622499388,BRCA
9.4301634735,6.479703985,12.77497238,8.6063282075,7.73525328,5.936880085,5.731598207,5.388055475,8.872952717,5.76368461,Control
9.722421078,6.376000002,13.09870741,9.299821296,7.593299842,5.15826759,5.422074229,5.63961411833,9.560390696,5.346257748,Control
10.1337083375,5.961629839,10.27454155,9.3889143075,7.860716295,5.82324701,5.66449084,5.541393225,8.024060772,5.815070224,BRCA
8.9561743435,7.042811547,12.18670552,7.240537659,7.899766447,6.353945711,4.889487232,5.34735588267,8.434181095,5.644945914,BRCA
9.04580086,7.199405188,11.2942375,8.5115667375,8.144723398,5.893308357,5.029465308,4.989409484,6.738839176,5.844744204,BRCA
9.426147642,6.885577796,10.08081124,9.2776302105,8.161952064,5.549831826,5.589247584,5.27891300867,7.318861647,5.357737827,BRCA
9.147207638,6.712049318,11.6188926,8.311566145,8.473138629,6.643499529,5.358089615,5.275439687,7.511142096,6.38888318,BRCA
10.056297462,7.021149678,10.91337959,8.946251593,8.718773555,6.412616948,5.503198645,5.41034709233,7.344964109,5.890939859,BRCA
10.394308245,6.674372814,9.745191577,8.915064634,6.58304938,5.657076342,6.319586888,5.41392261067,5.113545539,5.657076342,BRCA
