@relation data

@attribute 5601 numeric
@attribute 7189 numeric
@attribute 5602 numeric
@attribute 6416 numeric
@attribute 5599 numeric
@attribute 148022 numeric
@attribute 257397 numeric
@attribute 7098 numeric
@attribute 10454 numeric
@attribute 23118 numeric
@attribute 5609 numeric
@attribute 6885 numeric
@attribute Class {Control,BRCA}

@data
7.621649748,7.37822060033,6.7523535558,8.585478725,5.939777752,8.990502651,5.7827021795,6.277029476,6.76556701167,6.0750662075,7.887344199,9.487800372,Control
7.563421716,7.05787236967,6.347242776,8.106593131,5.0886580415,8.8269228395,6.0886892785,6.1753908245,6.67949367567,6.2352424805,7.798165773,9.4310771815,BRCA
7.8060539105,7.01943370733,5.84197348,8.6701660175,5.6701097255,8.854112445,5.6822479045,5.9744687035,7.13302304567,6.077757674,8.166013814,8.9013859115,BRCA
6.9189611885,6.46814411567,6.4393043462,8.231806127,5.7758281875,9.374046924,5.8913697235,5.0089445615,7.27747024367,6.211699109,8.473463378,8.417672848,Control
8.1880407455,7.059741909,6.3743216144,8.6043275615,5.704258658,9.049980109,5.7240857145,6.298171367,6.68095800667,6.0872080685,8.264326623,9.2133861525,BRCA
8.3174977465,7.331943975,6.511764621,8.9337864765,6.517858181,8.959527725,6.029552273,6.4009452435,6.273083892,6.15580083,7.443878302,9.9163703245,BRCA
6.747341416,6.42166024533,5.495877927,8.457614913,5.6011167705,8.833378894,6.236986736,5.345123689,6.779059113,6.572961414,8.963388234,8.575344218,BRCA
7.762308173,7.018808194,6.3190254744,8.519260169,5.401013329,8.588742572,5.7126180115,6.1474658955,7.020737198,6.095394251,8.267911597,8.9471097785,Control
8.3694050275,7.05702786333,6.1710283688,8.505661469,5.8779809975,9.2449642545,5.505202515,6.4335405075,6.649348596,6.3311955985,8.382668468,9.204869818,BRCA
7.524249938,6.71155131933,6.6645194764,8.616861979,5.5839936855,8.4216094845,6.0411300525,5.4338499695,7.04562845567,6.2017657865,8.896605722,8.9430429875,BRCA
7.597317289,6.56440695667,6.3734932246,7.974032126,5.9065229025,8.644467415,5.0222848205,5.561571382,6.73906535867,6.506414513,8.324744376,8.596587527,BRCA
8.0098633265,6.78874329567,6.7192971842,8.704684954,5.767601547,8.9410095965,5.6053692185,6.2340896,6.67560015067,6.132729324,8.037891629,9.0816140535,Control
7.822857961,7.02586490967,7.4496009772,8.3498677015,6.1670985755,9.0956836405,5.678623081,6.237572491,6.53137599367,6.0027082745,7.957045617,9.1999885685,Control
7.8440908905,7.215576291,6.4529665452,8.5569316505,5.967633391,8.889311524,5.949517696,6.4373989235,7.05252053933,5.9528423095,8.007981913,8.733092931,BRCA
7.5531159175,6.78915135733,6.5996740378,8.5497894345,5.329465727,8.573754578,5.5721343885,6.249303584,7.01209387333,6.2009150755,7.711014946,9.2660120735,BRCA
7.5935132445,7.091595276,6.4103000694,8.480919728,5.656097949,8.781924287,5.9976789215,6.370558042,7.22201205233,6.024113024,7.832100626,8.692934023,BRCA
7.244024888,7.36477082733,6.3663407464,8.4390426745,6.071716146,9.2561154625,5.8526834815,6.2183765775,7.39735229933,5.8797644155,8.014301064,8.4734774435,BRCA
7.5582124195,7.06833791633,6.4518559062,8.551370553,6.259376137,8.9141647275,5.852284372,6.0887305845,7.19601476967,6.013518634,7.922348208,8.580432115,BRCA
8.134159504,6.99678506233,6.2563490298,8.655247477,6.1648761405,9.0777368,5.9427897325,6.184436099,7.43260419933,6.1177243565,8.115760429,8.5357374825,BRCA
7.835265585,7.079701867,6.6932167248,8.821488149,5.593235253,9.1051538585,5.560376996,6.7063430695,7.189092449,6.0495366965,9.015708527,7.348718546,BRCA
