@relation data

@attribute id string
@attribute 10229 numeric
@attribute 27235 numeric
@attribute 3242 numeric
@attribute 51004 numeric
@attribute 51805 numeric
@attribute 6898 numeric
@attribute 84274 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,0.3650215739,0.9304776911,-0.2214313621,0.7841805122,0.2416017034,-0.1039383443,1.2206606003,BRCA
GSM481003,0.3606690417,0.8938009042,-0.0644792560,0.8951591030,0.4307226887,-0.0294739802,1.0290693178,BRCA
GSM481004,0.3679460010,0.8551346910,0.0277454964,1.2467802168,0.4977653888,-0.0780701595,1.2066469821,BRCA
GSM481005,0.3433303072,0.6860261012,-0.2451757248,0.9577662993,0.2743970602,-0.0928968261,1.1355108883,BRCA
GSM481006,0.6016952141,0.6620191773,-0.1810597430,0.7741808963,0.3031704851,-0.0911331807,0.7413836718,BRCA
GSM481007,0.4422657220,0.9833515423,-0.2469661724,0.8687166125,0.0730190996,-0.0485382267,0.5401700314,BRCA
GSM481008,0.3912270379,0.9726437325,-0.2113904879,0.9350478772,0.5579839646,-0.0572749781,0.7645028714,Control
GSM481009,0.1319550854,0.8876189509,-0.4016623809,0.4950456115,0.1119346692,-0.0798087349,0.7372563432,Control
GSM481010,0.4066221087,0.7956249985,0.0309763646,0.8326596888,0.5789734274,-0.0933794826,0.9989416798,Control
GSM481011,0.3134855568,0.8669741439,-0.0663515140,0.9775217450,0.2549327574,-0.0392444069,0.8248365603,Control
GSM481012,0.2945231679,1.1383388445,-0.0002197255,0.8275392205,0.6407464908,-0.0773925514,1.1578760048,Control
GSM481013,0.3624511389,1.1095698560,-0.1284819406,0.9611045172,0.7199386822,-0.0457458005,0.5706858718,Control
GSM481014,0.4323243461,0.5737553612,-0.1576588220,1.1758779330,0.0568590719,-0.0712176357,1.0777007291,BRCA
GSM481015,0.3714799201,0.9424357357,-0.1914489865,0.8791880358,0.3714122499,-0.0195665193,0.7471083767,BRCA
GSM481016,0.4667827287,1.0500409655,-0.2597000265,0.8696964422,0.7326799168,-0.0417120073,1.1406987044,BRCA
GSM481017,0.4505158047,0.7069742809,-0.2139772679,0.5985788920,0.8073083130,-0.0630349408,0.9771144256,BRCA
GSM481018,0.4944285807,1.0029325722,0.0046962542,0.8991734633,0.3536346883,-0.0118368456,1.2270842196,BRCA
GSM481019,0.3495228636,0.7296522366,-0.1489076680,1.1247099142,0.7503725786,-0.0838043058,0.6550956949,BRCA
