# Order in which each feature was ranked by the feature-selection algorithm. When cross-validation was used, the values represent average ranks across the folds. Note that these values are calculated on the assumption that all features received a rank, whereas some feature-selection algorithms do not assign ranks to all.
Feature	Rank
3551	1.45
8503	3.35
1869	4.35
1029	6.55
595	9.05
9459	9.5
5293	9.65
5228	10.5
7042	11.9
23533	13.6
8517	15.3
5900	17.5
4087	17.95
842	18.5
207	18.85
5295	19.25
7046	19.75
5290	20.75
2064	21.45
5337	21.75
5594	22.05
7424	23.9
6772	24.2
7039	24.4
1950	25.9
5602	26.85
1956	27.3
1147	28.2
5879	29.05
4088	30.05
5898	32.15
4790	32.4
1871	32.55
5970	33.05
5601	34.3
5604	35.25
5291	35.95
5880	38.05
7423	38.9
998	39.5
1019	39.7
6774	40.05
7157	41.2
5888	41.4
598	44.15
3845	44.95
5599	45.5
10000	49.05
5894	51.85
572	52.45
673	52.65
208	53.2
369	53.3
675	53.4
4089	53.55
2277	54.05
1021	54.65
7043	55.05
5595	55.8
1870	57.0
7422	57.05
5296	57.65
5294	58.05
3716	58.35
7040	60.1
5881	60.65
5925	61.2
5899	63.0
7048	64.85
10928	66.2
