10	00232 00983 01100
100	00230 01100 05340
1000	04514 05412
10000	04010 04012 04062 04150 04210 04370 04380 04510 04530 04620 04630 04660 04662 04664 04666 04722 04725 04910 04914 04920 04973 05142 05145 05152 05160 05162 05164 05200 05210 05211 05212 05213 05214 05215 05218 05220 05221 05222 05223
10005	04146
10007	00520 01100
10008	04974
1001	04514
10010	04622
100101267	03013
100130966	03013
100133583	04145 04514 04612 04672 04940 05140 05145 05150 05152 05164 05310 05320 05322 05323 05330 05332 05416
100133941	04640
100137049	00564 00565 00590 00591 00592 01100 04010 04270 04370 04664 04666 04724 04730 04912 04972 04975 05145
10015	04144
10019	04722
1002	04514
10020	00520 01100
10023	04310
10026	00563 01100
100288018	03022
100288470	03008
100288500	03008
100288562	03008
100289713	04141
100290337	03420 04120
1003	04514 04670
10038	03410
10039	03410
100505503	03010
100506332	04110 04114 04120 04141 04310 04350 04710
100506658	04514 04530 04670 05130 05160
100507436	04650
100507758	03008
100510314	03008
100510451	03008
100510686	00140 01100
100510692	04621
100510744	03022 03420
10053	04142
10054	04120
10055	04120
10056	00970
10057	02010
10058	02010
10059	04144 04666 04961 05100
10060	02010
10062	03320 05160
10063	00190 01100
10073	03013
10075	04120
10084	03040
10090	00532
10092	04666 04810 05100 05130 05131
10093	04666 04810 05100 05130 05131
10094	04666 04810 05100 05130 05131
10095	04666 04810 05100 05130 05131
10105	05145
10109	04666 04810 05100 05130 05131
10111	03440 03450
10113	04141
10125	04010 04660
10126	05016
1013	04514
10130	04141
10134	04141
10135	00760
10136	04972 04974
10140	03018
10152	04810
10154	04360
10157	00300 00310 01100
10161	04080
10162	00564
10163	04520 04666 04810 05100 05131
10164	00533
1017	04110 04114 04115 04914 05162 05200 05215 05222
10170	00830 01100
10171	03008
10189	03013 03015 03040
1019	04110 04115 04530 04660 05162 05200 05212 05214 05218 05219 05220 05222 05223
10193	04144
10195	00510 01100
10197	03050 04612 05160
10199	03008
102	05010 05120
1020	04360 05010
10200	03018
10201	00230 00240 01100
10203	04080 04270
10207	04530
10209	03013
1021	04110 04115 05162 05200 05212 05214 05218 05220 05222 05223
10211	04910
10213	03050
1022	03022 03420 04110
10228	04130
