@relation data

@attribute id string
@attribute 10203 numeric
@attribute 10242 numeric
@attribute 10266 numeric
@attribute 10267 numeric
@attribute 10268 numeric
@attribute 10335 numeric
@attribute 10398 numeric
@attribute 10672 numeric
@attribute 107 numeric
@attribute 108 numeric
@attribute 109 numeric
@attribute 111 numeric
@attribute 112 numeric
@attribute 113 numeric
@attribute 114 numeric
@attribute 115 numeric
@attribute 135 numeric
@attribute 136 numeric
@attribute 140465 numeric
@attribute 146 numeric
@attribute 147 numeric
@attribute 148 numeric
@attribute 157855 numeric
@attribute 1579 numeric
@attribute 163688 numeric
@attribute 185 numeric
@attribute 1909 numeric
@attribute 196883 numeric
@attribute 23236 numeric
@attribute 23365 numeric
@attribute 26279 numeric
@attribute 27345 numeric
@attribute 2767 numeric
@attribute 2768 numeric
@attribute 2776 numeric
@attribute 2778 numeric
@attribute 2977 numeric
@attribute 2982 numeric
@attribute 2983 numeric
@attribute 30814 numeric
@attribute 369 numeric
@attribute 3708 numeric
@attribute 3709 numeric
@attribute 3710 numeric
@attribute 3778 numeric
@attribute 3779 numeric
@attribute 387 numeric
@attribute 4629 numeric
@attribute 4637 numeric
@attribute 4638 numeric
@attribute 4659 numeric
@attribute 4660 numeric
@attribute 4881 numeric
@attribute 4882 numeric
@attribute 50487 numeric
@attribute 51806 numeric
@attribute 5319 numeric
@attribute 5320 numeric
@attribute 5321 numeric
@attribute 5322 numeric
@attribute 5330 numeric
@attribute 5331 numeric
@attribute 5332 numeric
@attribute 5499 numeric
@attribute 5500 numeric
@attribute 5501 numeric
@attribute 552 numeric
@attribute 553 numeric
@attribute 5566 numeric
@attribute 5567 numeric
@attribute 5568 numeric
@attribute 5578 numeric
@attribute 5579 numeric
@attribute 5580 numeric
@attribute 5581 numeric
@attribute 5582 numeric
@attribute 5583 numeric
@attribute 5588 numeric
@attribute 5592 numeric
@attribute 5594 numeric
@attribute 5595 numeric
@attribute 5605 numeric
@attribute 5613 numeric
@attribute 5739 numeric
@attribute 5894 numeric
@attribute 59 numeric
@attribute 6093 numeric
@attribute 64600 numeric
@attribute 673 numeric
@attribute 72 numeric
@attribute 775 numeric
@attribute 776 numeric
@attribute 778 numeric
@attribute 779 numeric
@attribute 800 numeric
@attribute 801 numeric
@attribute 805 numeric
@attribute 808 numeric
@attribute 810 numeric
@attribute 81579 numeric
@attribute 8398 numeric
@attribute 84647 numeric
@attribute 85366 numeric
@attribute 8681 numeric
@attribute 9138 numeric
@attribute 91807 numeric
@attribute 94274 numeric
@attribute 9475 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,-0.1005374130,-0.1979673750,-0.0988735439,0.3068221869,-0.2680551823,1.0369076324,3.1661137341,0.3078825950,-0.0213125190,0.0324851423,0.6906278624,-0.1873276656,0.3041730966,0.6485430572,-0.0936600890,0.6758355689,0.2108378264,0.4225210432,2.1754730011,-0.1814910658,-0.4054743098,-0.0833662782,-0.1484344750,0.0063906746,-0.1286174089,-0.0788496102,-0.0234210352,-0.0496203903,0.2858521625,0.1206888382,-0.1405790460,-0.0062449268,1.2075416012,1.1264565870,0.4478188096,1.6287773193,-0.0511525680,0.0176184705,-0.0862920353,-0.1904537968,0.6620092707,0.2178563230,-0.0355535233,0.0663673716,0.6282143195,-0.1481143109,2.3560742060,-0.0304534344,1.8546691027,1.3625687624,1.2846473538,-0.0622228022,0.1138722158,1.2232485507,0.2648592970,-0.0724848310,0.0724902563,0.3919864135,-0.0567561424,0.1942306542,-0.0931709614,1.4761069679,-0.1197500205,1.7552149694,1.8515097272,2.4964848360,-0.1654090439,-0.1813597887,0.9091838176,0.8322542454,-0.0220457165,0.2608651281,-0.0981862237,-0.2977016700,-0.0506832049,-0.0750473595,0.0066980679,-0.0339868274,0.0623256834,0.3768321643,1.1201675758,0.1390805759,0.0696381372,0.0582429521,0.3860900013,2.6441250840,-0.0235738736,-0.2286017106,0.1777965052,0.7559080634,0.0616552577,-0.1493906910,-0.1655657803,-0.1343908462,1.2296589049,1.3564936234,0.8265591783,2.7038153726,-0.1556674652,0.8918800157,0.0096668727,-0.0773267898,-0.1932507438,-0.0101853435,0.1308444969,-0.0604218728,0.8233463766,-0.1834590614,BRCA
GSM481003,-0.0828870904,-0.1044597688,-0.0779009014,0.1742775132,-0.1981330183,0.5710656836,3.0536560482,0.3042140120,-0.0692073683,-0.0064876447,0.4153288136,-0.1628839508,0.2577621225,0.8073847730,-0.1100853766,0.4801001175,0.6887838056,0.4998229782,2.0223863456,-0.1572913317,-0.3344708749,-0.0629528630,-0.1050703044,-0.0347747363,-0.0698493385,-0.0284873306,0.0619486000,-0.1103498666,0.1101227322,0.0953503352,-0.1302135657,0.0948531837,1.3259332918,1.0654752979,0.2624370770,1.5822581693,0.2219457638,-0.0404212353,-0.0673431211,-0.1219833474,0.6213931068,0.0514344826,-0.0627746906,0.4280975269,0.4261038489,-0.0856832560,2.2548772812,0.0805586505,1.6995888074,1.2856500560,0.8778524058,-0.0590927426,0.3395914501,0.9883088753,0.2367261773,-0.0365504050,-0.0359319534,0.0715840599,-0.0835485794,0.2958115291,-0.1266500411,1.5995909609,0.2789530126,2.2895291380,1.7949866212,2.5323631897,-0.1061227028,-0.2350105499,0.9189770192,0.6319902162,0.0102665505,0.2829620648,-0.0518483993,0.0215140560,-0.0892191342,-0.0337643415,0.0138004763,0.0360388891,-0.1044076527,0.4223379152,1.1333078442,0.1453346393,0.3544240996,-0.0403790417,0.2815908568,2.5326208233,-0.0279678789,-0.1516569339,0.0848102706,1.9641579423,0.0114212718,0.0389886080,-0.0596940244,-0.1179253610,0.8324539434,1.1557139689,0.7173366560,2.6004273182,-0.0292245170,1.1356858278,0.0912243185,-0.1046172373,0.0046769435,-0.0306176476,0.0704804984,-0.0409652617,0.5768060600,-0.1093169571,BRCA
GSM481004,-0.0922309217,-0.1131845899,-0.0581982881,0.1125538852,-0.2160079331,0.9629613181,2.8817494180,0.2188233004,-0.0682730252,-0.0572336419,0.7538955795,-0.1865766728,0.4959490365,1.0032708717,-0.0400951271,0.5932523358,0.8249791824,0.8744665517,1.7367362447,-0.1155463264,-0.3589334174,-0.0551818682,-0.0827645401,-0.0089214040,-0.2321383340,0.0138414101,-0.0651949846,0.0553660385,0.4210706907,0.1328991915,-0.1334671667,0.2370993336,1.0587875816,1.3451529716,0.3193705141,1.6611578276,0.0221150278,-0.0892495096,0.0280927142,-0.1383980732,0.7447423427,-0.0097076942,-0.0462495909,0.4999212028,0.6508253671,-0.1489357021,2.2044553339,-0.0426069482,1.5103180234,1.3817822669,0.7397838260,-0.0241619443,0.3402580127,1.5278000105,0.4841016842,-0.1118533504,0.0367292284,0.3503516176,-0.0147714728,0.9263242449,-0.1195634382,1.5031896006,-0.0322893260,1.7228226531,1.3960686254,2.1618730360,-0.0691593210,-0.1094873850,0.6950635329,0.6800325786,-0.0396932616,0.4684481415,-0.1085750333,0.0147397074,-0.0517781934,-0.0723416345,0.0446798782,-0.0419302782,0.0641468233,0.5495924441,1.3982536542,0.0639251527,-0.0129986513,-0.0355579719,0.4157156661,2.2309276989,-0.0400819974,-0.0981588746,0.1890694758,0.1970376768,0.0692754934,-0.1091377224,-0.1834103518,-0.1191275287,0.7905685317,1.0442493542,0.7713027104,2.5539644831,-0.0862486411,0.9571160324,0.0167640063,-0.0605252561,-0.0679591146,0.0138251425,0.1607130586,-0.0452691524,-0.1094930213,-0.1202374537,BRCA
GSM481005,-0.1211310418,-0.0966126531,-0.0571382909,0.4684070117,-0.1823308058,0.9273940424,3.0758146444,0.3931052007,-0.0925683750,0.0108283770,0.8534066271,-0.1859157358,0.4385876315,1.1066493301,-0.0452075420,0.3788599880,-0.0659926624,0.4511294312,2.1368247537,-0.1574726164,-0.4142291802,-0.0677255189,-0.0983356248,-0.0909896149,-0.2486192649,0.1755062199,0.1036066742,0.2799949490,0.2068608563,0.1197699101,-0.0750139249,0.3361467650,1.3188462358,1.1008223001,0.5904648845,1.4807582746,-0.0521354110,-0.1114226980,-0.0608466002,-0.1711450809,0.7021117498,0.1994229225,0.0021436654,0.1212341356,0.5182364691,-0.1742585248,2.3612720490,-0.0236586453,1.9382778874,1.5834928939,1.8915500689,0.0018725141,0.0953341270,0.9939903627,0.2413362460,-0.0858997872,-0.0366886569,0.2416097289,0.0360093063,1.5309084753,-0.0819878108,1.3645848670,0.4609039199,1.6119475168,2.3157835388,2.4430678156,-0.1157182515,-0.2104150026,0.7765841372,1.2306991819,-0.0333261071,0.3166812967,-0.0871069950,-0.1249405209,-0.0404298417,-0.0307554886,0.0215786458,-0.0755055607,0.1660683019,0.4403047296,1.3712493853,0.0764267961,0.0699015529,0.0333042510,0.3888399490,2.5638181930,-0.0235281201,-0.1681138359,0.1629802437,0.7527910226,-0.0445056149,-0.1045152437,-0.1310550471,-0.0965664503,1.7860715039,1.5244798356,0.8702989420,2.5885585249,-0.0754524312,1.0282304035,0.1013291268,-0.0551051659,-0.0698196353,0.0939124124,0.1244499934,-0.0700647115,1.2554278800,-0.0457425530,BRCA
GSM481006,-0.1119228491,-0.1167152159,0.1238347143,0.8168455800,-0.2267707414,0.9815340661,3.1853798097,0.3647062411,-0.0610226503,-0.0522829933,1.2541987586,-0.1669847436,0.5766390173,0.8823370718,-0.1439105411,0.6523239961,0.3066398314,0.7101860760,2.2726470893,-0.1355855394,-0.3112465452,-0.0884416852,-0.1833528812,-0.0798972317,-0.1689911806,0.0155653362,0.1354427282,-0.0951017123,0.1912894818,0.1205287743,-0.0912184608,0.1367411416,1.4356097507,1.0268023914,0.6643883944,1.3146320589,-0.0051186491,-0.1194243936,-0.0507255028,-0.1978774663,0.7695110285,0.1351932498,0.0168171378,0.2181934865,0.5808903046,-0.1008991621,2.5397693236,0.0834426198,1.8396713564,1.7353061437,1.5922591842,0.0795742761,0.3191587969,1.1455054032,0.1678630912,-0.0696378198,-0.0627304080,0.3202906285,0.0852915491,0.5399629881,-0.1256054163,1.5441306196,-0.0461319976,1.9078140392,2.3291489434,2.6961948872,-0.1019385722,-0.2460100248,1.0743387982,0.9264100611,-0.0789564253,0.2588561041,-0.1044239603,-0.0314743914,-0.0173448764,-0.0489088737,0.0121872263,-0.0672901499,0.0525229232,0.3909603753,0.9865753614,0.1169393467,0.2576344930,0.0628976671,0.3354175018,2.5642457282,0.0318450583,-0.0775579248,0.2528915434,1.3860036437,0.0959829012,-0.1013233678,-0.1325347712,-0.1005041568,1.6309303273,1.3858446989,0.8328808705,2.7229726611,-0.0663055833,0.9375375463,-0.0030618567,-0.0416173076,-0.0826171698,0.0167937154,0.1906399579,-0.0440420337,0.8602803006,-0.1468752514,BRCA
GSM481007,-0.0127481208,-0.0432991903,0.0461217760,0.9590665644,-0.1646292791,0.7609123161,3.0994705096,0.2262629088,-0.1091924483,-0.0409257532,0.8056753526,-0.0611303696,0.6382880130,0.5886042261,-0.0965363181,0.4626764772,1.8563259096,0.7626436425,2.4892448187,-0.1172727399,-0.1480808929,-0.0264750079,-0.1862384933,-0.0249337369,-0.2028048244,-0.0307493399,0.0163656720,0.0258853085,0.1294501655,0.0571031523,-0.1956158172,0.2163242145,1.2181181839,0.8993316328,0.3499374598,1.4150039667,0.2922805172,-0.0344689960,-0.0633341424,-0.1225340637,0.9390580363,0.0550178691,-0.0743076288,0.3613447715,0.1589717499,-0.1385914218,1.9990592401,0.0258557878,1.6390464359,1.3010591835,0.9708559209,-0.0408439307,0.4663902573,1.1569235512,0.3013776672,-0.0462129366,0.2451748582,0.1465554425,0.2361062177,-0.1124364039,-0.0836514095,1.4868055220,0.1430614591,2.2768932449,2.0983965588,1.8684210776,-0.0787559033,-0.1753528954,0.9259418572,0.7558958770,0.0370700779,0.2214731303,-0.0580448157,-0.0982368374,-0.0485247119,-0.0014222495,-0.0214686184,-0.0740866984,-0.0551179460,0.2606000659,1.0516917631,0.1837086821,0.1321595838,0.0635383462,0.2957258879,2.1085824465,0.0398056174,-0.0877751080,0.2699643974,0.4936637541,0.0120281918,0.0822912043,-0.1165982584,-0.0872170766,1.0539044777,0.8527704083,0.7908645495,2.4574012124,-0.0312364085,1.2202413425,0.0449932087,-0.0696049801,-0.0521336305,0.0332880970,0.2848709021,-0.0177850559,0.4948853444,-0.1416027276,BRCA
GSM481008,-0.0839799782,-0.1147473826,0.0685795071,0.0396173128,-0.2061547977,0.0072176070,1.9667925039,0.4971662349,-0.1022847509,0.0073234723,0.9556061970,-0.0927685142,0.2863269619,0.7602961962,-0.0445672441,0.3568348908,0.6284379545,0.5300064663,1.9296364421,-0.1484615617,-0.4126586880,-0.1053885067,-0.0661073726,-0.1333054129,-0.1190311949,0.0839432314,-0.0094756518,-0.0347283245,0.1979250253,0.1181333933,-0.1066421580,0.1388971904,1.2615825528,1.0273638856,0.3171693577,1.5773606507,-0.0826042266,-0.1180612289,-0.0402738111,-0.1632898217,0.8205010526,0.0515839298,-0.0320775752,0.3614642392,0.2846754151,-0.1143090905,1.7342027903,0.0038055128,1.7127480273,0.6000032061,1.1311727691,-0.0888744615,0.0616782402,0.8507247231,0.3109411343,-0.1202880517,0.0617635319,-0.0294756517,0.3041578594,-0.1651714859,-0.1060613890,1.6687167920,0.0366716310,2.6924481922,2.0887248147,2.8886203500,-0.1217351713,-0.1910499832,0.9102283842,0.7458980968,0.0274709704,0.2738108856,-0.1056714096,-0.0061865102,-0.0029593862,-0.1196029719,-0.0105476909,-0.0904428245,-0.0263851241,0.4047704326,1.0726860836,0.1199409844,0.1268309088,0.0150580198,0.3589827556,0.7157841275,0.0280642769,-0.1806219434,0.1605632000,0.4247441267,-0.0574690060,-0.0676376425,-0.1599896951,-0.0672450389,0.5265304517,0.9964291379,0.7930964681,2.4189842773,-0.0432700947,0.9744661360,0.0442506512,-0.0548871543,-0.0784364260,0.1876541325,0.3995986441,-0.0259379176,-0.0991289850,-0.1292381197,Control
GSM481009,-0.0656674788,-0.2070688914,-0.1029586037,0.4038269714,-0.2188857661,0.7261925590,2.5470759869,0.3613355075,-0.1314133674,-0.0292480118,0.4983229081,-0.2549137573,-0.0641390445,0.8146943457,-0.1893536572,0.2691004176,-0.2453446714,0.3804735822,1.8503651122,-0.1953116347,-0.8346468173,-0.0490737721,-0.1371443346,-0.0138560049,-0.3763604151,-0.0571781541,0.0964795608,-0.0942478679,0.2812716372,0.0994998306,-0.0463956869,0.0237993175,1.1639748752,0.7763315288,0.4197121219,1.4264966791,-0.2047622660,-0.0905693376,-0.0074307531,-0.2374210076,0.6588328657,0.2000191124,-0.0548121327,0.1931102983,0.4109733035,-0.0892812255,2.2850365361,-0.0659024413,1.8475952276,1.4763323557,1.3589863604,-0.0356509289,0.3547200864,0.7475812515,0.0616922838,-0.1908497260,-0.0636470687,0.4092911698,0.1206036070,0.4025874838,-0.1955891928,1.2002787294,-0.0985022541,1.3226553269,2.3110529864,2.6755602624,-0.1258240829,-0.2341812922,0.6558841348,0.8545450949,0.0046873059,0.3586061170,-0.1066654161,-0.3899831788,-0.1031874010,-0.1903911113,-0.0269158378,-0.0895921919,-0.0122796115,0.2795271149,0.7096309500,-0.0310865428,-0.0978849678,-0.0323312472,0.2270372226,2.7039649001,-0.0420569494,-0.1908542063,-0.0320870272,0.2696470111,-0.0553855791,-0.1449972377,-0.1978353354,-0.0726911084,1.1212753169,1.0664309090,0.7962288941,2.6979478374,-0.1461619418,0.8410133314,-0.0454398805,-0.0924899587,-0.1924796685,-0.0391394026,-0.1357724901,-0.0505592435,-0.2381904593,-0.0908145631,Control
GSM481010,-0.0422210586,-0.1117774341,-0.0070498776,0.2692766514,-0.1861951756,0.7050439367,2.8027122287,0.4966195384,-0.0856121376,-0.0299397763,0.5580687042,-0.1150484082,0.2565518150,1.0041584842,-0.1091626319,0.3016868198,0.2600324825,0.8980531499,2.0338073240,-0.1431957232,-0.2153985392,-0.0937339075,-0.0230625091,-0.0935490101,-0.1971198924,-0.0363727198,0.2477210390,-0.0356908833,0.3067598991,0.1779702014,-0.1037507219,0.1435970606,1.0892066083,0.9157001711,0.6331500416,1.4701154121,0.1371474533,-0.1078750222,-0.0432735477,-0.1049189998,0.5558823925,0.4681226672,0.0048748811,0.1122889133,0.2976963311,-0.1021723038,2.1533832948,-0.0464871672,1.8324911019,1.2637862307,1.6027879155,-0.0387292164,0.2312355212,1.0353256706,0.0982108879,0.0077531713,0.1075761976,0.0486381737,-0.0151800391,0.0399373054,-0.0872663059,1.3031095667,0.0225883950,1.8376394908,2.6170444776,3.0025818880,-0.0838376808,-0.1904686449,0.6685453986,1.0751941698,-0.0846129696,0.3844459151,-0.1128206664,0.0060768109,-0.0862323466,-0.0485023446,0.0610624454,-0.0383458782,0.0549084409,0.5158594621,1.1154199801,0.1620686616,0.0711872429,-0.0020615773,0.3965836786,2.2326306359,-0.0273664836,-0.0974640826,0.2509317977,1.4317598952,-0.0453533062,-0.0724101748,-0.0598541774,-0.0734716319,1.4183432570,1.4629609655,0.8582563715,2.5320026251,-0.0911880921,1.1378867638,0.0982792469,-0.0359266409,-0.0672883936,0.1038080066,0.1428532357,0.2536230376,0.1754657070,-0.1366913221,Control
GSM481011,-0.0582183444,-0.0906920585,-0.0669179047,0.2295599894,-0.2844685811,1.0506679366,3.3995239603,0.2134416000,-0.0661589997,0.0080882865,1.1929691749,-0.1498224161,0.3705056948,0.6087986411,-0.0870217879,0.5806935298,0.4735822696,0.3779754767,2.3718157279,-0.1017086262,-0.4703186149,-0.0104506690,-0.0487218109,0.0162686964,-0.1730886077,-0.0570911442,-0.0583428343,-0.0181835081,0.1974606326,0.0948011485,-0.1059520594,0.2670178511,1.4613334589,1.1087472470,0.2530173084,1.5207398576,-0.0155844089,-0.0143226478,-0.0408191452,-0.2251044646,0.8748071725,0.0141741859,-0.1155827556,0.0571182206,0.3504476787,-0.1425190585,2.2447497329,-0.0191171079,1.7154485098,1.6839087480,1.0647651481,-0.0396283660,0.2905961069,1.2625797519,0.2946575154,-0.0055239440,-0.0610166781,0.0602992324,-0.0271469704,0.1297885573,-0.0478217234,1.4140396192,-0.0093488651,2.2827488449,1.5134662240,1.9497392046,-0.1352605632,-0.2875240759,0.8796043668,0.7629880970,0.0440684883,0.2189997299,-0.0728182171,-0.0719123300,-0.0933449689,-0.0513703098,0.0073254529,-0.0510652071,0.0195050911,0.3978262835,1.5733309313,0.2404869166,-0.0120833156,0.0802804192,0.2711141126,2.7051634244,-0.0538524333,-0.1592199401,0.2114646371,0.1645018717,0.0110394834,-0.0610902679,-0.1280837371,-0.0633816822,1.1332154607,1.0243768138,0.8445791476,2.9243183808,-0.0738799619,1.3700665053,0.0436406151,-0.0414344758,-0.1516213226,-0.0462587857,0.1693343590,-0.0169360280,0.3213558123,-0.1477645581,Control
