@relation data

@attribute id string
@attribute 259307 numeric
@attribute 2805 numeric
@attribute 2806 numeric
@attribute 5053 numeric
@attribute 6898 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,-0.2109347401,0.7768369568,2.5969748497,-0.1046449626,-0.0959256387,BRCA
GSM480985,-0.1350555477,0.5491488435,2.4047347307,-0.0195715140,-0.0912240379,BRCA
GSM480986,-0.1420713092,0.7696635052,3.0418111483,-0.0241400091,-0.0775176493,BRCA
GSM480987,-0.1223850797,0.9765144884,2.7002402940,-0.1458421366,-0.0577166219,BRCA
GSM480988,-0.1704416947,0.9264586287,3.0337750910,-0.0363006175,-0.0697616324,BRCA
GSM480989,-0.2754866534,0.8011272412,3.1330703897,-0.0984296726,-0.0131793535,BRCA
GSM480990,-0.1629155403,0.6278177781,3.4345294637,-0.0851731477,-0.0583580705,Control
GSM480991,-0.0116938321,0.7227592406,3.1577889920,-0.0614917460,-0.0510956025,Control
GSM480992,-0.1264083494,0.6307045531,3.4128646853,-0.0486547439,-0.0672809145,Control
GSM480993,-0.1381580829,0.8724870043,3.1817195413,-0.0105652373,-0.0503043692,Control
GSM480994,-0.0335503179,0.7796855284,3.2226191363,-0.0366243306,-0.0683848297,Control
GSM480995,-0.1084399993,0.7564536557,3.0766239167,-0.1151057856,-0.0873897151,Control
GSM480996,-0.2098684686,0.7305507098,3.1133262313,-0.0537207992,-0.0180847987,BRCA
GSM480997,0.2547724216,0.7446726410,2.7612533570,-0.0506799789,-0.0093979661,BRCA
GSM480998,-0.2078058942,0.7095847824,2.9268547697,0.0037626063,-0.0518743016,BRCA
GSM480999,-0.2344810337,0.6207948442,2.8948005837,0.0016356113,-0.0748382436,BRCA
GSM481000,-0.1742135627,0.6487010038,2.6942606767,-0.0241193891,-0.1055358571,BRCA
GSM481001,-0.1295511756,0.5723676726,2.5675758520,-0.1060303497,0.0147717012,BRCA
