@relation data

@attribute id string
@attribute 10498 numeric
@attribute 1385 numeric
@attribute 1387 numeric
@attribute 2033 numeric
@attribute 5567 numeric
@attribute 5568 numeric
@attribute 5573 numeric
@attribute 5575 numeric
@attribute 5576 numeric
@attribute 5914 numeric
@attribute 6256 numeric
@attribute 8202 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,2.1342009172,0.0194301160,0.6553813652,1.5206031688,0.8322542454,-0.0220457165,1.5804264784,0.1835977883,0.0708837804,0.0054718762,0.9204617303,0.3435558803,BRCA
GSM481003,2.5189710987,0.0187250819,0.6896365619,1.5765347331,0.6319902162,0.0102665505,1.4306810153,0.2775854540,0.0839032548,0.0321289996,0.8595386953,0.2293424922,BRCA
GSM481004,2.3119915856,0.0489846332,0.7104525116,1.4211680973,0.6800325786,-0.0396932616,1.3028280862,0.4924258457,0.0900657546,-0.0550780728,1.2359945222,0.2723151249,BRCA
GSM481005,1.8005984227,0.0936311534,0.6607257612,1.5339801088,1.2306991819,-0.0333261071,1.7659622869,0.2887021348,0.0123217801,0.0193623169,1.0320280119,0.5828735784,BRCA
GSM481006,2.1793656349,0.0438960250,0.4717476930,1.9997731411,0.9264100611,-0.0789564253,1.9199747352,0.4230002210,0.0664586208,0.0438292581,0.9341763254,0.5056926487,BRCA
GSM481007,2.5048043992,-0.0388119381,0.6012359342,1.4547199384,0.7558958770,0.0370700779,1.4966602238,0.1037381588,-0.0151180974,0.0882056575,0.8169288688,0.2806929290,BRCA
GSM481008,2.2536927859,0.1053648011,0.6167750674,1.5937150419,0.7458980968,0.0274709704,1.3636300043,0.2674738216,0.1533503204,0.0870531864,1.1870108308,0.3181488231,Control
GSM481009,1.6053765151,0.0205618788,0.5215228253,1.3526445291,0.8545450949,0.0046873059,1.8241724720,-0.0853712003,-0.0314247598,-0.1141318615,0.6041149985,0.3561174016,Control
GSM481010,1.7102371718,0.1562225824,0.6855350051,1.6499485337,1.0751941698,-0.0846129696,1.8411717293,0.4025551735,0.0782325012,0.0060520500,0.9438281523,0.4222894315,Control
GSM481011,2.7984124820,0.0381124616,0.4229259233,1.0696674976,0.7629880970,0.0440684883,1.3068219577,0.3510860135,0.0081781969,0.0494356066,1.0993553696,0.2929815436,Control
GSM481012,1.9892742633,0.1050884402,0.6765523788,1.7425010057,0.8765752078,-0.0386734165,1.5415938040,0.2400153498,0.1237532776,-0.0119034234,1.0789767382,0.3728494801,Control
GSM481013,2.4431630373,-0.0100674866,0.4842584514,1.4858982488,0.5152571224,-0.0325304772,1.4276103853,0.2573734153,0.1741443308,0.0679759015,1.1169746970,0.3203786196,Control
GSM481014,1.9620063437,0.2480745687,0.6785546905,1.5772262514,0.8384942376,-0.0312758387,1.5259902455,-0.0759750416,-0.0047246915,0.0934995478,1.0617745398,0.7232449699,BRCA
GSM481015,2.6809909873,0.0740842147,0.5045228371,1.6954124608,0.7360022109,-0.1120149191,1.1883931380,0.2887167094,0.0673557344,0.1600088173,1.1480176262,0.4295065007,BRCA
GSM481016,1.9898448522,0.1760818481,0.4943826854,1.4582582964,0.9148220082,-0.0572757143,2.0870520914,0.1002645297,0.0890900011,-0.0427479039,0.7914652986,0.4180080505,BRCA
GSM481017,1.1140839194,0.2816253087,0.5270512915,1.7544407136,1.3581797799,0.0239089333,2.1383833906,0.1165186564,0.0899535986,-0.0195518144,0.5753589615,0.5382107942,BRCA
GSM481018,2.2824593386,0.0651374135,0.4967212536,1.1853656675,0.3412525918,0.1137587935,1.2763793873,0.1258620331,0.0667983059,0.0578485642,1.4082362606,0.2179489024,BRCA
GSM481019,2.0105868842,0.1438863087,0.4617265635,1.5947603248,1.0268329625,-0.1091818104,1.7920439258,0.6030391826,0.0998013081,0.0722920809,0.9786249436,0.3968424934,BRCA
