@relation data

@attribute id string
@attribute 10000 numeric
@attribute 10488 numeric
@attribute 10681 numeric
@attribute 107 numeric
@attribute 108 numeric
@attribute 109 numeric
@attribute 1103 numeric
@attribute 111 numeric
@attribute 112 numeric
@attribute 1128 numeric
@attribute 1129 numeric
@attribute 113 numeric
@attribute 1131 numeric
@attribute 1132 numeric
@attribute 1133 numeric
@attribute 1136 numeric
@attribute 1137 numeric
@attribute 114 numeric
@attribute 1141 numeric
@attribute 1143 numeric
@attribute 115 numeric
@attribute 1385 numeric
@attribute 148327 numeric
@attribute 196883 numeric
@attribute 207 numeric
@attribute 208 numeric
@attribute 23236 numeric
@attribute 2353 numeric
@attribute 23533 numeric
@attribute 2534 numeric
@attribute 2767 numeric
@attribute 2770 numeric
@attribute 2771 numeric
@attribute 2773 numeric
@attribute 2775 numeric
@attribute 2776 numeric
@attribute 2782 numeric
@attribute 2783 numeric
@attribute 2784 numeric
@attribute 2785 numeric
@attribute 2786 numeric
@attribute 2788 numeric
@attribute 2791 numeric
@attribute 2792 numeric
@attribute 2793 numeric
@attribute 3265 numeric
@attribute 3708 numeric
@attribute 3709 numeric
@attribute 3710 numeric
@attribute 3717 numeric
@attribute 3759 numeric
@attribute 3760 numeric
@attribute 3761 numeric
@attribute 3763 numeric
@attribute 3768 numeric
@attribute 3770 numeric
@attribute 3784 numeric
@attribute 3785 numeric
@attribute 3786 numeric
@attribute 3845 numeric
@attribute 43 numeric
@attribute 4893 numeric
@attribute 51764 numeric
@attribute 5290 numeric
@attribute 5291 numeric
@attribute 5293 numeric
@attribute 5294 numeric
@attribute 5295 numeric
@attribute 5296 numeric
@attribute 5330 numeric
@attribute 5331 numeric
@attribute 5332 numeric
@attribute 54331 numeric
@attribute 5566 numeric
@attribute 5567 numeric
@attribute 5568 numeric
@attribute 5578 numeric
@attribute 5579 numeric
@attribute 5582 numeric
@attribute 5594 numeric
@attribute 5595 numeric
@attribute 55970 numeric
@attribute 5613 numeric
@attribute 56479 numeric
@attribute 59345 numeric
@attribute 596 numeric
@attribute 60482 numeric
@attribute 64764 numeric
@attribute 773 numeric
@attribute 774 numeric
@attribute 775 numeric
@attribute 776 numeric
@attribute 778 numeric
@attribute 779 numeric
@attribute 814 numeric
@attribute 815 numeric
@attribute 816 numeric
@attribute 817 numeric
@attribute 818 numeric
@attribute 84699 numeric
@attribute 8503 numeric
@attribute 8973 numeric
@attribute 90993 numeric
@attribute 9132 numeric
@attribute 94235 numeric
@attribute 9586 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,0.6797332095,1.0326234206,0.0959430252,-0.0213125190,0.0324851423,0.6906278624,-0.1324340716,-0.1873276656,0.3041730966,-0.1613207489,-0.1624797086,0.6485430572,-0.0921196936,-0.1150935011,-0.0374228553,-0.1413263561,-0.2263517467,-0.0936600890,0.1107516646,-0.1410303510,0.6758355689,0.0194301160,0.0532491580,-0.0496203903,2.3584245311,0.3070585448,0.2858521625,-0.0801269710,-0.0131690648,0.4023514937,1.2075416012,0.6288589894,0.7379945731,0.9289300937,-0.0401020524,0.4478188096,0.8279611501,0.4049960374,-0.0520556581,-0.0282765614,-0.0979167008,-0.0631695779,2.0719431177,-0.1301306970,-0.0066118414,0.8212452234,0.2178563230,-0.0355535233,0.0663673716,0.0485487563,-0.0613169079,-0.1085960651,-0.1125946463,-0.1404320522,-0.0647249295,-0.0006162515,-0.0229599379,-0.2262215326,-0.0441216417,0.1314761901,-0.2277602058,0.8848718814,-0.1653896839,0.3417825494,-0.1444193100,0.8497827404,-0.0743738270,0.0027666772,1.1555331424,-0.0931709614,1.4761069679,-0.1197500205,0.2650621481,0.9091838176,0.8322542454,-0.0220457165,0.2608651281,-0.0981862237,-0.0750473595,0.3768321643,1.1201675758,1.4082001351,0.0696381372,-0.1373379810,0.8352787644,-0.0618729870,-0.1210887922,0.4093352354,0.0273020777,-0.1666344329,0.0616552577,-0.1493906910,-0.1655657803,-0.1343908462,-0.1211625478,-0.0715993912,-0.0731259508,0.5784964499,-0.0098517653,-0.1035053434,-0.0795126762,-0.1345407805,1.9444277437,-0.0301870072,-0.1241024184,0.0282722054,BRCA
GSM481003,0.3007907103,1.1906844509,0.0999994444,-0.0692073683,-0.0064876447,0.4153288136,-0.0686369230,-0.1628839508,0.2577621225,-0.0974529824,-0.0839174626,0.8073847730,-0.0861088868,-0.0702538822,-0.0588795547,-0.0986222952,-0.2163716475,-0.1100853766,0.0600792278,-0.1066975488,0.4801001175,0.0187250819,0.2865917172,-0.1103498666,2.5114432043,0.3973698837,0.1101227322,-0.1516893194,-0.0067144994,0.4055141435,1.3259332918,0.8103868588,0.8040623380,0.7902084636,-0.0551309586,0.2624370770,0.7446148635,0.3861772509,0.0136994388,0.0082499009,-0.0398267657,-0.0038146086,1.4007776942,-0.1463896707,-0.0387087499,0.9474795161,0.0514344826,-0.0627746906,0.4280975269,0.0121588141,-0.0329839465,-0.1122310973,-0.1006830613,-0.1225387265,0.1231903534,0.0609469644,-0.0432902732,-0.1678764164,-0.0353896676,0.0738842817,-0.1059604982,0.9542065300,-0.0687760951,0.1791957579,-0.1042557524,1.4233998538,-0.0506758328,0.0220997693,1.4443705760,-0.1266500411,1.5995909609,0.2789530126,0.1972087900,0.9189770192,0.6319902162,0.0102665505,0.2829620648,-0.0518483993,-0.0337643415,0.4223379152,1.1333078442,1.5228428889,0.3544240996,-0.1099449393,0.3278987228,-0.0646676839,-0.1201912766,0.4052668924,0.0255917369,-0.0262991270,0.0114212718,0.0389886080,-0.0596940244,-0.1179253610,-0.1142712507,-0.0022023061,0.0580019309,0.4392622436,0.0177999127,-0.1823539681,0.1190332978,-0.0927025434,1.9215771188,0.0127167637,-0.1113222497,0.1443012707,BRCA
GSM481004,0.4733082638,1.0233543507,0.1646906034,-0.0682730252,-0.0572336419,0.7538955795,-0.0710035251,-0.1865766728,0.4959490365,-0.1484792840,0.0059704190,1.0032708717,-0.0867666750,-0.1088760598,-0.0834744840,-0.0996539552,-0.2000230279,-0.0400951271,0.0626001494,-0.1339788224,0.5932523358,0.0489846332,0.1727575446,0.0553660385,2.2194539971,0.4676012300,0.4210706907,-0.2391101478,-0.0146582856,0.6183126943,1.0587875816,0.8890818098,0.7018607473,0.7554294536,-0.0439653979,0.3193705141,0.7807461512,0.5521416770,0.0250083253,-0.0385375693,-0.0696329902,-0.0421145539,1.8515151408,-0.1982034243,0.0844486295,0.8814408686,-0.0097076942,-0.0462495909,0.4999212028,0.1063429446,0.0210825769,-0.0772627148,-0.1143704884,-0.0805324784,0.0579700721,-0.1098010275,-0.0156653527,-0.2014027276,0.0408211462,0.0657351969,-0.1851984613,0.9630198516,-0.1454869720,0.1934292825,-0.0326631340,1.4479867770,-0.1540841441,0.0015714503,1.2018412555,-0.1195634382,1.5031896006,-0.0322893260,0.1437460496,0.6950635329,0.6800325786,-0.0396932616,0.4684481415,-0.1085750333,-0.0723416345,0.5495924441,1.3982536542,1.3914726415,-0.0129986513,-0.1126707969,0.5141371712,-0.0883470983,-0.0713303005,0.4052161639,0.1102480373,-0.0793408401,0.0692754934,-0.1091377224,-0.1834103518,-0.1191275287,-0.0588113764,-0.0441430938,-0.0617234432,0.5186807821,0.0930184553,-0.1536644187,0.1043470586,-0.0529431579,1.8335028190,0.0029900568,-0.0985009841,0.0284953201,BRCA
GSM481005,0.7983672971,1.0787079631,0.1558229845,-0.0925683750,0.0108283770,0.8534066271,-0.0412689472,-0.1859157358,0.4385876315,-0.1728358746,-0.1334830193,1.1066493301,-0.0942889848,-0.0710469615,-0.0662024622,-0.0674410585,-0.2084138157,-0.0452075420,0.0993260629,-0.1500679210,0.3788599880,0.0936311534,0.1044379431,0.2799949490,2.3890128664,0.4302809539,0.2068608563,-0.1103455591,0.0304015636,0.4258142904,1.3188462358,0.9670564680,0.7327531320,1.0908687503,-0.0375340859,0.5904648845,0.7418772494,0.4407993471,0.1431259238,0.0048406354,-0.0900424109,-0.0373471825,2.0844613116,-0.1005716819,0.0298131270,0.8521304950,0.1994229225,0.0021436654,0.1212341356,0.0221718806,0.2888859612,-0.0904623089,-0.1151282118,-0.0858495171,0.0677875152,0.1158797713,-0.0347035827,-0.2259792899,-0.0955468552,0.1621117626,-0.1720020754,0.8978069759,-0.1371271478,0.2936143763,-0.0949890131,1.0055721670,-0.1223234448,0.3289049813,0.9524374414,-0.0819878108,1.3645848670,0.4609039199,0.2903279221,0.7765841372,1.2306991819,-0.0333261071,0.3166812967,-0.0871069950,-0.0307554886,0.4403047296,1.3712493853,1.7118040177,0.0699015529,-0.1189582290,0.7196760476,-0.0833753531,-0.1068961464,0.4912779206,0.0384590172,-0.0450605596,-0.0445056149,-0.1045152437,-0.1310550471,-0.0965664503,-0.0529422042,-0.0436124759,-0.0344820515,0.6463682539,0.0669458035,-0.1944856476,0.0457376592,-0.0040749241,1.9045748176,0.0950296869,0.0019805360,-0.0159742344,BRCA
GSM481006,0.6102282105,0.9869866702,0.0940744485,-0.0610226503,-0.0522829933,1.2541987586,-0.1120946832,-0.1669847436,0.5766390173,-0.1250821797,-0.1039089642,0.8823370718,-0.0944013842,-0.0627491908,-0.0608680601,-0.0915359716,-0.1999806803,-0.1439105411,0.0755568916,-0.1734804436,0.6523239961,0.0438960250,0.0102141040,-0.0951017123,2.7993582883,0.4174783649,0.1912894818,-0.1162875150,0.0247047886,0.4241999837,1.4356097507,1.2209734655,0.8024770168,1.0996662435,-0.0243946056,0.6643883944,0.8980883528,0.5024565970,0.0676333264,-0.0312742843,-0.0409805291,-0.0047965163,1.7298908366,-0.1092058139,0.0551767207,0.8876503406,0.1351932498,0.0168171378,0.2181934865,0.0171736931,0.0851503165,-0.1059191358,-0.1273143651,-0.0471436286,0.0939306240,-0.0648554399,-0.0508138391,-0.2021338409,-0.1070642712,0.1676137317,-0.1062533939,0.6079864987,-0.1534552708,0.2433270854,-0.0674328190,1.3385462081,-0.0515387084,0.2390861619,1.1112498336,-0.1256054163,1.5441306196,-0.0461319976,0.1627931487,1.0743387982,0.9264100611,-0.0789564253,0.2588561041,-0.1044239603,-0.0489088737,0.3909603753,0.9865753614,1.6287609772,0.2576344930,-0.1049866540,0.7344815110,-0.0787858003,-0.1183432675,0.4376157016,0.0539594061,-0.0446093874,0.0959829012,-0.1013233678,-0.1325347712,-0.1005041568,-0.1196137335,-0.0572130085,-0.0572261756,0.6276549524,0.0269040916,-0.2288958830,0.1659671659,-0.0857847610,1.9483212852,0.0928841604,-0.0675209105,0.0634249029,BRCA
GSM481007,0.3836162349,1.1779389943,0.1175155551,-0.1091924483,-0.0409257532,0.8056753526,-0.1120583271,-0.0611303696,0.6382880130,-0.1505782839,-0.0713494149,0.5886042261,-0.0595955011,-0.0405662624,-0.0971057890,-0.0598651408,-0.1843028380,-0.0965363181,0.0614572585,-0.1347374510,0.4626764772,-0.0388119381,0.5023200977,0.0258853085,2.4604020782,0.2757121727,0.1294501655,-0.0361999132,0.0693962222,0.3561066310,1.2181181839,1.1343356063,0.6969900434,0.6895177521,-0.0594928700,0.3499374598,0.6832716253,0.7389051489,0.0082447724,-0.0001031797,-0.0702233489,0.0576778140,2.0440874497,-0.0969640405,0.0206030341,1.1560421735,0.0550178691,-0.0743076288,0.3613447715,0.0266022543,0.4017429512,-0.0773612424,0.0205768486,-0.0740431870,0.3944847103,0.0432731199,-0.0675590451,-0.1561633002,-0.1179007570,0.1433539864,-0.0992529615,0.8448888773,-0.0154575356,0.1014056848,-0.0381952070,1.4767880777,-0.1263724936,0.1471414633,1.4279245571,-0.0836514095,1.4868055220,0.1430614591,0.0063761506,0.9259418572,0.7558958770,0.0370700779,0.2214731303,-0.0580448157,-0.0014222495,0.2606000659,1.0516917631,1.7198813632,0.1321595838,-0.1414198985,0.4905876240,-0.0395099294,-0.1001035062,0.3254073675,-0.0918270944,-0.0365317128,0.0120281918,0.0822912043,-0.1165982584,-0.0872170766,-0.0277541616,-0.0056203018,-0.0304605411,0.5291107847,0.0170823853,-0.1719128159,0.0523188741,-0.0686102444,1.7008204061,0.0655122994,-0.1091753465,0.1224295842,BRCA
GSM481008,0.5217626055,0.9932991063,0.1762107810,-0.1022847509,0.0073234723,0.9556061970,-0.0425964954,-0.0927685142,0.2863269619,-0.1808517431,-0.1435907379,0.7602961962,-0.0874917199,-0.0663356786,-0.0422356293,-0.0665452741,-0.2154147175,-0.0445672441,0.0983278469,-0.1263851254,0.3568348908,0.1053648011,0.3442835683,-0.0347283245,2.1300801171,0.4476290999,0.1979250253,-0.1402303537,-0.0033952392,0.5704126423,1.2615825528,0.9561627172,0.6497903308,0.9398854532,0.0040104141,0.3171693577,0.5812673489,0.5733324594,0.3323945552,-0.0138166144,-0.0801251363,-0.0930239435,2.9869054159,0.0118098752,0.0765580802,1.2938889639,0.0515839298,-0.0320775752,0.3614642392,0.0374788624,0.5047445515,-0.1459368854,-0.1347613362,-0.1044301243,-0.1400359808,0.0145189985,-0.0588205382,-0.2105213920,-0.1498266978,0.1743810166,-0.2319747569,0.9191996994,-0.0932542066,0.1758980179,-0.0852505426,1.1338950680,-0.0720937303,0.0879067641,1.1462765579,-0.1060613890,1.6687167920,0.0366716310,0.5126946868,0.9102283842,0.7458980968,0.0274709704,0.2738108856,-0.1056714096,-0.1196029719,0.4047704326,1.0726860836,0.9962933176,0.1268309088,-0.1801906082,0.5189527079,-0.0483734958,-0.1431323278,0.6221907198,0.0356817876,-0.0783637467,-0.0574690060,-0.0676376425,-0.1599896951,-0.0672450389,0.2864549936,-0.0415118158,-0.0830571034,0.1656969287,0.0952502571,-0.1492333114,0.0282589524,-0.0901200781,1.6987448883,0.0313798028,-0.0820205758,0.2377787365,Control
GSM481009,0.5489170128,0.3826051094,0.0263316522,-0.1314133674,-0.0292480118,0.4983229081,-0.0496606141,-0.2549137573,-0.0641390445,-0.3189999972,-0.1498119084,0.8146943457,-0.1382546349,-0.0382532051,0.0224808928,-0.1598228988,-0.2823784078,-0.1893536572,-0.0638679097,-0.1649900276,0.2691004176,0.0205618788,-0.0517904690,-0.0942478679,1.7882246540,0.1436777954,0.2812716372,-0.1590186953,-0.0460119554,0.1867759509,1.1639748752,0.7515524406,0.5076287837,0.8664243184,-0.0821720857,0.4197121219,0.6165255239,0.3277122399,-0.0187472406,0.0075181638,-0.1442451389,-0.1290513484,2.0699307456,-0.1774287639,0.1133095631,0.5253295350,0.2000191124,-0.0548121327,0.1931102983,0.0230332860,-0.0858926145,-0.1220137866,-0.2608585694,-0.1276966191,-0.1738041897,-0.0402214492,-0.0503741214,-0.3868646886,-0.0448022943,0.1793832846,-0.2343592718,0.7767756040,-0.1309069859,0.2437746771,-0.0950082633,0.4174557194,-0.1321362915,0.1336468826,0.6547553167,-0.1955891928,1.2002787294,-0.0985022541,0.0462389344,0.6558841348,0.8545450949,0.0046873059,0.3586061170,-0.1066654161,-0.1903911113,0.2795271149,0.7096309500,1.3603622399,-0.0978849678,-0.1095084352,0.6463254577,-0.1458780054,-0.0119332355,0.3081735654,-0.1560574059,-0.3710420671,-0.0553855791,-0.1449972377,-0.1978353354,-0.0726911084,-0.0818952853,-0.1110477333,-0.0924537415,0.4795865551,-0.0723620999,-0.2692948840,0.0289410084,-0.1027054889,2.0046803781,-0.2368355281,0.0616575229,0.0173002317,Control
GSM481010,0.6249280034,0.7977590973,0.1181509570,-0.0856121376,-0.0299397763,0.5580687042,-0.1018223188,-0.1150484082,0.2565518150,-0.1155087241,-0.1043352961,1.0041584842,-0.0822335011,-0.0864674098,-0.0984047699,-0.0588417628,-0.2048177058,-0.1091626319,0.0144259163,-0.1098711116,0.3016868198,0.1562225824,0.0298218358,-0.0356908833,2.1086231072,0.3798376370,0.3067598991,-0.0893704778,0.0036142197,0.7505683312,1.0892066083,1.4438292494,0.7358219301,1.3039561975,-0.0533458203,0.6331500416,0.7687349256,0.3140299377,-0.0330859112,-0.0491772037,-0.0575684468,-0.0147443671,1.7387604249,-0.1416044151,-0.0111925566,0.9039840400,0.4681226672,0.0048748811,0.1122889133,-0.0186596700,-0.0422966910,-0.1073289830,-0.0934214928,-0.0553104654,-0.0213890751,-0.1056730654,0.0315012316,-0.1363413408,-0.0350199669,0.1744263203,-0.0515284848,1.2621549368,-0.1072482466,0.2892597577,0.0721562371,1.1752510060,-0.0223426086,0.1319778106,1.1194783820,-0.0872663059,1.3031095667,0.0225883950,0.3157774927,0.6685453986,1.0751941698,-0.0846129696,0.3844459151,-0.1128206664,-0.0485023446,0.5158594621,1.1154199801,1.9193168806,0.0711872429,-0.1051747542,0.8611366566,-0.0879259115,-0.1131207672,0.3917526350,-0.0104726480,-0.0347113972,-0.0453533062,-0.0724101748,-0.0598541774,-0.0734716319,0.0214444121,-0.0057435957,-0.0126254933,0.7562955471,0.0440597638,-0.1402771757,0.2118905579,-0.0446190662,1.6773052562,-0.0680362243,-0.1251607268,0.1772532665,Control
GSM481011,0.3773361022,1.5676906770,0.1424185228,-0.0661589997,0.0080882865,1.1929691749,-0.0549581630,-0.1498224161,0.3705056948,-0.2099401156,-0.0174020684,0.6087986411,-0.0953929259,-0.0511139632,-0.0742707906,-0.0928712061,-0.2297280520,-0.0870217879,0.0824087924,-0.1151094017,0.5806935298,0.0381124616,0.1596859573,-0.0181835081,2.7272794777,0.4895673924,0.1974606326,-0.1973138971,0.0986143788,0.2638565085,1.4613334589,0.7541625414,0.7795279973,0.7538124666,-0.0865289202,0.2530173084,0.6951909607,0.5910138850,0.0443884449,-0.0113668426,-0.0725463081,-0.0267178286,2.2713911864,-0.1934635937,-0.0012641086,1.1300241724,0.0141741859,-0.1155827556,0.0571182206,0.0504960761,0.1526257586,-0.0431503253,-0.1144751222,-0.0403047744,0.1158401980,-0.0335427202,-0.0280116964,-0.2348380058,-0.0753825183,0.1905613793,-0.1212528271,0.7011700384,-0.1788172826,0.2223992294,-0.1192103243,0.9093435548,-0.0940577877,0.0018939260,1.3710955015,-0.0478217234,1.4140396192,-0.0093488651,0.1901781862,0.8796043668,0.7629880970,0.0440684883,0.2189997299,-0.0728182171,-0.0513703098,0.3978262835,1.5733309313,1.4365228034,-0.0120833156,-0.0830555393,0.6016605651,-0.0457399186,-0.0917457479,0.4563443266,-0.0060670441,-0.0833411383,0.0110394834,-0.0610902679,-0.1280837371,-0.0633816822,0.0216441399,-0.0260395241,-0.0681232988,0.5062603640,0.0608758262,-0.2156695834,-0.0562693753,-0.1030923737,2.0901275138,0.0388561408,0.0715863965,0.0456852345,Control
