@relation data

@attribute id string
@attribute 3141 numeric
@attribute 686 numeric
@attribute Class {Control,BRCA}

@data
GSM427158,6.546750276,9.90490971,Control
GSM427159,6.8870092095,9.063247518,BRCA
GSM427160,7.159865635,8.928326737,BRCA
GSM427162,6.6918960715,9.012345976,Control
GSM427163,6.60400497,9.018235741,BRCA
GSM427164,6.4801645735,9.129592857,BRCA
GSM427165,6.486682905,7.956406833,BRCA
GSM427166,6.497941734,9.414051539,Control
GSM427167,6.7739063285,8.813541624,BRCA
GSM427169,7.053714251,9.547965054,BRCA
GSM427170,6.7329066185,9.410706331,BRCA
GSM427171,6.7276041315,9.051032927,Control
GSM427172,6.6273656935,9.835624557,Control
GSM427178,7.1790176605,9.290572499,BRCA
GSM427181,6.8542180585,8.986710369,BRCA
GSM427182,6.8670836965,9.088152945,BRCA
GSM427183,7.1850704815,9.326666054,BRCA
GSM427187,6.98012872,9.384309495,BRCA
GSM427189,6.7751224625,9.487448728,BRCA
GSM427193,6.7722119675,8.834092648,BRCA
