@relation data

@attribute id string
@attribute 1020 numeric
@attribute 10681 numeric
@attribute 107 numeric
@attribute 108 numeric
@attribute 109 numeric
@attribute 111 numeric
@attribute 112 numeric
@attribute 113 numeric
@attribute 114 numeric
@attribute 115 numeric
@attribute 1385 numeric
@attribute 156 numeric
@attribute 196883 numeric
@attribute 23236 numeric
@attribute 2767 numeric
@attribute 2769 numeric
@attribute 2770 numeric
@attribute 2771 numeric
@attribute 2773 numeric
@attribute 2774 numeric
@attribute 2775 numeric
@attribute 2776 numeric
@attribute 2779 numeric
@attribute 2780 numeric
@attribute 2781 numeric
@attribute 2782 numeric
@attribute 2783 numeric
@attribute 2784 numeric
@attribute 2785 numeric
@attribute 2786 numeric
@attribute 2788 numeric
@attribute 2791 numeric
@attribute 2792 numeric
@attribute 2793 numeric
@attribute 346562 numeric
@attribute 3708 numeric
@attribute 3709 numeric
@attribute 3710 numeric
@attribute 4988 numeric
@attribute 5136 numeric
@attribute 5137 numeric
@attribute 5141 numeric
@attribute 5142 numeric
@attribute 5143 numeric
@attribute 5144 numeric
@attribute 5153 numeric
@attribute 5173 numeric
@attribute 51764 numeric
@attribute 5321 numeric
@attribute 5330 numeric
@attribute 5331 numeric
@attribute 5332 numeric
@attribute 54331 numeric
@attribute 5443 numeric
@attribute 5499 numeric
@attribute 5515 numeric
@attribute 5516 numeric
@attribute 5518 numeric
@attribute 5519 numeric
@attribute 5528 numeric
@attribute 5530 numeric
@attribute 5532 numeric
@attribute 5533 numeric
@attribute 5534 numeric
@attribute 5566 numeric
@attribute 5567 numeric
@attribute 5568 numeric
@attribute 5573 numeric
@attribute 5575 numeric
@attribute 5576 numeric
@attribute 55811 numeric
@attribute 55970 numeric
@attribute 59345 numeric
@attribute 801 numeric
@attribute 805 numeric
@attribute 808 numeric
@attribute 814 numeric
@attribute 84152 numeric
@attribute 94235 numeric
@attribute 9630 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,0.2786905493,0.0959430252,-0.0213125190,0.0324851423,0.6906278624,-0.1873276656,0.3041730966,0.6485430572,-0.0936600890,0.6758355689,0.0194301160,0.0372750837,-0.0496203903,0.2858521625,1.2075416012,-0.1898532445,0.6288589894,0.7379945731,0.9289300937,0.0672894034,-0.0401020524,0.4478188096,-0.1449534562,-0.0502904367,0.5915327258,0.8279611501,0.4049960374,-0.0520556581,-0.0282765614,-0.0979167008,-0.0631695779,2.0719431177,-0.1301306970,-0.0066118414,-0.2385423698,0.2178563230,-0.0355535233,0.0663673716,-0.1330680613,0.0020297896,-0.1287161154,0.3156632036,-0.0482865163,-0.1087630948,0.0443673678,-0.0211643880,-0.0607696221,-0.1653896839,-0.0567561424,-0.0931709614,1.4761069679,-0.1197500205,0.2650621481,-0.4464550632,1.7552149694,1.2238418325,0.1263470764,0.8568766135,0.4705754342,0.4082248776,0.6486776985,1.4788247029,1.0400522820,0.1612316305,0.9091838176,0.8322542454,-0.0220457165,1.5804264784,0.1835977883,0.0708837804,-0.1348794977,1.4082001351,0.8352787644,1.3564936234,0.8265591783,2.7038153726,-0.1211625478,-0.0914513560,-0.1241024184,-0.0793503276,BRCA
GSM481003,0.6233459933,0.0999994444,-0.0692073683,-0.0064876447,0.4153288136,-0.1628839508,0.2577621225,0.8073847730,-0.1100853766,0.4801001175,0.0187250819,0.0550411200,-0.1103498666,0.1101227322,1.3259332918,-0.2042405328,0.8103868588,0.8040623380,0.7902084636,0.0914481967,-0.0551309586,0.2624370770,-0.1514659978,0.0227468857,1.8134839310,0.7446148635,0.3861772509,0.0136994388,0.0082499009,-0.0398267657,-0.0038146086,1.4007776942,-0.1463896707,-0.0387087499,-0.1215693599,0.0514344826,-0.0627746906,0.4280975269,-0.1068061618,-0.0034586129,-0.0673296129,0.1872665084,-0.0416744932,-0.1298257156,-0.0290590834,-0.0393028650,-0.0251500789,-0.0687760951,-0.0835485794,-0.1266500411,1.5995909609,0.2789530126,0.1972087900,-0.3510430108,2.2895291380,1.1675652556,0.2871639269,1.1742187960,0.4250247162,0.4766108626,0.5260021543,1.4940092098,0.8106030215,0.1265427291,0.9189770192,0.6319902162,0.0102665505,1.4306810153,0.2775854540,0.0839032548,-0.0730311580,1.5228428889,0.3278987228,1.1557139689,0.7173366560,2.6004273182,-0.1142712507,-0.0486082508,-0.1113222497,-0.0319829624,BRCA
GSM481004,0.3929387330,0.1646906034,-0.0682730252,-0.0572336419,0.7538955795,-0.1865766728,0.4959490365,1.0032708717,-0.0400951271,0.5932523358,0.0489846332,0.0771399932,0.0553660385,0.4210706907,1.0587875816,-0.2011653437,0.8890818098,0.7018607473,0.7554294536,0.0321022126,-0.0439653979,0.3193705141,-0.1723682014,0.0317613568,1.5547465569,0.7807461512,0.5521416770,0.0250083253,-0.0385375693,-0.0696329902,-0.0421145539,1.8515151408,-0.1982034243,0.0844486295,-0.1867823903,-0.0097076942,-0.0462495909,0.4999212028,-0.1280484908,-0.0085536030,-0.0036656108,0.1910524066,-0.0249704627,-0.1327878890,0.0337655045,-0.0155044806,-0.0654141651,-0.1454869720,-0.0147714728,-0.1195634382,1.5031896006,-0.0322893260,0.1437460496,-0.2996371787,1.7228226531,1.2944579630,0.2545938927,0.9518654371,0.4821984337,0.4913007603,0.5568734760,1.5397735213,1.2435202534,0.1383806468,0.6950635329,0.6800325786,-0.0396932616,1.3028280862,0.4924258457,0.0900657546,-0.1814175458,1.3914726415,0.5141371712,1.0442493542,0.7713027104,2.5539644831,-0.0588113764,-0.0605153174,-0.0985009841,0.1464914267,BRCA
GSM481005,0.2476674517,0.1558229845,-0.0925683750,0.0108283770,0.8534066271,-0.1859157358,0.4385876315,1.1066493301,-0.0452075420,0.3788599880,0.0936311534,0.0419046780,0.2799949490,0.2068608563,1.3188462358,-0.1832310853,0.9670564680,0.7327531320,1.0908687503,0.0770652426,-0.0375340859,0.5904648845,-0.1723179964,-0.0203795227,1.3066700381,0.7418772494,0.4407993471,0.1431259238,0.0048406354,-0.0900424109,-0.0373471825,2.0844613116,-0.1005716819,0.0298131270,-0.1389343421,0.1994229225,0.0021436654,0.1212341356,-0.1012657125,-0.0856849748,0.1565610533,0.1919668133,-0.0724838182,-0.0950110781,0.0073302053,0.0842264039,0.0159930741,-0.1371271478,0.0360093063,-0.0819878108,1.3645848670,0.4609039199,0.2903279221,-0.2859061821,1.6119475168,1.2343815744,0.2552120638,0.9505772538,0.4357714798,0.4139095911,0.8398691173,1.6021617843,1.1356134855,0.3057993211,0.7765841372,1.2306991819,-0.0333261071,1.7659622869,0.2887021348,0.0123217801,-0.1767102939,1.7118040177,0.7196760476,1.5244798356,0.8702989420,2.5885585249,-0.0529422042,-0.0922441607,0.0019805360,0.0748881821,BRCA
GSM481006,0.6161047570,0.0940744485,-0.0610226503,-0.0522829933,1.2541987586,-0.1669847436,0.5766390173,0.8823370718,-0.1439105411,0.6523239961,0.0438960250,0.0626578340,-0.0951017123,0.1912894818,1.4356097507,-0.2291768656,1.2209734655,0.8024770168,1.0996662435,0.0934248020,-0.0243946056,0.6643883944,-0.1974621076,-0.1062393757,2.2930196375,0.8980883528,0.5024565970,0.0676333264,-0.0312742843,-0.0409805291,-0.0047965163,1.7298908366,-0.1092058139,0.0551767207,-0.1876618826,0.1351932498,0.0168171378,0.2181934865,-0.1102338074,-0.0903253043,-0.1015969371,0.2411975378,-0.0440893778,-0.1013019578,0.0363301982,0.0527469211,-0.0868625814,-0.1534552708,0.0852915491,-0.1256054163,1.5441306196,-0.0461319976,0.1627931487,-0.3419980726,1.9078140392,1.1296645254,0.1889084794,1.1646123734,0.2836388661,0.5408547516,0.6594483865,1.5006651944,1.0245994510,0.3482065284,1.0743387982,0.9264100611,-0.0789564253,1.9199747352,0.4230002210,0.0664586208,-0.0022474010,1.6287609772,0.7344815110,1.3858446989,0.8328808705,2.7229726611,-0.1196137335,-0.0952230781,-0.0675209105,0.4044486584,BRCA
GSM481007,0.8504661563,0.1175155551,-0.1091924483,-0.0409257532,0.8056753526,-0.0611303696,0.6382880130,0.5886042261,-0.0965363181,0.4626764772,-0.0388119381,0.0655492899,0.0258853085,0.1294501655,1.2181181839,-0.0446292206,1.1343356063,0.6969900434,0.6895177521,0.0187699569,-0.0594928700,0.3499374598,-0.1458607711,-0.0557276123,1.7801179065,0.6832716253,0.7389051489,0.0082447724,-0.0001031797,-0.0702233489,0.0576778140,2.0440874497,-0.0969640405,0.0206030341,-0.1782754386,0.0550178691,-0.0743076288,0.3613447715,-0.1090207333,-0.0521439864,-0.0501677204,0.2483914125,-0.0466121775,-0.0904304063,0.0012270083,0.0330446959,-0.0578111705,-0.0154575356,0.2361062177,-0.0836514095,1.4868055220,0.1430614591,0.0063761506,-0.2880640100,2.2768932449,0.9218534496,0.3395991211,1.3182984778,0.4223469801,0.4194701119,0.4920493394,1.1625167250,1.0916134130,0.2404658702,0.9259418572,0.7558958770,0.0370700779,1.4966602238,0.1037381588,-0.0151180974,-0.1479170981,1.7198813632,0.4905876240,0.8527704083,0.7908645495,2.4574012124,-0.0277541616,-0.0290477604,-0.1091753465,0.3768923105,BRCA
GSM481008,0.4127539547,0.1762107810,-0.1022847509,0.0073234723,0.9556061970,-0.0927685142,0.2863269619,0.7602961962,-0.0445672441,0.3568348908,0.1053648011,0.0804752711,-0.0347283245,0.1979250253,1.2615825528,-0.1406718484,0.9561627172,0.6497903308,0.9398854532,0.0071927985,0.0040104141,0.3171693577,-0.1309144032,-0.0207769804,1.0488316780,0.5812673489,0.5733324594,0.3323945552,-0.0138166144,-0.0801251363,-0.0930239435,2.9869054159,0.0118098752,0.0765580802,-0.2133168436,0.0515839298,-0.0320775752,0.3614642392,-0.1656893633,-0.0011210174,-0.0417125698,0.1721847198,0.0277784102,-0.0505692332,0.1422237464,-0.0383304746,-0.1116162429,-0.0932542066,0.3041578594,-0.1060613890,1.6687167920,0.0366716310,0.5126946868,-0.4182779963,2.6924481922,1.4909315973,0.1817884789,1.0114390291,0.3689072896,0.5476349011,0.7504032691,1.5366616944,0.8087446459,0.2826632336,0.9102283842,0.7458980968,0.0274709704,1.3636300043,0.2674738216,0.1533503204,-0.1027817861,0.9962933176,0.5189527079,0.9964291379,0.7930964681,2.4189842773,0.2864549936,-0.0752835712,-0.0820205758,-0.0837222802,Control
GSM481009,0.0189430303,0.0263316522,-0.1314133674,-0.0292480118,0.4983229081,-0.2549137573,-0.0641390445,0.8146943457,-0.1893536572,0.2691004176,0.0205618788,0.0533827994,-0.0942478679,0.2812716372,1.1639748752,-0.3330149019,0.7515524406,0.5076287837,0.8664243184,-0.0072369986,-0.0821720857,0.4197121219,-0.3442349546,-0.0464388284,0.3137319647,0.6165255239,0.3277122399,-0.0187472406,0.0075181638,-0.1442451389,-0.1290513484,2.0699307456,-0.1774287639,0.1133095631,-0.2187358925,0.2000191124,-0.0548121327,0.1931102983,-0.0976785803,0.0794728721,-0.1331262274,-0.0158857970,-0.0896897997,-0.1466586740,0.0001770023,-0.0932064185,-0.1081917371,-0.1309069859,0.1206036070,-0.1955891928,1.2002787294,-0.0985022541,0.0462389344,-0.6058493884,1.3226553269,1.1786218321,-0.0321731063,0.3147968069,0.2215378080,0.4165385507,0.6549914120,1.4563478480,0.4472229415,0.1498070048,0.6558841348,0.8545450949,0.0046873059,1.8241724720,-0.0853712003,-0.0314247598,-0.0952345277,1.3603622399,0.6463254577,1.0664309090,0.7962288941,2.6979478374,-0.0818952853,-0.2767101187,0.0616575229,0.0271284135,Control
GSM481010,0.0911745777,0.1181509570,-0.0856121376,-0.0299397763,0.5580687042,-0.1150484082,0.2565518150,1.0041584842,-0.1091626319,0.3016868198,0.1562225824,0.0361035111,-0.0356908833,0.3067598991,1.0892066083,-0.0572229483,1.4438292494,0.7358219301,1.3039561975,0.0062863231,-0.0533458203,0.6331500416,-0.0742688474,-0.0570694946,1.8188148475,0.7687349256,0.3140299377,-0.0330859112,-0.0491772037,-0.0575684468,-0.0147443671,1.7387604249,-0.1416044151,-0.0111925566,-0.1113364770,0.4681226672,0.0048748811,0.1122889133,-0.1453803612,-0.0103137346,-0.0070205861,0.1665930340,-0.0529881635,-0.1058918570,0.0824596726,0.0097971245,-0.0574371746,-0.1072482466,-0.0151800391,-0.0872663059,1.3031095667,0.0225883950,0.3157774927,-0.1669484373,1.8376394908,1.5060444668,0.3624949638,0.9558448684,0.5940305018,0.4363746757,0.7335124992,1.3844987064,1.0618852462,0.3126156600,0.6685453986,1.0751941698,-0.0846129696,1.8411717293,0.4025551735,0.0782325012,-0.0918960052,1.9193168806,0.8611366566,1.4629609655,0.8582563715,2.5320026251,0.0214444121,-0.0712172472,-0.1251607268,0.0420144455,Control
GSM481011,0.6174847923,0.1424185228,-0.0661589997,0.0080882865,1.1929691749,-0.1498224161,0.3705056948,0.6087986411,-0.0870217879,0.5806935298,0.0381124616,0.0854779879,-0.0181835081,0.1974606326,1.4613334589,-0.2463071451,0.7541625414,0.7795279973,0.7538124666,-0.0361745392,-0.0865289202,0.2530173084,-0.1002746415,0.0223711288,0.9762527951,0.6951909607,0.5910138850,0.0443884449,-0.0113668426,-0.0725463081,-0.0267178286,2.2713911864,-0.1934635937,-0.0012641086,-0.2003391834,0.0141741859,-0.1155827556,0.0571182206,-0.1112123165,-0.0283388901,-0.0114869524,0.2633818976,0.0305554722,-0.1186001253,-0.0103582193,0.0475651614,-0.1044564139,-0.1788172826,-0.0271469704,-0.0478217234,1.4140396192,-0.0093488651,0.1901781862,-0.3387130531,2.2827488449,1.1535155438,0.2241602815,1.2443000358,0.3850660645,0.5114013589,0.4358141350,1.4936494496,0.7789269015,0.1755088156,0.8796043668,0.7629880970,0.0440684883,1.3068219577,0.3510860135,0.0081781969,-0.1172843893,1.4365228034,0.6016605651,1.0243768138,0.8445791476,2.9243183808,0.0216441399,0.0172621380,0.0715863965,-0.0041702244,Control
