@relation data

@attribute id string
@attribute 10157 numeric
@attribute 51166 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,0.3593058226,-0.1664306341,BRCA
GSM481003,0.0166729242,-0.1243021974,BRCA
GSM481004,0.2473668271,-0.1702644243,BRCA
GSM481005,0.4864396438,-0.0175042200,BRCA
GSM481006,0.3347874926,-0.0117081350,BRCA
GSM481007,0.4693443904,-0.1357851355,BRCA
GSM481008,0.3190039536,-0.0691217686,Control
GSM481009,0.2398070552,-0.1681183784,Control
GSM481010,0.2650153176,-0.1036067594,Control
GSM481011,0.2455049252,-0.0368525576,Control
GSM481012,0.5172637393,-0.0102376856,Control
GSM481013,0.1448546224,-0.1223466032,Control
GSM481014,0.6135719679,-0.1750329462,BRCA
GSM481015,0.4973807818,-0.1215093391,BRCA
GSM481016,0.2753063112,-0.0711248755,BRCA
GSM481017,0.4924166065,0.2408630844,BRCA
GSM481018,0.1018872725,-0.1334690889,BRCA
GSM481019,0.2560229754,-0.0691840171,BRCA
