@relation data

@attribute id string
@attribute 10154 numeric
@attribute 1020 numeric
@attribute 10298 numeric
@attribute 10371 numeric
@attribute 10500 numeric
@attribute 10501 numeric
@attribute 10505 numeric
@attribute 10507 numeric
@attribute 10509 numeric
@attribute 10512 numeric
@attribute 1072 numeric
@attribute 10725 numeric
@attribute 1073 numeric
@attribute 11261 numeric
@attribute 1630 numeric
@attribute 1808 numeric
@attribute 1942 numeric
@attribute 1943 numeric
@attribute 1944 numeric
@attribute 1945 numeric
@attribute 1946 numeric
@attribute 1947 numeric
@attribute 1948 numeric
@attribute 1949 numeric
@attribute 1969 numeric
@attribute 2041 numeric
@attribute 2042 numeric
@attribute 2043 numeric
@attribute 2044 numeric
@attribute 2045 numeric
@attribute 2046 numeric
@attribute 2047 numeric
@attribute 2048 numeric
@attribute 2049 numeric
@attribute 2050 numeric
@attribute 2051 numeric
@attribute 219699 numeric
@attribute 223117 numeric
@attribute 2242 numeric
@attribute 22854 numeric
@attribute 22885 numeric
@attribute 23365 numeric
@attribute 23380 numeric
@attribute 23654 numeric
@attribute 25 numeric
@attribute 2534 numeric
@attribute 25791 numeric
@attribute 27289 numeric
@attribute 2770 numeric
@attribute 2771 numeric
@attribute 2773 numeric
@attribute 285220 numeric
@attribute 2932 numeric
@attribute 29984 numeric
@attribute 3265 numeric
@attribute 3688 numeric
@attribute 3845 numeric
@attribute 387 numeric
@attribute 3897 numeric
@attribute 3983 numeric
@attribute 3984 numeric
@attribute 3985 numeric
@attribute 4233 numeric
@attribute 4690 numeric
@attribute 4772 numeric
@attribute 4773 numeric
@attribute 4775 numeric
@attribute 4776 numeric
@attribute 4893 numeric
@attribute 4917 numeric
@attribute 5058 numeric
@attribute 5062 numeric
@attribute 5063 numeric
@attribute 5361 numeric
@attribute 5362 numeric
@attribute 5364 numeric
@attribute 5365 numeric
@attribute 54437 numeric
@attribute 54910 numeric
@attribute 5530 numeric
@attribute 5532 numeric
@attribute 5533 numeric
@attribute 5534 numeric
@attribute 55558 numeric
@attribute 5594 numeric
@attribute 5595 numeric
@attribute 56896 numeric
@attribute 56920 numeric
@attribute 56924 numeric
@attribute 57144 numeric
@attribute 5747 numeric
@attribute 57522 numeric
@attribute 57556 numeric
@attribute 57689 numeric
@attribute 57715 numeric
@attribute 5879 numeric
@attribute 5880 numeric
@attribute 5881 numeric
@attribute 5921 numeric
@attribute 59277 numeric
@attribute 5998 numeric
@attribute 6091 numeric
@attribute 6092 numeric
@attribute 6093 numeric
@attribute 6387 numeric
@attribute 63928 numeric
@attribute 6405 numeric
@attribute 64218 numeric
@attribute 64221 numeric
@attribute 6585 numeric
@attribute 6586 numeric
@attribute 7852 numeric
@attribute 7869 numeric
@attribute 80031 numeric
@attribute 8440 numeric
@attribute 84448 numeric
@attribute 8482 numeric
@attribute 8633 numeric
@attribute 8829 numeric
@attribute 90249 numeric
@attribute 9037 numeric
@attribute 9353 numeric
@attribute 9423 numeric
@attribute 9475 numeric
@attribute 9723 numeric
@attribute 9901 numeric
@attribute 998 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,0.0554727952,0.2358186120,0.7444360137,-0.0380599454,-0.0764764315,-0.1309263726,0.3414175511,0.6657805243,0.4016792971,0.8040542664,2.3185293673,0.7903230373,1.2752404540,0.7714346136,-0.1012522469,1.4082182420,0.4345935902,-0.0911667677,0.6811571627,0.9924632021,0.8605068971,0.2735787450,1.3540792727,-0.0900768253,2.2978889943,0.0614901286,-0.1267032524,0.3073891167,-0.1622668150,-0.0959994401,-0.0723233025,-0.1236154852,0.1082484082,0.1744022638,1.1180525678,0.0236199097,1.0525868851,-0.0830314943,-0.1007230258,-0.1349642490,0.8649652867,0.1632467478,0.3979685879,0.6468377461,0.9042891934,-0.0119043016,0.2607327730,-0.1231173135,0.9581370279,0.2980682768,1.6708331763,-0.1596078561,1.2060972602,1.3827034858,1.0380567778,0.1778868698,0.4153290968,1.9894220193,0.4208476337,2.8931840989,1.3786196138,0.5842101655,0.8759700277,0.9588077316,0.0055666104,-0.0056924950,0.2362634120,-0.1319732433,1.3243965731,-0.0444563120,0.3334267199,1.9176566821,0.2940123944,0.6036850862,-0.0145549048,0.0412885012,0.1672752520,-0.1536276266,0.6360238372,1.1392389064,1.3485143633,0.9049248654,0.5655952376,0.0539899325,0.5276523813,0.4586358647,-0.1343939601,-0.0503900328,0.6115640560,-0.1086105190,0.3606912876,0.3332132291,0.0901100781,0.0643454344,0.0086790697,2.7923812542,0.8595501635,-0.0037733043,1.2399614989,0.4996260529,0.2421713008,0.4087458890,-0.1398463000,0.0312767470,-0.1012984617,-0.1348413536,0.6595884975,0.0563007886,0.8692467949,-0.1445778472,-0.1393376663,0.1813214159,0.6948292574,-0.0847925051,0.5084218903,-0.0000353506,-0.0264936422,-0.0746058451,0.0749716201,-0.2393864281,-0.0962255459,-0.1009344438,-0.0962697911,-0.0796944764,0.1787568146,-0.0718128935,0.2693405723,BRCA
GSM480985,-0.0429903583,0.2468691167,0.6800185540,-0.0164963959,-0.1288600893,-0.1143691228,0.4775547620,0.6563523198,0.9454708142,0.7027071325,1.9290970167,1.0138720672,1.1496221342,0.8597149872,-0.1397173696,1.6160694801,0.9281440564,-0.0714188421,0.3946179897,1.0051441690,1.0309753148,0.0287074066,1.2191185442,-0.0985000041,1.4726304076,0.1517599769,-0.1576147675,0.2011255629,-0.1350313778,-0.1499125931,-0.0993677758,-0.0318239662,0.0415078793,0.2368958936,1.0512131495,0.0192735905,0.7110473468,-0.0819860575,-0.0462862588,-0.1279179946,0.9144566111,0.1718886270,0.7122715559,0.9546851069,0.9337296339,0.0315317513,-0.0007979915,-0.1358093637,0.9909502640,0.3047061024,1.2345138497,-0.2108023062,0.8787267861,0.8646977381,0.5481084954,0.1802411383,0.4587173745,1.8852531751,0.1757994879,2.4567933811,1.2969016295,0.6262552267,0.7798522333,0.9287990430,0.1157292342,-0.0120978476,0.2200896420,0.0605528395,0.8611773475,-0.1050010557,0.5376056928,1.5525041097,0.9674722773,0.4199118129,-0.0731537505,0.0454981351,0.2241805513,-0.0405194719,0.4642988248,1.0624773818,1.2292638585,0.8493034308,0.4722626175,0.0702674328,0.4521202200,0.5649788797,-0.1780149506,-0.1393745890,0.2890646078,-0.0886895525,0.4434307657,0.3836730815,0.0569228581,0.8559089469,0.2017876871,2.9129755730,0.7016111224,-0.0928695901,1.6289936866,0.6987652457,0.1151860231,0.5270812866,-0.1571762537,0.0755929606,-0.1177860802,-0.1474278699,0.5406908783,0.0159034591,0.8599242801,-0.1744928306,-0.0965420221,0.0989122819,0.2542439386,-0.1171113138,0.5190573038,-0.0083465569,-0.0010073269,0.0152309190,0.0225656420,-0.1377293669,-0.1140113862,-0.0827883298,-0.0272953311,-0.0687286226,1.1429877547,-0.0212791615,0.2437138550,BRCA
GSM480986,0.0414546452,0.4068633393,0.9048564412,-0.0524168771,-0.0809182071,-0.1409568925,0.7165283585,0.5631120363,0.7129055249,0.8620300623,2.6057420970,0.6898942973,1.3628642274,0.8397588544,-0.1117008512,1.4754170368,0.6187677085,-0.0888776452,0.6709566944,0.9531280407,0.8409946304,0.3189481294,1.2367135962,-0.1326745490,2.1415966450,0.1610744673,-0.1201133505,0.5183141914,-0.1425612019,-0.1160565061,-0.1291205856,-0.0514266284,0.1342974153,0.2369468248,1.1877880133,0.0220693010,1.1909266274,-0.1101731544,-0.0927910407,-0.1556615332,1.0258749591,0.1408613691,0.5830541156,1.0908519378,1.1216843350,0.0265829566,0.1620556448,-0.0808872352,1.1200479176,0.3719062484,1.4959124994,-0.1088310307,1.3099040800,1.5537589775,0.9493732134,0.1151252413,0.4106089262,2.0062507787,0.7813231801,2.9018210437,1.4918706133,0.6974703977,0.9021996147,0.9228339706,0.1041315888,-0.0235567874,0.2269383226,-0.0942651554,1.3830056341,-0.0238179363,0.5214103467,2.0052070367,0.4927383830,0.6475244149,0.0065424755,0.0574876073,0.0997199853,-0.0713921348,0.3993669121,1.1325124873,1.4755984701,0.6729391185,0.5177595145,0.0597239584,0.5276161861,0.5706250406,-0.1519558381,-0.1166845864,0.3945332915,-0.0471249062,0.2375885064,0.2934558798,0.0815614118,0.3177386654,-0.0217214386,3.0052631994,1.0316260259,-0.0443309298,1.0477451485,0.5039588006,0.2119032545,0.5873867289,-0.0951153095,0.0069230790,-0.1279479954,-0.1310103294,0.7939011907,-0.0235604371,0.7368531892,-0.1336056742,-0.0981034167,-0.0187492559,0.2042545231,-0.1073379437,0.4703850285,-0.0339530565,-0.0628131912,0.0146462845,0.0546909084,-0.0021350738,-0.1021153950,-0.0098110282,-0.0787089342,-0.0732849970,0.3728399184,-0.0520260228,0.2337614380,BRCA
GSM480987,0.0095837318,0.1170820677,0.5215355268,-0.1128140558,-0.1601108331,-0.1876049634,0.2888009365,0.0254366783,0.0945433233,0.2517803514,2.3601241903,0.6330583289,1.7601572115,0.6984377671,-0.1218739378,1.5738688387,-0.2173718102,-0.0780432227,0.0953078961,0.3026830389,0.3229356465,0.0162343813,0.5943098998,-0.0921906100,0.9374040384,-0.1020962969,-0.0393274132,0.2110657322,-0.1407098178,-0.1171279892,-0.0945102510,-0.0065088653,0.2082131890,-0.0261855195,0.8901930046,-0.0170188710,1.6611674565,-0.0753303428,-0.0717900882,-0.0654091481,1.9074925317,0.1640715872,0.6629274347,0.4270154356,1.5226221382,0.6367091207,-0.0543893511,-0.0791339095,1.4479325302,0.3169702389,1.2553548241,-0.1450976061,1.1273281686,0.7333242695,0.6616964770,0.0755187708,0.2296363310,1.8972162525,-0.0509558884,2.3827302886,1.4120813263,0.1690645660,0.2276951068,0.7341811885,0.0008660925,-0.0675424514,0.0944943196,0.0560522313,1.3380605279,-0.1006419634,0.4951465396,1.8267602669,0.1303720306,0.6206423380,0.0987792814,-0.0307267610,0.0263848447,-0.1199348026,0.4679356813,0.7104099762,1.6084967972,0.9346764925,0.4873980932,0.0067777652,0.4570317386,0.5260457562,-0.1376569498,-0.1032674628,-0.0295104620,-0.0378936660,0.2307216385,0.4542481143,-0.0189353020,0.0057304826,-0.0518711994,3.1002503070,0.6193592016,-0.0792779010,0.3419302189,0.3915874413,-0.0343675846,0.8372122751,-0.0876684449,0.0234027272,0.2842803322,-0.1119046295,0.8462016920,-0.0691396854,0.4738945813,-0.1618623487,-0.0563194080,0.0461068648,0.0202364169,-0.0038890448,0.3914669100,-0.0605113694,-0.1094209184,-0.1125207795,0.3437698573,-0.1133618420,0.0000762908,0.1274034072,-0.0279095516,-0.0519221399,0.0276815373,-0.0636600213,0.2226472523,BRCA
GSM480988,0.0126619597,0.0976537560,0.9508889556,-0.0615038776,0.1039327587,-0.1391160153,0.7277484178,0.6577655178,0.8381885456,0.7044465746,1.7501517537,0.7414473377,1.1883286537,0.8607449488,-0.0991538917,1.6144806998,0.5127253329,-0.1433347460,0.7104024178,1.0210266861,0.7067324833,-0.1525479216,1.0908443078,-0.1068171650,1.2827208041,0.0536540854,-0.1213456956,0.1655317554,-0.1441584461,-0.0167504171,-0.0792525920,0.0047371920,0.0355859437,0.1996138803,1.1032226315,-0.0974465758,1.2208139953,-0.1286494024,-0.1479131978,-0.1098177797,0.7396052549,0.1365992489,0.5497588264,1.3401630414,0.6879575644,-0.0273392516,0.3656831666,-0.0793759370,0.7840176249,0.1900400466,1.2965172852,-0.1343897506,1.5309302174,1.1504779458,0.4589619954,0.1863922891,0.2562269165,1.6231118301,0.2831464374,2.5452791121,1.3669745201,0.7069888865,0.6423381358,0.8401416463,0.0363874173,-0.0324344316,0.1802544055,-0.0826837866,1.0662603861,-0.2569644714,0.4710813121,1.9803916247,0.2542246198,0.6412986221,-0.0278619124,-0.0243218509,0.1508085593,-0.0532848214,0.2842878747,1.0280710610,1.3750535183,0.7414630045,0.1617906544,0.0771782055,0.4923907940,0.4829891018,-0.0857871084,-0.0950857914,0.4609995752,-0.0761343380,0.3012423917,0.1675669950,0.1158020385,0.1487021357,0.1800051463,3.0203843170,1.0542960657,-0.0808153128,1.0833758790,0.4275301529,0.1770654333,0.6867759943,-0.0697349468,0.0022991031,-0.0329350431,-0.1084911532,0.4255581323,0.0061450238,0.3364880770,-0.1093596664,-0.0623318584,0.0405815274,-0.0038541917,-0.0618644791,0.4398411243,-0.0168954301,-0.0522438588,-0.0094390644,-0.0292331753,-0.1875503009,-0.0648947758,-0.0780076649,-0.0737567819,-0.0317350667,0.0205271706,-0.0102082089,0.1930281139,BRCA
GSM480989,-0.1105571028,0.5341739923,1.1523790095,-0.1359274458,-0.0222926755,-0.1670002155,0.9268681523,0.7947321832,0.8065582941,0.2453064294,2.9739281333,0.5739627690,1.3053115380,1.0229797038,-0.1237041452,1.5850449884,0.4028235345,-0.1827233921,0.8482415203,1.1018926944,0.7329870977,0.2720215853,1.0245215606,-0.1266414181,2.3924932627,0.1245746825,-0.1530607920,0.3947585134,-0.1799256448,-0.0888548036,-0.0654245129,-0.0282804973,0.1427290906,0.3630635856,1.3422311350,0.0390873412,1.4496723965,-0.1333705986,-0.1828133873,-0.1498682859,0.9130291591,0.0371562667,0.4482105170,0.9921350694,1.0702178031,-0.0600568494,0.1622867522,-0.1959806438,0.4984121071,0.4542093934,0.9037719321,-0.1862226571,1.3318944331,1.6364211319,1.1103506463,0.1971728543,0.2400973081,2.4842128198,0.4351652247,2.9729530282,1.5982619581,0.6407319855,0.7024636094,0.5486960764,0.0318079827,-0.0543661123,0.2260949284,-0.0870816269,1.2916537300,-0.0613188860,0.5198385118,1.8099314634,0.1801736687,0.5250731271,-0.0386486631,-0.0270672734,0.1261068587,-0.1032695123,0.3854619225,0.8617932616,1.4386271053,0.5870933372,0.4391528262,0.0711280443,0.4168803811,0.8519349658,-0.1080605324,-0.0504546399,0.3935015834,-0.0274831994,0.1835803039,0.2420907983,0.0631829343,0.0828560570,0.0640375830,3.3091132243,1.1131860649,0.0289643569,0.8259597769,0.4702744209,0.3368185897,0.4590963260,-0.1366910969,0.0616616788,-0.0798440178,-0.0811708468,0.7891409795,0.0489653377,0.5065988036,-0.1373568681,-0.1774545616,0.1142120624,0.3751443012,-0.0697747974,0.2460107125,-0.0074479868,-0.0077019200,0.0142445849,-0.0544582841,-0.2241620005,-0.0738011054,-0.1059299497,-0.0322642918,-0.1349797046,0.0347856136,0.0335725704,0.2852107126,BRCA
GSM480990,-0.1122420788,0.3835640923,0.9801169453,-0.0924397538,-0.0832959179,-0.1416210072,0.6732974718,0.5164224818,0.9012195410,0.5230573196,3.1392434437,0.5295604209,1.5611404061,0.8392681946,-0.1099901107,1.6254735086,0.1935206951,-0.1034503283,0.6397338312,0.6277261257,0.6655058419,0.9616672757,0.9674149472,-0.0967055105,2.2695129963,-0.0730872524,-0.0870778535,0.1192899308,-0.0800758236,-0.0705499080,-0.0863980193,-0.0562174744,0.5721666229,0.1425925172,1.4300016351,0.1183133808,1.1433550659,-0.0878554705,-0.1501012322,-0.1432536463,0.5708799179,0.0654089239,0.7368406137,0.8627634430,1.5833527296,0.2139598701,0.2021761255,-0.1117620180,1.2059587278,0.6375199349,1.3057659769,-0.1247706040,1.3889006043,1.8046197403,1.1067612915,0.2156330049,0.3191353141,2.3151370526,0.6964452403,2.5113624069,1.8377779026,0.4901056147,0.5615265150,0.6484077813,0.0610200124,-0.0219793242,0.1574504853,-0.0915421300,0.9421872181,-0.1309208679,0.6607572544,2.1385234782,0.5839403074,0.8129826577,0.1130000483,0.0310892427,-0.0090165266,-0.0372664448,0.2843170166,0.9861059069,1.2886391192,0.5830522417,0.4347083518,-0.0115719779,0.4040678319,0.5468216389,-0.0717137678,0.1060860398,0.6784652798,-0.0090193702,0.2556535407,0.4150374993,0.2010526119,-0.1050585730,0.0760080489,3.4219261243,2.0059911716,-0.0021857500,0.7633490191,0.1805677530,0.1551810377,0.6623037608,-0.1330170528,0.0384436129,-0.0930854617,-0.1053477980,1.3265252634,-0.0275813757,0.6670851765,-0.1101067541,-0.0732414344,-0.0368276844,0.1876422188,-0.0269653077,0.4045072549,-0.0409887237,-0.0861880121,-0.0792801035,0.1747390068,-0.1601517980,-0.0578287852,0.0054202974,-0.0607742937,-0.1541326487,-0.0682514792,0.0244534443,0.1617002876,Control
GSM480991,-0.0867278488,0.4622921833,1.1151435263,-0.0021874508,-0.1738019166,-0.1265173334,0.7395086235,0.6909240906,0.7807347840,0.6507239007,2.8201174737,0.5714558330,1.2370998651,0.9410596814,-0.1344150365,1.4481090342,0.3962356234,-0.1366418102,0.7799134452,0.9717123302,0.9085670386,0.2394940780,1.1004102159,-0.1507013936,2.4486144929,0.0626617042,-0.1050152535,0.5402826306,-0.1455221533,-0.0952852496,-0.1013460516,-0.0711188950,0.2523064120,0.2719206952,1.2446339056,0.2701199394,1.2860167003,-0.0845564622,-0.1864134322,-0.1281321632,1.0022908101,0.0983325845,0.6327846698,1.3657323288,1.0545568875,0.0233230338,0.1123558068,-0.0768579735,0.8869519606,0.4446749834,1.2026453590,-0.1485752800,1.2929992116,1.9077876047,0.9763167946,0.1428165244,0.3643042232,2.0687043151,0.9167143451,3.0625184643,1.6326199131,0.7292224874,0.7570488190,0.7775347619,0.1149609155,-0.0200283858,0.1718903794,-0.1619859740,1.1985398679,-0.1432248959,0.5980931108,1.9004271532,0.3437215163,0.7585464375,-0.0188882129,0.0036257326,0.2522848226,-0.0666607180,0.3894473106,1.0007687234,1.3283271537,0.6608008562,0.3957455124,0.0778013507,0.5071865046,0.6482640730,-0.1246680651,-0.0450955541,0.3850563242,-0.0346813186,0.2348265328,0.3006852127,0.0740611656,0.2624977951,0.0922781400,3.2534763878,1.3671808253,-0.1098704728,0.9700415278,0.7996522004,0.2023603810,0.5845104582,-0.1300795857,0.0374511476,-0.1357662104,-0.1263488267,0.9176793822,0.0136739781,0.4438660461,-0.1414198279,-0.0838701752,-0.0332933852,0.1047105013,-0.0794542744,0.4099016467,-0.0093615414,-0.0303671310,-0.0067697068,0.0701053542,-0.1562136252,-0.0572528855,-0.0769866918,-0.0788755327,-0.0669590193,0.3825124261,0.0473206163,0.2150321878,Control
GSM480992,-0.0655826434,0.5325466043,1.4277543859,-0.1197728904,-0.0448223549,-0.1069281421,0.5933851287,1.0020094441,0.8712484452,0.4521049593,3.1759457587,0.5169215143,1.5355485714,0.9758864265,-0.0953484150,1.5704875454,0.4002623166,-0.1301742287,1.0457679588,1.1093210683,0.9785744835,0.4944142614,1.1825243472,-0.0769059000,2.5665596724,0.1259153261,-0.0655281633,0.1453688803,-0.1089748518,-0.1065634525,-0.0741629205,-0.1020916872,0.3309170226,0.3984310276,1.4714533861,0.3186595771,1.9479507235,-0.1201741355,-0.1614125238,-0.1091603099,1.1254824633,0.1196216665,0.5631861176,1.5484302441,1.5234704019,0.0886958316,0.3608828929,-0.0910015225,0.8968451944,0.4867185676,1.0801601244,-0.1290004689,1.5241501815,2.1009946708,1.1827308424,0.0501170250,0.2580534183,2.4234709023,1.1621286743,3.0990363293,1.9263710032,0.7821918625,0.4905067957,0.6407662356,0.1078337467,-0.0096765104,0.1676517359,-0.0247942579,0.6252961718,-0.1084225609,0.4647197556,2.0045540961,0.3293317450,0.8813837547,0.0251684229,0.0333482831,0.1782952064,-0.1284988690,0.5443603105,1.0355044920,1.4482076389,0.4972681324,0.4195187698,0.1510299486,0.4130200728,0.9082788116,-0.1208613742,-0.0418474881,0.8328277925,-0.0477632556,0.1477922502,0.2883764857,0.2095060216,0.0263695646,0.3328328291,3.4460021522,1.7252863166,-0.0008847047,0.8188718937,0.3223460364,0.2820749013,0.6728563567,-0.1058755337,-0.0010797481,-0.1293677817,-0.0713407049,1.1451735691,0.0530432304,0.6059493225,-0.1018530182,-0.1203100715,0.0245984706,0.2176710578,-0.0947218308,0.4004930503,0.0047076570,-0.1099436460,-0.0845263057,0.0710969103,-0.1075912472,-0.0473508147,-0.0960925674,-0.1004268718,-0.1714860920,-0.1280017932,0.0491579116,0.2135051408,Control
GSM480993,0.0073746058,0.3221832017,1.1702798946,-0.0839912122,-0.0186750314,-0.1501417183,0.7203557721,0.7098028266,0.7349588664,0.6517209364,2.6895048220,0.5665345361,1.4685571706,0.8986200048,-0.0853434076,1.5810912282,0.3480744068,-0.0179368118,0.8012870667,0.9817845106,0.8824901189,0.3582842054,1.1104105430,-0.0363876394,2.2881943881,0.1282270343,-0.1022027550,0.2056559241,-0.1354708491,-0.1181980786,-0.0698056307,-0.0206290290,0.1172152260,0.3148364146,1.4891710878,0.0244608924,1.3125565641,-0.0600860523,-0.1289446918,-0.1737466793,1.0162044150,0.1102057849,0.6067978367,1.0623421082,1.2434106319,0.0776393937,0.2548280592,-0.0401934836,0.9020118648,0.4554820714,1.2183062536,-0.1270416468,1.3381779529,1.6534005404,0.9945207685,0.0346996909,0.2800151646,2.1975401044,0.5866540367,2.9043682417,1.6787058631,0.7514535646,0.6604025472,0.6903401651,0.1110679841,-0.0249389388,0.2689028373,-0.0817931060,1.2895348594,-0.1129084048,0.5712389041,1.9982736738,0.2987102078,0.7086470452,-0.0035190753,-0.0634310031,0.1893348045,-0.0695136132,0.4653136720,1.0264566022,1.5829170607,0.7091649962,0.5504608139,0.1036309079,0.4741801064,0.7940912880,-0.1048696181,-0.0596764998,0.6463455347,-0.0256107600,0.3103372069,0.2945122863,0.1745172915,0.3039622200,0.2695658813,3.0886874926,1.2646617638,-0.0278967686,0.8916519929,0.4547746736,0.2828048123,0.5167426877,-0.0894192886,0.0340418489,-0.1122120117,-0.0537399848,0.8266577621,0.0203239555,0.4066464311,-0.1345023252,-0.0862038340,0.0229802592,0.2683580832,-0.0927537647,0.4365587016,0.0486583316,-0.0085996164,-0.0024148925,0.0260177059,-0.1433231052,-0.0778478299,-0.0782973294,-0.1170672637,-0.1117413986,0.2490339720,-0.0176121269,0.2080415856,Control
