@relation data

@attribute id string
@attribute 10798 numeric
@attribute 120065 numeric
@attribute 120066 numeric
@attribute 124538 numeric
@attribute 126370 numeric
@attribute 135946 numeric
@attribute 135948 numeric
@attribute 158131 numeric
@attribute 23538 numeric
@attribute 26184 numeric
@attribute 26188 numeric
@attribute 26189 numeric
@attribute 26211 numeric
@attribute 26212 numeric
@attribute 26219 numeric
@attribute 26245 numeric
@attribute 26248 numeric
@attribute 26333 numeric
@attribute 26476 numeric
@attribute 26493 numeric
@attribute 26496 numeric
@attribute 26532 numeric
@attribute 26538 numeric
@attribute 26648 numeric
@attribute 26658 numeric
@attribute 26659 numeric
@attribute 26664 numeric
@attribute 26689 numeric
@attribute 26692 numeric
@attribute 26707 numeric
@attribute 26716 numeric
@attribute 26740 numeric
@attribute 2774 numeric
@attribute 2782 numeric
@attribute 2792 numeric
@attribute 282763 numeric
@attribute 282775 numeric
@attribute 283159 numeric
@attribute 283160 numeric
@attribute 283297 numeric
@attribute 283694 numeric
@attribute 284521 numeric
@attribute 343171 numeric
@attribute 390058 numeric
@attribute 390059 numeric
@attribute 390063 numeric
@attribute 390064 numeric
@attribute 390066 numeric
@attribute 390892 numeric
@attribute 442184 numeric
@attribute 442186 numeric
@attribute 442191 numeric
@attribute 442194 numeric
@attribute 442197 numeric
@attribute 4991 numeric
@attribute 4992 numeric
@attribute 4993 numeric
@attribute 4994 numeric
@attribute 4995 numeric
@attribute 56656 numeric
@attribute 7932 numeric
@attribute 79339 numeric
@attribute 79345 numeric
@attribute 79470 numeric
@attribute 81285 numeric
@attribute 81472 numeric
@attribute 81697 numeric
@attribute 8383 numeric
@attribute 8387 numeric
@attribute 8390 numeric
@attribute 8392 numeric
@attribute 8590 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,-0.1214052701,-0.0520849928,-0.0860547274,-0.0674371144,-0.0765789866,-0.1855071726,-0.1039019804,-0.1112702098,-0.0648816416,-0.0553537350,-0.1607693998,-0.0634092704,-0.0497595579,-0.1350671020,-0.0816048075,-0.1854357355,-0.1615837722,-0.1381656419,-0.0683258472,0.0864730458,-0.0615933812,-0.0089866946,-0.1459381291,-0.0845330231,-0.1827698159,-0.0823211721,-0.1005515772,-0.1105461894,-0.0708074498,-0.1838828377,-0.0950859806,-0.1001163349,0.1330531107,0.7260348580,-0.1126273656,-0.0680326738,-0.2150909837,-0.1097835854,-0.1321048027,-0.0243204531,-0.0636796084,-0.2032757243,0.0754799558,-0.0850366965,-0.1169270825,-0.1023950888,-0.0751362457,0.0358933410,-0.1825579060,-0.1733930284,-0.2067920010,-0.2117405867,-0.1200396564,-0.2056422311,-0.1494672366,-0.0429429373,-0.1693722159,-0.2075317035,-0.1320655530,-0.1728117581,-0.2038466632,-0.0929748356,0.0148070172,-0.1130584682,-0.1383306272,-0.0625723981,-0.0518977857,-0.1045837917,-0.1282952318,-0.1688739146,-0.0307627183,-0.1503041833,BRCA
GSM480985,-0.1069467084,-0.0851876777,-0.0749230468,-0.1210715236,-0.1213391012,-0.1526774652,-0.1772517559,-0.1143809496,-0.1138290012,-0.0625803052,-0.0723497446,-0.0845216103,-0.1307118136,-0.1573165523,-0.1531780300,-0.1768754534,-0.1029586791,-0.1538233864,-0.1833335146,0.1124790620,-0.1144160455,-0.0723592600,-0.1026045451,-0.1261023909,-0.1881016044,-0.0386802969,-0.0277724730,-0.0304789566,-0.0542528390,-0.1794800693,-0.1245548373,-0.1680691752,0.1708344021,0.6644044377,-0.1372473919,-0.1090889260,-0.1837170653,-0.1112077363,-0.1658567944,-0.0264541172,-0.1409236270,-0.1141525414,-0.0646396582,-0.0372093776,-0.1244257139,-0.0402652281,-0.1318010383,0.0188443543,-0.1740695310,-0.1822075261,-0.1937829815,-0.1871637862,-0.0857664076,-0.2442721931,-0.1489701589,-0.0570142799,-0.1231182648,-0.1342104085,-0.1441701692,-0.1596285049,-0.2812746060,-0.1301901451,-0.0449083687,-0.1659511568,-0.1393859032,0.0226302319,-0.1388787126,-0.1190193531,-0.0847254850,-0.0733298959,-0.0692894067,-0.1416162750,BRCA
GSM480986,-0.0650245940,-0.0723803594,-0.1045534419,-0.1573550083,-0.1325503607,-0.1198025853,-0.1440844414,-0.0966261695,-0.0271995831,0.0003025423,-0.0651977228,-0.0983247824,-0.0053816880,-0.0528465698,-0.0773079079,-0.1461260738,-0.1155811399,-0.1463077297,-0.0552095184,0.1011216122,-0.1055256966,-0.0420021066,-0.1846807674,-0.1912551868,-0.1287567673,0.0055407386,-0.0534279618,-0.0918539659,-0.1275391269,-0.1474340271,-0.0996141467,-0.0477215517,0.1787930670,0.6901387549,-0.0677840849,-0.0659143831,-0.1220970450,-0.1144082742,-0.1616971316,-0.0584226103,0.0156725659,-0.1255878423,0.2051001163,-0.0939328607,-0.1419821885,-0.0678197656,-0.1241803867,-0.0792122419,-0.1530248066,-0.1506371869,-0.1215687173,-0.0660293756,-0.1258037296,-0.2352319937,-0.0919514489,0.0113588640,-0.1647761954,-0.1043913319,-0.1626516604,-0.1214602816,-0.1456300708,-0.1785675771,-0.0456147000,-0.0692595984,-0.1175621293,-0.0962407218,-0.1243059753,-0.1177542327,-0.1278414239,-0.0976010256,-0.0471355472,-0.0981384380,BRCA
GSM480987,-0.0405139441,-0.0579698103,-0.0562860213,-0.1092425350,-0.1257570519,-0.1542018434,-0.1036942148,-0.0926968476,-0.0745631121,-0.0534446061,-0.1524486583,-0.1064542830,0.0166798589,-0.0775150606,-0.0965691571,-0.1867579966,-0.1204242942,-0.1513058684,-0.0290832756,0.1072200187,-0.0483807333,-0.0864788671,-0.1370409622,-0.1375473105,-0.1513204524,-0.0395930079,-0.0436010334,0.0129100170,-0.0234571279,-0.1116496949,-0.1365561422,-0.0543421332,0.1585150620,0.7412058433,-0.0742860082,-0.0905161465,-0.2023192777,-0.0223218813,-0.1394518688,-0.0878197087,-0.1451419137,-0.1740565949,0.0012822370,-0.0799087827,-0.0772913141,-0.1509507038,-0.1264053177,-0.0410775537,-0.2006750443,-0.1863423861,-0.1080979047,-0.1329695110,-0.1053769410,-0.2021214295,-0.1161748767,0.0322697088,-0.0718382757,-0.0826976459,-0.0459028902,-0.1018610746,-0.2134667416,-0.1361485751,-0.0230899201,-0.1041587184,-0.0962692797,-0.1083369853,-0.0400642338,-0.0706634888,-0.0766996644,-0.1102260295,0.0658957194,-0.0895039077,BRCA
GSM480988,-0.0766595747,-0.0765885351,-0.0980703643,-0.0667589204,-0.1196501537,-0.1541571971,-0.0868220281,-0.1314910100,-0.0339767399,-0.0909078959,-0.0988236152,-0.0538371536,0.0059277583,-0.0584261509,-0.1285771840,-0.1014919920,-0.0701501638,-0.1474690818,-0.0754451959,0.1075451797,-0.1064218630,0.0169231123,0.0264222867,-0.0635759159,-0.0610510493,0.0407966833,0.0090085956,-0.0760592531,-0.0598163863,-0.0967626337,-0.0671812366,-0.1582857444,0.0805074566,0.5931581249,-0.1394877574,-0.0266250785,-0.0926996486,-0.1081324188,-0.0251611684,-0.0720679952,0.0466174869,-0.1196417043,-0.0531078220,-0.1162068514,-0.1545019653,-0.0878983044,-0.1106714201,-0.0614077487,-0.1773749553,-0.1113318732,-0.1409006453,-0.1097752678,-0.1035607432,-0.1499565031,-0.0911601768,-0.0196299538,-0.1809250951,-0.1019776084,-0.0510383646,-0.1091787233,-0.1602041157,-0.0819519794,0.0429895564,-0.1196421249,-0.0965632505,0.0852963885,0.0813351461,-0.0502716494,-0.0724406034,-0.0608291710,-0.1158435648,0.0458709427,BRCA
GSM480989,-0.0849624359,-0.1212591802,-0.0778283381,0.0333609340,-0.0911326464,-0.1803338570,-0.1311107936,-0.2424398268,-0.0767159513,-0.0135102961,-0.1022441749,-0.0195675189,-0.0720192511,-0.1321287706,-0.1259821569,-0.1856696965,-0.0916777606,-0.1589223877,-0.1558155627,0.1232456425,-0.0889360915,-0.0301970876,0.1001930928,-0.0540045732,-0.2121746308,0.0999292442,0.0572689238,-0.0720165421,-0.0827252257,-0.1552212579,-0.1156261557,-0.2347571324,0.1222781895,0.7107484369,-0.2168419232,-0.0690868495,-0.2430340323,-0.0160970964,-0.1225586730,-0.0983494307,-0.0045375091,-0.1771282717,0.1884272240,-0.0400720206,-0.1347716424,-0.0254057814,-0.1403818259,0.0726931180,-0.2268691167,-0.1462886271,-0.2706665445,-0.2260500888,-0.2117365990,-0.1993755925,-0.1388900649,0.0785657143,-0.2128495898,-0.2559350145,-0.1003502607,-0.2496391396,-0.1881561319,-0.1001395471,0.0481872916,-0.2015499519,-0.1444963388,0.0495528034,0.0176312627,-0.0461130009,-0.0524744490,-0.1425569821,-0.1280222292,-0.0515344390,BRCA
GSM480990,-0.0759773148,0.0208291868,-0.0190394743,-0.1864292430,-0.1185953596,-0.1122733680,-0.0896777092,-0.1498441547,-0.0294267486,-0.0199017937,-0.1341829596,-0.0860779392,0.0245485931,-0.1034580641,-0.1809606669,-0.1380098625,-0.1114335199,-0.1258591078,-0.0060046421,0.1350893525,-0.1174400936,-0.0405497401,-0.1430462710,-0.0437445241,-0.1659763464,-0.1421060559,-0.0910437067,-0.1263757286,-0.0078295581,-0.1892881186,-0.0941535828,-0.1054660450,0.1005073776,0.8782710590,-0.1018510503,-0.0478638388,-0.1925068484,-0.0943716497,-0.1167762863,-0.1138206560,-0.0768822596,-0.1751711981,0.3207836188,-0.1048308659,-0.1991744618,-0.0584812425,-0.1212115163,0.1162556404,-0.1757347454,-0.1276774674,-0.2088091210,-0.1932732606,-0.1859596343,-0.2507874274,-0.1304622479,0.0043736363,-0.1839714693,-0.1062136142,-0.1235530812,-0.0860283606,-0.1896495686,-0.0711109291,0.0451515941,-0.1168001066,-0.1020453202,0.0146985472,-0.0673612697,-0.0860070140,-0.1145635449,-0.1581132189,-0.0535569318,-0.1760504917,Control
GSM480991,-0.1012328897,-0.0656989523,-0.1336678656,-0.0524333193,-0.1557528937,-0.1889870145,-0.1102754159,-0.1155937194,-0.0729896987,0.0377535672,-0.1390986462,-0.1350917759,-0.0618267257,-0.1191412103,-0.0915837313,-0.0915136763,-0.1213513096,-0.0898231227,-0.0144966327,0.1689481810,-0.0950531217,-0.0662016734,-0.1232978317,-0.0585670287,-0.1352462620,-0.1390582881,-0.0334429402,-0.0733262997,-0.1418978511,-0.1470144622,-0.0423047387,-0.1168113478,0.2379799158,0.7888649646,-0.1039781785,-0.0318609485,-0.1580144310,-0.0248453160,-0.1093587352,-0.0651119044,-0.0799202363,-0.1677643349,0.2428976357,-0.1020717115,-0.1295761710,-0.0913388006,-0.1716448861,0.0012064629,-0.1510130894,-0.1212780156,-0.2001313145,-0.1248234984,-0.1820378986,-0.2150349831,-0.1258934693,0.0700960139,-0.1645262088,-0.1963774152,-0.1345341681,-0.0827760101,-0.1643901234,-0.1008695061,0.0751197013,-0.1075272819,-0.0730178216,-0.0173944716,-0.0867524383,-0.0719444784,-0.0716425344,-0.0581206456,-0.0435278856,-0.0746931740,Control
GSM480992,-0.1006585766,-0.0175120090,0.0008874270,-0.0346883039,-0.1316324094,-0.1260093860,-0.1080974051,-0.1116225799,0.0072194375,0.0642186456,-0.1749594307,-0.0310676822,-0.0061477496,-0.0351854248,-0.1367678296,-0.0801923458,-0.0665302848,-0.0724647992,-0.1096542006,0.2192556722,-0.0690090205,-0.0939773759,-0.1489386964,-0.0941457611,-0.0550775534,-0.0230086158,-0.0191390540,-0.0173413352,-0.0212164468,-0.1686229136,-0.0724813577,-0.0499602151,0.1965720367,0.7672556795,-0.1357910544,-0.0104553708,-0.1497247439,-0.0687454398,-0.0242435881,-0.0992899251,-0.1513393501,-0.1537899593,-0.0497734272,-0.0685773017,-0.1017488060,-0.0476131306,-0.1465713879,0.0725244637,-0.1265352595,-0.1600154492,-0.1828036440,-0.1115568707,-0.1593264268,-0.2216003714,-0.1440503831,0.0100845149,-0.2227765234,-0.1325230255,-0.0566929497,-0.1649818946,-0.1016482500,-0.0219297553,0.0818461270,-0.1179251164,-0.1069754916,-0.0030829500,-0.0574764481,-0.0648095423,-0.0483368173,-0.1190283666,-0.0451708133,-0.1185192007,Control
GSM480993,-0.0483004583,-0.1413043982,-0.1012512633,-0.1125546363,-0.0769279271,-0.1430109545,-0.1049783693,-0.0804559843,0.0025174735,-0.0063552148,-0.1015675982,-0.0466955253,0.0004398006,-0.0652055907,-0.0901965274,-0.1363519790,-0.0565579970,-0.1376261888,-0.0861087283,0.1239239939,-0.0682894296,-0.0771810744,-0.1106505459,-0.1727757901,-0.0889590091,-0.0192061595,-0.0911482091,-0.0888569519,-0.0495124630,-0.1326911206,-0.1216822043,-0.1056335904,0.1911242960,0.7363728955,-0.0948902335,-0.0851494027,-0.1665195109,-0.0622329607,-0.1300428963,-0.0584695226,-0.1333329327,-0.1221578653,0.1182848833,-0.1106664875,-0.1558260555,0.0352969862,-0.0850546528,-0.0566455674,-0.1539113029,-0.1425930080,-0.1312593907,-0.1189478564,-0.1575510659,-0.2056866320,-0.2077574506,0.0532269602,-0.1957437544,-0.1374750439,-0.1168619279,-0.0984256299,-0.1899829209,-0.0759380702,0.0106326931,-0.0855218482,-0.0845495285,-0.1228161905,-0.0852696511,-0.0986767282,-0.1149091718,-0.0687000868,-0.0933185204,0.0043435423,Control
