@relation data

@attribute id string
@attribute 11019 numeric
@attribute 51601 numeric
@attribute Class {Control,BRCA}

@data
GSM427158,7.9239039265,8.18185050133,Control
GSM427159,8.2388709415,8.15107455833,BRCA
GSM427160,8.756114572,8.320780629,BRCA
GSM427162,8.303488198,7.49753854033,Control
GSM427163,9.0146978215,8.24818832733,BRCA
GSM427164,7.5278613875,7.78551816533,BRCA
GSM427165,8.7095739025,6.28000654033,BRCA
GSM427166,8.34784432,8.40761621267,Control
GSM427167,9.1409751655,8.21593068167,BRCA
GSM427169,8.6400458295,7.92319154533,BRCA
GSM427170,8.1057419915,7.990633157,BRCA
GSM427171,8.0384248345,8.32793394367,Control
GSM427172,8.2699588485,8.16128827433,Control
GSM427178,6.499627922,8.60229888867,BRCA
GSM427181,7.0843313495,7.90542457133,BRCA
GSM427182,7.410963534,8.52193107733,BRCA
GSM427183,6.6929756865,8.63310079933,BRCA
GSM427187,7.2276672325,8.517938224,BRCA
GSM427189,6.9693968045,8.814672509,BRCA
GSM427193,6.757854421,8.46799032,BRCA
