@relation data

@attribute id string
@attribute 10073 numeric
@attribute 10189 numeric
@attribute 10209 numeric
@attribute 10248 numeric
@attribute 10250 numeric
@attribute 10284 numeric
@attribute 10289 numeric
@attribute 10419 numeric
@attribute 10460 numeric
@attribute 10482 numeric
@attribute 10556 numeric
@attribute 10557 numeric
@attribute 10762 numeric
@attribute 10775 numeric
@attribute 10799 numeric
@attribute 11097 numeric
@attribute 11102 numeric
@attribute 11171 numeric
@attribute 11218 numeric
@attribute 1207 numeric
@attribute 129401 numeric
@attribute 132430 numeric
@attribute 138716 numeric
@attribute 140886 numeric
@attribute 1915 numeric
@attribute 1917 numeric
@attribute 1964 numeric
@attribute 1965 numeric
@attribute 1967 numeric
@attribute 1968 numeric
@attribute 1977 numeric
@attribute 1978 numeric
@attribute 1981 numeric
@attribute 1982 numeric
@attribute 1983 numeric
@attribute 22794 numeric
@attribute 22916 numeric
@attribute 22985 numeric
@attribute 23165 numeric
@attribute 23225 numeric
@attribute 23279 numeric
@attribute 23511 numeric
@attribute 25929 numeric
@attribute 26019 numeric
@attribute 26986 numeric
@attribute 29107 numeric
@attribute 348995 numeric
@attribute 3646 numeric
@attribute 3837 numeric
@attribute 4116 numeric
@attribute 4686 numeric
@attribute 4927 numeric
@attribute 4928 numeric
@attribute 50628 numeric
@attribute 51068 numeric
@attribute 51095 numeric
@attribute 51367 numeric
@attribute 51808 numeric
@attribute 53371 numeric
@attribute 5411 numeric
@attribute 54913 numeric
@attribute 54960 numeric
@attribute 55110 numeric
@attribute 55520 numeric
@attribute 55706 numeric
@attribute 55746 numeric
@attribute 55916 numeric
@attribute 55998 numeric
@attribute 56000 numeric
@attribute 57122 numeric
@attribute 57187 numeric
@attribute 57510 numeric
@attribute 5901 numeric
@attribute 5903 numeric
@attribute 5905 numeric
@attribute 59343 numeric
@attribute 5976 numeric
@attribute 60528 numeric
@attribute 6396 numeric
@attribute 645974 numeric
@attribute 65109 numeric
@attribute 65110 numeric
@attribute 6612 numeric
@attribute 7175 numeric
@attribute 7329 numeric
@attribute 7341 numeric
@attribute 7514 numeric
@attribute 79023 numeric
@attribute 7919 numeric
@attribute 79228 numeric
@attribute 79760 numeric
@attribute 79833 numeric
@attribute 79897 numeric
@attribute 79902 numeric
@attribute 80145 numeric
@attribute 8021 numeric
@attribute 80336 numeric
@attribute 8086 numeric
@attribute 81929 numeric
@attribute 84305 numeric
@attribute 8480 numeric
@attribute 8487 numeric
@attribute 8563 numeric
@attribute 8661 numeric
@attribute 8662 numeric
@attribute 8664 numeric
@attribute 8666 numeric
@attribute 8667 numeric
@attribute 8668 numeric
@attribute 8669 numeric
@attribute 8672 numeric
@attribute 8890 numeric
@attribute 8891 numeric
@attribute 8892 numeric
@attribute 8893 numeric
@attribute 8894 numeric
@attribute 9086 numeric
@attribute 91181 numeric
@attribute 94026 numeric
@attribute 9470 numeric
@attribute 9631 numeric
@attribute 9669 numeric
@attribute 96764 numeric
@attribute 9688 numeric
@attribute 9775 numeric
@attribute 9818 numeric
@attribute 9939 numeric
@attribute 9972 numeric
@attribute 9984 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,0.8031089687,0.4126114489,1.9090285063,1.9576557012,2.4773083159,1.5456195950,1.7764380640,2.0006884559,0.2624508316,1.3288152680,0.5030631455,1.0925646689,0.4899455309,1.3648702383,0.8308551832,0.8025336055,1.4686733098,0.7654344595,0.8597377698,1.9443174603,1.0520923548,-0.1511169739,0.7113811608,-0.1258772028,1.9917950100,0.1906915697,1.8498513831,2.5917396498,1.4580875189,3.4378185073,0.8597522228,1.4740312099,1.6980434832,1.3468393417,1.9392381795,1.9001372391,1.8174701333,0.7237977219,0.9790288194,0.6899368121,0.9026345282,0.3684030536,1.1188165413,1.3170481177,0.4478908108,0.5847275728,0.7302590771,0.9864003901,2.3536647187,1.5238518661,0.7445804778,1.5253196360,0.7909886523,0.9346516181,1.9717377143,0.4301047620,1.9842863084,0.5853373708,0.4461162236,1.8536083657,0.1816121671,0.3533921459,0.3991449536,0.4955503134,1.1874132008,0.4754831513,0.8300273004,-0.0868155541,-0.1435730685,2.5620279180,1.1414847229,0.5473730675,3.3409077062,1.2697496667,0.2663919034,1.0782125980,0.6457044819,1.4334214399,1.9423495000,-0.0682179580,1.5617850385,0.3334180825,1.3531560579,0.8881405729,0.7655746155,1.3767281585,1.0363398434,1.0847723121,1.5266352721,0.1987003266,0.3490223767,1.9176657945,2.1359355620,1.7725182475,0.4327487599,0.3414848109,0.4208014416,0.2932295016,1.9272642836,0.8268467254,1.5733707614,0.7190336831,0.8900827654,1.5281108517,1.3167175401,2.0199787880,1.6015292183,3.0072288813,2.0427996813,1.9055881848,0.7281345304,1.6621049131,1.2315637470,1.5948491098,0.7439155302,0.9553996192,-0.1411522297,-0.1561065151,-0.0047826769,0.7745955211,1.0942583308,2.2850733381,1.2740596096,1.9006769914,2.5582785436,1.1677160359,0.2578483276,0.4972714678,1.0556296136,BRCA
GSM480985,0.9596252292,0.0944534096,1.7213784501,1.4272356133,2.5755352293,1.4882220494,1.6627369589,1.5728960409,0.0011958687,1.3598691690,0.3391478915,0.9025190571,0.3209908083,0.8949492857,0.2335568714,0.7899544011,1.1419828639,0.5406960805,0.4931217336,1.7052590050,0.5999261141,-0.1545795160,0.6962025407,-0.1361742859,2.3613555431,0.0264337544,1.4632029864,2.0516016627,1.1161307861,3.5669709246,0.5953675452,1.3213309200,1.1983822426,1.3158684833,1.6480010598,1.8845522403,1.5404746989,0.6741407311,0.8449234596,0.4797835061,0.3769728733,0.1872565681,0.6108488126,1.1796336120,0.2089445811,0.1642334435,0.7941040839,1.0847987669,2.1634807624,0.9281190227,0.3393816852,1.2684743941,0.5284117226,0.5894882608,1.7235721271,0.3312668152,1.6047029496,0.4467268376,0.3337536132,1.7103195914,0.0408018425,0.6576027461,0.1103803532,0.3499049804,0.6705703773,0.4203461343,0.5631662021,0.0004311602,-0.1373323081,1.8590886791,1.2353252929,0.3724452318,2.8404286438,1.1120309131,0.0894873324,1.0054203274,0.5807182712,0.9329228832,1.7024325531,-0.0779476580,1.4847825096,0.2663672346,1.1984055127,0.7980979091,0.5825354466,1.3131401594,0.8877975998,0.7446152211,1.4421907446,0.0676067170,0.1594461512,1.2399410754,1.6420131411,1.3996164949,0.3331667664,0.1817586680,0.5639131115,0.2457146933,1.3572577246,0.4650632604,1.3429538292,0.4895070514,0.9404366538,1.4492484977,0.9036367025,1.7869890928,1.3923601842,3.1524978281,1.9984836975,1.4340927873,0.6814007142,1.7736425526,0.9900382591,1.4617105500,0.5290414448,0.8477945957,-0.1742189509,-0.1696736161,-0.0457644108,0.6985350025,0.6886551158,1.6376262813,0.8927579324,1.2444984571,1.9540474586,0.8040189062,0.1531879106,0.3756342870,1.0685996739,BRCA
GSM480986,0.9960541727,0.2740965262,1.7186063760,2.1023273733,2.4607718670,1.5173969960,1.9794737631,2.0283605829,0.1488124261,1.4052827557,0.5293644455,1.0832481153,0.5144213329,1.2153365219,0.6862881336,0.6092003303,1.5581611465,0.7007474120,0.8159628931,1.8451191587,0.9434039399,-0.0648587431,0.9446464927,-0.1130077885,2.3746291267,0.2274616406,1.5260221161,2.4968324184,1.3471012898,3.5126743515,0.7773986020,1.2712737771,1.6997357923,1.4857006745,1.7392260209,2.1385633349,1.6741521096,0.5564559400,0.9667765086,0.3431033431,0.6600834293,0.2663877588,1.2108206352,0.9245199195,0.3730929202,0.4498538742,0.9862888256,1.0795250823,2.3916749247,1.1396110519,0.6536400349,1.2953370094,0.8413109845,1.1925358701,1.7708871811,0.3674094791,1.7973942889,0.5771452174,0.3676353578,1.2279270504,0.0479309525,0.6420894491,0.1501773495,0.3340256286,1.3697988019,0.4071509692,0.7708551989,-0.1218048532,-0.1078131444,2.2887325682,0.8736996727,0.4193810400,3.3059428532,0.8680856632,0.2266702914,1.0266179476,0.7400360541,1.5932730636,1.8930395708,-0.0407060307,1.1068163904,0.3337411512,1.4064819767,0.5540504726,0.5360815439,1.4207052925,0.8561127080,0.9023940156,1.3654914377,0.1919098475,0.3307545862,1.6465366109,1.9981330464,1.6873053685,0.4145804125,0.2735908890,0.3395040304,0.3267470447,1.8090917643,0.6605377983,1.7406961901,0.4325876290,1.1587109416,1.3250626575,1.2473711241,1.9776601991,1.6980626134,3.1445948780,2.4644365708,1.6280750732,0.5372067568,1.8586989344,1.2129629651,1.9275105297,0.6089053317,0.8543450467,-0.1270643433,-0.1710446095,-0.0145261022,0.8562644005,1.1981142461,1.8278497096,1.0310627564,1.8644245863,2.2901780607,0.9770701648,0.1565287239,0.3576157473,0.7062788497,BRCA
GSM480987,1.3107560410,0.2321270960,2.0678322647,2.2640432982,2.3777108383,1.3877140277,1.9769848186,2.1785191150,0.0629256329,1.2991066112,0.4665158164,0.9287017419,0.4756588642,1.1282482627,0.8260325341,0.4331952077,1.3842987313,0.6088291060,0.6907663432,1.8311155240,0.6746583796,0.1281072767,1.0826823265,0.0074761467,2.8040652273,0.1490729672,1.6291599472,2.8311268234,1.1067767683,3.6426656644,0.6698617379,1.8638020904,1.5315433110,1.3903638832,1.5901947673,2.3080647190,1.9021330754,0.4745972451,0.7314085239,0.0085328299,0.4986517626,0.2858136211,1.4462458758,1.0665902472,0.1415859641,0.5145440498,0.8838460347,1.2341011606,2.6441825219,0.9367712627,0.5613852767,1.2237848221,0.5981645194,1.2535021119,1.7798614402,0.2898448214,1.4454199872,0.2686015234,0.3425380510,0.7512258515,0.7073636585,0.4887041651,0.2092028603,0.2118679972,0.9013762623,0.3766436594,0.6109853158,-0.1166194760,-0.1814346476,2.2926479181,0.7144595220,0.4989905179,3.7002783086,0.5817610253,0.1429179571,1.0221543555,0.6707936347,1.2190215753,2.1241777074,-0.1030380750,0.9669383475,0.2952385138,1.3252982605,0.2872325689,0.5634927082,1.2269064550,0.8304926461,0.7593178876,1.3817100328,0.0989817029,0.2991448761,1.6919560209,1.8136374376,1.6172707303,0.2985334993,0.2320962109,0.2801646776,0.1665232545,1.9836852131,0.5606919993,1.9729779246,0.3318746270,1.3304368144,1.1682285071,1.0390395600,2.3325822619,1.7566085457,3.3239154516,2.4588180682,1.5050517717,0.4809672668,1.9779668365,1.3187724483,1.8632684200,0.4549018499,1.0147582821,-0.1501352003,-0.1069379630,0.0113455198,0.7162348568,1.0364601911,1.1596213344,1.1270034798,2.0359585796,2.3979188544,1.0548824731,0.1097152923,0.3201931257,0.5827225101,BRCA
GSM480988,0.9090196472,-0.0590505931,1.3257357441,1.8669944968,2.3513444620,1.2392121792,2.0044848920,2.1051902324,0.1387193801,1.3063867621,0.4758652526,1.1390487882,0.5040328691,0.8244083618,0.4302868062,0.4507192669,1.0703502245,0.7339899420,0.6590425036,1.0958140093,0.9564199784,-0.0268636156,0.8538993969,-0.2282854943,2.3136022223,0.0309882084,1.2868915928,2.2427152109,1.4430352859,3.7188719113,0.5148736254,1.1551737766,1.0212418811,1.1343976233,1.7243981025,1.9812316562,1.2991112575,0.7901582522,1.1624832315,0.3379816800,0.7316907225,0.1746661196,0.9799030757,1.2084884613,0.0853251313,0.2791518338,0.8510179381,0.6897387656,2.2289448325,0.8281334795,0.5848175896,1.6813288630,0.7880356329,1.3580407648,1.6399947422,0.2017376541,1.5603218938,0.4546295685,0.2598672854,1.2436640966,0.0596030986,0.6326200077,0.1537856362,0.2648306398,1.4232534432,0.4961164197,0.7955977719,-0.0706633749,-0.1098428601,1.8298926553,0.8797909361,0.3919022177,3.2048869663,0.8539893320,0.1148193197,1.0355539125,0.4482538488,1.1336927926,1.7840417308,0.0844439243,1.1640158417,0.3870697579,1.2079345777,0.5273030028,0.4457297547,1.9328125044,0.8680884670,1.0191732168,1.3947030360,0.0427583982,0.2042319833,1.1885749716,1.6885615119,1.8396926300,0.4906235880,0.3155866897,0.5675428079,0.0784844844,1.5446772821,0.6941940558,1.6725406502,0.2783697915,1.2127737740,1.3721447227,0.9010055481,1.8540095886,1.3538440837,3.3959545491,1.6206164410,1.4312937334,0.4765207713,1.6856055303,1.2293985818,1.9609362632,0.4434357276,0.8307038214,-0.1276678805,-0.1151912579,-0.0028904650,0.9184017247,1.3504983186,2.1432931568,0.7980905874,1.6184079913,1.9550962020,0.6414931819,0.2075295841,0.1854534280,0.8119248803,BRCA
GSM480989,1.1778291066,0.3780751490,1.8657121526,2.4463932647,2.6725853341,1.4297952009,1.7746926547,1.9867116177,0.1465964821,1.3247962196,0.2866774210,0.8089942003,0.2515059077,0.9637975895,0.2099523281,0.2878968191,1.3559158690,0.4430680562,0.3985582608,1.2330736717,0.2786281444,-0.1309829560,1.2794073820,-0.2242092536,2.0397528012,0.1539963477,1.0433821413,2.0098380756,1.0644206185,3.6616931160,0.4703791842,1.9222560303,1.7066463195,1.3767673149,1.1446356849,2.2352891399,1.3030091405,0.3190222106,0.6236715474,0.5833824877,0.5280406712,0.2732863293,0.8073536026,0.8172426464,0.1445651299,0.4960738459,0.5967798695,0.4685607729,2.0772467871,0.7881732421,0.4277957842,0.9306071563,0.4615591537,1.1618960793,1.1413860085,0.0952033553,2.0841091739,0.2389696221,0.1682821758,0.7170412232,0.3074112624,0.6045416820,-0.0326960304,0.3032258688,1.1057129128,0.3463664977,0.3637001463,-0.0981003210,-0.1299996106,1.3265355958,0.4476607138,0.3956129370,2.8934994141,0.4970077554,0.4082691085,0.8672794735,0.6731924196,1.4776387081,2.0274226798,-0.0272410287,0.7109208157,0.5268360173,1.6828717827,0.2597217747,0.6122048652,1.2111243231,0.6783111019,0.6315251452,1.6309517976,0.2835776764,0.4782714713,1.5138759986,2.3188747509,1.7930940537,0.2215377275,0.3307590806,0.1108023862,0.3105335636,1.4989452720,0.6464163955,1.8053516249,0.1567750582,0.9132549614,0.6432442825,1.1417118728,2.1539289687,2.0246098489,3.1550780236,2.5673035982,1.2006494639,0.3790418214,1.9571592915,1.1762350863,1.8672475519,0.6216071579,0.6587396891,-0.1024204746,-0.1284043260,-0.0291869847,0.9727457978,0.7900690103,1.1678138699,0.6927430122,2.1433293523,2.4240217806,0.6250937043,0.1526795404,0.2868868260,0.3402454458,BRCA
GSM480990,0.9449738529,0.3983406832,1.8296560865,2.2624217736,2.9998615130,1.0090246404,1.7985074587,2.0877481216,0.1526771636,1.4392417669,0.3328602339,0.7584133497,0.3663991575,0.6591287160,0.3234724291,0.2567484271,1.2289978300,0.5081160929,0.5774103782,1.1275433700,0.4454658264,-0.1156838871,1.0935976879,-0.1204857751,1.6776006553,0.1515299712,1.2753112714,2.4013878107,0.9408483078,3.7160392403,0.5808486115,1.7020355538,1.8287894392,1.3946415405,1.2108099610,2.4367129802,1.4144610668,0.4002038845,0.5934648400,0.1810319527,0.4196051169,0.2868407922,0.7786950436,0.8826261890,0.1726901587,0.5664649584,0.5345657226,0.8448045222,2.1777327023,0.8172183687,0.4327955214,0.7941773206,0.4168597883,1.2338522624,1.4776026471,0.1004983454,1.3514478340,0.2151194810,0.1865623486,0.7158021955,0.1330945380,0.5142794757,0.0146110543,0.2209873496,1.0238127076,0.3176912965,0.5112469261,-0.0688347136,-0.1902127900,1.7735032969,0.5925821538,0.1740361466,3.2827595340,0.6544796128,0.3580428582,0.9473304291,0.7033707966,1.2413950861,2.0131594538,-0.0132721130,0.9425481391,0.3006190988,1.4905650437,0.3550588907,0.7140313071,1.3049366696,0.9151575211,0.6770358148,1.5397549159,0.1573195890,0.3972719268,1.2596600504,2.4082243444,1.5929139627,0.3078974747,0.3354887767,0.0769571544,0.3472459912,1.5356153959,0.6502162900,1.3790800394,0.2085318584,1.2297505065,0.8925187042,1.1583923148,1.7967259222,2.2672518341,3.1823967100,2.5243914922,1.2307049248,0.4655330825,1.9867189186,0.6013521304,1.5440457982,0.4290806901,0.5266652438,-0.1335955554,-0.0871912834,-0.0652119729,0.7990770683,0.6197933665,1.5132833322,0.8776337744,2.1964491989,2.4266291859,0.8004929145,0.0055673104,0.2576270442,0.3520499035,Control
GSM480991,1.0786264473,0.0804306660,1.6943730883,2.0258710384,2.4511448739,1.4419900012,1.7494116888,1.9924228304,0.0155551837,1.1325457262,0.3800470677,0.8091262811,0.3685883262,1.0272611484,0.5304014929,0.3352320662,1.1758807686,0.4825826869,0.4184737379,1.3085478150,0.5029890854,-0.1067731999,1.0403081905,-0.0949820886,1.9021667110,0.1716171182,1.1896746554,2.1625981141,1.0515217276,3.5597782533,0.6048336293,1.6131960900,1.7079852364,1.3628488720,1.2252104693,2.2794061632,1.5166104675,0.5792367279,0.6033780656,0.2632443212,0.4026509775,0.2965048943,0.7321240836,0.7684337823,0.1622835239,0.2794875606,0.7777325424,0.6113403093,1.8644463290,0.7574846337,0.4317130148,1.0513600351,0.4981267733,1.0565365164,1.5894309978,0.1760887561,1.5568265120,0.3020154576,0.2289351204,0.7921802754,0.3424080321,0.7071425089,0.0044120840,0.1461318107,1.0154845044,0.3597656103,0.6513618359,-0.0922008876,0.0199799564,1.5388040409,0.5834038655,0.3311971704,3.2374715274,0.6270802238,0.2967241008,0.9016367035,0.6586997789,1.4241779314,1.9556462831,-0.1052340953,0.8581478100,0.3244971864,1.4153324069,0.2713266311,0.5601635340,1.0757418730,0.7293166828,0.6241490858,1.2654631441,0.1161445626,0.3736636378,1.3199419974,2.1283482654,1.2705404720,0.2831876530,0.2419609862,0.2788978761,0.2648514968,1.5389606075,0.6548882660,1.5989998545,0.1769632810,0.9454761856,0.9240003427,1.0334332355,2.0908793608,1.8706150725,3.0179920794,2.0804869533,1.1607175793,0.4250158252,1.9254345084,1.1943121089,1.8434040249,0.5499012749,0.6820985474,-0.1267393343,-0.1242683618,-0.0159963376,0.7830034993,0.6278897970,1.4817405271,0.7554390920,1.6539879311,2.1165711113,0.6209978864,0.1450025553,0.1586463004,0.3995892745,Control
GSM480992,0.8725749587,0.3731578849,1.7240345001,2.2753528886,2.8421444551,1.0181382000,1.9319262238,1.9363291375,0.1977309947,1.4440005819,0.2366771812,1.0816855563,0.3552881419,0.7851754288,0.0876693589,0.3066152192,0.9954478374,0.2654230847,0.5374659081,1.4233314197,0.4407250004,-0.1328831893,1.1923202723,-0.1461401037,1.6248174509,0.1533376227,0.8016427772,1.8185823321,1.0481126552,3.6653768025,0.5169219855,1.7438820154,2.2112330549,1.3014979450,1.1853234759,2.3838280176,1.4871710202,0.4871967361,0.6688444043,0.5385330186,0.2964485517,0.3125823943,0.7759308914,0.7989020642,0.2004608198,0.2735606326,0.6642244395,0.6883667336,1.9721125551,0.5645617625,0.3609761331,0.9289087177,0.5204037031,1.2498756406,1.3757638480,0.1480031451,1.1268008084,0.2006298491,0.2128063798,0.8656676199,0.3268256259,0.7256334878,0.0309887218,0.2275954976,1.1757781654,0.2997363796,0.4457038473,-0.0998635051,-0.1499788531,1.4609698521,0.5209019970,0.3393159590,2.9594998624,0.6391996745,0.3714684534,0.9899150624,0.9782422979,1.5245841411,2.1416437559,-0.0138144333,0.8871594593,0.2627465081,1.3790584724,0.3485739969,0.6986016310,1.1272658722,0.7818326849,0.5102666020,1.4764141885,0.2307516424,0.3987503188,1.1096139139,2.2953772031,1.3486973049,0.3752983460,0.3442658012,0.2824985003,0.5017346553,1.3852293123,0.6285797951,1.5279809683,0.3188368206,1.1903597301,1.0938933814,1.2845593318,1.8596799539,2.1735661180,3.1514414251,2.6454361180,1.4021579102,0.5344421262,1.5989650659,0.7934367192,1.7758057263,0.5189495036,0.3973089586,-0.1010109188,-0.1370425660,0.0497125503,0.6544087511,0.5969751815,1.4770251259,0.5834069090,2.0108780094,2.1987546681,0.4366950640,0.1027136539,0.2093612051,0.2026377067,Control
GSM480993,1.0737860931,0.4197907467,1.6966941204,2.3008375630,2.6264368721,1.2827855444,1.9067500566,2.0217501074,0.2780508081,1.2050936952,0.4563130029,0.8147631818,0.3950321178,0.8684103893,0.3844050571,0.3677166989,1.3598843848,0.4839013830,0.7014865647,1.7182994683,0.7420407823,-0.0957983640,1.1654821486,-0.1555562522,2.3285930551,0.3365832050,1.3291769490,2.3556275273,1.1086449641,3.5117820304,0.6632197241,1.7381645814,1.6924103990,1.2880984890,1.4325686358,2.1336175270,1.5598783485,0.4519489749,0.9003113795,0.7873379532,0.5397679249,0.3433874613,1.0496800144,0.7539964018,0.3030504105,0.4029726371,0.8608841755,1.0541967147,2.1503201872,0.9457925245,0.4616988506,1.0976969004,0.7333630248,1.4183998843,1.5337986018,0.1694520410,1.5361393292,0.2755273775,0.3543627792,0.8973955192,0.3700269215,0.6583136062,0.1442955081,0.2756632005,1.2844318301,0.3972872659,0.5454844083,-0.0344464732,-0.0827759504,1.7947998842,0.6065383117,0.5145772218,3.2373407947,0.5857965611,0.2933489696,1.0151936455,0.7070213609,1.4432883330,1.9161924984,-0.0487904373,0.8760954830,0.3745575939,1.5085123072,0.2722776126,0.5632656764,1.3381446002,0.7789128744,0.9428212035,1.2991632802,0.1620286956,0.3919734646,1.5554032028,2.1114243780,1.5577344969,0.3284055531,0.2897538714,0.2074140928,0.3084160125,1.6705465861,0.7433700804,1.7083129882,0.1051730422,1.0868655220,0.9708263353,1.2114618058,2.0470836628,1.9435343146,3.1068466007,2.5258496405,1.4754516978,0.4409479836,1.7878890891,1.1203445393,1.9795533269,0.7145484319,0.5902003398,-0.1411200336,-0.1228961515,-0.0292221748,0.8970993661,1.1722488850,1.3108724853,0.8306281372,1.9973433444,2.4339693614,0.9661113581,0.0745847982,0.3327972405,0.4040638743,Control
