@relation data

@attribute id string
@attribute 10235 numeric
@attribute 10319 numeric
@attribute 10411 numeric
@attribute 11069 numeric
@attribute 120425 numeric
@attribute 1277 numeric
@attribute 1278 numeric
@attribute 1280 numeric
@attribute 1282 numeric
@attribute 1284 numeric
@attribute 1285 numeric
@attribute 1286 numeric
@attribute 1287 numeric
@attribute 1398 numeric
@attribute 1445 numeric
@attribute 2200 numeric
@attribute 2243 numeric
@attribute 2244 numeric
@attribute 2266 numeric
@attribute 22801 numeric
@attribute 2335 numeric
@attribute 25780 numeric
@attribute 284217 numeric
@attribute 2885 numeric
@attribute 3371 numeric
@attribute 3381 numeric
@attribute 3383 numeric
@attribute 3384 numeric
@attribute 3385 numeric
@attribute 3386 numeric
@attribute 3655 numeric
@attribute 3672 numeric
@attribute 3673 numeric
@attribute 3674 numeric
@attribute 3675 numeric
@attribute 3676 numeric
@attribute 3678 numeric
@attribute 3679 numeric
@attribute 3680 numeric
@attribute 3681 numeric
@attribute 3682 numeric
@attribute 3683 numeric
@attribute 3684 numeric
@attribute 3685 numeric
@attribute 3687 numeric
@attribute 3688 numeric
@attribute 3689 numeric
@attribute 3690 numeric
@attribute 3691 numeric
@attribute 3693 numeric
@attribute 3694 numeric
@attribute 3695 numeric
@attribute 3696 numeric
@attribute 3908 numeric
@attribute 3911 numeric
@attribute 3912 numeric
@attribute 3913 numeric
@attribute 3915 numeric
@attribute 50848 numeric
@attribute 5175 numeric
@attribute 54518 numeric
@attribute 5747 numeric
@attribute 5770 numeric
@attribute 58494 numeric
@attribute 5906 numeric
@attribute 6654 numeric
@attribute 6696 numeric
@attribute 6714 numeric
@attribute 682 numeric
@attribute 7057 numeric
@attribute 7094 numeric
@attribute 7412 numeric
@attribute 7450 numeric
@attribute 8174 numeric
@attribute 83700 numeric
@attribute 8515 numeric
@attribute 8516 numeric
@attribute 9564 numeric
@attribute 999 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,-0.0842862406,-0.1394813937,-0.0736360448,-0.0476961340,0.0344397128,2.9477137673,3.3302642488,-0.0562563692,1.3562680283,1.0692472836,-0.0101931147,0.6954617752,0.0901343941,1.4674782144,2.4266945176,1.7562850796,-0.1337402769,-0.1338066185,-0.0093080291,1.0318960402,1.4465033908,-0.0503332874,-0.1391245514,1.6104626348,-0.0042129195,-0.0261557463,1.6084205522,0.1503931937,1.0669086047,-0.0891857259,0.3311502892,0.0703873523,0.2081827146,-0.0711339900,1.2207996887,0.1586799756,3.2670671940,-0.1181063122,-0.0605403240,0.0648091639,0.9467977977,-0.0770992702,-0.0077028284,0.3657026856,0.0733406608,0.1496797397,-0.1962938794,0.1012585052,0.0821869414,2.5489602401,-0.1714155989,-0.1541696254,-0.0785329407,0.0194208432,0.6301124477,1.0342899432,2.2377312580,1.5254462504,0.1721759651,-0.0489916427,-0.0142020487,0.3568962877,0.0413461934,0.8827619023,0.2993447634,-0.0234144181,0.0816291557,-0.0124092440,0.9944728844,1.8902754735,0.8473812143,1.4351434186,-0.1216605016,0.0850201877,0.8916477740,-0.0715410201,-0.0795373934,0.4715196540,0.0180790283,BRCA
GSM481003,-0.1411060238,-0.0356606328,0.8728766795,-0.1286379429,0.0466573979,2.8340364515,2.8298389578,-0.0168115216,1.6561109704,1.4205356702,0.0077806054,0.8810701189,0.5269208746,1.3612618425,2.9481822583,1.1275530558,-0.1309632186,-0.1040900125,-0.0739448218,0.2197591107,1.7436893397,-0.0542153045,0.0087334861,1.7524189089,0.4100839709,-0.0430833622,1.3550704890,0.0781875632,1.0488100880,-0.0706507494,0.3293958788,0.0857827171,0.3543389166,-0.0885409495,2.3638862711,0.0405183853,3.6435139973,0.1021977655,-0.0903159117,-0.0768321708,0.7345662149,-0.1034652738,0.4208200202,0.3869180783,0.0370552308,0.1592926320,-0.1556896888,0.6416629085,0.2305781665,2.4383882284,-0.1539212665,-0.0823839714,0.0232603133,-0.0328395913,2.0538306646,0.8503854788,2.2847959068,1.2720754503,1.5130936287,-0.0421273370,-0.0705315341,0.1244303655,0.1650047825,1.9043971167,0.1105344640,-0.0553885548,0.1980876568,-0.0016825477,1.2686502172,1.0961764973,0.6912779407,2.5014159606,-0.0564617124,0.0700992181,0.7033123184,-0.1539065239,-0.0968554359,0.5374243757,0.4613067603,BRCA
GSM481004,-0.1172718766,-0.0579384067,0.1327944574,-0.1476433219,-0.0328533410,2.8812906135,3.3228280151,-0.0280073428,1.0971618332,0.9931254410,-0.0240043908,0.2368830724,0.1771072398,1.1921263276,2.7074588272,1.2699048947,-0.1464092568,-0.0766112734,-0.0318216407,0.6589193445,1.6591458448,-0.1550597615,0.3029319560,1.7306030480,0.1513357049,-0.0610969625,1.7522706015,0.0333518460,0.8410194449,-0.1641239255,0.1119323884,0.0463520392,0.4201459893,-0.0504162911,1.5380832553,0.1066328658,3.6928061645,0.1390625413,-0.0688428182,-0.0047373990,0.6735134673,-0.1109918706,0.0661285739,0.3344272605,0.0299266201,0.1403264253,-0.1854128705,0.1920933733,0.0702514500,2.6790555483,-0.1248607375,-0.1296136039,0.0367421629,0.0108777339,0.8610585549,0.9655339218,2.3024242322,1.5119729768,0.4297045224,-0.0777788476,0.0043467642,0.2292358492,0.0899912709,1.4681824976,0.2161254814,-0.0500999228,-0.0790022637,-0.0060122215,0.8000437640,1.9137970677,0.8583761311,1.4617717490,-0.0955179574,0.0440111043,0.8979108692,-0.1373724190,-0.1020450556,0.5396083990,-0.0217994316,BRCA
GSM481005,-0.1160151542,-0.0014468521,-0.0633542451,-0.0476365093,0.0217977374,2.7405024894,3.2620702840,-0.0593194782,1.8150000396,1.4181458082,0.0156455082,1.1270609973,0.1795111609,1.6299835334,2.5740633573,2.3342426967,-0.0965031531,-0.1340541364,-0.0281883657,1.1530846675,2.2389136498,-0.0324039441,-0.0073896220,1.6458761891,0.0915736983,-0.0722835298,1.1470914875,0.0848073462,1.0183299947,-0.0229799086,0.5618593327,0.1258562207,0.8104297589,-0.0677923652,1.1360747644,0.2469138296,2.9753657183,0.1986208208,-0.0687515454,-0.0057510190,1.0881881316,-0.0538089833,-0.0715960995,0.4803772003,0.0203093827,0.2270940179,-0.1542207042,0.0977961318,0.0790766499,2.7430344717,-0.1414326892,-0.1365753101,-0.0531581215,0.0476533229,0.3299998800,0.6181160491,1.6673124234,1.6468504383,0.3964699985,-0.0867446095,0.0954762138,0.2669062797,0.0433951915,2.9454981752,0.0446880130,0.0180744121,-0.0646435842,0.0075601748,0.8687741740,1.7547406858,0.6834549974,0.8368593614,-0.1155557907,0.0045036747,0.8381537139,-0.0608134340,-0.0442960088,0.3919551472,0.1299700532,BRCA
GSM481006,-0.0721655468,-0.0007490609,0.0905179799,-0.0825294732,-0.0288273651,2.8867894266,3.2151531601,-0.0843630171,1.6152172529,1.2114373708,0.1649511852,0.9583237404,0.3363696632,1.5784780925,2.6257786286,1.1373756312,-0.1302992665,-0.1443073794,-0.1003913861,0.6371785822,1.5292125387,-0.0854130659,-0.1195090415,1.6704388113,0.5098663853,-0.0465291773,1.6024171489,0.0198998432,0.9590272043,0.0808833686,0.4575556130,0.2863816976,0.3456578131,-0.0607893218,1.3974689841,0.1961680456,2.8718997637,0.0708143079,-0.0353155639,-0.0943032891,0.6325798680,-0.1073077497,-0.0732725291,0.4419262721,0.0461871086,0.1351042711,-0.1855151630,0.4037492653,0.1775466050,2.4861371232,-0.1575997510,-0.2180094931,-0.0306499936,-0.0580684363,1.1249350198,0.9320403730,1.7301007246,1.3316771426,0.8491318701,-0.1171489896,-0.0726662871,0.2529420034,0.1281003530,1.2892440821,0.2859294764,0.0128678733,-0.0559542152,-0.0179128214,1.6173845207,1.6049815546,0.6011486065,2.3843624517,-0.1247078772,0.0879719659,0.8024218490,-0.1207161642,-0.0786305891,0.4917253337,0.4513764037,BRCA
GSM481007,0.0319376179,-0.0085779223,0.6145446753,0.0318698374,0.1524629632,2.2292472782,2.5777011716,-0.0799007659,0.9191657707,0.7993544181,0.3204650924,1.7868117746,0.7346229159,0.9207133585,2.9017767838,0.1689317836,-0.1447376906,-0.1059853564,-0.0382484025,0.2884305982,1.5117607714,-0.1280388566,-0.0579408988,1.7786090209,0.3702033319,-0.0435063409,1.6901965559,-0.0174723764,1.1120103863,-0.0646150708,0.5650354502,0.1095050505,0.1127845207,-0.0777350301,2.6161405700,-0.0270793494,2.1931279500,0.2247213486,-0.1077399169,-0.0571671461,1.1176373792,-0.0586384583,0.6109497668,0.3823322751,0.2866679903,0.2527581179,-0.0165134667,0.1081938795,0.4395152983,2.3414635658,-0.1177102535,-0.0915853179,0.1034149443,-0.0491684911,1.8755513616,0.6828390168,1.7906686067,0.7626510071,1.6583707928,-0.0401979054,-0.0929937337,0.1849544916,0.0697935855,1.4436864190,0.0668356439,-0.0621160632,0.1601835603,0.0468923578,1.3911985458,1.0875133568,0.6480991445,3.1005409435,-0.1394139307,0.1626402507,0.6376104003,-0.1131437610,-0.0755375851,0.5178588897,0.4485116918,BRCA
GSM481008,-0.0987332079,-0.0579983427,-0.0392733318,-0.1028508210,0.0185703233,2.5394418168,2.5605059044,0.0079253788,0.8718084935,0.9113662258,0.0038542704,-0.0916348136,0.1426806316,1.0476466187,3.3749025796,1.4014392352,-0.1204742205,-0.1344527091,-0.0526968611,0.1573544645,1.4054096226,-0.1012129019,0.3611919189,1.6622805248,0.4910760568,-0.0510904027,1.0914881301,-0.0370022842,1.7181748680,0.0244154839,0.2387165987,0.1862932138,0.9229596694,-0.0674781555,1.0337207864,0.0454254805,3.1072435775,-0.0115996973,-0.0592409613,-0.0141621746,0.9185350851,-0.0419190719,0.0155054001,0.4044812041,0.0689848669,0.1197325149,-0.1834583134,0.1811905690,0.2048622454,1.9056838246,-0.1478707341,-0.1796593074,-0.0763117874,-0.0300334332,0.9092945886,1.0184057851,2.0192799172,1.6720022468,0.5256794312,0.1781776670,-0.0862336970,0.2445528730,0.0770608550,1.1359402404,0.2171431813,0.0012555714,-0.0829595533,-0.0086323968,1.4098071158,0.9346371066,0.8231768893,1.1412398851,-0.1273354423,0.0419373863,0.7670420547,-0.0573775533,-0.1183564594,0.6578799410,-0.0903745492,Control
GSM481009,-0.2412803777,-0.1320605221,-0.0233549507,0.1306110180,-0.0891626611,3.5249541001,3.9238586616,0.0548526612,1.6929948631,1.1821684615,0.0837541569,0.5150820301,-0.0540151667,1.4302532645,2.5855629524,2.1151600981,-0.1098639981,-0.2159782159,-0.0546535244,0.9195279889,1.5305498669,-0.0669948515,-0.2040374607,1.3427748691,0.0462060162,0.0239865417,0.5789911190,0.0418354272,0.4727726032,-0.1627710871,0.2941268267,0.0512844025,0.2340035045,-0.1688489413,0.2928126499,0.0679936685,2.5266020498,-0.1502322429,-0.0201958709,0.0197276751,0.8946015927,-0.0861537382,-0.0843627745,0.4654109701,0.0061263982,0.0098238778,-0.2835594586,-0.0225474585,-0.0473349056,2.5351787444,-0.1217570528,-0.4556454430,-0.0182924334,-0.0339920838,0.4441059476,0.3826549407,1.5110935570,1.3447017482,0.2615423322,-0.0994077928,0.0152097511,0.1822121439,-0.1064877963,0.5117164352,0.1710524842,-0.0048567386,0.0360293823,-0.0607615665,0.7800354991,0.7949119215,0.5292777442,0.6947452825,-0.1074922367,-0.0274623559,0.8125889257,-0.1464830269,-0.1446147852,0.0301783830,-0.1490650472,Control
GSM481010,-0.1065206625,-0.0243664884,0.0528804344,0.0528028026,-0.0248416120,2.6051321654,3.0476547671,-0.0676465309,1.3531419018,1.0112439031,0.1214909382,1.6079430990,0.2415605402,1.5761229206,2.5666434356,2.2644310141,-0.0944624883,-0.0999778244,-0.0886922837,0.4269010135,1.2307521165,-0.0403717038,0.0406455773,1.7509254467,0.2718916629,-0.0549167786,1.4379808760,-0.0318547905,0.9132051666,-0.0164471930,0.4107004470,0.0979645552,0.3112823277,-0.0877833051,1.5243606313,0.0781252100,2.9012349447,0.1142580407,-0.0902991760,-0.0789208011,1.0427077677,-0.0388701461,-0.0250544287,0.5484455742,-0.0077773408,0.0508783250,-0.1162023945,0.2973005544,0.0979509561,2.1004151340,-0.1658788549,-0.1121268229,0.1172201743,0.1641530268,0.9963532146,1.0267343833,1.6126908062,1.5185710891,0.8896137413,-0.1017693667,-0.0831771936,0.2743944092,0.1649630812,2.0439955792,0.3209661450,0.0688335455,0.0744793021,-0.0237400801,1.0571365771,1.6667781540,0.7593827262,3.2252018750,-0.1035027482,-0.1466390383,0.7852419809,-0.1321031476,0.0060873871,0.3574118243,0.1339713250,Control
GSM481011,0.0050105803,-0.1128528878,-0.0473339249,-0.0666844478,0.0385011928,2.8519130112,3.1823942018,-0.0504243473,1.4279926800,1.1410529101,0.0044402286,0.3086895734,0.0840626457,1.1232241080,2.9154372248,1.1785108703,-0.0686773083,-0.1072986642,0.0151894431,0.2134904924,1.3498147170,-0.1512903422,-0.1989473014,1.9492786230,-0.0247992039,-0.0131047409,1.2405612404,0.0264637599,1.3589244818,0.0453490413,0.0860105640,-0.0307999963,0.3692471853,-0.0441689824,1.0867041347,0.0861695422,2.9495386283,0.0620558802,-0.0423831238,0.0974391261,1.0494748389,-0.0912651223,0.0269770351,0.3337490326,0.0489917260,0.1527878153,-0.2020389984,0.0853694100,0.1478025638,2.1292321987,-0.1268478044,-0.2263149620,-0.0419655334,0.0366855888,0.7542871685,0.5490723029,1.4345255824,0.9402506900,0.4734666871,-0.0445245766,0.0239393658,0.1690626889,0.0260892796,1.7682299747,0.0518733455,-0.0475626586,-0.0935180319,0.0394449375,0.6952903717,1.3167463400,0.7561733133,1.0833165870,-0.0901307791,0.1219026649,0.7720717467,-0.0731823341,-0.0784938757,0.5802328967,0.0557324726,Control
