@relation data

@attribute id string
@attribute 1026 numeric
@attribute 1111 numeric
@attribute 4750 numeric
@attribute 7465 numeric
@attribute 993 numeric
@attribute 994 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,2.1393974684,0.6528888869,0.6283852471,1.2637668444,0.6374414872,1.7060722708,BRCA
GSM480985,2.2990302591,0.0609673743,0.6215400095,1.4701663553,0.0492526630,1.7094334298,BRCA
GSM480986,2.2193307467,0.2816253898,0.4467300430,1.1940670724,0.4390877198,1.6944179667,BRCA
GSM480987,2.7037154810,0.3051683142,0.3305641912,0.9564621970,0.3928541201,2.2871479459,BRCA
GSM480988,2.3901760505,0.3160982717,0.5019793345,1.1079193819,0.3899331939,1.8666757610,BRCA
GSM480989,2.7720669135,0.0727118015,0.2827395045,1.3198841063,0.3898263973,1.9043345452,BRCA
GSM480990,2.7343542910,0.1810615500,0.4269599728,1.1087027771,0.4009001907,2.6813939280,Control
GSM480991,2.7373882608,0.0262369086,0.3912618725,1.0479595629,0.1965093458,1.8788974551,Control
GSM480992,2.7673748358,0.1720501393,0.3173353538,1.4193997886,0.3960243086,2.6905449628,Control
GSM480993,2.7103066743,0.3676773707,0.2757785879,1.5918771643,0.6375025820,2.2501229578,Control
GSM480994,2.5664842689,0.2979204818,0.3090538939,1.3644455158,0.3717233012,2.3727782170,Control
GSM480995,2.8292390630,0.0137226116,0.4568152551,1.4600208813,0.1847253082,1.6040892337,Control
GSM480996,2.6013813167,0.3551596531,0.2772225361,1.3074185662,0.4991436346,2.1832758983,BRCA
GSM480997,3.0480974393,0.0449486011,0.4360393511,0.8715782906,0.1082989961,1.8721700906,BRCA
GSM480998,1.5797828546,0.5533272781,0.1565716906,1.1358721098,0.5541086284,1.9330853356,BRCA
GSM480999,2.1742217764,0.0962143680,0.6639582293,1.0212681088,0.1121939807,1.5194695393,BRCA
GSM481000,2.1826425754,0.1460495018,0.4346362771,1.0400453518,0.1285960922,1.3237014544,BRCA
GSM481001,2.4748434424,-0.0407061750,0.4823151952,1.4619458951,0.0576625303,1.5651110610,BRCA
