@relation data

@attribute id string
@attribute 10157 numeric
@attribute 51166 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,0.0799553868,0.1688240256,BRCA
GSM480985,0.1913857667,0.0451596690,BRCA
GSM480986,0.0251934214,-0.0105832153,BRCA
GSM480987,0.2826262296,0.2616733965,BRCA
GSM480988,0.0520365555,0.0373638601,BRCA
GSM480989,0.0169897502,-0.1406370429,BRCA
GSM480990,0.1399558039,0.0290742809,Control
GSM480991,0.0427340731,-0.2311117117,Control
GSM480992,0.0307916984,-0.1823771259,Control
GSM480993,0.1070122059,-0.0695527356,Control
GSM480994,0.1338211270,-0.1419054438,Control
GSM480995,0.0069565235,0.0060958546,Control
GSM480996,0.1404638578,-0.1411201824,BRCA
GSM480997,0.4920906518,0.0445910889,BRCA
GSM480998,0.0684417018,0.0801771311,BRCA
GSM480999,0.1450603115,-0.1004759228,BRCA
GSM481000,0.0913405173,0.0303743286,BRCA
GSM481001,0.0151012347,-0.1281757045,BRCA
