@relation data

@attribute id string
@attribute 10219 numeric
@attribute 10225 numeric
@attribute 10288 numeric
@attribute 10666 numeric
@attribute 10859 numeric
@attribute 10870 numeric
@attribute 10990 numeric
@attribute 11006 numeric
@attribute 11024 numeric
@attribute 11025 numeric
@attribute 11126 numeric
@attribute 120425 numeric
@attribute 131450 numeric
@attribute 135250 numeric
@attribute 1525 numeric
@attribute 2213 numeric
@attribute 22914 numeric
@attribute 28908 numeric
@attribute 3105 numeric
@attribute 3106 numeric
@attribute 3107 numeric
@attribute 3133 numeric
@attribute 3134 numeric
@attribute 3135 numeric
@attribute 3383 numeric
@attribute 3384 numeric
@attribute 3385 numeric
@attribute 3386 numeric
@attribute 3676 numeric
@attribute 3683 numeric
@attribute 3688 numeric
@attribute 3689 numeric
@attribute 3695 numeric
@attribute 3805 numeric
@attribute 3812 numeric
@attribute 3824 numeric
@attribute 4277 numeric
@attribute 4345 numeric
@attribute 56253 numeric
@attribute 567 numeric
@attribute 5817 numeric
@attribute 5819 numeric
@attribute 6402 numeric
@attribute 6955 numeric
@attribute 6957 numeric
@attribute 718 numeric
@attribute 7305 numeric
@attribute 7412 numeric
@attribute 79465 numeric
@attribute 80328 numeric
@attribute 8174 numeric
@attribute 8519 numeric
@attribute 915 numeric
@attribute 916 numeric
@attribute 917 numeric
@attribute 919 numeric
@attribute 925 numeric
@attribute 926 numeric
@attribute 930 numeric
@attribute 947 numeric
@attribute 958 numeric
@attribute 959 numeric
@attribute 975 numeric
@attribute 999 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,-0.1730070431,-0.1623362887,-0.0455967279,-0.0294138384,-0.1742301028,0.4745786906,0.0334746210,0.1771772098,-0.0968383482,0.0765168417,0.2068659431,0.0344397128,-0.1157138941,-0.0471229223,-0.0359320357,-0.0699640611,-0.1080595911,-0.0621530627,2.2812253023,1.5229048728,2.6123425960,2.3021070256,0.2612027752,0.2401516087,1.6084205522,0.1503931937,1.0669086047,-0.0891857259,0.1586799756,-0.0770992702,0.1496797397,-0.1962938794,-0.1541696254,-0.2041068965,-0.0164388966,-0.0880914015,1.9737315841,0.8476491861,-0.0372636627,1.6511866775,0.4931013983,0.3088382735,-0.0292339090,-0.1522403283,-0.1100632684,0.7355849647,-0.0860616779,1.4351434186,-0.0499930794,1.3224682807,0.0850201877,1.3255951192,-0.0656518902,-0.2278303034,-0.0177773779,0.0158559754,-0.0700839953,-0.0188878691,-0.0653620412,0.0287567411,-0.0944000360,-0.1889940840,3.1708469094,0.0180790283,BRCA
GSM481003,-0.0999040959,-0.0878320318,-0.0863100298,-0.0679084017,-0.0910816556,0.3854765561,0.0549560181,0.0495595975,-0.0685490905,0.0813775213,0.1784787456,0.0466573979,-0.0607300055,-0.0772314420,0.0919862403,0.0044546400,0.1808982436,-0.1107390683,2.5229606927,1.8544525307,2.9124462607,2.1511375834,0.3748175066,0.4102152153,1.3550704890,0.0781875632,1.0488100880,-0.0706507494,0.0405183853,-0.1034652738,0.1592926320,-0.1556896888,-0.0823839714,-0.2156811397,-0.0057595879,-0.0686461418,2.4956240654,0.8732522205,-0.0327616569,1.5482868770,0.5116480002,0.4601656807,-0.0006815124,-0.1029037122,-0.1581543141,1.6460385932,-0.1652009224,2.5014159606,-0.0905515356,1.3907091617,0.0700992181,1.6042037287,-0.0770565563,-0.1819517889,-0.0574515264,-0.1029128321,-0.1348725014,-0.0825786177,-0.0820714727,0.0987734194,0.1128028248,-0.1467106119,3.1630465686,0.4613067603,BRCA
GSM481004,-0.0386371724,-0.0727447687,-0.1363378892,-0.0148906871,-0.1684093998,0.2694004822,0.0800510821,0.0780896786,-0.0811054717,0.2067180860,0.0963586611,-0.0328533410,-0.1520915210,-0.0977130503,-0.0759994730,-0.1226504015,-0.1361301528,-0.0660460498,2.3726209051,2.3105667233,3.0650056200,2.3867501019,0.4093895632,0.4255986509,1.7522706015,0.0333518460,0.8410194449,-0.1641239255,0.1066328658,-0.1109918706,0.1403264253,-0.1854128705,-0.1296136039,-0.1207134081,0.0091371963,-0.0786334789,2.0887076060,1.0550972056,0.0285481322,1.2007790074,0.4409694789,0.3655948651,-0.0215440972,-0.1013266374,-0.1351322933,1.7324149248,-0.0151659958,1.4617717490,-0.1401273290,1.3036036093,0.0440111043,0.9148191767,-0.0345862663,-0.0889438873,-0.1026754117,-0.1231937660,-0.0793726691,-0.0626230279,-0.0403184684,-0.0252635851,0.0367485628,-0.0823195486,3.2538585960,-0.0217994316,BRCA
GSM481005,-0.0655165295,-0.1005334891,-0.1326560633,-0.0840603471,-0.1743791628,0.5085496489,-0.0401858747,0.1141656533,-0.1108172263,0.1567904450,0.1840369418,0.0217977374,-0.1116625934,-0.1433644093,-0.0432044393,-0.0291266756,-0.0683708418,-0.1214637549,2.4218538858,2.2198376855,2.7893269853,2.4552787683,0.3398955745,0.3398513175,1.1470914875,0.0848073462,1.0183299947,-0.0229799086,0.2469138296,-0.0538089833,0.2270940179,-0.1542207042,-0.1365753101,-0.1903441554,0.0027882924,-0.0930595888,2.0454619329,0.8049723865,-0.0655940081,1.4086831123,0.4413598240,0.2964933475,0.0227117965,-0.1664229727,-0.0999191949,0.5123881329,-0.0309793255,0.8368593614,-0.0568491550,1.6958758433,0.0045036747,0.9676560569,0.0022492817,-0.1447939863,-0.0165831194,-0.1059599490,-0.1266929486,-0.0229828025,-0.0205959372,-0.0781033603,0.0770583563,-0.1864941843,2.9495219735,0.1299700532,BRCA
GSM481006,-0.1172997419,-0.0724091378,-0.1554844429,-0.0220886800,-0.1595608234,0.6380542600,-0.0242954403,0.1254032051,-0.1834998017,0.1713185850,0.0463154136,-0.0288273651,-0.1001876977,-0.0278803111,0.0138008443,-0.0567736244,-0.0285389992,-0.0760292428,2.5923849594,2.5553631185,3.0099298953,2.4233008693,0.5134105295,0.5036426629,1.6024171489,0.0198998432,0.9590272043,0.0808833686,0.1961680456,-0.1073077497,0.1351042711,-0.1855151630,-0.2180094931,-0.1133721534,0.0295137334,-0.0301416615,2.3913492094,0.8931636496,-0.1133024237,1.9025335787,0.6317264760,0.3381265376,-0.0354175276,-0.1145218472,-0.0809348578,0.9481664005,-0.1478592350,2.3843624517,-0.0711215274,1.4371019203,0.0879719659,2.4861626029,-0.0095844398,-0.1266725116,-0.0899901250,-0.0725723411,-0.0666833480,-0.0923834387,-0.0921381399,-0.1637762469,0.1071480134,-0.1412679263,3.2452758550,0.4513764037,BRCA
GSM481007,-0.0818420558,-0.0407693873,-0.0777832919,0.1050978690,-0.1222019950,0.7204427983,0.0097309484,0.1516684125,-0.0317370834,0.1613090855,0.1257546126,0.1524629632,-0.0703539828,-0.0899526607,-0.0372224727,-0.0662077655,-0.0295901436,-0.0384780558,2.7132214616,2.6203098695,3.3078905740,2.5416592009,0.4100853755,0.4378683264,1.6901965559,-0.0174723764,1.1120103863,-0.0646150708,-0.0270793494,-0.0586384583,0.2527581179,-0.0165134667,-0.0915853179,-0.1223145425,0.0207221707,-0.0398476611,2.5255455176,0.7353519690,0.0290808468,1.9477904402,0.3180357602,0.3968873509,0.0545602426,-0.0870538556,-0.1104458293,1.3011941914,-0.1419781879,3.1005409435,-0.0764489734,1.7789261540,0.1626402507,1.9433382069,-0.0307395773,-0.1174677125,-0.0112537179,-0.0235219490,0.1509046249,-0.0544135109,-0.0958110776,-0.0337320498,0.0036272553,-0.0966813660,3.1452418565,0.4485116918,BRCA
GSM481008,-0.1085947145,-0.1421622798,-0.0168858063,-0.0868890716,-0.0300765152,0.2046495867,0.0467827737,0.1912938802,-0.0964061432,0.1235255363,0.0478938355,0.0185703233,-0.1115061611,-0.1063029757,-0.0135584233,-0.0606938041,-0.0244661134,-0.0462991340,2.9042129741,2.3881211680,3.5734345917,1.7290140671,0.7389904377,0.4788961043,1.0914881301,-0.0370022842,1.7181748680,0.0244154839,0.0454254805,-0.0419190719,0.1197325149,-0.1834583134,-0.1796593074,-0.2194389631,0.0247200953,-0.0673261721,2.5643211206,0.5892548908,-0.0354113349,1.5310236899,0.2994903597,0.3928937842,0.0706649609,-0.1443500521,-0.0714811774,1.0562807394,-0.0937298844,1.1412398851,-0.1297243799,0.9345710377,0.0419373863,1.7879559654,-0.0317761449,-0.1770474609,-0.0888971100,-0.0611829106,-0.1495604314,-0.1106136142,-0.0645745573,-0.0663466330,0.0942950695,-0.0981632424,3.0182441325,-0.0903745492,Control
GSM481009,-0.0432238458,-0.0111005462,-0.1963166388,0.0374817029,-0.1760081553,0.0935830592,-0.0746465414,0.1710967998,-0.1921002512,0.1377295827,0.0687395520,-0.0891626611,-0.1158453068,-0.1081913159,-0.0680134477,0.0736083997,-0.0810421539,-0.2352709796,2.5609453994,1.5473926863,2.9983181160,1.6697274938,0.2221694356,0.3684054967,0.5789911190,0.0418354272,0.4727726032,-0.1627710871,0.0679936685,-0.0861537382,0.0098238778,-0.2835594586,-0.4556454430,-0.1708060876,-0.2593596921,0.0227612859,2.4283529122,0.5100665329,-0.0564600430,1.9638434743,0.1706527257,-0.0572927748,0.0498461842,-0.1487374656,-0.0886993240,0.6725121166,-0.2148679675,0.6947452825,0.0020108868,0.6095082560,-0.0274623559,1.8744594838,0.0485846690,-0.2456428629,-0.0362032268,-0.1263983154,-0.0830179619,-0.0742771829,-0.0180100151,-0.0802411665,-0.0703402315,-0.2133116647,3.2444939763,-0.1490650472,Control
GSM481010,-0.0119908676,-0.0861334919,-0.0995155151,-0.0528328130,-0.0962569237,0.4075930769,-0.0285593881,0.0907562936,-0.1053694003,0.2155522405,0.1304218504,-0.0248416120,-0.0714564562,-0.1135374799,0.1341888807,-0.0738389365,-0.0299358393,-0.0816584906,2.0726020042,2.2387732467,3.1118620240,2.0544098756,0.2942882480,0.4823872663,1.4379808760,-0.0318547905,0.9132051666,-0.0164471930,0.0781252100,-0.0388701461,0.0508783250,-0.1162023945,-0.1121268229,-0.1197493156,0.0688620073,-0.0823049010,1.9066356287,1.3009454872,-0.0724865708,1.8792734133,0.4243409822,0.3127255697,0.0549998319,-0.1136882913,-0.1319057523,1.1145762462,-0.0920541608,3.2252018750,-0.0791860360,0.9938966433,-0.1466390383,1.7389646856,-0.0380152711,-0.0665421138,-0.0303304419,-0.0213031029,-0.0702841424,-0.0651846437,-0.1299125630,-0.0072475783,0.0569735571,-0.1327051670,2.8713478295,0.1339713250,Control
GSM481011,-0.0832464630,-0.0708613517,-0.1136230589,-0.0096535281,-0.1109695476,0.3088521848,0.0617372231,0.0651086003,-0.0420737274,0.0813332918,0.1532964345,0.0385011928,-0.1211206228,0.0009774858,-0.1040255607,-0.0326026935,-0.0491048291,-0.1074837479,2.3672987532,0.8510558853,2.4098413787,2.3644770805,0.1736610190,0.2398299707,1.2405612404,0.0264637599,1.3589244818,0.0453490413,0.0861695422,-0.0912651223,0.1527878153,-0.2020389984,-0.2263149620,-0.1992447216,0.1142947127,-0.0706275292,2.3512359062,0.8236578843,0.0128228308,1.0525147868,0.5014586547,0.5078688389,0.0696291659,-0.0834182592,-0.1061520659,0.4931039812,-0.0693470378,1.0833165870,-0.0353208957,2.0583053033,0.1219026649,1.6864269676,-0.0931687449,-0.1829459285,-0.0012088869,-0.0795513421,-0.0139633389,-0.0550308053,-0.1162713636,-0.0561168351,0.0428327815,-0.0771297612,3.1517891138,0.0557324726,Control
