@relation data

@attribute id string
@attribute 10063 numeric
@attribute 10312 numeric
@attribute 10476 numeric
@attribute 10632 numeric
@attribute 10975 numeric
@attribute 125965 numeric
@attribute 126328 numeric
@attribute 127124 numeric
@attribute 1327 numeric
@attribute 1329 numeric
@attribute 1339 numeric
@attribute 1340 numeric
@attribute 1346 numeric
@attribute 1347 numeric
@attribute 1349 numeric
@attribute 1351 numeric
@attribute 1352 numeric
@attribute 1353 numeric
@attribute 1355 numeric
@attribute 1537 numeric
@attribute 155066 numeric
@attribute 170712 numeric
@attribute 23545 numeric
@attribute 245972 numeric
@attribute 245973 numeric
@attribute 27068 numeric
@attribute 27089 numeric
@attribute 29796 numeric
@attribute 374291 numeric
@attribute 4694 numeric
@attribute 4695 numeric
@attribute 4696 numeric
@attribute 4697 numeric
@attribute 4698 numeric
@attribute 4700 numeric
@attribute 4701 numeric
@attribute 4702 numeric
@attribute 4704 numeric
@attribute 4705 numeric
@attribute 4706 numeric
@attribute 4707 numeric
@attribute 4708 numeric
@attribute 4710 numeric
@attribute 4711 numeric
@attribute 4712 numeric
@attribute 4713 numeric
@attribute 4714 numeric
@attribute 4716 numeric
@attribute 4717 numeric
@attribute 4718 numeric
@attribute 4719 numeric
@attribute 4720 numeric
@attribute 4722 numeric
@attribute 4723 numeric
@attribute 4724 numeric
@attribute 4726 numeric
@attribute 4728 numeric
@attribute 4731 numeric
@attribute 479 numeric
@attribute 495 numeric
@attribute 496 numeric
@attribute 506 numeric
@attribute 50617 numeric
@attribute 509 numeric
@attribute 51079 numeric
@attribute 513 numeric
@attribute 51382 numeric
@attribute 515 numeric
@attribute 51606 numeric
@attribute 517 numeric
@attribute 518 numeric
@attribute 521 numeric
@attribute 522 numeric
@attribute 523 numeric
@attribute 525 numeric
@attribute 526 numeric
@attribute 527 numeric
@attribute 528 numeric
@attribute 529 numeric
@attribute 533 numeric
@attribute 534 numeric
@attribute 535 numeric
@attribute 537 numeric
@attribute 539 numeric
@attribute 54539 numeric
@attribute 55967 numeric
@attribute 56901 numeric
@attribute 6390 numeric
@attribute 6391 numeric
@attribute 64077 numeric
@attribute 7381 numeric
@attribute 7384 numeric
@attribute 7385 numeric
@attribute 84701 numeric
@attribute 8992 numeric
@attribute 90423 numeric
@attribute 9114 numeric
@attribute 9167 numeric
@attribute 9296 numeric
@attribute 9377 numeric
@attribute 9550 numeric
@attribute 9551 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,0.0065156580,1.8568607303,-0.0215002628,1.0219176648,1.6065710011,0.0452027960,1.6446689579,0.0194450492,1.8628853585,3.2848619714,-0.1795716221,2.8402468762,2.2213181482,3.9704894124,3.5314908823,3.8822471500,0.9197906601,0.1882815980,1.2230588223,0.8401468646,1.8060328232,-0.2380626956,-0.0169523261,-0.1149375671,-0.0666285500,0.2504397257,3.0968976021,0.6030484959,0.2756530001,3.0387252171,2.4601182936,1.6357717365,3.2205805777,0.2486950680,1.7164077479,1.4395218045,2.3227324934,2.5074842997,0.1886901377,2.1677986682,1.0677903328,2.1220440027,0.6539471631,2.3124258220,0.2487115003,1.2550506103,0.9883646533,1.0886668603,2.4376149177,2.6906381844,0.2597110026,1.6307654231,1.8365079166,1.7503142655,0.7752949819,2.4476711284,1.6104773722,0.7241713291,-0.1254590665,-0.0508058400,-0.0473598670,3.1079884368,0.5141691086,1.4961043072,2.1798728151,2.3329411819,2.3382055547,0.2996721839,0.3176925605,0.0318749008,2.4994129381,3.2600649594,2.2702302934,1.2660520051,-0.1259847570,2.1678054033,3.0820800662,0.3312356603,1.7084716160,2.6599095133,0.1533404108,0.2279989547,1.7387846112,0.9096642471,2.4433588329,2.8299887477,-0.2001390617,0.4090528326,0.8865274853,1.1155963559,1.1971655047,0.1019727320,0.6689030316,0.1123361526,3.0279774453,0.2876677150,0.3985966229,3.7984867777,1.9973233565,0.9859425634,1.1171269007,0.2279296554,BRCA
GSM481003,0.0919000996,2.2013084937,0.0133476024,1.1962682505,1.5810831739,0.0109310431,1.9038892528,-0.0370189039,2.0211641467,3.1046462550,-0.0146273619,3.1145976185,1.4077368268,4.1521382630,3.0898873807,4.2017644346,1.0741144980,0.1265157983,0.9816991992,1.2373216148,2.6208159790,-0.2188028161,0.0280841326,-0.0398127000,-0.1113640782,0.3479010277,3.2187410724,0.7621036256,0.4606401824,3.0341599252,2.5814743936,2.0847374051,3.1737505597,0.2942398865,1.7054112518,1.4585310220,2.1807312070,2.8132060766,0.2197001022,1.8525355755,1.1325404544,2.3613689826,0.7158783051,1.9804784506,0.3181647626,1.2617161914,1.1800323744,1.3887933741,2.8087391850,2.5457379668,0.1923796521,1.8500925974,2.0938445861,2.1084910929,0.4973504533,2.6695610268,2.1247192935,0.7272023059,-0.1165715829,-0.0970753033,-0.0784129628,3.3465057213,0.3279076968,1.4620030204,2.1980750817,2.6818014682,1.9125386604,0.2160831658,0.3783047565,0.0157527676,2.6718154326,3.1835549236,2.1873705387,1.0736776806,-0.1214339481,2.5600023569,3.3610697785,0.2575289740,1.8834162157,3.2354842028,0.0863591588,0.2405393499,1.9165715178,0.9493483220,2.5594494092,2.7096900718,-0.1427519776,0.3497496598,0.6315070663,0.7491920831,1.1052940043,0.4503844612,0.4693122717,0.0321225069,2.9179491148,0.1603778334,0.5288881519,3.7276783670,2.2248295321,1.0323292889,1.3200557045,0.3079783814,BRCA
GSM481004,0.0051915796,2.0168780188,-0.0270105457,0.8188014599,1.4291266021,0.0354191433,1.4323686774,0.0799203141,1.8149248219,2.7513620434,-0.0996428440,2.6634279788,1.5458005855,3.9310209751,2.8089146617,3.7254126369,0.9780738222,0.1516229976,1.1059975474,0.9444029234,2.6044758559,-0.1920239116,-0.0148306587,-0.0329750528,-0.0101506574,0.3434310566,2.9644316963,0.4769736669,0.3354159718,2.7731111049,2.1983565836,1.5678548534,2.7605939703,0.2922863052,1.5158698840,1.3193888069,2.0343554466,2.5997846297,0.2287318234,2.1499634981,0.9142084192,2.1691660062,0.5975045407,1.9425479024,0.2462725308,0.9587086626,1.0140725214,1.1807892750,2.4129609270,2.2046734146,0.1941156472,2.0194691271,1.9288315508,1.9422880264,0.6779014052,2.3183145830,1.5941088451,0.7539316761,-0.1063964106,-0.0781588417,-0.0521309630,3.3967864779,0.2469721740,1.4136516897,1.6568037951,2.2295052782,1.9134896696,0.2642176397,0.4760013257,-0.0455347607,2.3726567054,2.7450075628,2.0431277581,1.2301014228,-0.0985759946,2.6603571326,3.1938345432,0.3122637004,2.0662600597,2.5533097188,0.0397804532,0.1683883188,2.2170206573,0.9431394576,2.0525917485,2.4000283107,-0.0494234860,0.3748848780,0.9444994971,1.0068771284,1.0414347755,0.4909965594,0.5573724887,0.0466757352,2.9514949111,0.2269444358,0.4318911533,3.6762415340,1.7503683782,1.1291053325,0.9423748963,0.1741969176,BRCA
GSM481005,-0.0561741904,1.7990147126,0.0328818946,1.3571816572,1.5030625733,0.0743817470,1.6823606193,0.0231471270,2.0470406263,2.9448024105,-0.0409917059,2.9922003747,2.9164639414,3.8681294917,3.4843147593,3.9038367570,1.1878564821,0.1863747717,0.9593424958,0.8663924949,1.5696045822,-0.1314745989,0.1175842350,-0.0019453466,-0.0090662245,0.2843262143,3.2498423260,0.7998633141,0.3035506073,2.9812125630,2.4990127236,1.6809316798,3.2110089463,0.4079513097,1.5537148136,1.3627903386,2.1741721035,2.3638364417,0.1803542242,1.8589681834,1.0842802754,2.2095118126,0.7193749649,1.9819100201,0.3776381511,1.0983269770,1.1873108868,1.1182611493,2.4336035250,2.7255921264,0.2553910810,1.6536440179,1.7271274924,1.7320386915,0.9889568767,2.4973058519,1.4492170904,0.7083278808,-0.1474843333,-0.1043176739,-0.0532677919,3.0898846256,0.5834803514,1.5698961616,2.2327765991,2.2275011428,2.3908777322,0.3574537685,0.3952120411,0.0327990142,2.4502617494,2.6693992377,2.2548299346,1.3511930243,-0.0830192574,2.2646600901,3.1830767193,0.5317383234,2.1926077603,2.6579250760,0.5067166404,0.1927578433,1.8868444827,0.8824120524,2.3397172830,2.4607534110,-0.2002382709,0.3619722401,0.9545850273,0.9611127489,1.3138269037,0.1786840178,0.6773148974,0.0295793929,3.1421803641,0.2318727339,0.4164272592,3.5753884656,2.2150741817,0.9828669735,0.8365208701,0.3859257492,BRCA
GSM481006,0.0912736606,1.6322733540,-0.0190367056,1.3291345834,1.6030405131,-0.0223264698,1.7438920818,-0.0600315931,1.9426999326,3.1906353375,-0.0433111364,2.7724787393,2.1919866055,3.7833141685,3.1228917440,4.1287405194,1.1910261546,0.1886757510,1.2302538331,0.7863435612,1.9457084339,-0.0972202324,0.0476818513,-0.0609242432,-0.0366396184,0.4605460096,2.8971524637,0.8641829562,0.3681020994,2.6177624463,2.3873384297,1.8016335669,3.0848254363,0.3196676824,1.3389384973,1.4803565667,2.3331040739,2.3626762627,0.2036693060,1.7869181707,0.9409873320,1.8140879337,0.5929628641,2.0483266710,0.3491715844,1.6534072459,0.9794260178,1.3167128688,2.4758646487,2.5557612278,0.2457010680,2.0219145865,2.1404061980,2.0242314488,0.7586661034,2.7829704021,1.7621015075,0.8132246775,-0.1259286791,-0.1421055607,-0.0885474478,2.8810225061,0.0735658940,1.5329054901,2.2620981911,2.1049091872,2.0472946891,0.2197939347,0.5246121852,-0.0101383815,2.6413420307,3.1118939400,2.3350743396,1.4019693417,-0.0623533069,2.5281204283,3.0485221246,0.5153231599,1.6275084417,2.9888870982,0.0598821923,0.2833875683,1.7517078914,0.7849476009,2.4747377149,2.3909723165,0.1418738538,0.3769601093,0.9825892283,0.8284236955,1.2153712613,0.3945244716,0.5262670671,0.0115061026,2.8811578836,0.0057057377,0.5104315901,3.8201055186,2.2021656933,1.0885378044,1.1236191485,0.2949828910,BRCA
GSM481007,0.4037815003,2.3416953210,0.0159823717,1.3079844167,2.0476180873,-0.0038959036,2.0950755760,0.0830658925,2.0811500624,3.4278373156,-0.0469448198,3.0253856183,1.7605797424,4.2471015454,3.6010037263,4.3338177502,0.7512193166,0.0388600889,1.0566711668,1.0927841692,2.6657882267,-0.1092255309,0.0425152491,-0.0684406345,-0.0070013134,0.5826052967,3.0893913110,0.7840594022,0.7224909781,2.9720964299,2.7150726616,2.0522057041,2.9745294253,0.4008089031,1.3934654891,1.5443978199,2.3146706374,1.8187864251,0.2307542809,2.2717683838,1.1800466418,2.2293974180,0.5650052975,2.0653339624,0.3903779959,2.3319536386,1.0687853980,1.4835200446,2.1261421440,2.9612464806,0.3231798144,1.7148856373,1.8690532444,2.4890010954,0.6884716573,2.6580340134,2.3596909832,0.5659708979,-0.1007742665,-0.0302853585,-0.0408662597,2.9203303124,0.3187423200,1.3644063912,2.6660154547,2.8284495919,1.6873555439,0.1496402762,0.4822960018,0.0335193657,2.7374518901,2.6969007731,2.4141525201,1.3135173516,-0.0677674956,1.8048537672,3.3252202073,0.4794036442,1.5807603200,3.7316410806,-0.0602406183,0.1697343944,2.1712128919,0.7057773544,2.8127475454,2.2932524310,-0.1349533101,0.3999590482,0.2822355972,0.6703454001,1.4956284187,0.6803908083,0.3650899887,0.0820710908,3.0911877779,0.1237136690,0.6048736209,3.6439844541,2.6636510341,0.9846709110,0.8256786457,0.3709168702,BRCA
GSM481008,0.0354077203,2.3666895902,-0.0343995983,0.9915557764,1.4917126569,0.0642122642,2.1372509993,0.0194450171,1.8299913453,2.8501150784,-0.1405497756,2.7354585430,0.0876533418,3.7913441360,2.8796510697,4.2373084425,0.7486781443,0.0897080352,0.7499419388,1.7489482332,2.6750968696,-0.2445231275,0.1192758778,-0.0487661479,0.0245759033,0.5186726467,3.0685641767,0.7273884065,0.7354628362,2.5617784924,2.3655275850,1.7669373006,2.1554170050,0.3448571845,1.3476119901,1.4357141367,1.8638240991,2.3686740569,0.1604714319,2.1738130824,0.9882385780,2.0878327582,0.7116897155,1.2949985862,0.3597128101,1.7076398496,1.0041832561,1.3470968207,2.2466801007,2.1003389657,0.3366685788,1.5304556115,1.9095012346,2.2131462991,0.6240647347,2.7265273662,2.1243032123,0.9072494089,-0.0631528394,-0.1005118221,-0.0589367632,3.0698242452,-0.0152832921,1.1112849401,2.1739230324,2.6585530491,1.3143214839,0.3388155522,0.3223061445,0.0488342492,2.2577984351,2.4083025576,2.4740204471,1.1334818007,-0.0972031180,1.7040325554,3.1932358045,0.4137172515,1.4021726450,3.4815651840,-0.0049635819,0.1444476569,1.8789323368,0.6961428382,2.7826597719,2.6702908428,-0.2035032117,0.1963933800,0.7302600849,0.5496933554,1.1688015965,0.8696000842,0.4626299099,0.0720147341,2.0240264421,0.2283093927,0.4554638961,3.2993071420,2.2800815030,1.2960779315,0.7127064803,0.2597184494,Control
GSM481009,-0.0943906539,1.4457605811,-0.0492966836,1.0659875749,1.4853398304,0.0684719377,1.3368267140,0.0774315427,1.7367875094,2.6311376569,-0.3586401987,2.5402667387,1.6264791708,4.3633204104,3.4713052907,4.5574183465,0.9551183548,0.0781580515,0.8493691594,0.3506586602,1.7865871192,-0.1107506554,0.0073626528,-0.0829033151,-0.0611078614,0.2184338658,2.9750197729,0.4288435452,-0.0518121308,2.6461285090,1.8308716716,1.1259181237,3.0006508827,0.3723456574,1.4745161353,0.8766772447,1.8428533374,2.4826320240,0.1398413496,1.6955368374,0.9599975943,1.7672406273,0.5440771320,2.0447774530,0.0886783364,0.4453132280,0.5985564481,0.6838760163,2.2663613160,2.3990168696,0.2343769048,1.3813160173,1.5815853942,1.2780620902,0.6351096774,2.2483180324,1.0524347025,0.4662309039,-0.0722595018,-0.1889019059,-0.0228435210,3.0354197951,-0.1094468926,1.3137865533,1.6047753649,1.6951037552,2.0253289214,0.2322341885,0.2847852708,0.0914545403,2.3524644981,2.6957184910,2.1307837623,1.3941188709,-0.2030601044,2.1892659964,2.9691267412,0.1939483481,1.5824389060,2.3592794271,0.1513934456,0.0949656846,1.2984715220,0.7102748195,2.1571311801,2.6541922035,-0.5623895867,0.1087059972,0.7075142994,0.4761398644,1.0954677589,-0.0334941153,0.5205489170,0.1212613262,3.0265923280,0.1726686383,0.1644279799,4.1423926693,1.4812701902,0.8769327582,0.8018259266,0.2482639682,Control
GSM481010,0.0354855430,1.6410438180,-0.0548115551,1.7179220567,1.4537202894,0.0014198127,1.6478305326,0.0303611603,1.9242086759,2.9208014362,0.0380571040,2.8953553038,1.7727171405,3.6474858521,3.3400865397,3.7300850450,1.0273675512,0.1901824112,1.1173848070,0.8249833369,1.8416221407,-0.0820968560,0.0963420311,-0.0841461032,-0.0465167749,0.3975981678,3.2245613336,0.8640203471,0.3844091756,3.0227346950,2.3879695085,1.6967094017,3.0904437700,0.3408809946,1.7365808804,1.5202775001,2.1778445244,2.6175937141,0.1764122515,1.7596189790,0.9621769682,2.2206496335,0.6412778155,2.2285253704,0.1741315549,1.1308501013,1.2762061459,1.1142076761,2.6448915800,2.3248520293,0.2522442355,1.7771696895,1.5629302529,2.0286182462,1.0144006864,2.7083729937,1.5733488265,0.4290820978,-0.0645042324,-0.1016546024,-0.0698386465,3.0851212873,0.6113295373,1.6659406288,2.1312635030,2.4014054723,2.5902105059,0.4531395072,0.4360353170,-0.0429083498,2.4095690641,2.6687417746,2.3473299741,1.4149107452,-0.0641461387,2.4882555604,2.8156872888,0.5933507593,2.0841100610,2.5427460669,0.1157027613,0.0831961750,1.6254494820,1.0179204699,2.2522071411,2.6550702156,-0.0615451263,0.2768504703,0.8241521644,0.7945647401,1.3226195287,0.1388330570,0.7180417817,0.0683142278,2.7379607399,0.0739638623,0.4462038194,3.5693041259,1.8663256094,0.8757476503,1.3896132894,0.2838235931,Control
GSM481011,-0.0207556461,2.5707602666,-0.0419472772,1.3794508280,1.6555728007,0.0699772569,1.9561922980,-0.0030596131,1.9761028098,3.3096089502,-0.2291208319,3.2716646788,3.1080761999,4.2350476681,3.9323317207,4.2991562488,1.0256000452,0.1394231636,0.8460868022,1.4112859420,2.6294432613,-0.1836228975,0.0700286454,-0.0534303492,-0.0580081822,0.3966790506,3.1813957692,0.8660045439,0.7136496792,3.4056040446,2.6497408005,2.1996617466,3.4332664810,0.3185166485,1.5084238447,1.8580200077,2.5287604482,2.1517676371,0.2314369944,2.4475443587,1.3081714013,2.4495576592,0.7526182593,2.2082091720,0.4009645881,1.6914787251,1.0688686749,1.3711971417,3.1678408783,2.6425355971,0.0892798126,1.8854857087,1.9175779687,2.4482676982,0.8773281438,2.5530876767,2.0788810943,0.7560514939,-0.0238210675,-0.0569937783,-0.0669075208,3.3461109001,0.1773831133,1.3229064272,2.3257809620,2.7997629979,1.8544587236,0.2279519721,0.2815913279,0.0387492075,2.7162716026,3.3902751447,2.3330109459,1.0580138103,-0.1393795315,1.9052457735,3.6779853900,0.1214960702,1.9530722300,3.3704163233,0.1179236739,0.1384740885,2.1479393972,0.9361557679,2.8619557435,2.7364563719,-0.2130049761,0.3405190137,0.7569047911,0.8428241071,1.7326221133,0.5270740208,0.4434416458,0.0609087328,3.0662357616,0.2330209317,0.5373041621,3.7896052087,2.3084996305,1.2233210028,1.1078902038,0.2804141057,Control
