@relation data

@attribute id string
@attribute 1621 numeric
@attribute 2571 numeric
@attribute 3067 numeric
@attribute 5409 numeric
@attribute 7054 numeric
@attribute 7166 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,-0.1071769282,-0.0870355034,-0.1040954338,-0.0597783029,-0.2512615576,-0.0815516752,BRCA
GSM481003,0.0190064174,-0.0130152198,-0.1012331537,-0.0281594202,-0.1495431560,-0.1266653358,BRCA
GSM481004,-0.0422159154,-0.0262233293,-0.1055851843,-0.1103307949,-0.1139772636,-0.1699495448,BRCA
GSM481005,-0.0242268404,-0.0194564890,-0.0096061857,0.0219535819,-0.1839957377,-0.0960581243,BRCA
GSM481006,-0.0296859952,-0.0488770506,-0.0297888256,-0.0854933924,-0.1161467007,-0.1475777855,BRCA
GSM481007,-0.0196187584,0.0055831509,-0.1092777866,0.0301187311,-0.1227744416,-0.1020623475,BRCA
GSM481008,-0.0491436993,-0.0376797197,-0.1182059998,0.0079413007,-0.1272905630,-0.1206592271,Control
GSM481009,-0.1843517235,-0.1147460760,-0.0294379618,-0.2011931678,-0.2682367118,-0.1802168635,Control
GSM481010,-0.0437719781,-0.1163510248,-0.0338521089,-0.0491915908,-0.0482597125,-0.1100942675,Control
GSM481011,-0.0616497993,-0.0545368203,0.0055561998,-0.1416828756,-0.1738262996,-0.1445481531,Control
GSM481012,-0.0721229189,-0.0358525053,-0.1244588228,-0.0441550123,-0.1586221389,-0.0515171760,Control
GSM481013,0.0308432119,-0.0674028422,-0.0427312034,-0.0333484374,-0.0995026576,-0.1229643181,Control
GSM481014,0.0367001838,0.0933778809,-0.0727280580,0.0546728852,-0.1722545881,-0.1077568361,BRCA
GSM481015,-0.0495885168,0.0304344626,-0.0913903776,-0.0650517162,-0.1355923843,-0.1160024792,BRCA
GSM481016,-0.0100986313,-0.0952672709,-0.0780725033,-0.0887369841,-0.1342068272,-0.1244788801,BRCA
GSM481017,-0.0688536264,-0.1257673630,-0.1119877997,0.0167328151,-0.1437881080,-0.0942430837,BRCA
GSM481018,-0.0258071897,-0.0265644207,-0.0048747796,-0.0515802500,-0.3006612693,-0.1138764184,BRCA
GSM481019,0.0551453407,0.1464170953,-0.0792458251,-0.0062970609,-0.0858472640,-0.1025241818,BRCA
