@relation data

@attribute id string
@attribute 1511 numeric
@attribute 1991 numeric
@attribute 2213 numeric
@attribute 255626 numeric
@attribute 286436 numeric
@attribute 2903 numeric
@attribute 2904 numeric
@attribute 3012 numeric
@attribute 3014 numeric
@attribute 3017 numeric
@attribute 3018 numeric
@attribute 3021 numeric
@attribute 3108 numeric
@attribute 3109 numeric
@attribute 3111 numeric
@attribute 3112 numeric
@attribute 3113 numeric
@attribute 3115 numeric
@attribute 3117 numeric
@attribute 3119 numeric
@attribute 3122 numeric
@attribute 3123 numeric
@attribute 3458 numeric
@attribute 3586 numeric
@attribute 55506 numeric
@attribute 55766 numeric
@attribute 6628 numeric
@attribute 6632 numeric
@attribute 6634 numeric
@attribute 6737 numeric
@attribute 6738 numeric
@attribute 712 numeric
@attribute 7124 numeric
@attribute 713 numeric
@attribute 714 numeric
@attribute 715 numeric
@attribute 716 numeric
@attribute 717 numeric
@attribute 718 numeric
@attribute 727 numeric
@attribute 729 numeric
@attribute 730 numeric
@attribute 731 numeric
@attribute 732 numeric
@attribute 733 numeric
@attribute 735 numeric
@attribute 81 numeric
@attribute 8290 numeric
@attribute 8294 numeric
@attribute 8330 numeric
@attribute 8332 numeric
@attribute 8335 numeric
@attribute 8336 numeric
@attribute 8339 numeric
@attribute 8340 numeric
@attribute 8342 numeric
@attribute 8348 numeric
@attribute 8349 numeric
@attribute 8350 numeric
@attribute 8351 numeric
@attribute 8352 numeric
@attribute 8353 numeric
@attribute 8354 numeric
@attribute 8356 numeric
@attribute 8357 numeric
@attribute 8358 numeric
@attribute 8360 numeric
@attribute 8361 numeric
@attribute 8364 numeric
@attribute 8365 numeric
@attribute 8366 numeric
@attribute 8367 numeric
@attribute 8368 numeric
@attribute 8369 numeric
@attribute 85236 numeric
@attribute 87 numeric
@attribute 88 numeric
@attribute 89 numeric
@attribute 8968 numeric
@attribute 8969 numeric
@attribute 92815 numeric
@attribute 940 numeric
@attribute 941 numeric
@attribute 942 numeric
@attribute 94239 numeric
@attribute 9555 numeric
@attribute 958 numeric
@attribute 959 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,-0.1458183439,-0.1230679691,-0.1128402543,-0.2392959260,-0.1847938203,-0.0754578801,-0.0192656675,0.6419165981,0.4663673578,0.5796287800,-0.1710148110,2.1579934954,0.0626108013,-0.0021598573,-0.0444646151,0.1910638078,0.0322430879,0.0734804541,-0.0575062146,-0.1060773984,-0.1346518659,-0.0876011369,-0.1502639149,-0.2551962770,0.2314124576,0.5630905264,1.9450077416,2.0643569082,2.3485379815,0.6829611677,1.1892022289,-0.0976442384,-0.0286056817,-0.0454081683,-0.0437934828,-0.0096250619,-0.1304290168,-0.0747257081,0.8278927778,0.2909683453,-0.0243398963,-0.0376058193,-0.1087006506,-0.0850425689,-0.0708689977,-0.1845948000,0.8557089394,0.0007093880,-0.0907373567,-0.1426963513,-0.1233301959,0.4973183159,-0.0103821892,0.0351372616,-0.0636051464,-0.0104329173,-0.1406314549,1.2193830144,-0.1458585733,0.1062224344,1.6164440047,-0.0400704159,0.1694720521,-0.1287715932,0.0373365976,0.0447282344,-0.2411609210,-0.0415090222,2.2542199592,-0.0932262757,-0.1174726214,-0.0902371308,-0.1332889743,-0.1571838800,1.2740677339,1.9086507757,-0.1027024567,-0.1061069645,-0.1594003411,-0.0039524446,0.7766690255,-0.1338171530,-0.1011132785,-0.0745038521,1.1543083737,1.3344387082,-0.0538285408,-0.1593005250,BRCA
GSM480985,-0.1397892626,-0.2095426681,-0.0980658331,-0.1794575153,-0.0784449037,-0.0203434413,-0.0500140645,0.0878483590,0.1667381139,0.3041437968,-0.1616829565,2.1411872059,0.6915450320,0.1251381343,-0.0231436351,0.2698293427,-0.0650405677,0.0428558186,-0.1290383934,0.1628512691,0.0374173649,-0.1197701725,-0.1919777421,-0.2261143029,0.1435707184,1.0116505950,1.5113319533,1.1534284825,1.7068111213,0.7746911273,1.0401388928,-0.1023476910,0.0503361004,-0.0550792462,-0.0452966946,0.2675418221,-0.0097899473,-0.0780995210,1.8315040226,0.3096802390,-0.1676917417,-0.0719874206,-0.1236231382,-0.1091076463,-0.0998298880,-0.1529311204,0.7819419997,-0.0381716864,-0.0598962190,-0.0741090260,-0.1366967483,0.2993768882,-0.0896944367,-0.0988621673,-0.0984505909,-0.1655684480,-0.1932992957,0.8363667527,-0.1780695102,-0.0803962338,0.3020734747,-0.0949382781,-0.1083333482,-0.2050709613,-0.0167978437,-0.1362756306,-0.2674207158,-0.0894587290,0.6689824858,-0.2117764721,-0.1691980231,-0.1739324715,-0.1300205311,-0.1360877854,1.1959606751,2.2563728540,-0.1399921106,-0.0963063285,-0.2392547634,0.0406289395,0.9232566765,-0.1120574987,-0.1492929473,-0.1244322729,0.8662820749,1.2770094397,0.0384253590,-0.1639282239,BRCA
GSM480986,-0.0719315565,-0.1292039795,-0.0504659953,-0.1533035864,-0.0942534609,0.0294416636,-0.0183347330,1.1043994361,0.4313365992,1.1784153946,-0.1100320933,1.9712035097,0.4945947789,0.1963292633,0.0140152021,0.2892794812,-0.0956911196,0.1620062226,-0.1481252838,0.1136571739,-0.0432058185,-0.1058928922,-0.1827084002,-0.1601737868,0.2363352054,0.4452982502,2.0297983736,1.7334408810,2.1068636873,1.0143113337,0.9312397158,-0.1265779347,-0.0117659394,-0.1176824370,-0.0083324027,0.1801931898,-0.0196407202,-0.0314181925,1.1685674731,0.0367948461,-0.0896578618,-0.0440935976,-0.1037963919,-0.1040579473,-0.0864964035,-0.1304427799,0.5835656012,0.0159607796,-0.0556892770,-0.1807683357,-0.0112296072,0.5041547073,-0.0098990959,0.3388207418,-0.0599608208,-0.0366673270,-0.0307473849,2.1491256158,-0.1153243071,0.1114247302,1.1052035221,0.0768683551,0.0052143286,-0.1803507560,0.2213751505,-0.0761764600,-0.2003428036,-0.0567198651,1.7092387577,-0.0633980182,-0.1365487879,0.0263579212,-0.1227883108,-0.1555175528,2.2588932003,2.0866372263,-0.1202194508,-0.1493002576,-0.1446602456,0.1106025559,1.0077816173,-0.0338983699,-0.1117738267,-0.0023996997,1.0901438320,1.2576108229,-0.0640416026,-0.1522055960,BRCA
GSM480987,-0.1697421763,-0.1462740484,-0.0054656485,-0.1443897371,-0.0712523526,0.0160529329,-0.0567495614,0.1778778376,0.3058717020,0.7574752681,-0.1292375768,1.7390610222,0.0661166904,0.1146925516,-0.0216950949,-0.0708309157,0.1852427243,0.2594022517,-0.1046273241,-0.1178809743,-0.1097697392,-0.1023941331,-0.0920013336,-0.2000680720,0.1160851435,0.3582163283,2.1123042704,1.6946716409,2.0405936590,1.0515904392,0.9884040032,-0.0858780350,-0.0407701192,-0.1398636673,-0.0035615952,0.9259599148,0.4495162415,-0.0780751954,0.3775965802,0.2965672326,-0.1066315739,0.3006490615,-0.1387654964,-0.0378788900,-0.0700392031,-0.1157815391,0.1960985186,-0.0936968294,-0.0562249477,-0.1793503214,-0.0836802306,0.4832472367,0.0066010673,0.0138641748,-0.0141275727,-0.1387835598,-0.1289310869,0.9919551102,-0.2019331151,-0.0349597745,0.8405900957,-0.1317059007,0.0806742686,-0.1892591953,0.0634611877,-0.0374176179,-0.1953635868,-0.0970291794,1.7439129253,-0.1213725205,-0.1998982792,-0.0548538233,-0.1849811434,-0.1990236451,2.3340788397,1.9076936618,-0.1064028313,-0.1212047814,-0.1872208694,0.1019900925,0.9622731711,-0.0878388124,-0.0754210073,-0.1124246916,0.8506836967,1.1297883703,0.0094975195,-0.1375176070,BRCA
GSM480988,-0.0869024769,-0.2570186852,-0.0717158681,-0.1825272613,-0.1653071801,-0.0800450467,-0.0110762134,0.2150179089,0.3475325415,0.6328396549,-0.1845557308,1.8294198923,0.4122418322,0.0454927820,0.0066495671,0.2402783686,-0.0805971442,0.0238832242,-0.0136553543,-0.0180359739,-0.1178864969,-0.0838345339,-0.1157230785,-0.1748360544,0.2205570169,0.4727320429,1.8256524034,1.2115395334,1.8104193287,1.0245617758,0.7398028112,-0.0923690686,0.0001304974,-0.1411193696,-0.0169312344,-0.0165618559,-0.0962182085,0.0562963032,1.5271120535,0.2417796436,-0.0195990142,0.0115641625,-0.0256496472,-0.0164188035,-0.0811410938,-0.1253849119,0.6675415863,-0.1062904338,-0.0788592323,-0.0877908223,-0.0077997170,0.0794588774,0.0132736077,0.1222377939,0.0707095018,-0.0761340127,-0.1935073448,1.2601819633,-0.1690705316,-0.0320237356,0.1038319834,-0.0963802595,-0.1285621046,-0.1287467877,0.0846302174,-0.0547510622,-0.1497798196,-0.1045087450,0.9749213947,-0.1741188454,-0.0677825478,0.1177794542,-0.1071247313,-0.1315789620,1.1231992246,1.9844101221,-0.1170340794,-0.1168790694,-0.1857859420,0.1360606781,0.1465048728,-0.0262229780,-0.0961179183,-0.0799456790,0.9351502825,1.1730094410,-0.0275243978,-0.0947629332,BRCA
GSM480989,-0.1545042630,-0.2684163897,0.0028768714,-0.2007829703,-0.1623833832,0.0461123774,0.0548789222,0.7201442404,0.4429179234,0.5605698768,-0.1356046497,1.8776223808,0.8770841099,0.1130909237,-0.0627682461,0.5084585080,-0.0473541224,0.0141822898,-0.0902577417,0.2084253303,-0.1505416402,0.0919470743,-0.2689341306,-0.2916233484,0.2903556154,0.4573531375,2.4080531894,1.2904159272,1.8450706848,1.3014438383,0.4476548180,-0.0385395422,-0.0217998318,-0.0505662713,0.0030125228,0.1080318262,-0.1303395995,0.0152135714,1.7690416786,-0.0280618510,-0.0783362381,-0.0236061013,-0.0918863911,-0.0019992002,-0.0442133300,-0.2531328203,0.4191104986,-0.1113309821,0.0286313300,-0.1416616022,-0.0357085479,0.5144148340,0.0354408936,0.1641933033,-0.0012505815,-0.0825894711,-0.3411156456,1.9451569120,-0.0930172331,-0.0826873784,1.6139730853,0.0789337243,0.0301696133,-0.1452294259,0.0573936739,0.0806470176,-0.1944220621,0.0898366083,2.4606473248,-0.1347655566,-0.1308777917,-0.0471576433,-0.1603330197,-0.2160918530,1.5966522864,2.0251179983,-0.0949734952,-0.1589803841,-0.1676410017,0.1883418654,1.0813493469,-0.1424229563,-0.1004848999,-0.1106895457,1.0331736902,1.2181671534,0.0307232283,-0.1816061430,BRCA
GSM480990,-0.0525763644,-0.1862595244,-0.0370647031,-0.1180848084,-0.1050654530,-0.0147949093,-0.0182855369,1.3215424484,0.4757574229,0.8883089818,-0.0826441911,1.7673931941,0.1208910512,0.1960860100,0.0098015560,0.0771852141,0.0482923948,0.1855409761,-0.0054088302,-0.0469217674,0.0769794038,0.0021974898,-0.1534946757,-0.1563080516,0.1821461516,0.2955644664,2.1374707371,1.3736833832,1.7826679150,1.1027342211,0.8285534642,-0.0441175239,-0.0152148257,-0.0738812136,-0.0577879403,0.0655208114,-0.1133310158,0.0199839941,1.3251033657,0.0043650316,-0.0757814064,-0.0769532841,-0.1455592768,-0.0791772105,-0.0287747290,-0.1814378130,0.4373111957,-0.1150587343,0.0362737201,-0.2242663630,-0.0563549070,0.5401730370,0.0331177862,0.2677904508,0.0020130016,-0.0329819421,-0.1419496452,1.3865623740,-0.1496064044,0.0606599767,1.5881846957,-0.0954090077,0.2209727360,-0.1588913231,-0.0022658378,0.0674804549,-0.2183517062,-0.0134643076,2.6680849792,-0.0953085514,-0.2034950250,-0.0945666916,-0.0972427099,-0.1397777273,1.9206747497,2.5694656123,-0.1425240105,-0.1736178855,-0.2236515396,-0.0772203894,0.6825224292,-0.1355011998,-0.1337979434,-0.0556228180,0.7266493214,1.2059472365,-0.0896845966,-0.1055990883,Control
GSM480991,-0.1561541544,-0.1711871200,-0.0302126615,-0.2285199720,-0.1095780040,-0.0516968131,-0.0447101730,1.5500511196,0.1838217394,1.3187459749,-0.1786492415,1.7405993602,0.8700902536,0.2280225680,-0.0335729512,0.2943344935,0.0232491174,0.0698537100,-0.0889617601,0.7456210894,-0.0470037273,0.0457426893,-0.1411837970,-0.1673274888,0.2394993421,0.6071351854,1.8622680902,1.1820439424,1.9348096848,1.1220965716,0.7347698850,0.0022260549,0.1726690396,-0.1031896050,0.0007301160,0.0182633484,-0.0696551127,0.0331795253,1.6375737222,-0.0375853611,-0.0780078864,-0.0443149241,-0.1610407398,-0.0146138585,-0.0524391951,-0.1513912512,0.5193989678,-0.0897705828,-0.0016814419,-0.1765443441,-0.1408321550,0.6763776673,-0.0301061943,0.9897042628,-0.0327861132,-0.0716019377,-0.1731222237,2.6492796739,-0.1780888134,-0.0254833439,0.7189382041,0.1221937240,-0.1377763224,-0.2414060503,0.2391659864,-0.1446170796,-0.2716698416,-0.0758941351,1.2128984507,-0.0314198574,-0.1891503663,-0.0154147946,-0.1246335566,-0.2213656456,2.5493872507,2.2730862697,-0.1247259681,-0.1255262513,-0.2268631794,0.2305095371,1.2085836641,-0.1265710275,-0.1235739371,-0.0741128972,0.7540937805,1.1562391028,-0.0468050021,-0.1121194788,Control
GSM480992,-0.1081665917,-0.1314453156,-0.0798499438,-0.1281941111,-0.1180407231,-0.0048636670,-0.0401170705,1.1159231662,0.4098797701,0.7317521016,-0.2269219067,1.5408836827,0.3343284855,0.1347692112,0.0117455605,0.1602105837,0.0454827089,-0.0322465841,-0.0244123454,-0.0797030918,-0.0839464270,-0.0198893765,-0.1471509594,-0.1863134343,0.3117764338,0.5255859827,2.0404704065,1.0782580027,1.9553247742,0.7755266336,0.5476051083,-0.0332857417,-0.0538811761,-0.1084414386,-0.0160611587,0.1280271867,-0.0878744121,0.0051475023,1.4677773779,0.0076417342,-0.0933879700,-0.0557795602,-0.0458311947,-0.0078163425,-0.0069965332,-0.1839848028,0.5446243411,-0.0831638930,-0.0389487972,-0.2490183094,-0.0324076398,0.5259023839,0.0539884372,0.0595690179,-0.0556208980,-0.1181479346,-0.1328111279,1.7319889600,-0.1387807574,0.0763705776,1.7726602266,-0.0349091105,0.1784410094,-0.0759592741,0.1607641229,0.0527535206,-0.2098709816,0.0244895592,2.3550574978,-0.0854759528,-0.1124679149,-0.0155767529,-0.1128499911,-0.1947692275,1.7957136460,2.6207809300,-0.0727681645,-0.1352880218,-0.1660582221,0.2385927011,0.9652616541,-0.1144072044,-0.1403645249,-0.1292212323,0.7013432892,1.1738805467,-0.0313747032,-0.1507984696,Control
GSM480993,-0.1223433465,-0.2085943083,-0.0883154576,-0.1749891497,-0.0757608381,-0.0645106739,-0.0630610927,0.7142113199,0.4578307090,0.5780023818,-0.1252152555,2.0586168616,0.5518651867,0.0842804099,-0.0596483520,0.2476261285,0.1215528380,0.1667407294,-0.0892533154,0.9970571118,-0.0267558961,-0.0672223516,-0.1658804081,-0.0972517151,0.2826439475,0.5904078129,2.2108649759,1.5376518070,1.9600288868,0.9576506417,0.6374716809,-0.0914440821,-0.0270253466,-0.0934126654,0.0128239214,0.0810368140,-0.0080362258,-0.0176598683,1.6169113333,0.1603763796,-0.0919787854,-0.0417602813,-0.1463351353,-0.1224551619,-0.0299895818,-0.1554353188,0.6452427769,-0.0385425968,-0.0847653076,-0.1284755949,-0.0277697608,0.5022990164,0.0363522820,0.0750947234,-0.0376100963,-0.0317899148,-0.2300014469,1.3436687192,-0.1672220361,-0.0222245124,1.5516322193,-0.0520072020,0.1036365311,-0.1251830292,0.2158012602,-0.0132987884,-0.0975537842,-0.0764454148,1.5577390493,-0.0981801455,-0.1727625865,-0.0137316154,-0.0868990234,-0.1856214810,1.4638397183,2.3483436903,-0.1020554529,-0.1202466939,-0.1581805785,0.1712553294,1.0332891996,-0.0634848428,-0.1134077825,-0.0880129331,1.0755732730,1.2700225224,0.0125217407,-0.1587878019,Control
