@relation data

@attribute id string
@attribute 107 numeric
@attribute 10746 numeric
@attribute 108 numeric
@attribute 1081 numeric
@attribute 109 numeric
@attribute 111 numeric
@attribute 112 numeric
@attribute 113 numeric
@attribute 114 numeric
@attribute 115 numeric
@attribute 1432 numeric
@attribute 163688 numeric
@attribute 1839 numeric
@attribute 1956 numeric
@attribute 196883 numeric
@attribute 2002 numeric
@attribute 2185 numeric
@attribute 23236 numeric
@attribute 2488 numeric
@attribute 26279 numeric
@attribute 2767 numeric
@attribute 2776 numeric
@attribute 2778 numeric
@attribute 2796 numeric
@attribute 2797 numeric
@attribute 2798 numeric
@attribute 2885 numeric
@attribute 30814 numeric
@attribute 3265 numeric
@attribute 3708 numeric
@attribute 3709 numeric
@attribute 3710 numeric
@attribute 3725 numeric
@attribute 3845 numeric
@attribute 3972 numeric
@attribute 4214 numeric
@attribute 4215 numeric
@attribute 4216 numeric
@attribute 4313 numeric
@attribute 4323 numeric
@attribute 4893 numeric
@attribute 50487 numeric
@attribute 51806 numeric
@attribute 5319 numeric
@attribute 5320 numeric
@attribute 5321 numeric
@attribute 5322 numeric
@attribute 5330 numeric
@attribute 5331 numeric
@attribute 5332 numeric
@attribute 5337 numeric
@attribute 5338 numeric
@attribute 5566 numeric
@attribute 5567 numeric
@attribute 5568 numeric
@attribute 5578 numeric
@attribute 5579 numeric
@attribute 5580 numeric
@attribute 5594 numeric
@attribute 5595 numeric
@attribute 5598 numeric
@attribute 5599 numeric
@attribute 5600 numeric
@attribute 5601 numeric
@attribute 5602 numeric
@attribute 5603 numeric
@attribute 5605 numeric
@attribute 5606 numeric
@attribute 5608 numeric
@attribute 5609 numeric
@attribute 5613 numeric
@attribute 5894 numeric
@attribute 6300 numeric
@attribute 6416 numeric
@attribute 64600 numeric
@attribute 6654 numeric
@attribute 6655 numeric
@attribute 6714 numeric
@attribute 775 numeric
@attribute 776 numeric
@attribute 778 numeric
@attribute 779 numeric
@attribute 801 numeric
@attribute 805 numeric
@attribute 808 numeric
@attribute 810 numeric
@attribute 815 numeric
@attribute 81579 numeric
@attribute 816 numeric
@attribute 817 numeric
@attribute 818 numeric
@attribute 8398 numeric
@attribute 84647 numeric
@attribute 8681 numeric
@attribute 998 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,-0.0680557761,0.3091622756,-0.0785590173,-0.1434850633,0.7727496513,-0.1577812994,0.3797550982,0.5154408196,-0.0726066500,0.1941818817,0.6466643338,-0.1416283464,1.0336083744,0.4345339728,-0.0095319855,0.2797568681,0.2269297111,0.4097788456,-0.1043151839,-0.1308020603,0.9435579393,0.5726595125,1.1579167798,0.1171921666,-0.1184292753,-0.1029105678,1.3452941188,-0.1347588014,1.0380567778,0.1313168648,0.1067213277,0.5609436097,0.7463167697,0.4153290968,-0.1640382136,0.8951084466,0.3787751014,0.4718900632,0.4130081885,0.0780133611,1.3243965731,0.1775570724,-0.0195479401,-0.0692120709,0.0252815856,0.4649290608,-0.1550159959,-0.0776044747,1.6300333739,0.0394911230,0.1259317763,0.2181753710,0.5931362181,0.6055969648,-0.0123531642,0.1474579691,-0.1072664774,0.0410287807,0.5276523813,0.4586358647,0.3851125020,0.7139937217,-0.0717742680,0.6164951165,-0.1298536299,1.5197282433,0.0778244350,2.0539485763,-0.0495949284,0.2957080686,0.9930449004,0.6409841057,-0.0068966250,0.8519533800,-0.1908973019,0.1797246685,0.5492388602,-0.0230143287,-0.1203116075,-0.0989742001,-0.1723870842,-0.1224714802,1.5891594400,0.9537983259,2.1997757852,0.2531493374,-0.0635502934,1.1452264407,-0.0643923931,0.6420336235,0.1409569047,0.0381532877,-0.0939727227,0.1745285649,0.2693405723,BRCA
GSM480985,-0.1146877620,0.2725222850,-0.1466375627,-0.1042820176,0.5223725109,-0.1766650246,0.4228589949,0.3467999483,-0.1656008608,0.2055798990,0.5214375071,-0.0916407251,0.4737995966,0.3325850749,-0.0878300879,0.3031341848,0.3187140897,0.7330552477,-0.1296455524,-0.1633702948,0.7473870953,0.6760796893,1.3204932428,0.5089362073,-0.0746634822,-0.1128852048,1.1583383579,-0.1858438792,0.5481084954,0.4415400387,0.5849629343,0.3553600297,0.9612028782,0.4587173745,-0.1274636294,1.0636305118,0.4294276544,0.4727194903,0.5729893601,0.1267726730,0.8611773475,0.1968964171,-0.1604685536,-0.1087060317,-0.0403548065,0.5753227008,-0.1288519075,-0.0930615631,1.0536758155,-0.0840634818,0.2222447299,0.3984574054,0.7376574537,0.7695002645,-0.1038192192,0.0900841358,-0.0931613796,0.0470336382,0.4521202200,0.5649788797,0.3733170288,0.7487222366,-0.0165247075,0.6136501327,-0.1761504112,0.8917866104,0.0538346215,1.6670765338,0.0406736651,0.2382422053,1.1653226431,0.6127393824,-0.0052304801,0.9115112276,-0.1585804079,0.2011654340,0.6409502427,-0.0673303304,-0.1314508866,-0.0963025578,-0.0583988496,-0.0584060038,1.2845784730,0.9828057632,1.9199515841,0.0051101413,-0.0360112713,0.7300716419,-0.0954384340,0.7133841506,0.1554803168,0.1266848337,-0.0914744142,0.3294028115,0.2437138550,BRCA
GSM480986,-0.0866454035,0.2780386316,-0.1313444398,-0.1055345169,0.6232914684,-0.1350317207,0.1785444665,0.5399395962,-0.1195620130,0.1296261391,0.5058162958,-0.1414109196,0.6480571323,0.3517915079,0.0055539080,0.3711583552,0.2534925254,0.5153439700,-0.0794397704,-0.1176880921,0.9827568145,0.5903858004,1.3325283364,0.1011277021,-0.1125371786,-0.0981416926,1.5127595663,-0.1426732093,0.9493732134,0.2835222208,0.1536485495,0.6212419597,0.9059672051,0.4106089262,-0.0445785416,0.7935199528,0.5148679294,0.2991475913,0.5589004071,0.0560795530,1.3830056341,0.1914317616,-0.0450191986,-0.0928383326,-0.0611857715,0.4623138313,-0.1167053968,-0.0521149571,1.4571645670,0.0685284909,0.1510642664,0.1932115100,0.6712817949,0.7078176651,-0.0887387330,0.1559347632,-0.1167993353,0.1376239613,0.5276161861,0.5706250406,0.5725946952,0.7966307569,0.0824834229,0.5081571897,-0.1388460667,1.3150411108,0.0844743560,2.3174076223,-0.0793845745,0.2837639618,0.9547375822,0.4839221177,0.0253748071,0.8755208067,-0.1876272273,0.0952468054,0.4793911673,-0.0464315283,-0.0977729428,-0.0699778495,-0.1236575758,-0.0708685458,1.6418533209,0.7694473286,2.1900971755,0.3643759714,-0.1068710505,1.2307780730,-0.0770829322,0.6441054073,0.1217694167,0.0289571715,-0.0944506390,0.1878795014,0.2337614380,BRCA
GSM480987,0.0948443130,0.2132891920,-0.0932495861,-0.0277956750,0.9581980763,-0.1124067577,0.0528845680,0.8650637666,-0.1120932270,0.1242048581,0.6135009341,-0.1414936161,0.0302188334,0.1587947994,0.2631349051,0.3778557302,0.0220875726,0.1668422063,-0.0880560033,-0.1645482877,0.8988900241,0.6081153182,1.2904711387,-0.0763381929,-0.1083562742,-0.0789527817,1.4599798470,-0.1564467188,0.6616964770,0.3327935711,-0.0104492808,0.3998152808,1.2356612913,0.2296363310,-0.1012990114,0.5396577952,0.4137938658,0.2010282312,1.0046279537,0.4148526716,1.3380605279,0.1067250141,-0.0718489090,-0.0453715307,-0.0638511606,0.0518714578,-0.1067179610,-0.1041722893,0.9919344300,0.0007446416,-0.0163439327,0.0163941771,0.4481176670,1.0939444790,-0.0234222412,0.0835026311,-0.1432857454,-0.0638800151,0.4570317386,0.5260457562,0.7588645808,0.7170214796,0.1031593607,0.3891538004,-0.0662291722,0.5668156716,0.0511663564,1.9121642141,-0.0082405777,0.2364959457,0.2135299446,0.3882937707,0.1567118048,0.4823463641,-0.1317001768,0.0700896732,0.1445394283,-0.0569087189,-0.0535309027,-0.0852457030,-0.1119168406,-0.1386153157,1.3375803794,0.6854064385,1.7749855086,-0.0393749357,-0.0885894268,0.6115066399,-0.0640990646,0.8422779248,0.0131572660,-0.0108663554,-0.0674739266,-0.0291044030,0.2226472523,BRCA
GSM480988,-0.1114876393,0.1208812303,-0.0557560889,-0.0943072840,0.3484778570,-0.0759397257,0.2434777927,0.2204383947,-0.0361867587,0.1508974081,0.4483090917,-0.1606387714,0.3470426516,0.1726689534,0.0293470489,0.1301916772,0.1364912806,0.4406262552,-0.0657663360,-0.1630984694,0.8038834569,0.4102926908,1.4781041429,0.1175121027,-0.0680162716,-0.0989957088,1.6300611323,-0.1585323161,0.4589619954,0.1991312819,0.2297151421,0.5623337450,0.5378554523,0.2562269165,-0.0592949161,0.7586201133,0.3390561431,0.3150320912,0.4954910886,0.0404482102,1.0662603861,0.2933101654,-0.1077501489,-0.0905275040,0.0497683862,0.4471929131,-0.0916173798,-0.0521348746,1.0592323652,0.0395486050,0.2451317272,0.0793868326,0.3137383716,0.5631931945,-0.0202760463,0.0817065693,-0.0806064152,0.1020999426,0.4923907940,0.4829891018,0.6892718586,0.6912962379,-0.0181701116,0.5512484685,-0.0789457363,1.2879227399,-0.0383270433,1.3670162843,-0.0020592896,0.0441387518,0.7728505326,0.4704262694,-0.0337513612,0.8547642460,-0.1180592581,0.0896705153,0.3725107078,-0.0468429086,-0.0822903132,-0.0242554143,-0.1667832078,-0.0314547322,1.4518957679,0.8568994044,2.2009519134,0.1184602400,-0.0432362018,1.2192751382,-0.1012624690,0.6047102776,0.1260813951,0.0771683031,-0.0970073136,0.3824695014,0.1930281139,BRCA
GSM480989,-0.0620193510,0.1793149316,-0.0467369777,-0.1766031547,1.0119184052,-0.1447008381,0.2998246142,0.3220232484,-0.0685872297,0.2054151728,0.4561344552,-0.1988541156,0.2522125164,0.2135165615,-0.1595958304,0.4043724635,0.1775155949,0.1935005427,-0.1344142110,-0.2095764414,1.2212249650,0.5169472916,1.3912816293,-0.0176880904,-0.0767939025,-0.1154122444,1.6843677122,-0.2244989387,1.1103506463,0.2200210720,0.0458035868,0.4976210030,0.5993327181,0.2400973081,-0.2346195910,0.6540494401,0.5309217395,0.0776419029,0.3862438141,0.0522478112,1.2916537300,0.5070958574,-0.0660787014,-0.1293772552,0.0892012249,0.0851336450,-0.1360183945,-0.1177975059,1.6992731094,-0.0830072642,0.0289337283,0.1779847840,0.9056678476,0.3538124809,0.0047141360,0.0811992555,-0.1211765001,-0.0322800519,0.4168803811,0.8519349658,0.5325530826,0.5911021925,0.0375987290,0.2192373374,-0.0408563306,2.1237873399,0.0375365682,2.3223415930,0.1581356411,0.3176934777,0.8033357407,0.4437155496,0.0401129422,0.4700387904,-0.2381484006,-0.0037837656,0.2630944657,-0.0013073004,-0.0790640901,-0.0560463325,-0.1896694854,-0.1508689637,1.5590544180,0.7983118814,2.9188919440,0.4245331458,-0.0476141433,0.9678320248,-0.1131204681,0.5547810792,0.1083134365,0.0016130909,-0.1266324983,0.0964685533,0.2852107126,BRCA
GSM480990,-0.0744136228,0.1569616343,-0.0817924930,-0.1825207448,1.0164559484,-0.1368300982,0.1709839052,0.5393573991,-0.1056272242,0.2828586080,0.3805084057,-0.1820909605,0.6237125028,0.2635990058,-0.0106996141,0.4692344638,0.3475599620,0.0480474158,-0.1063128236,-0.1961200461,1.2928899753,0.5721652171,1.4284008093,-0.0474499196,-0.1164458821,-0.0881275130,1.6475978081,-0.1642219100,1.1067612915,0.1628782986,0.0021861719,0.5061100200,0.9502829010,0.3191353141,-0.1132930453,0.6895217888,0.5942403616,0.1658170566,0.7842646500,0.2663984884,0.9421872181,0.2884922469,0.0198499129,-0.0395780219,0.0689168425,0.0535681572,-0.0898634362,-0.0345598439,1.9801055864,-0.1134931392,0.0492130012,0.0875241920,0.8428640298,0.7935236208,-0.0195084080,0.1371517299,-0.1211324487,0.0342884361,0.4040678319,0.5468216389,0.5505317761,0.5124700949,0.1545863018,0.1815268757,-0.1292774052,1.1991209335,0.1245269666,2.2060846408,-0.0766200014,0.3639611033,0.5710339894,0.3387474729,0.1445519146,0.3495328669,-0.1509928071,0.0120991491,0.3107558547,0.0237829644,-0.0893763078,-0.1065901060,-0.1377697349,-0.1273056988,1.4453520321,0.6829452796,2.5856389926,0.4549186632,-0.0387971694,0.7456460687,-0.0783020266,0.5480292028,0.0558532586,0.0907412291,-0.0644726796,0.0420042299,0.1617002876,Control
GSM480991,-0.0467888096,0.2283889583,-0.0623631008,-0.1340164009,0.4249343571,-0.1120446003,0.2858755783,0.5548712921,-0.1251052238,0.2768006893,0.4695376563,-0.1618150806,0.6046701258,0.2092083807,-0.0189355184,0.3822606292,0.2744439769,0.2907817717,-0.1106001484,-0.1503309552,1.1701500476,0.6132513040,1.4307339596,-0.0164233128,-0.1075907369,-0.0901950746,1.5652074934,-0.1530424226,0.9763167946,0.2311761151,0.1075655196,0.7279821927,0.9142568514,0.3643042232,-0.1787582317,0.8135851005,0.4128448678,0.2642605963,0.5858623493,0.0870235328,1.1985398679,0.2061829277,-0.0048325991,-0.0974779120,0.0170060712,0.3006239996,-0.1325406850,-0.0434485409,1.5307328514,-0.0085634497,0.0450446508,0.2226377079,0.7147501284,0.6564376624,-0.0500267771,0.0569693500,-0.0960165404,0.0229694380,0.5071865046,0.6482640730,0.4671709960,0.7236467786,0.1750445278,0.3723191662,-0.1158871563,1.5476096728,0.0588836264,2.3923240316,-0.0620754509,0.2691069538,0.7389248726,0.3654298311,0.1220167010,0.4903383693,-0.1555784853,0.0441448208,0.3851343730,-0.0323408361,-0.0855096179,-0.0575679550,-0.1331293760,-0.1331540587,1.5451146222,0.7246558555,2.3986895680,0.5203580332,-0.0434597657,1.1582878667,-0.0664389667,0.5891530063,0.1548473247,0.0888705028,-0.0359721972,0.1965026405,0.2150321878,Control
GSM480992,-0.0848685851,0.1509911763,-0.1067906695,-0.1276378398,0.8758288564,-0.1194200918,0.5049739010,0.4127616239,-0.0951718734,0.4200474990,0.3800862124,-0.1319793334,0.6683106465,0.2100246319,0.0041698367,0.4556893493,0.2888478639,0.0814318765,-0.1437892863,-0.0807515533,1.2670981353,0.4795048717,1.5164660945,0.0064358429,-0.0761687339,-0.0475628227,1.5792976092,-0.1702371733,1.1827308424,0.0994592431,0.0161160152,0.7308892569,0.5848525959,0.2580534183,-0.1210096584,0.6908869928,0.5196288524,0.3327612144,0.7002783728,0.1143399039,0.6252961718,0.2007235593,0.0357248699,-0.0784324081,-0.0428917559,0.0649529850,-0.1171101684,-0.0266702802,1.8464471474,-0.0424288371,0.0517022698,0.2308788326,1.1381731691,0.5008515699,0.0557855016,0.1225340664,-0.1356904655,0.1067663197,0.4130200728,0.9082788116,0.6848330431,0.4097217267,0.1619838233,0.3079451628,-0.0921796232,1.8157576812,0.1346057261,2.7852531727,-0.0874094128,0.3634628315,0.8443388831,0.3105769333,0.0927470139,0.3735262640,-0.2370605347,0.0183351703,0.4019502806,0.0106290712,-0.0923992682,-0.1025028604,-0.1115691940,-0.1337066142,1.4246134289,0.7415068230,2.6897532866,0.7067827030,-0.0718402782,1.0597993181,-0.0227440883,0.5535295457,0.0925191902,0.1023189561,-0.1020730189,0.4621570739,0.2135051408,Control
GSM480993,-0.0384183934,0.2146910506,-0.1120296282,-0.1552988416,0.7973100805,-0.1578653891,0.2520091683,0.4410814088,-0.0471520076,0.3209931134,0.5930127984,-0.1592113870,0.8227755863,0.2942363708,-0.0442055219,0.3937792435,0.2887215831,0.2383615070,-0.1000100273,-0.0912148149,0.9880169092,0.5834782023,1.3899838875,-0.0473449282,-0.1368708340,-0.1021119428,1.5582134934,-0.1093270703,0.9945207685,0.1916949626,0.1179360291,0.7271375300,1.0657076714,0.2800151646,-0.1105362216,0.8665301368,0.5198314885,0.2775530238,0.6484127278,0.1699069962,1.2895348594,0.1502779570,-0.0363483728,-0.1271151884,-0.0462477463,0.1574272978,-0.1147723211,-0.0896386958,1.4765024371,0.0611034877,0.0950189573,0.1120100428,0.8387103804,0.5521481080,-0.0571271274,0.1051260916,-0.1144585606,0.0480869768,0.4741801064,0.7940912880,0.6592196021,0.7140314231,0.0750380798,0.5537918077,-0.0937452182,1.6241304980,0.0415849929,2.5135206126,-0.0401579579,0.2558302714,1.0441827782,0.3602931440,0.0791702164,0.6978857851,-0.2043673582,0.0562111053,0.4506590302,-0.0135325677,-0.1131873764,-0.0685464153,-0.1594897452,-0.0863025429,1.5856227239,0.8005855027,2.4490207491,0.3821579109,-0.0968572793,1.1964946893,-0.0807639728,0.6798162911,0.1127858115,0.1047748183,-0.1019331116,0.1647578252,0.2080415856,Control
