@relation data

@attribute id string
@attribute 10488 numeric
@attribute 10540 numeric
@attribute 10671 numeric
@attribute 109 numeric
@attribute 112 numeric
@attribute 115 numeric
@attribute 1385 numeric
@attribute 140735 numeric
@attribute 148327 numeric
@attribute 1639 numeric
@attribute 1778 numeric
@attribute 1780 numeric
@attribute 1781 numeric
@attribute 1783 numeric
@attribute 2778 numeric
@attribute 359 numeric
@attribute 360 numeric
@attribute 361 numeric
@attribute 396 numeric
@attribute 397 numeric
@attribute 4905 numeric
@attribute 51143 numeric
@attribute 51164 numeric
@attribute 51626 numeric
@attribute 551 numeric
@attribute 554 numeric
@attribute 5566 numeric
@attribute 5567 numeric
@attribute 5568 numeric
@attribute 5613 numeric
@attribute 5868 numeric
@attribute 5869 numeric
@attribute 5878 numeric
@attribute 64764 numeric
@attribute 6810 numeric
@attribute 6844 numeric
@attribute 79659 numeric
@attribute 84516 numeric
@attribute 84699 numeric
@attribute 8766 numeric
@attribute 90993 numeric
@attribute 9230 numeric
@attribute 9586 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,1.0326234206,1.7772801098,0.7231712044,0.6906278624,0.3041730966,0.6758355689,0.0194301160,0.6503453747,0.0532491580,1.4578796592,0.4382890380,0.2647045851,0.1776119700,2.0482467041,1.6287773193,-0.0857397709,0.3324482762,-0.2305214146,1.1453010898,0.4622597255,1.2605141296,0.4999927542,0.6840136052,0.1100281901,-0.2794469897,-0.2022663546,0.9091838176,0.8322542454,-0.0220457165,0.0696381372,0.3991677657,2.6158205696,1.3179632139,0.4093352354,0.5175196815,1.0786292496,0.0598165986,0.9925567480,-0.1035053434,1.7506613918,1.9444277437,0.6663428155,0.0282722054,BRCA
GSM481003,1.1906844509,2.1352468494,0.5294319501,0.4153288136,0.2577621225,0.4801001175,0.0187250819,0.8372532733,0.2865917172,1.5419643066,0.2332995632,0.2267725080,0.1899317378,1.7325297043,1.5822581693,-0.1192518876,0.4660645746,-0.1769324791,1.4418869596,0.9470082469,0.8664813354,0.5243803342,0.6458698290,0.0539261436,-0.2734157519,-0.1129416462,0.9189770192,0.6319902162,0.0102665505,0.3544240996,0.2197816760,2.8361043417,1.3795744317,0.4052668924,0.9935861790,1.7364641416,-0.0699804567,0.7571871714,-0.1823539681,1.7549252101,1.9215771188,0.8378739663,0.1443012707,BRCA
GSM481004,1.0233543507,2.0322501292,0.6287253460,0.7538955795,0.4959490365,0.5932523358,0.0489846332,1.0115007570,0.1727575446,2.1501560913,0.3279966800,0.3885176024,0.2473529857,1.7873525334,1.6611578276,-0.1138822158,0.2414600651,-0.2030374024,0.7845555319,0.4108253932,1.4520013058,0.5847306890,0.6528993171,-0.0019111944,-0.1881694303,-0.1754724000,0.6950635329,0.6800325786,-0.0396932616,-0.0129986513,0.2675627119,2.5189883709,1.2333059513,0.4052161639,0.8368108561,1.2011611824,0.0016048870,0.9299404975,-0.1536644187,1.6765609403,1.8335028190,0.4384300688,0.0284953201,BRCA
GSM481005,1.0787079631,1.7890243769,0.9468350931,0.8534066271,0.4385876315,0.3788599880,0.0936311534,0.7266877573,0.1044379431,1.8198696865,0.3279830235,0.5891772337,0.2661504573,2.3105118921,1.4807582746,-0.0762889477,0.5359998022,-0.1618903536,1.2518462484,0.4076916931,1.3328642771,0.5992157064,0.8417577343,0.1419761228,-0.1960844494,-0.0984492499,0.7765841372,1.2306991819,-0.0333261071,0.0699015529,0.5047304571,2.5689270239,1.3360222653,0.4912779206,0.5390048665,1.5213370321,0.0357329008,0.9229899537,-0.1944856476,1.9807013682,1.9045748176,0.7027021099,-0.0159742344,BRCA
GSM481006,0.9869866702,1.7999163365,0.7984429524,1.2541987586,0.5766390173,0.6523239961,0.0438960250,0.4887612229,0.0102141040,1.2181811648,0.4302986228,0.1563176579,0.2596083478,2.0901232772,1.3146320589,-0.0979939460,0.5537780240,-0.1521310002,1.4007645882,0.5611030732,0.6465522036,0.4496020787,0.7414051806,0.0655051929,-0.1918237839,-0.1714127148,1.0743387982,0.9264100611,-0.0789564253,0.2576344930,0.3324119622,2.8120658739,1.5946889372,0.4376157016,0.4739101772,1.4031214709,0.1031136367,0.7051541415,-0.2288958830,1.8602705524,1.9483212852,0.8778577793,0.0634249029,BRCA
GSM481007,1.1779389943,2.1768242209,0.6890191007,0.8056753526,0.6382880130,0.4626764772,-0.0388119381,0.5647076904,0.5023200977,1.5707998311,0.2695407327,0.1101670866,0.0583774013,1.4385822421,1.4150039667,-0.0694585240,1.0112201423,-0.1645832749,1.1660413659,0.2387859241,0.3979180947,0.3632968959,0.4776951890,-0.0188806709,-0.2018339825,-0.1153252315,0.9259418572,0.7558958770,0.0370700779,0.1321595838,0.3224442709,2.9854580163,1.6097912267,0.3254073675,0.6716245453,1.4802961431,0.0159990113,0.4559835815,-0.1719128159,1.8560548854,1.7008204061,0.7394794653,0.1224295842,BRCA
GSM481008,0.9932991063,2.1673349391,0.4936163649,0.9556061970,0.2863269619,0.3568348908,0.1053648011,0.9965451062,0.3442835683,1.1236577841,0.2332528571,0.0140017292,0.2613393907,1.7971433569,1.5773606507,-0.0832357943,0.2464928919,-0.1410529131,1.0340836306,0.2336067353,0.7987343446,0.6523891777,0.5560347447,-0.0232838676,-0.1882893577,-0.1221963989,0.9102283842,0.7458980968,0.0274709704,0.1268309088,0.3914852613,2.2747382799,1.2441011212,0.6221907198,0.9787942955,1.2782856046,-0.0312044980,0.4629041749,-0.1492333114,1.7290406843,1.6987448883,0.6191061223,0.2377787365,Control
GSM481009,0.3826051094,1.5331034718,0.5010447884,0.4983229081,-0.0641390445,0.2691004176,0.0205618788,0.4923995389,-0.0517904690,0.9662673947,0.1317810139,0.1412326459,0.3428177585,1.9278837398,1.4264966791,-0.1516222855,0.8672347063,-0.1665873472,0.5232538580,0.4913277809,0.7740799487,0.2523743432,0.5475640685,0.0906453148,-0.4738142937,-0.1453297804,0.6558841348,0.8545450949,0.0046873059,-0.0978849678,0.2759424355,2.4867245299,1.0669086046,0.3081735654,0.1758892669,0.8199069514,0.0456466973,0.4482429020,-0.2692948840,1.6398403179,2.0046803781,0.2651938773,0.0173002317,Control
GSM481010,0.7977590973,1.8031117197,0.9677942174,0.5580687042,0.2565518150,0.3016868198,0.1562225824,1.0920910197,0.0298218358,1.5133812848,0.5425152365,0.2469981821,0.7765384117,2.0891197150,1.4701154121,-0.0589337791,0.4372436600,-0.1283101472,1.2173758137,0.4292223471,1.5012016795,0.5789190151,0.7438761660,0.1944704004,-0.1479745265,-0.1741788092,0.6685453986,1.0751941698,-0.0846129696,0.0711872429,0.4433930765,2.2680879153,1.4093265285,0.3917526350,0.7985340040,1.3789806104,0.1314037299,0.7485289608,-0.1402771757,2.2683796807,1.6773052562,0.6719215692,0.1772532665,Control
GSM481011,1.5676906770,1.9820307369,0.7664202749,1.1929691749,0.3705056948,0.5806935298,0.0381124616,1.2475131673,0.1596859573,1.9060350164,0.1946194250,0.1958824868,0.5859362433,1.6854018220,1.5207398576,-0.0848410084,0.6623829708,-0.1838633034,1.3237589057,0.7323982264,0.8162564786,0.6596891799,0.4194726365,0.0326560698,-0.3682525067,-0.1294828907,0.8796043668,0.7629880970,0.0440684883,-0.0120833156,0.1468833473,2.8027136156,1.5043537389,0.4563443266,0.7640604641,1.8174417607,0.0789043736,0.7148859963,-0.2156695834,1.8741800039,2.0901275138,0.6549649285,0.0456852345,Control
