@relation data

@attribute id string
@attribute 10000 numeric
@attribute 1026 numeric
@attribute 1027 numeric
@attribute 10298 numeric
@attribute 10718 numeric
@attribute 1398 numeric
@attribute 1399 numeric
@attribute 145957 numeric
@attribute 1839 numeric
@attribute 1950 numeric
@attribute 1956 numeric
@attribute 1978 numeric
@attribute 2002 numeric
@attribute 2064 numeric
@attribute 2065 numeric
@attribute 2066 numeric
@attribute 2069 numeric
@attribute 207 numeric
@attribute 208 numeric
@attribute 23533 numeric
@attribute 23624 numeric
@attribute 2475 numeric
@attribute 25 numeric
@attribute 2549 numeric
@attribute 25759 numeric
@attribute 27 numeric
@attribute 2885 numeric
@attribute 2932 numeric
@attribute 3084 numeric
@attribute 3265 numeric
@attribute 369 numeric
@attribute 3725 numeric
@attribute 3845 numeric
@attribute 399694 numeric
@attribute 4609 numeric
@attribute 4690 numeric
@attribute 4893 numeric
@attribute 5058 numeric
@attribute 5062 numeric
@attribute 5063 numeric
@attribute 5290 numeric
@attribute 5291 numeric
@attribute 5293 numeric
@attribute 5294 numeric
@attribute 5295 numeric
@attribute 5296 numeric
@attribute 5335 numeric
@attribute 53358 numeric
@attribute 5336 numeric
@attribute 5578 numeric
@attribute 5579 numeric
@attribute 5582 numeric
@attribute 5594 numeric
@attribute 5595 numeric
@attribute 5599 numeric
@attribute 5601 numeric
@attribute 5602 numeric
@attribute 5605 numeric
@attribute 5609 numeric
@attribute 56924 numeric
@attribute 57144 numeric
@attribute 572 numeric
@attribute 5747 numeric
@attribute 5894 numeric
@attribute 6198 numeric
@attribute 6199 numeric
@attribute 6416 numeric
@attribute 6464 numeric
@attribute 6654 numeric
@attribute 6655 numeric
@attribute 6714 numeric
@attribute 673 numeric
@attribute 6776 numeric
@attribute 6777 numeric
@attribute 685 numeric
@attribute 7039 numeric
@attribute 815 numeric
@attribute 816 numeric
@attribute 817 numeric
@attribute 818 numeric
@attribute 8440 numeric
@attribute 8503 numeric
@attribute 867 numeric
@attribute 868 numeric
@attribute 9542 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,0.6797332095,3.3594499677,1.0775432256,0.8276971420,-0.1442739586,1.4674782144,1.4300138996,-0.0314528340,0.2930471870,-0.0304579000,0.1537555695,1.8609808237,0.4598573640,0.1082515674,0.2338454105,-0.0697262431,0.0407426911,2.3584245311,0.3070585448,-0.0131690648,-0.1757426645,0.3341965944,2.0763668117,-0.0440006720,-0.1456060512,0.8533481091,1.6104626348,0.8950817100,-0.0653249554,0.8212452234,0.6620092707,1.7024177213,0.1314761901,0.0600588270,0.1863047483,0.3878209061,0.8848718814,0.4033383753,1.3998379606,-0.2075630972,0.3417825494,-0.1444193100,0.8497827404,-0.0743738270,0.0027666772,1.1555331424,0.8370002049,0.1584505707,0.1043059106,0.2608651281,-0.0981862237,-0.0750473595,0.3768321643,1.1201675758,0.6904673187,0.2417233829,0.0663815941,0.1390805759,0.2973419841,-0.0465546501,-0.0592862589,0.3923970497,0.3568962877,0.3860900013,0.2291788254,0.4274157418,0.2565123712,2.2882412161,-0.0234144181,0.2904654710,-0.0124092440,0.1777965052,0.2833559974,0.2282767607,-0.2195922000,-0.1242455302,-0.0715993912,-0.0731259508,0.5784964499,-0.0098517653,0.3089302084,-0.0795126762,0.5194533495,0.4943281158,-0.1709809235,BRCA
GSM481003,0.3007907103,3.0403829142,1.1811751007,1.1253490030,-0.1011704331,1.3612618425,1.3261353774,-0.0464449910,0.6488378735,0.6191529817,0.0484339897,1.5956025160,0.5094530717,0.0848142081,-0.0030253595,-0.0250966625,0.0802057252,2.5114432043,0.3973698837,-0.0067144994,-0.0738673770,0.2224102620,2.0323438495,-0.0126969719,0.3687587061,0.7322691872,1.7524189089,0.9718543944,-0.0739429054,0.9474795161,0.6213931068,2.4163282448,0.0738842817,0.0609809078,0.2694517161,0.2858860052,0.9542065300,0.5633794381,1.8544124930,0.1058954411,0.1791957579,-0.1042557524,1.4233998538,-0.0506758328,0.0220997693,1.4443705760,0.9900261754,0.1618364114,0.1816668325,0.2829620648,-0.0518483993,-0.0337643415,0.4223379152,1.1333078442,0.6729280780,0.1985753451,0.0085564985,0.1453346393,0.2656726797,0.3781885714,-0.0721497796,0.8256779464,0.1244303655,0.2815908568,0.1360396983,0.6306912280,0.2222999979,2.4272642752,-0.0553885548,0.0839562974,-0.0016825477,0.0848102706,0.3305765474,0.2317580214,-0.1294473072,0.1140757244,-0.0022023061,0.0580019309,0.4392622436,0.0177999127,0.2811997700,0.1190332978,0.4569876247,0.3135727806,0.1611112234,BRCA
GSM481004,0.4733082638,3.0274459125,1.0930646748,1.1147533317,-0.1147388267,1.1921263276,1.5316830208,-0.0929563754,0.4996805093,0.1518570445,0.2059234660,1.3697862736,0.3519630753,0.1438268497,-0.0297309616,-0.1034365259,0.0640286732,2.2194539971,0.4676012300,-0.0146582856,-0.1818336114,0.2934368548,2.0528732984,-0.0706596330,0.3231435837,0.7429641194,1.7306030480,1.3618418052,-0.0916833090,0.8814408686,0.7447423427,1.9569436598,0.0657351969,0.0458456214,0.3419797647,0.2737133683,0.9630198516,0.4561246896,1.7169649695,-0.1194602421,0.1934292825,-0.0326631340,1.4479867770,-0.1540841441,0.0015714503,1.2018412555,1.0766678804,0.3960925107,0.0046874581,0.4684481415,-0.1085750333,-0.0723416345,0.5495924441,1.3982536542,0.6871232500,0.3435010134,0.2215437899,0.0639251527,0.1269719892,-0.0053526709,-0.1071991661,0.5918967704,0.2292358492,0.4157156661,0.0275244191,0.4066202738,0.2880970038,2.7043259995,-0.0500999228,0.1372055122,-0.0060122215,0.1890694758,0.6760884334,0.3548092483,-0.1601268892,-0.0684127074,-0.0441430938,-0.0617234432,0.5186807821,0.0930184553,0.1958457994,0.1043470586,0.4162228867,0.4560373420,-0.1230076456,BRCA
GSM481005,0.7983672971,3.2873637975,1.2595446937,0.9063413034,-0.1254498637,1.6299835334,1.3877731034,-0.0098252381,0.2384709230,0.4012778942,0.2165325873,1.2945557835,0.4627470135,0.0660260143,0.1205003225,-0.0582213002,0.0445111228,2.3890128664,0.4302809539,0.0304015636,-0.1951803750,0.2603539082,2.0808352083,0.0667266736,0.2984071820,0.9149172951,1.6458761891,0.9572651076,-0.0414138938,0.8521304950,0.7021117498,1.9105042447,0.1621117626,-0.0029305460,0.1626732602,0.4507309079,0.8978069759,0.5092585007,1.7067998852,0.1787671845,0.2936143763,-0.0949890131,1.0055721670,-0.1223234448,0.3289049813,0.9524374414,0.8211322722,0.3167094880,-0.0240801696,0.3166812967,-0.0871069950,-0.0307554886,0.4403047296,1.3712493853,0.8086081992,0.4124403786,-0.0083928048,0.0764267961,0.2336956347,-0.0377524438,-0.0588336760,0.5596565347,0.2669062797,0.3888399490,0.6309395681,0.4885815124,0.4676337253,2.3308550971,0.0180744121,0.2881692323,0.0075601748,0.1629802437,0.4335148484,0.3095768749,-0.1059253858,-0.1050281481,-0.0436124759,-0.0344820515,0.6463682539,0.0669458035,0.2778034230,0.0457376592,0.5630232504,0.3629836582,-0.0843450440,BRCA
GSM481006,0.6102282105,3.2162807881,1.2238033216,0.6073877504,-0.0941378105,1.5784780925,1.5903257717,-0.0446430516,0.5035198889,0.3139419490,0.1430200110,1.7321545370,0.7458138092,0.2159211816,-0.0623944641,-0.1301217962,0.0534915545,2.7993582883,0.4174783649,0.0247047886,-0.1437625130,0.2802438269,2.3677308262,0.0249074433,0.6224567819,0.8566166304,1.6704388113,1.0202108809,-0.0965248942,0.8876503406,0.7695110285,1.8248747664,0.1676137317,0.1210638009,0.2744588943,0.4491882131,0.6079864987,0.5787126888,1.7934826566,0.0293747667,0.2433270854,-0.0674328190,1.3385462081,-0.0515387084,0.2390861619,1.1112498336,0.9354205676,0.1586954411,0.0274722780,0.2588561041,-0.1044239603,-0.0489088737,0.3909603753,0.9865753614,0.7695189350,0.0839668039,0.0616213327,0.1169393467,0.3444300745,0.1408993934,-0.0511582738,0.4886666650,0.2529420034,0.3354175018,0.4139080834,0.2278557571,0.3639865402,2.3295555881,0.0128678733,0.2175775908,-0.0179128214,0.2528915434,0.6613827465,0.3820596916,-0.0635348352,-0.0318370369,-0.0572130085,-0.0572261756,0.6276549524,0.0269040916,0.2075771438,0.1659671659,0.7007251898,0.2727268643,-0.1034336208,BRCA
GSM481007,0.3836162349,3.1362124086,1.6133605374,0.8128373353,-0.0838288475,0.9207133585,1.2839676474,-0.0182772771,0.4381364232,0.0250401876,0.1262126311,1.8791123627,0.6824327353,0.2589795492,0.0559055476,-0.1065166436,0.0350971221,2.4604020782,0.2757121727,0.0693962222,-0.0953704117,0.0997455566,1.7807312609,0.0453880563,1.1539923084,0.2895207792,1.7786090209,0.5586554259,-0.0562540976,1.1560421735,0.9390580363,2.0019709589,0.1433539864,0.0987798262,0.2869294803,0.2655233111,0.8448888773,0.4080061787,1.4387447677,0.0480180450,0.1014056848,-0.0381952070,1.4767880777,-0.1263724936,0.1471414633,1.4279245571,1.0210435065,0.1051575886,0.1631172095,0.2214731303,-0.0580448157,-0.0014222495,0.2606000659,1.0516917631,0.3326362380,0.0752705452,-0.0035135532,0.1837086821,0.3625428115,0.3359596031,-0.0591788655,0.9255183645,0.1849544916,0.2957258879,0.1694968132,0.6210500084,0.2094873252,2.3985712954,-0.0621160632,0.2030390211,0.0468923578,0.2699643974,0.6584754725,0.2433287780,0.0839527100,-0.0008672641,-0.0056203018,-0.0304605411,0.5291107847,0.0170823853,0.3039160742,0.0523188741,0.3703690339,0.2431423812,0.2653976231,BRCA
GSM481008,0.5217626055,2.8834402039,1.3575888276,1.3750984623,-0.0637739764,1.0476466187,1.1402049069,0.0474637947,0.7422991239,-0.0105014925,0.2092566926,2.0799901485,0.6088109500,0.0524233336,-0.0437451133,-0.0963353262,0.2712982204,2.1300801171,0.4476290999,-0.0033952392,-0.1317019194,0.1532034397,1.9073203204,0.0036240915,-0.0374337450,0.6043832930,1.6622805248,1.0892350491,0.1591493527,1.2938889639,0.8205010526,2.1130765477,0.1743810166,0.2995089881,0.2562567367,0.3394867690,0.9191996994,0.4095634027,1.3603685686,0.0553188919,0.1758980179,-0.0852505426,1.1338950680,-0.0720937303,0.0879067641,1.1462765579,0.8990125299,0.2534119720,-0.0617019828,0.2738108856,-0.1056714096,-0.1196029719,0.4047704326,1.0726860836,0.7429268004,0.5512299970,-0.0611492244,0.1199409844,0.1903686590,0.0569283839,-0.0117023872,1.0612640086,0.2445528730,0.3589827556,0.5929385196,0.5373691567,0.3020598857,2.4446920753,0.0012555714,0.1490175020,-0.0086323968,0.1605632000,0.1243573846,0.2195734002,-0.0686413730,-0.0821376034,-0.0415118158,-0.0830571034,0.1656969287,0.0952502571,0.3226523512,0.0282589524,0.5230086976,0.2833427329,-0.0135021220,Control
GSM481009,0.5489170128,3.1617967563,1.3927305539,0.3823645677,-0.1956661582,1.4302532645,1.3990336556,-0.0306988067,0.0788510341,0.1017885568,0.0047963763,1.2341214847,0.4693302326,-0.1318342609,0.0926964510,-0.1134979093,-0.0000628190,1.7882246540,0.1436777954,-0.0460119554,-0.3668616673,0.1104632507,1.8072166741,-0.0314803283,-0.2635303903,0.5822764089,1.3427748691,0.4939206066,-0.0799497149,0.5253295350,0.6588328657,1.1429168019,0.1793832846,-0.0263681967,0.0096561856,0.3375501747,0.7767756040,0.0829424338,1.0164196166,-0.0773522686,0.2437746771,-0.0950082633,0.4174557194,-0.1321362915,0.1336468826,0.6547553167,0.4572595951,0.0973739212,0.0492418256,0.3586061170,-0.1066654161,-0.1903911113,0.2795271149,0.7096309500,0.6203827706,0.0966468778,0.0261609364,-0.0310865428,0.0094476892,-0.0407355876,-0.0921382968,-0.0767497015,0.1822121439,0.2270372226,0.1911922992,-0.1626200724,0.0517636729,2.4154436141,-0.0048567386,0.0807280921,-0.0607615665,-0.0320870272,0.1552610239,0.1357923958,-0.1891836231,-0.1305698780,-0.1110477333,-0.0924537415,0.4795865551,-0.0723620999,0.0780274038,0.0289410084,0.4207337816,0.2563690741,-0.1135937981,Control
GSM481010,0.6249280034,2.8992610497,1.3314499458,0.8913619245,-0.1143167334,1.5761229206,1.4868810578,0.0061565467,0.3034783003,0.0557148577,0.2403421661,1.9422432633,0.4728208937,0.0564712613,0.0862346536,-0.1051772359,-0.0207968559,2.1086231072,0.3798376370,0.0036142197,-0.1234499789,0.3681621031,2.1198156030,0.0407826927,0.3951061078,0.9147946674,1.7509254467,0.9262991083,-0.0723696411,0.9039840400,0.5558823925,2.0214559557,0.1744263203,-0.0524235679,0.2640629692,0.4686533031,1.2621549368,0.5802971647,1.7903627032,0.0307533367,0.2892597577,0.0721562371,1.1752510060,-0.0223426086,0.1319778106,1.1194783820,0.7915824455,0.1761760920,-0.0599373686,0.3844459151,-0.1128206664,-0.0485023446,0.5158594621,1.1154199801,0.8636795770,0.4178132884,0.0607782995,0.1620686616,0.1599105977,0.0070077871,-0.0368277670,0.7550900512,0.2743944092,0.3965836786,0.5689818496,0.4924584213,0.7657218578,2.2814118394,0.0688335455,0.2435579410,-0.0237400801,0.2509317977,0.1787025944,0.2733712041,0.0441419902,-0.0392967260,-0.0057435957,-0.0126254933,0.7562955471,0.0440597638,0.2844973728,0.2118905579,0.4992045580,0.2596243354,-0.0795764388,Control
GSM481011,0.3773361022,3.6372286978,1.4352504081,1.3098342415,-0.0709801394,1.1232241080,1.1672118224,-0.0161012974,0.2159449384,0.0734742197,0.1001883706,1.8786059805,0.4902841595,0.1155217437,-0.0394378721,-0.0365902076,0.0947748888,2.7272794777,0.4895673924,0.0986143788,-0.1996187796,0.1710649889,2.0290059297,-0.0182466034,0.1114175908,0.3913903561,1.9492786230,0.8232649406,-0.0961165055,1.1300241724,0.8748071725,1.9929131126,0.1905613793,-0.0295763075,0.2834044827,0.2062822425,0.7011700384,0.2936353860,1.1011350507,-0.1137642160,0.2223992294,-0.1192103243,0.9093435548,-0.0940577877,0.0018939260,1.3710955015,0.8280705125,0.1995841336,0.0042137171,0.2189997299,-0.0728182171,-0.0513703098,0.3978262835,1.5733309313,0.4733123278,0.2790668897,0.0246392575,0.2404869166,0.2778184532,0.0127240843,-0.0550816169,0.8490704160,0.1690626889,0.2711141126,0.2854890496,0.6076260573,0.1213096739,2.8155515152,-0.0475626586,0.0857347009,0.0394449375,0.2114646371,0.3469468820,0.2940408219,-0.1761839630,-0.0928352306,-0.0260395241,-0.0681232988,0.5062603640,0.0608758262,0.2406132767,-0.0562693753,0.2453137968,0.3612306045,-0.1209777629,Control
