@relation data

@attribute id string
@attribute 107 numeric
@attribute 108 numeric
@attribute 109 numeric
@attribute 111 numeric
@attribute 112 numeric
@attribute 113 numeric
@attribute 114 numeric
@attribute 115 numeric
@attribute 196883 numeric
@attribute 2641 numeric
@attribute 2642 numeric
@attribute 2778 numeric
@attribute 2782 numeric
@attribute 2783 numeric
@attribute 2784 numeric
@attribute 2785 numeric
@attribute 2786 numeric
@attribute 2787 numeric
@attribute 2788 numeric
@attribute 2790 numeric
@attribute 2791 numeric
@attribute 51764 numeric
@attribute 54331 numeric
@attribute 5566 numeric
@attribute 5567 numeric
@attribute 5568 numeric
@attribute 5573 numeric
@attribute 5575 numeric
@attribute 5576 numeric
@attribute 5577 numeric
@attribute 55811 numeric
@attribute 55970 numeric
@attribute 59345 numeric
@attribute 94235 numeric
@attribute Class {Control,BRCA}

@data
GSM427158,8.2081635635,7.149597572,12.63069834,6.614529956,10.327292123,7.377212971,5.645450388,8.748277668,10.97207892,5.006535067,5.023267828,8.533866741,13.02719506,8.698011038,5.893611729,5.692518737,5.516024013,8.440434347,8.735353884,9.885094283,12.98372673,5.232287804,9.177283189,6.36946717,5.4829326402,5.48205062,9.78527191267,7.409181146,8.786482932,4.767140212,4.917445181,10.1038422,7.4230773135,5.641987591,Control
GSM427159,6.3425008425,6.461320332,13.03258307,5.841225451,10.2384186075,7.013074525,5.65593226,8.080472632,10.9073904,5.663779561,6.593544722,8.84345400733,13.00956452,8.720142595,6.113748025,5.195063332,5.853378958,8.487841164,9.217703977,8.481901451,12.07225833,5.31868854,7.381134364,6.0929297895,5.5428379012,5.804719114,9.789873514,7.391761545,8.66542575,5.442455259,5.091500179,9.681370693,8.3643319965,5.277995204,BRCA
GSM427160,7.5711783515,6.767195028,12.19349773,6.323194968,9.769915947,7.338293201,6.0290173,8.026856932,9.496554786,5.862458365,4.774274953,9.29076107,12.9979954,8.686203838,6.074361597,5.30807618,5.92077637,8.83146649,10.16381668,8.913937397,10.57663577,5.206732344,6.36768175,5.9034588485,5.4641368762,5.527329405,9.801472324,7.677704008,8.815320146,5.112503363,5.515393331,9.362086899,7.196995946,5.72110688,BRCA
GSM427162,7.0913602235,6.763813641,12.23565236,6.331145921,10.3820872935,7.478529234,5.876032641,8.120096744,10.39270411,5.646026713,5.28559757,8.629147321,13.11510467,9.066695429,5.455665247,5.693773551,5.504788206,8.646667718,10.21758854,6.563810693,9.832676886,4.790526167,4.851263383,6.323322532,5.1156792046,5.655216748,9.34823014567,6.105076296,8.115695415,5.7109519,5.224205518,7.986995525,6.7231615275,5.842043069,Control
GSM427163,7.084991265,6.854560258,12.7347446,5.680472929,9.671974648,7.297193996,5.824138541,8.28785217,9.358629843,5.421401099,5.213747029,9.35589447533,12.87743566,8.97289446,5.954086504,5.349976695,5.228252321,9.506942805,9.669660678,9.337042659,11.68740205,4.850263431,7.573687183,6.52394041,5.466218321,6.407145055,7.772929909,7.418993406,9.518791383,5.377654117,6.212477538,9.546605663,9.010303599,5.615159695,BRCA
GSM427164,6.50402659,6.543500233,12.65857307,6.872247394,9.753034207,7.806535324,6.352798794,8.529822044,10.16002932,5.614718124,6.161087152,9.078168623,12.98372673,8.838889641,6.143337929,6.086619917,5.268482349,8.217135121,9.433805075,9.258413586,11.15310882,5.178725843,8.547261958,5.9174340255,5.6759717936,5.625863148,9.84054935,7.890402801,9.231287868,5.316879984,5.294814856,11.06412655,7.9243325035,5.093825554,BRCA
GSM427165,6.201503818,6.456482249,13.34505663,5.057462456,9.1297731835,7.967285529,5.779661087,8.167494826,9.341019005,5.319230665,5.129706745,8.46320594233,12.64120964,7.985772397,5.821334729,5.86196234,5.66903474,8.678425073,9.675551824,6.875906358,10.10831572,4.959319531,6.049582442,6.330484187,5.5322651396,6.430289978,9.55785931,7.572418149,8.344585666,4.904497645,6.381677589,9.132211242,8.7523926965,5.486079796,BRCA
GSM427166,7.6188571805,7.109938036,12.39966386,6.091811548,9.643814388,7.667823176,5.862458365,8.80888466,9.812386363,5.632130956,5.431465218,8.875123686,12.98945487,8.510330132,6.338875075,5.380600673,5.967463325,9.414337005,8.751335778,10.49178825,12.76004735,5.229406468,8.11035427,5.9718598575,5.3094441946,5.233822166,7.854087509,7.90344675,8.118825763,5.023045997,6.222848625,10.18190731,7.0132000305,5.42266296,Control
GSM427167,8.092918242,6.816347305,12.05932765,6.099511534,9.557649091,7.357466507,5.813403636,8.17986074,9.898586698,5.894703343,5.484791683,9.29028807333,12.96993872,9.04011237,6.092128797,5.789736585,5.496742949,8.843419494,9.919504381,9.495266002,11.3442156,5.411944154,6.738839176,6.3825279205,5.291675395,5.844493149,9.60954968233,7.548207573,9.026662535,5.398154738,5.287261033,9.085353696,7.2793614545,5.104977394,BRCA
GSM427169,7.599297253,7.016310012,11.61491238,6.072647808,10.0619138165,7.247645413,5.659004925,8.633940747,9.608828239,5.308713308,5.238033268,8.55731348,13.02126635,8.934008606,6.563963185,6.135253322,5.619861398,8.872952717,9.681765982,8.717951507,11.6604752,4.607083101,7.211063618,6.3457281585,5.3589494338,5.913135501,9.492243668,7.121070136,8.794173061,5.778347403,5.312893162,8.350852048,7.9356885615,5.034976365,BRCA
