@relation data

@attribute id string
@attribute 10189 numeric
@attribute 10250 numeric
@attribute 10284 numeric
@attribute 10482 numeric
@attribute 10767 numeric
@attribute 10898 numeric
@attribute 10914 numeric
@attribute 10978 numeric
@attribute 11051 numeric
@attribute 11052 numeric
@attribute 124540 numeric
@attribute 132430 numeric
@attribute 140886 numeric
@attribute 1477 numeric
@attribute 1478 numeric
@attribute 1479 numeric
@attribute 2107 numeric
@attribute 22794 numeric
@attribute 22916 numeric
@attribute 22985 numeric
@attribute 23049 numeric
@attribute 23283 numeric
@attribute 23293 numeric
@attribute 23381 numeric
@attribute 23708 numeric
@attribute 26019 numeric
@attribute 26528 numeric
@attribute 26986 numeric
@attribute 29107 numeric
@attribute 2935 numeric
@attribute 29894 numeric
@attribute 4116 numeric
@attribute 4440 numeric
@attribute 4686 numeric
@attribute 51585 numeric
@attribute 51692 numeric
@attribute 53981 numeric
@attribute 5411 numeric
@attribute 55012 numeric
@attribute 55110 numeric
@attribute 5515 numeric
@attribute 5516 numeric
@attribute 5518 numeric
@attribute 5519 numeric
@attribute 5520 numeric
@attribute 5521 numeric
@attribute 5522 numeric
@attribute 5523 numeric
@attribute 5525 numeric
@attribute 5526 numeric
@attribute 5527 numeric
@attribute 5528 numeric
@attribute 55844 numeric
@attribute 55916 numeric
@attribute 55998 numeric
@attribute 56000 numeric
@attribute 5976 numeric
@attribute 645974 numeric
@attribute 64895 numeric
@attribute 65109 numeric
@attribute 65110 numeric
@attribute 7919 numeric
@attribute 79869 numeric
@attribute 80336 numeric
@attribute 8106 numeric
@attribute 81608 numeric
@attribute 8189 numeric
@attribute 84305 numeric
@attribute 8731 numeric
@attribute 8732 numeric
@attribute 9775 numeric
@attribute 9887 numeric
@attribute 9939 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,-0.0691053609,2.1681823783,1.2075897145,0.8919938737,0.2760661287,1.8450990172,0.7264637833,0.7218687437,1.1175205051,0.2491389016,0.0634197706,0.3402945458,-0.2429141002,0.4036974557,0.3441461113,0.6015944010,2.2550629463,2.6121199661,1.0373011971,0.4511992056,0.6962927733,0.3555659972,0.3211506425,0.9382340329,0.3095426498,0.6490200922,2.2463220562,0.0238120144,0.1257167649,0.9442266996,-0.1287246347,0.7007056799,0.0787665394,0.1068485583,0.5403361991,1.0351600871,0.3008113966,0.4310773806,0.3481508488,-0.0801712465,1.2238418325,0.1263470764,0.8568766135,0.4705754342,0.4406913167,-0.0124034577,-0.0363831474,0.2045966001,0.2517011244,0.2125219545,0.4688842361,0.4082248776,0.1115028196,0.2895070793,-0.0450765759,-0.1957773226,0.5547805037,-0.0501596680,0.1039841724,0.4166210344,0.3263183082,1.4257024934,0.8989820143,0.2568483577,0.6530126497,0.3567121206,0.0714008316,0.3063865167,0.3452672266,0.3811536158,1.7656439800,0.6114155378,0.0680761012,BRCA
GSM481003,-0.0253182346,2.5195607544,1.0370227206,1.2407564388,0.0902399819,1.7089440292,0.5465789425,0.5983451694,0.9834683038,0.2235209501,0.0319251887,0.0846985119,-0.0513609639,0.3584768102,0.2892703949,0.4669693911,2.0358938830,2.5198804074,1.0096748571,0.3920354634,0.5617463976,0.4199859911,0.2268437284,1.3601119310,0.4926171490,0.5431523350,2.4332623673,-0.0289351859,0.3610231933,0.8900390913,-0.0711997660,0.5865252294,0.0392227423,0.1005977716,0.3768947047,0.8348504052,0.0904370771,0.4406901250,0.0889634064,-0.0271173698,1.1675652556,0.2871639269,1.1742187960,0.4250247162,0.4434489308,-0.0164878158,-0.0964656634,0.2507061810,0.3913110049,0.3604677677,0.3960157984,0.4766108626,0.0825805235,0.1448130368,-0.1158130771,-0.1765732206,0.7298731553,-0.0681958693,0.0339394860,0.6731371601,0.3244090285,1.5404749867,0.9501440716,0.1737114430,0.8456756385,0.0855335634,0.1040921178,0.3359311746,0.2276208367,0.2005917288,1.8032554727,0.4919937119,0.0854397345,BRCA
GSM481004,-0.1442091483,2.2144345089,1.0111372533,1.1027854483,0.1626645433,1.6817040724,0.4823175897,0.8338421376,0.9104029240,0.2685425807,0.0705706476,0.2775245581,-0.1802080472,0.3852802885,0.3685975338,0.3619430714,2.2381299226,2.6292325127,1.0246215303,0.4443315404,0.4882507755,0.3610769332,0.3056441825,1.4172459500,0.7498072870,0.4966679595,2.4080796788,0.0600247117,0.2147643983,1.1368402897,-0.1151605864,0.6946042993,0.0655745496,0.1649254847,0.3969695438,1.0549450480,0.1586397824,0.2788878227,0.2577869058,0.0590553203,1.2944579630,0.2545938927,0.9518654371,0.4821984337,0.4324569896,-0.0053747542,-0.0611670742,0.2494863906,0.4384472340,0.3845929869,0.3722913515,0.4913007603,0.2967681568,0.3227790786,-0.0394104899,-0.0795541830,0.6873815962,0.0111439787,0.0413904322,0.4340115516,0.2116288532,1.3763533820,0.9687311577,0.0898297771,0.6517914247,0.1807994609,0.1276940416,0.2561742358,0.4519700314,0.2576836387,1.9348075433,0.4731223739,0.0803506085,BRCA
GSM481005,-0.0468433468,2.3728546180,1.2009454250,1.1094628770,0.3506593879,1.5960085807,0.8534353186,0.8515057430,1.0075528436,0.3023235511,0.0261778317,0.5152012987,-0.0320607557,0.5461834561,0.3473395409,0.9521984697,2.4321088960,2.5391460193,1.2153531407,0.4145989218,1.1561349034,0.4326266496,0.3214409086,1.0160495365,0.4595353045,0.7913955172,2.1203796747,0.0533628930,0.1587605328,0.9872283182,-0.0525590630,0.6577546543,0.0626194026,0.1130938942,0.7264077647,1.1793394831,0.5990037357,0.6339065865,0.4539400546,0.0726790730,1.2343815744,0.2552120638,0.9505772538,0.4357714798,0.5140340507,-0.0761428344,-0.0381307079,0.4708890961,0.4052246987,0.2976613003,0.5292673035,0.4139095911,0.0225950191,0.5197998158,-0.0854117581,-0.1058571738,0.5725909157,-0.0598773687,0.2601387873,0.7651773086,0.1579038738,1.3192013736,0.9481949624,0.1458875014,0.7308726152,0.5794644993,0.1182746275,0.2481109028,0.5650474451,0.3986517541,1.6556984657,0.4951360618,0.0066198921,BRCA
GSM481006,0.4230375689,2.5110739914,1.2126155662,0.9379266312,0.3011406552,2.0498602090,0.8952648365,0.9228501600,1.0779877354,0.2717666806,0.0192122159,0.5242010048,-0.0326316903,0.3424459612,0.1700651330,0.6601163745,2.3943006651,2.8188454309,1.2330643007,0.2654057092,1.1939462275,0.3532137129,0.2396637851,1.0195317733,0.3609776629,0.6616586591,2.3842226755,0.0098204077,0.3249289190,1.0181567413,-0.0935823583,0.8038135551,-0.0468704643,0.1783356244,0.6415127247,0.8438593113,0.3763213245,0.7453462578,0.2558253214,0.0239354587,1.1296645254,0.1889084794,1.1646123734,0.2836388661,0.4188138904,-0.0846453661,-0.0205332816,0.4043183222,0.3260153353,0.2505866054,0.5007501071,0.5408547516,0.3496824755,0.1931639696,-0.1043020270,-0.1542498206,0.7597795118,0.0004763813,0.0910243800,0.7057102702,0.1278201655,1.5432890771,1.0546135070,0.2115150194,0.7984130966,0.6183553623,0.1924139177,0.3229026504,0.6003511826,0.2108625122,2.2814070497,0.6443705015,0.0230903994,BRCA
GSM481007,0.1623663035,2.4698392707,0.9759631444,1.1747976144,0.1045750431,2.1658146048,0.7835943472,0.8597726872,0.5897190204,0.3568240927,0.0859707661,-0.0782718799,-0.1151246533,0.3584121585,0.4131244013,0.1789125481,1.8383070743,2.5143964290,0.6055114323,0.2763398499,0.5409600844,0.4965628719,0.1265867875,1.3861016640,0.6797324085,0.5835947715,2.5423940170,0.0050316149,0.4059481266,0.7060318459,-0.0784306758,0.8706902445,0.0670833600,0.0551729373,0.4780596683,0.3868898150,0.0132244501,0.3163734306,0.0801339359,-0.0155063524,0.9218534496,0.3395991211,1.3182984778,0.4223469801,0.4103662983,-0.0474711412,-0.0156919252,0.1419952789,0.5814378385,0.4294364603,0.4305822258,0.4194701119,0.1702727380,0.0707627436,-0.0749626847,-0.1030630523,0.8278426311,-0.1168193520,0.0162970812,0.7903427651,0.3396948959,1.2906753773,0.9669154271,0.0358190306,0.9939541251,0.2060243237,0.1683036993,0.3622820734,0.1709334125,0.1033708318,1.9421063404,0.5962733175,0.0135610768,BRCA
GSM481008,0.1262025521,2.4953933486,0.5605280846,1.5568083128,0.3489189186,2.0345606407,0.7487033231,0.6489181088,1.2727073502,0.4362366483,0.0230836974,0.5329671701,-0.1050495106,0.4525214483,0.3531551925,0.9180600927,2.2402270181,2.4301447074,0.9540503333,0.5420553244,1.2396135191,0.6394000968,0.3906433302,1.0733175755,0.8134633899,0.8123567509,2.5810648984,0.0961677216,0.6177875048,1.2368572348,-0.0938347546,0.8943132312,0.0473720970,0.4425875269,0.6884886544,1.4127518031,0.1842078002,0.7058206807,0.3011895376,0.1530160486,1.4909315973,0.1817884789,1.0114390291,0.3689072896,0.4415647174,-0.0769149952,-0.0421325161,0.1684368535,0.3593624215,0.4826976493,0.3893680641,0.5476349011,0.1694990192,0.4007706648,-0.0150950583,-0.1316660185,0.6805660873,-0.0790933260,0.0960729848,1.1289051437,0.0464673567,1.3782354528,0.9454634496,0.3323188844,0.7783670237,0.5429251732,0.2136221303,0.3757254218,0.3449828172,0.3857194127,1.8902339724,0.5259631929,-0.0000289649,Control
GSM481009,-0.1590116615,2.4700890461,0.7450451329,0.6821481570,0.1908512338,1.7999716517,0.7018771110,0.4841857602,0.8451046907,0.1435291979,-0.0652227202,0.5521010369,-0.1134955671,0.2839827201,0.1459855414,0.4860468146,2.2593351261,2.2155775760,0.8596650853,0.3296636805,1.2021918828,0.2245901045,0.0348222044,0.3569311699,0.3007302516,0.5516734838,2.3473719071,-0.0913807741,0.0673524422,0.7602493452,-0.2566015354,0.5061680235,0.0288267971,0.1067313193,0.4703781568,0.5323178601,0.1887627899,0.3986441848,0.0855608501,0.0141285702,1.1786218321,-0.0321731063,0.3147968069,0.2215378080,0.2971062577,-0.0512534837,-0.0866642194,0.3312598727,0.1839920750,-0.0275887459,0.3379897359,0.4165385507,-0.1362282480,0.3186608239,-0.0755563469,-0.1990570719,0.1456653519,0.0779426153,0.0294090130,0.8031696115,0.1433532910,1.2468394404,0.6089381072,0.1463903763,0.5449475865,0.0950133794,-0.1363870108,0.0747691289,0.2990854552,0.2550120979,1.3840158921,0.4690248763,-0.1097762479,Control
GSM481010,0.0649166519,2.2768309840,1.1952637648,0.7934444283,0.5622016117,1.4213783973,1.0669361954,0.8147578198,1.3124864888,0.3675970271,0.0585908161,0.4396857949,-0.0412054421,0.4577565665,0.3919165814,0.7741191900,2.4175136089,2.3668190903,1.2347107639,0.3789995512,1.1600863470,0.4919110463,0.1834466248,0.9734420538,0.5667825042,0.6803390959,2.1693509134,0.1370067133,0.2578280351,1.1494417974,-0.0368444685,0.7004111218,0.0027094028,0.3337012409,0.5173195869,1.3029100559,0.3755690165,0.5132175100,0.4581611496,0.0348092179,1.5060444668,0.3624949638,0.9558448684,0.5940305018,0.4726768376,0.0053278920,-0.0301696181,0.6437670246,0.2525406327,0.4250414405,0.4929281504,0.4363746757,0.2085053455,0.6120771392,-0.1259650119,-0.1100541188,0.4870717134,-0.0106500680,0.2338025098,0.4199728761,0.2985888094,1.3245182952,0.7816018125,-0.0337032135,0.7255872915,0.5149462956,0.0740463021,0.2428022116,0.7326965734,0.4347063202,2.0183761884,0.5168470078,0.1227407649,Control
GSM481011,0.1237177973,2.1620018246,0.8725803266,0.8742390108,0.1675534351,1.8987152510,0.5835278001,0.7493110476,0.8249668830,0.2606009067,0.0402668576,0.0311852111,-0.1523346070,0.2616787657,0.2880337544,0.5658920869,1.8318432314,2.4389865466,0.7105927217,0.2716277328,0.5667338503,0.4275662834,0.1415806371,1.1728138229,0.3193323220,0.6184553261,2.5371245618,0.0031959456,0.3304214605,0.6780118701,-0.1762223616,0.7834670788,0.0819247228,0.1074369706,0.6270076880,0.7800927070,-0.0023761187,0.3153452390,0.1680638937,0.0824026915,1.1535155438,0.2241602815,1.2443000358,0.3850660645,0.3431488292,0.0417571971,-0.0673564051,0.2336893083,0.3574672764,0.3608591450,0.4014640352,0.5114013589,0.0978642043,0.4002215262,-0.0513179669,-0.1198478415,0.6029167722,0.0082702353,0.0431901634,0.6275396393,0.2212597727,1.4591114363,0.8231259079,0.1588532034,0.7553722745,0.0128134748,0.1317399259,0.4685075090,0.1797329516,0.2938580540,1.5380677453,0.4579446354,-0.0639266614,Control
