@relation data

@attribute id string
@attribute 10368 numeric
@attribute 10369 numeric
@attribute 10497 numeric
@attribute 10681 numeric
@attribute 107 numeric
@attribute 10815 numeric
@attribute 109 numeric
@attribute 1103 numeric
@attribute 114 numeric
@attribute 1173 numeric
@attribute 1175 numeric
@attribute 1312 numeric
@attribute 1385 numeric
@attribute 160 numeric
@attribute 161 numeric
@attribute 1621 numeric
@attribute 163 numeric
@attribute 1644 numeric
@attribute 1739 numeric
@attribute 1741 numeric
@attribute 1742 numeric
@attribute 2036 numeric
@attribute 217 numeric
@attribute 22999 numeric
@attribute 23236 numeric
@attribute 23426 numeric
@attribute 27092 numeric
@attribute 27330 numeric
@attribute 2744 numeric
@attribute 2752 numeric
@attribute 2782 numeric
@attribute 2783 numeric
@attribute 2784 numeric
@attribute 2785 numeric
@attribute 2786 numeric
@attribute 2788 numeric
@attribute 2791 numeric
@attribute 2792 numeric
@attribute 2793 numeric
@attribute 2890 numeric
@attribute 2891 numeric
@attribute 2892 numeric
@attribute 2893 numeric
@attribute 2898 numeric
@attribute 2899 numeric
@attribute 2900 numeric
@attribute 2901 numeric
@attribute 2902 numeric
@attribute 2903 numeric
@attribute 2904 numeric
@attribute 2905 numeric
@attribute 2906 numeric
@attribute 3265 numeric
@attribute 4128 numeric
@attribute 4193 numeric
@attribute 43 numeric
@attribute 4646 numeric
@attribute 4747 numeric
@attribute 4905 numeric
@attribute 5170 numeric
@attribute 51764 numeric
@attribute 5330 numeric
@attribute 5331 numeric
@attribute 54331 numeric
@attribute 54874 numeric
@attribute 5567 numeric
@attribute 5578 numeric
@attribute 5579 numeric
@attribute 55799 numeric
@attribute 5582 numeric
@attribute 5594 numeric
@attribute 55970 numeric
@attribute 57030 numeric
@attribute 5864 numeric
@attribute 5894 numeric
@attribute 5923 numeric
@attribute 5924 numeric
@attribute 59345 numeric
@attribute 60482 numeric
@attribute 6195 numeric
@attribute 6196 numeric
@attribute 6197 numeric
@attribute 6505 numeric
@attribute 6506 numeric
@attribute 6507 numeric
@attribute 6511 numeric
@attribute 6512 numeric
@attribute 6531 numeric
@attribute 6571 numeric
@attribute 6582 numeric
@attribute 6616 numeric
@attribute 6804 numeric
@attribute 6812 numeric
@attribute 6844 numeric
@attribute 6853 numeric
@attribute 6854 numeric
@attribute 6857 numeric
@attribute 7054 numeric
@attribute 7166 numeric
@attribute 773 numeric
@attribute 774 numeric
@attribute 777 numeric
@attribute 781 numeric
@attribute 782 numeric
@attribute 783 numeric
@attribute 784 numeric
@attribute 785 numeric
@attribute 801 numeric
@attribute 805 numeric
@attribute 808 numeric
@attribute 814 numeric
@attribute 815 numeric
@attribute 81539 numeric
@attribute 816 numeric
@attribute 817 numeric
@attribute 818 numeric
@attribute 8224 numeric
@attribute 83988 numeric
@attribute 84254 numeric
@attribute 88 numeric
@attribute 9254 numeric
@attribute 94235 numeric
@attribute 9463 numeric
@attribute 9495 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,0.0682296526,-0.1343526023,0.2498497264,0.0798089453,-0.0680557761,-0.0022378750,0.7727496513,-0.1122089874,-0.0726066500,1.1524037090,1.3559700908,0.6170743442,0.3960468965,0.2606576234,0.4948697878,-0.0416727741,0.5647716359,-0.1097311941,0.5818749392,1.2045466267,0.1665452991,1.2538793809,-0.0491912957,-0.0716031647,0.4097788456,-0.0494699089,-0.0750350634,0.4624164514,0.6879529299,0.7885742456,0.7260348580,0.4609933963,0.0313797501,0.0069233231,-0.1135279069,-0.1004975033,0.1466962866,-0.1126273656,0.0373789289,-0.1189617532,-0.1057068686,-0.0878230903,-0.1500293526,-0.1069397751,-0.1280991893,-0.2342373829,-0.0728367136,-0.1505823830,-0.0754578801,-0.0192656675,0.0364585096,-0.2124075075,1.0380567778,0.7272153733,-0.0070708373,-0.1110990876,1.8432836640,-0.0914058923,1.3583514206,0.7530524665,-0.1072939529,-0.0776044747,1.6300333739,-0.0862014922,1.1371569634,0.6055969648,0.1474579691,-0.1072664774,0.0520227019,-0.0825690696,0.5276523813,1.4999495165,-0.0567467631,0.2882209320,0.6409841057,-0.1038069789,-0.0450818782,0.7363625108,-0.0974420444,0.8590166551,0.4753331980,0.3490809082,0.3352699990,-0.0726019741,0.4415940394,-0.1359518535,-0.0788330093,-0.2211540897,0.2946702333,-0.0806039896,-0.0784855656,0.0612008282,0.5112876687,0.8580837143,-0.0840424624,-0.1111392850,-0.0446861681,-0.1843143120,-0.0809638028,-0.0484405750,-0.1124662805,-0.0677172888,-0.0643316530,-0.0245026247,-0.0623435482,0.5613879450,-0.0271549473,1.5891594400,0.9537983259,2.1997757852,-0.1062511549,-0.0635502934,2.2648347851,-0.0643923931,0.6420336235,0.1409569047,-0.1133499421,-0.0306906713,-0.1051014643,-0.1027024567,-0.1184312069,-0.0889600241,0.3596765864,-0.0692524781,BRCA
GSM480985,0.0433697406,-0.1062390212,0.3411222737,0.0826668575,-0.1146877620,0.0274400118,0.5223725109,-0.1505371343,-0.1656008608,1.0972410342,1.0621682248,0.4934272951,0.2730189453,0.1905879892,0.4369097236,-0.0315753115,0.6130065929,-0.0892573740,0.5661799941,1.2154168048,0.1851502992,1.7248317022,0.0875286907,-0.1219276383,0.7330552477,-0.0716634425,0.0840710815,0.2194411271,0.7644824283,1.0997253167,0.6644044377,0.2952377253,0.0823840736,-0.0457163846,-0.1205803433,-0.1089069453,0.7772403410,-0.1372473919,0.0545901309,-0.1287743736,0.0240851168,-0.0782820407,-0.1717130259,-0.1348898671,-0.1314178727,-0.2125546688,-0.0947317764,-0.1157428850,-0.0203434413,-0.0500140645,0.0295304598,-0.2090418982,0.5481084954,0.7717842565,-0.0835794543,-0.1607687535,2.2744193030,-0.1093180862,1.5010695189,0.6827738690,-0.1532745592,-0.0930615631,1.0536758155,-0.0875385542,1.4550035244,0.7695002645,0.0900841358,-0.0931613796,-0.0357360921,-0.0522140021,0.4521202200,1.8644070503,-0.0688171912,0.4390604538,0.6127393824,-0.0771098375,-0.0910460104,0.4920368270,-0.1415234359,0.5620005916,0.4960677786,0.3743994703,0.1960010604,-0.0759999011,0.4555832010,0.1115985337,-0.0879037390,-0.1823737236,0.0805851974,-0.0108762339,-0.0754517870,-0.0275881361,0.5652077497,0.9750290668,-0.0312249587,-0.1398379793,-0.0200478186,-0.1159210932,-0.1366582915,0.0733538507,-0.0679996171,-0.0793521388,-0.0734470778,0.1402272073,-0.0032097376,0.5824237781,-0.0808365336,1.2845784730,0.9828057632,1.9199515841,-0.1264687864,-0.0360112713,1.8579146985,-0.0954384340,0.7133841506,0.1554803168,-0.0913627488,0.1267709513,-0.0801626205,-0.1399921106,-0.0968186499,-0.1309516296,0.3101372704,-0.1118187895,BRCA
GSM480986,-0.0618462150,-0.1000677477,0.2506019569,0.1311043079,-0.0866454035,0.0333947713,0.6232914684,-0.0969282116,-0.1195620130,1.3037325410,1.5079112994,0.6510740553,0.3807973232,0.2831735210,0.5527757206,-0.0143113679,0.6778581731,-0.0614484214,0.4299439512,1.2384672425,0.0373472180,1.5900066203,-0.1099596126,-0.1014341620,0.5153439700,-0.0138933146,-0.0204037532,0.4537448762,0.8092909971,1.1071077928,0.6901387549,0.3422224569,0.0011673622,-0.0624810754,-0.0875566416,-0.1140261693,0.0591031552,-0.0677840849,-0.0889708259,-0.0995415323,-0.0902023388,-0.0782341801,-0.1381295376,-0.0761567545,-0.1136994808,-0.1370470609,-0.0635473953,-0.1420936314,0.0294416636,-0.0183347330,0.0145375388,-0.1795135874,0.9493732134,0.7010565088,0.0441754822,-0.1313179274,1.8071364569,-0.0991810384,1.4772161901,0.6777039026,-0.0778376792,-0.0521149571,1.4571645670,-0.0920514730,0.9068633169,0.7078176651,0.1559347632,-0.1167993353,0.1274459120,-0.0710934066,0.5276161861,1.6156421010,-0.0711301229,0.4874935171,0.4839221177,-0.0858192758,-0.0237612893,0.8650141478,-0.0866515958,0.7839062919,0.4085617637,0.3229744066,0.3092010555,-0.0871767768,0.4501848185,-0.0039742491,-0.0708749164,-0.1586654794,0.0528985192,-0.0288853852,-0.0994968248,0.0469438789,0.7367980255,0.8724778892,-0.0933417504,-0.0963471428,0.1111272582,-0.1356675994,-0.1005429893,-0.0124151879,0.0407272446,-0.0604867618,-0.0875475979,0.0404406771,-0.0457329366,0.6317891250,-0.0384452237,1.6418533209,0.7694473286,2.1900971755,-0.1107559652,-0.1068710505,2.1849357669,-0.0770829322,0.6441054073,0.1217694167,-0.1810935194,-0.0730255128,-0.0451671480,-0.1202194508,-0.1261470708,-0.0372388086,0.4744428752,-0.0253976056,BRCA
GSM480987,-0.0526175533,-0.1063510068,0.1088439887,0.0622019586,0.0948443130,-0.0594019589,0.9581980763,-0.0869774941,-0.1120932270,1.3146498003,1.5145772255,0.5156495034,0.2020458693,0.2687426848,0.8254703291,-0.0236597029,0.3246971715,-0.0325372560,0.2913734570,0.3608670740,0.1237357168,0.4980374474,1.7816735108,-0.0616881117,0.1668422063,-0.1025872924,-0.0699285825,0.5711384810,0.3543531300,1.1229457474,0.7412058433,0.2116768266,0.1327404538,-0.0773168238,-0.1215972648,-0.1148385397,2.7066964706,-0.0742860082,0.0348619162,-0.0716288448,-0.1308166077,0.1477903988,-0.1401504259,-0.0886086091,-0.1356889803,-0.2273495321,-0.1095014111,-0.1389292797,0.0160529329,-0.0567495614,0.0301300406,-0.0009821425,0.6616964770,1.6794877839,0.0336754173,-0.1325169436,0.8569654733,1.3982471575,1.0836961991,0.5721121385,-0.1143018794,-0.1041722893,0.9919344300,0.3232544249,0.4288201657,1.0939444790,0.0835026311,-0.1432857454,0.0243150980,-0.0616863377,0.4570317386,1.7940059026,-0.0510828924,0.0849605931,0.3882937707,-0.0868379885,0.3441553468,0.9243028046,-0.1251770852,0.1390306237,0.8660132522,0.2145047075,0.0970391565,-0.0316355400,0.6073688326,-0.0865326460,-0.1112090180,-0.2239413844,0.0089983054,-0.0038927099,0.0500207365,-0.0220054143,0.8607512637,0.6637983796,-0.0105670871,-0.0620255967,0.0083083328,-0.0232365340,-0.1087687143,0.0382031941,0.0024278860,-0.0738195309,0.0770227257,0.0251751878,0.2038346149,0.4010122127,-0.1018771847,1.3375803794,0.6854064385,1.7749855086,-0.0822204906,-0.0885894268,2.6267848438,-0.0640990646,0.8422779248,0.0131572660,-0.0921101061,-0.0591757725,-0.0879970077,-0.1064028313,-0.1333895824,-0.1600573949,0.0840688510,-0.0021112746,BRCA
GSM480988,-0.0411565130,-0.0393296510,0.1111212380,0.1375192484,-0.1114876393,-0.0492118924,0.3484778570,-0.0564230234,-0.0361867587,0.9602763783,0.6505456722,0.5688883008,0.2373043370,0.1485788541,0.5611294274,-0.0938466405,0.4339244361,-0.0856328194,0.4063194740,1.1548012690,0.0792691462,1.9428356040,-0.0056832970,-0.1022915954,0.4406262552,-0.0156353994,-0.0744747072,0.3494939344,0.6910725139,0.7661634073,0.5931581249,0.0215888636,0.1052846566,-0.0282164784,-0.0825194422,-0.0999999979,-0.0600983379,-0.1394877574,-0.0426573925,-0.0650744193,-0.0325215318,-0.0565929220,-0.1000051503,-0.1447988310,-0.0225490663,-0.1349787982,-0.0640856158,-0.1350362458,-0.0800450467,-0.0110762134,-0.0086869514,-0.1859210652,0.4589619954,0.5096429859,-0.0762924356,-0.1675943335,2.1805479097,-0.1006051413,1.6950709760,0.3119734156,-0.1443745749,-0.0521348746,1.0592323652,-0.0541173976,0.7254853263,0.5631931945,0.0817065693,-0.0806064152,0.0644696750,-0.0384889170,0.4923907940,1.2631580537,-0.0123547841,0.3885445643,0.4704262694,-0.0390103232,0.0260778816,0.6169386619,-0.0955956292,0.6210581084,0.2209763757,0.3158808795,0.1782208239,-0.0824772020,0.6502430127,-0.0515695167,-0.0660874581,-0.2032258370,0.2919191110,-0.0174715090,-0.0908771392,0.1028955929,0.8444442860,0.3810517959,-0.1017586326,-0.0797624096,-0.1007697098,-0.0292729959,-0.1440232458,-0.0419790439,-0.0682974830,-0.0478313951,-0.0562333224,0.0325240980,-0.0489285502,0.5769897205,-0.0758940419,1.4518957679,0.8568994044,2.2009519134,-0.1005794919,-0.0432362018,1.7730750347,-0.1012624690,0.6047102776,0.1260813951,-0.1381406770,0.0395817163,-0.0196376716,-0.1170340794,-0.1206784184,-0.1318603578,0.5219293121,-0.0409776725,BRCA
GSM480989,0.1079419554,-0.0767798814,0.2317206857,0.1395655114,-0.0620193510,0.0233395003,1.0119184052,-0.0834734071,-0.0685872297,1.5578947200,1.7629687284,0.8071330839,0.1316228062,0.3444870630,0.4892268392,-0.0471945257,0.5308351245,-0.1210331493,0.2111612193,1.3365304070,0.2458340079,1.9400826520,-0.0242702600,-0.0730436224,0.1935005427,-0.0850661143,0.0544453836,0.0917087290,0.4444297865,1.1952749605,0.7107484369,0.4922151650,0.0310324050,-0.0245108759,-0.1035838998,-0.0584708151,-0.1600497482,-0.2168419232,-0.0442354612,-0.0548027214,-0.1140418602,-0.0573807171,-0.1755770770,-0.0724096879,-0.2085225936,-0.3237041666,-0.1042792729,-0.1920192803,0.0461123774,0.0548789222,0.1042212602,-0.2459162741,1.1103506463,0.2432551988,-0.0633361472,-0.1577193451,1.5394107586,-0.0581991040,1.2401829392,0.6968581951,-0.2324207872,-0.1177975059,1.6992731094,0.0358164425,0.5904624395,0.3538124809,0.0811992555,-0.1211765001,-0.0000382345,-0.1123442115,0.4168803811,1.1070811011,-0.0336404522,1.0065250677,0.4437155496,0.0485742937,-0.0134113350,0.3556060205,-0.1120834092,1.0677040443,0.3754435785,0.1254392710,0.1668989417,0.0035955286,0.1865971034,-0.1076312634,-0.0765324335,-0.1988808691,0.3101469584,-0.0447396805,-0.0452358587,-0.0830106423,0.6433026957,1.1429643371,-0.0019817986,-0.1048323887,-0.1513736165,-0.1206839850,-0.0888880734,-0.0790176572,-0.1027390032,-0.0873273261,-0.0860655855,-0.0488633459,-0.0772692739,0.8129652783,-0.1655431821,1.5590544180,0.7983118814,2.9188919440,-0.1560957574,-0.0476141433,1.6615261318,-0.1131204681,0.5547810792,0.1083134365,-0.0670131794,0.0194399388,-0.1431885434,-0.0949734952,-0.1282889134,-0.1777083731,0.4388755611,-0.0270289825,BRCA
GSM480990,0.0546465477,-0.1600094848,0.1366856836,0.0819088728,-0.0744136228,-0.0425474236,1.0164559484,-0.0467342631,-0.1056272242,1.2710338862,1.6323857997,0.5359435843,0.1244135859,0.3784631827,0.7273199062,0.0107198580,0.4113983666,-0.0624192063,0.3276433839,0.4968311935,0.2119237644,1.2418024781,-0.0668057338,-0.1007789494,0.0480474158,-0.0909719125,-0.0964546505,0.2400898547,0.6063650150,1.1422580908,0.8782710590,0.5025454419,0.0722035417,-0.0313524033,-0.0925484677,-0.1273939656,0.4092192144,-0.1018510503,-0.0283261156,-0.0741489506,-0.1340680596,-0.0680713484,-0.1179290985,-0.0945500056,-0.0854035899,-0.2354039532,-0.0865601961,-0.1500345451,-0.0147949093,-0.0182855369,-0.0218555795,-0.1758436667,1.1067612915,0.9098102882,-0.0377953903,-0.0802033995,1.4622726395,0.7036230114,0.7803548574,0.6259951810,0.0065605761,-0.0345598439,1.9801055864,0.0663741883,0.5093322714,0.7935236208,0.1371517299,-0.1211324487,-0.1103112226,-0.0606057024,0.4040678319,1.3161279748,-0.0363621299,0.6060536480,0.3387474729,-0.1068342536,0.0213186410,0.7182087007,-0.0774262902,1.0079710025,0.7074387894,0.2346333858,0.0716720986,-0.0711715612,0.1812460886,-0.1645652397,-0.0469035626,-0.1438699079,0.1504962361,0.0180012269,-0.0905569354,0.0191228693,1.0225135685,1.1297013738,0.0470120367,-0.1145211386,-0.0869700394,-0.1015555037,-0.1387458115,-0.0690977746,-0.0387157144,-0.0656018598,-0.0727700968,-0.0090365871,-0.0745338046,0.7522451695,-0.0505590463,1.4453520321,0.6829452796,2.5856389926,-0.0154691427,-0.0387971694,1.9450264433,-0.0783020266,0.5480292028,0.0558532586,-0.1480897045,-0.0547461847,-0.0490376318,-0.1425240105,-0.1572380998,-0.0808738950,0.3617107752,-0.0077445229,Control
GSM480991,0.0257418429,-0.0583783093,0.3215980299,0.1006723062,-0.0467888096,0.1587953391,0.4249343571,-0.0739636377,-0.1251052238,1.3845505780,1.6801313789,0.6528987948,0.1756075131,0.4264603429,0.6834902414,0.0005197486,0.4659834468,-0.0785714785,0.3763607248,1.1862862032,0.1213872813,1.6636432831,-0.0233735611,-0.0735594566,0.2907817717,-0.0669985092,0.0554954631,0.3509049253,0.7714438242,1.3781427961,0.7888649646,0.5062835034,-0.0499887214,0.0187707844,-0.1110699204,-0.0938462643,-0.0797904123,-0.1039781785,-0.0162116344,-0.0886032136,-0.1649963296,-0.0625367364,-0.1425649745,-0.0927376037,-0.1509837577,-0.2098693201,-0.0545817708,-0.1862277094,-0.0516968131,-0.0447101730,0.0439284059,-0.2541372158,0.9763167946,0.8781279406,-0.0037197388,-0.1082261578,1.8450772846,0.1365444100,1.2567977992,0.7252390346,-0.0443711671,-0.0434485409,1.5307328514,0.0453277426,0.7694709118,0.6564376624,0.0569693500,-0.0960165404,0.0017666566,-0.0531655469,0.5071865046,1.4828155484,-0.0275067586,0.7793279563,0.3654298311,-0.0982043197,0.1275102232,0.5407913685,-0.1088110295,0.7941210804,0.5811723371,0.2548893520,0.2825929638,-0.0307651288,0.3267615250,-0.0801134976,-0.0798052689,-0.1873393291,0.1601521271,0.0509387656,-0.0716491503,0.0173325776,0.8215937093,1.3279897193,-0.0721432740,-0.0985300686,0.0115688264,-0.1109221383,-0.1169805895,-0.0352333166,-0.0588473026,-0.0715104966,-0.1380577189,-0.0152191007,-0.1135411437,0.8025629474,-0.1052119711,1.5451146222,0.7246558555,2.3986895680,-0.1178059007,-0.0434597657,1.7476701636,-0.0664389667,0.5891530063,0.1548473247,-0.0948746963,-0.0008050757,-0.0771661424,-0.1247259681,-0.1246867361,-0.0904390580,0.5400675154,-0.0269643025,Control
GSM480992,0.0310889002,-0.0578705474,0.2478996939,0.0885527289,-0.0848685851,0.1382086769,0.8758288564,-0.0394101663,-0.0951718734,1.4126932023,1.9441385897,0.7939494476,0.1568766059,0.4744916590,0.8376964311,-0.0677153814,0.4312054103,-0.0980133674,0.2851011068,0.9257426737,0.2280438674,1.7252059661,-0.0362600798,-0.0463536424,0.0814318765,-0.0624663409,-0.0606748974,0.2719361378,0.6296331289,1.3404002363,0.7672556795,0.6768512727,0.0298872434,-0.0393678868,-0.1060098494,-0.1138909129,-0.0873010754,-0.1357910544,0.0018078210,-0.0981577248,-0.1126769885,-0.0596054570,-0.1320523696,-0.1298307803,-0.1287491859,-0.2350117804,-0.1163641160,-0.1645202101,-0.0048636670,-0.0401170705,0.0399397690,-0.2211485713,1.1827308424,0.7166258736,-0.0464381419,-0.1287098941,1.5374248025,0.0652978047,1.1221307751,0.6805748290,0.0178685737,-0.0266702802,1.8464471474,-0.0904213050,0.6147798835,0.5008515699,0.1225340664,-0.1356904655,-0.0458623245,-0.0742785615,0.4130200728,0.8826477632,-0.0073117245,0.7938982481,0.3105769333,-0.0692610286,0.0333484756,0.5452613432,-0.1417939861,1.0579590626,0.5338543657,0.2154794810,0.0795976930,-0.0125441216,0.2353248108,-0.0928625302,-0.0831935343,-0.2094873998,0.0884045239,-0.0572551240,-0.0599888102,0.0085014564,0.9246719330,1.3015146424,-0.0663969083,-0.0825519404,-0.0791883014,-0.0821576885,-0.0916270142,-0.0023046669,0.0078665931,-0.0370010809,-0.0323406713,0.0835718792,-0.0621772347,0.9192613613,-0.1110916970,1.4246134289,0.7415068230,2.6897532866,-0.1482992642,-0.0718402782,1.8093512646,-0.0227440883,0.5535295457,0.0925191902,-0.1094324701,-0.0335272502,-0.0134492958,-0.0727681645,-0.1166840113,-0.0972539801,0.4806095212,-0.0383531876,Control
GSM480993,-0.0569667482,-0.0373075461,0.2284777018,0.1116843061,-0.0384183934,0.0982491271,0.7973100805,-0.0723800203,-0.0471520076,1.3460859921,1.6546143043,0.7298902228,0.2239596708,0.3253226646,0.6623232290,0.0160970758,0.6197645098,-0.0779785232,0.4119260958,1.3300834898,0.1730288758,1.6933351169,-0.0292226803,-0.1104870453,0.2383615070,-0.0675154184,-0.0383842061,0.1394531711,0.5561323376,1.2013911734,0.7363728955,0.4144046013,0.0388465096,-0.0594869954,-0.1183751102,-0.0490935803,0.0096267843,-0.0948902335,0.0077307280,-0.1233562875,-0.1076846812,-0.0835757837,-0.0930643304,-0.0709204828,-0.1002276326,-0.2610974198,-0.0037741846,-0.1053195155,-0.0645106739,-0.0630610927,-0.0232858544,-0.1751255267,0.9945207685,0.7602154946,0.0065748730,-0.0965893019,1.6948885482,-0.0342872620,1.3218134940,0.7050229798,-0.1602199334,-0.0896386958,1.4765024371,-0.0759411633,0.8056926285,0.5521481080,0.1051260916,-0.1144585606,0.0878828508,-0.1054423138,0.4741801064,1.3067279573,-0.0453858177,0.8465846600,0.3602931440,-0.1000633528,-0.0139027961,0.7518640363,-0.1058343385,0.8928548188,0.5429977189,0.2677287386,0.3522421680,-0.0578398887,0.4311537920,-0.0842560461,-0.0939201686,-0.1600911664,0.0779125332,-0.0611872739,-0.0650992427,0.0187037533,0.9696018361,1.1745911652,-0.0234244969,-0.1028160165,-0.0468702705,-0.1145601916,-0.0471239394,0.0136240125,-0.0125696733,-0.0395628441,-0.0527089079,0.0231110048,-0.0288300617,0.7646135887,-0.1219448129,1.5856227239,0.8005855027,2.4490207491,-0.0999037584,-0.0968572793,2.1970435104,-0.0807639728,0.6798162911,0.1127858115,-0.0579197836,0.0377508478,-0.0582413043,-0.1020554529,-0.1094240398,-0.1367339711,0.4690016607,-0.0312457905,Control
