@relation data

@attribute id string
@attribute 10533 numeric
@attribute 11337 numeric
@attribute 11345 numeric
@attribute 115201 numeric
@attribute 23192 numeric
@attribute 23710 numeric
@attribute 25989 numeric
@attribute 30849 numeric
@attribute 3440 numeric
@attribute 3442 numeric
@attribute 3443 numeric
@attribute 3445 numeric
@attribute 3458 numeric
@attribute 5289 numeric
@attribute 5562 numeric
@attribute 5563 numeric
@attribute 64422 numeric
@attribute 8408 numeric
@attribute 84938 numeric
@attribute 84971 numeric
@attribute 8678 numeric
@attribute 9140 numeric
@attribute 9474 numeric
@attribute 9706 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,0.1866759050,2.6099741457,2.0579820125,0.8849873181,0.5923208104,0.6532331489,0.4617318792,0.1593386951,-0.1199885893,-0.0355491750,-0.0352307766,-0.1936514984,-0.1502639149,0.0643121879,0.6972816498,0.5368377324,0.9970815467,0.3024352185,0.8094576323,1.5567297191,0.9212749640,1.8391048150,0.7646544867,0.4668567458,BRCA
GSM480985,0.1595603567,2.9967056910,2.5586778073,0.9403510336,0.6064497898,1.4697112168,0.3411650838,0.2231698683,-0.1568539746,-0.0688103966,-0.0579974532,-0.2161015719,-0.1919777421,0.0869224134,0.8830770498,0.5711894630,0.7450458977,0.4059327708,0.6008360001,1.2097890674,0.8288108151,1.5992113595,0.7113421234,0.6488988059,BRCA
GSM480986,0.1930393741,3.0069931083,2.2382259817,0.9911219445,0.6593272268,0.9205562638,0.4536441458,0.1655364541,-0.1459904786,-0.1096312147,-0.0646809692,-0.1664142668,-0.1827084002,0.0848316987,0.6173110976,0.4924874472,0.8786418888,0.2153231874,0.5906334581,1.5399013981,0.9551099130,1.3599473943,0.5230999732,0.5024669697,BRCA
GSM480987,0.1545781075,3.0406313339,2.2655778080,0.2986472815,0.6516209895,0.8933092058,0.3051176647,0.1034916394,-0.1097571099,-0.0948572686,-0.1676894665,-0.1128342754,-0.0920013336,0.0585118207,0.5598070415,0.1182318989,0.6315802205,0.1533566565,0.5103262376,1.0447896869,0.8607930055,2.0394335823,0.4905198044,0.4713062329,BRCA
GSM480988,0.1035508090,2.5566865208,2.2864183932,0.9862041156,0.6263332641,0.5019218053,0.5831166022,0.1689293426,-0.2155395465,-0.1216714709,-0.1151237102,-0.1170662931,-0.1157230785,0.0645759152,0.5218059314,0.4654544679,0.6117286377,0.1971166582,0.7166993413,0.9941145555,0.8094494761,1.2774651267,0.5150745518,0.5141610479,BRCA
GSM480989,0.1954262307,3.4387318292,2.3911416679,0.5249788051,0.7331775713,0.6759420655,0.5130635204,-0.0886837151,-0.2096376306,-0.1344856783,-0.0775834191,-0.2043228039,-0.2689341306,-0.1017395506,0.4183589999,0.2841369687,0.4671506804,0.3900482689,0.3024856900,1.7568897752,0.8630237280,1.1571573913,0.2079867127,0.2695188849,BRCA
GSM480990,0.1836435274,3.5432334741,2.1206442864,0.2570601363,0.7716598675,0.5507263558,0.3696083798,0.0158633405,-0.1833390939,-0.0603193185,-0.0836057560,-0.2017702788,-0.1534946757,-0.0005416643,0.4202362334,0.0393349569,0.4987139976,0.2887731422,0.2616515741,1.7675514966,0.7838559422,1.2531385449,0.2853235367,0.3703001788,Control
GSM480991,0.1854755111,3.0431918766,2.3887615653,0.8893171420,0.7326457441,0.9896231078,0.5845370458,0.0660234105,-0.1778612315,-0.0778660037,-0.1045818321,-0.1634213613,-0.1411837970,-0.0071913414,0.5643821552,0.3465647588,0.5986800686,0.3221377097,0.4009473035,1.6938950417,0.9662895035,1.1591522700,0.3582306911,0.4752391944,Control
GSM480992,0.1603486713,3.5230112606,2.2003194840,0.5057032369,0.9663557335,0.6569333312,0.5675783488,0.1059529612,-0.1318738071,-0.0616193620,-0.0327074025,-0.1333063953,-0.1471509594,-0.0122369724,0.3441480973,0.1885730066,0.5007101696,0.4759576799,0.2826283323,2.0658420623,0.8016679537,0.7598053622,0.1842532739,0.1893522777,Control
GSM480993,0.2376325573,3.1718779669,2.2339546827,0.5368197098,0.8495262770,0.8826075152,0.5956305202,0.1276676427,-0.1627845147,-0.0709183736,-0.0435795975,-0.1360850570,-0.1658804081,0.0665985894,0.5277534072,0.4264199110,0.7551215252,0.1734991761,0.3998190425,1.6571864039,0.9251258757,1.2820917909,0.3854591267,0.5414626727,Control
