# Order in which each feature was ranked by the feature-selection algorithm. When cross-validation was used, the values represent average ranks across the folds. Note that these values are calculated on the assumption that all features received a rank, whereas some feature-selection algorithms do not assign ranks to all.
Feature	Rank
5581	1.4444444444444444
6416	2.388888888888889
5894	2.5555555555555554
2353	5.055555555555555
5608	6.666666666666667
3725	10.0
7124	10.777777777777779
2113	11.11111111111111
5970	11.166666666666666
3551	12.444444444444445
7186	13.0
1956	13.11111111111111
5606	13.555555555555555
5594	13.61111111111111
5579	14.38888888888889
4792	14.777777777777779
9020	19.77777777777778
596	19.833333333333332
5578	19.88888888888889
2114	21.61111111111111
1050	23.11111111111111
1616	23.27777777777778
5609	24.833333333333332
7132	26.38888888888889
5583	26.77777777777778
1432	27.11111111111111
3265	28.0
4214	28.666666666666668
1147	28.88888888888889
5603	29.0
5599	29.72222222222222
5580	31.61111111111111
356	31.833333333333332
355	32.5
8737	34.05555555555556
5582	34.388888888888886
7133	34.77777777777778
4217	35.77777777777778
3204	35.833333333333336
5588	36.05555555555556
1950	37.111111111111114
4790	38.0
6667	38.94444444444444
5595	40.55555555555556
5515	40.611111111111114
