Feature	Mean Rank
8517	1.0
1487	2.0
4089	3.0
5294	4.0
5894	5.0
4609	6.0
5595	7.0
369	8.0
1399	9.0
867	10.0
861	11.0
5604	12.0
6776	13.0
4893	14.0
7042	15.0
572	16.0
1398	17.0
7043	18.0
25	19.0
1870	20.0
5594	21.0
5290	22.0
5296	23.0
5295	24.0
23624	25.0
10000	26.0
2122	27.0
613	28.0
7048	29.0
3845	30.0
1026	31.0
1147	32.0
1871	33.0
23533	34.0
7157	35.0
53358	36.0
4088	37.0
208	38.0
1869	39.0
4193	40.0
2885	41.0
3265	42.0
4790	43.0
25759	44.0
5970	45.0
8503	46.0
5781	47.0
7046	48.0
6655	49.0
4792	50.0
673	51.0
9846	52.0
7040	53.0
1027	54.0
5605	55.0
598	56.0
207	57.0
595	58.0
399694	59.0
5291	60.0
5925	61.0
6777	62.0
3066	63.0
5293	64.0
868	65.0
1488	66.0
1029	67.0
1021	68.0
6464	69.0
3551	70.0
6654	71.0
1019	72.0
3065	73.0
