Feature	Mean Rank
4621	1.0
2771	2.0
87	3.0
8735	4.0
5872	5.0
9223	6.0
5584	7.0
5516	8.0
58498	9.0
4301	10.0
5515	11.0
1459	12.0
387	13.0
4636	14.0
50855	15.0
89	16.0
5518	17.0
8573	18.0
5588	19.0
1499	20.0
79784	21.0
7525	22.0
6237	23.0
5578	24.0
81	25.0
64398	26.0
57530	27.0
1495	28.0
2017	29.0
29119	30.0
4627	31.0
88	32.0
49861	33.0
9075	34.0
22989	35.0
7122	36.0
4622	37.0
7082	38.0
9076	39.0
4628	40.0
3845	41.0
57644	42.0
260425	43.0
93408	44.0
5583	45.0
5582	46.0
4620	47.0
3059	48.0
4893	49.0
53842	50.0
9218	51.0
2770	52.0
1460	53.0
1496	54.0
51208	55.0
6709	56.0
10686	57.0
10627	58.0
5522	59.0
3265	60.0
5579	61.0
22800	62.0
23562	63.0
4633	64.0
5728	65.0
9414	66.0
9073	67.0
2035	68.0
1457	69.0
24146	70.0
10000	71.0
3993	72.0
150084	73.0
10398	74.0
92359	75.0
103910	76.0
8189	77.0
5520	78.0
84612	79.0
207	80.0
137075	81.0
154810	82.0
2773	83.0
5865	84.0
5580	85.0
9863	86.0
55844	87.0
51776	88.0
208	89.0
5590	90.0
2037	91.0
8531	92.0
2036	93.0
5521	94.0
23136	95.0
22808	96.0
93643	97.0
9071	98.0
4625	99.0
149461	100.0
50848	101.0
27134	102.0
4624	103.0
1366	104.0
58494	105.0
1019	106.0
5519	107.0
26285	108.0
5581	109.0
60412	110.0
84552	111.0
8777	112.0
71	113.0
4950	114.0
3996	115.0
29895	116.0
5010	117.0
1365	118.0
6714	119.0
4626	120.0
11336	121.0
998	122.0
83700	123.0
10207	124.0
60	125.0
55870	126.0
56288	127.0
9080	128.0
1364	129.0
