sample	family
A01	0
A02	1
A03	1
A04	1
A05	1
A06	1
A07	0
A08	0
A09	0
A10	0
A11	0
A12	0
B01	2
B02	2
B03	3
B04	3
B05	3
B06	3
B07	3
B08	2
B09	2
B10	2
B11	2
B12	0
C01	5
C02	5
C03	5
C04	4
C05	5
C06	4
C07	4
C08	4
C09	4
C10	5
C11	4
C12	5
D01	3
D02	3
D03	3
D04	3
D05	3
D06	3
D07	2
D08	2
D09	2
D10	4
D11	2
D12	2
E01	5
E02	4
E03	4
E04	4
E05	4
E06	5
E07	5
E08	4
E09	5
E10	5
E11	4
E12	3
F01	1
F02	1
F03	1
F04	1
F05	1
F06	1
F07	0
F09	0
F10	0
F11	0
F12	0
G01	2
G02	2
G03	2
G04	3
G05	3
G06	3
G07	4
G08	4
G09	4
G10	5
G11	5
G12	5
H01	2
H02	2
H03	2
H04	2
H06	2
H07	3
H08	3
H09	3
H10	3
H11	3
H12	3
I01	1
I02	1
I03	1
I04	1
I05	2
I06	2
I07	2
I08	4
I09	4
I10	4
I11	4
I12	4
I13	1
J01	0
J02	0
J03	1
J04	1
J05	1
J06	1
J07	1
J08	1
J09	0
J10	0
J11	0
J12	0
K01	5
K02	3
K03	5
K04	3
K05	4
K1162	5
P1075	3
Q1080	3
R1104	3
S1133	3
Z3225	4
AE1543	2
AF3229	2
AG3230	2
AH3232	2
C474	1
D480	1
L1176	5
M1263	5
T1463	3
U2017	3
V432	3
AA3226	4
AB3227	4
AI3233	2
AJ3234	2
AK3235	2
E519	1
F548	1
W433	3
X524	3
Y546	3
AC3228	4
AD3231	4
AL3236	2
AM3237	2
AN757	2
G660	1
H663	1
I782	1
J787	1
AA_RR-849	3
AE_RR-3300	2
AF_RR-3276	2
AG_RR-3298	2
AH_RR-3295	2
AI_RR-3291	2
AJ_RR-3296	2
AM_RR-1949	2
AN_RR-3297	2
AO_RR-3288	0
AP_RR-3280	0
AR_RR-3278	0
AS_RR-3277	0
A_RR96-12	5
B_RR-1519	5
C_RR-3293	5
D_RR-3301	5
E_RR-2070	5
J_RR-1226	5
K_RR-3290	4
L_RR-3286	4
N_RR-3294	4
O_RR-3285	4
P_RR-3274	4
Q_RR-3283	4
RR-3275	4
RR-3281	0
RR-3287	5
RR-3289	4
RR-3299	5
T_RR-3292	4
U_RR-2236	3
V_RR-1455	3
W_RR-922	3
X_RR-1083	3
Y_RR-841	3
Z_RR-778	3
