	AUC	Accuracy	Baseline error rate	Baseline improvement	Best Num Features	Error rate	Kappa statistic	Mean absolute error	Number instances predicted as dependent variable class BRCACancer	Number instances predicted as dependent variable class BRCACancer correctly	Number instances predicted as dependent variable class BRCACancer incorrectly	Number instances predicted as dependent variable class Control	Number instances predicted as dependent variable class Control correctly	Number instances predicted as dependent variable class Control incorrectly	Number instances with dependent variable class BRCACancer	Number instances with dependent variable class BRCACancer predicted correctly	Number instances with dependent variable class BRCACancer predicted incorrectly	Number instances with dependent variable class Control	Number instances with dependent variable class Control predicted correctly	Number instances with dependent variable class Control predicted incorrectly	Proportion instances predicted as dependent variable class BRCACancer	Proportion instances predicted as dependent variable class BRCACancer correctly	Proportion instances predicted as dependent variable class BRCACancer incorrectly	Proportion instances predicted as dependent variable class Control	Proportion instances predicted as dependent variable class Control correctly	Proportion instances predicted as dependent variable class Control incorrectly	Proportion instances with dependent variable class BRCACancer	Proportion instances with dependent variable class BRCACancer predicted correctly	Proportion instances with dependent variable class BRCACancer predicted incorrectly	Proportion instances with dependent variable class Control	Proportion instances with dependent variable class Control predicted correctly	Proportion instances with dependent variable class Control predicted incorrectly	Relative absolute error	Root mean squared error	Root relative squared error	Total number correct	Total number incorrect	Youden Index
MajorityVoteEnsemblePredictor	0.5681818181818182	0.5945945945945946	0.4054054054054054	0.0	NA	0.4054054054054054	0.0	0.4061526964752771	0.0	0.0	0.0	37.0	22.0	15.0	15.0	0.0	15.0	22.0	22.0	0.0	0.0	NaN	NaN	1.0	0.5945945945945946	0.40540540540540543	0.40540540540540543	0.0	1.0	0.5945945945945946	1.0	0.0	84.08584519567073	0.5868194954037144	119.51656155450303	22	15	0.0
MaxProbabilityEnsemblePredictor	0.6666666666666666	0.6756756756756757	0.4054054054054054	0.08108108108108103	NA	0.32432432432432434	0.26490066225165565	0.33908038488773845	7.0	5.0	2.0	30.0	20.0	10.0	15.0	5.0	10.0	22.0	20.0	2.0	0.1891891891891892	0.7142857142857143	0.2857142857142857	0.8108108108108109	0.6666666666666666	0.3333333333333333	0.40540540540540543	0.3333333333333333	0.6666666666666666	0.5945945945945946	0.9090909090909091	0.09090909090909091	70.1998558670024	0.5419877441967694	110.38575251579725	25	12	0.24242424242424243
MeanProbabilityEnsemblePredictor	0.6363636363636364	0.5945945945945946	0.4054054054054054	0.0	NA	0.4054054054054054	0.0	0.45712801151622384	0.0	0.0	0.0	37.0	22.0	15.0	15.0	0.0	15.0	22.0	22.0	0.0	0.0	NaN	NaN	1.0	0.5945945945945946	0.40540540540540543	0.40540540540540543	0.0	1.0	0.5945945945945946	1.0	0.0	94.63927125077635	0.48692828828000223	99.17188367916879	22	15	0.0
SelectBestEnsemblePredictor	0.6212121212121212	0.5405405405405406	0.4054054054054054	-0.05405405405405406	NA	0.45945945945945943	-0.00640000000000002	0.42204477183871414	10.0	4.0	6.0	27.0	16.0	11.0	15.0	4.0	11.0	22.0	16.0	6.0	0.2702702702702703	0.4	0.6	0.7297297297297297	0.5925925925925926	0.4074074074074074	0.40540540540540543	0.26666666666666666	0.7333333333333333	0.5945945945945946	0.7272727272727273	0.2727272727272727	87.37598361022447	0.5237357201912247	106.66839280358762	20	17	-0.0060606060606061
SimpleWeightedMeanProbabilityEnsemblePredictor	0.6303030303030303	0.5945945945945946	0.4054054054054054	0.0	NA	0.4054054054054054	0.0	0.4578743426023449	0.0	0.0	0.0	37.0	22.0	15.0	15.0	0.0	15.0	22.0	22.0	0.0	0.0	NaN	NaN	1.0	0.5945945945945946	0.40540540540540543	0.40540540540540543	0.0	1.0	0.5945945945945946	1.0	0.0	94.79378427190585	0.487773970101666	99.34412230499166	22	15	0.0
SimpleWeightedVoteEnsemblePredictor	0.546969696969697	0.40540540540540543	0.4054054054054054	-0.1891891891891892	NA	0.5945945945945945	0.0	0.5269044792867053	37.0	15.0	22.0	0.0	0.0	0.0	15.0	15.0	0.0	22.0	0.0	22.0	1.0	0.40540540540540543	0.5945945945945946	0.0	NaN	NaN	0.40540540540540543	1.0	0.0	0.5945945945945946	0.0	1.0	109.085102383173	0.5466329250040247	111.33182885141758	15	22	0.0
StackedEnsemblePredictor_weka_svm_rbf_Classes	0.5575757575757576	0.6216216216216216	0.4054054054054054	0.027027027027026973	NA	0.3783783783783784	0.180379746835443	0.4536216216216216	11.0	6.0	5.0	26.0	17.0	9.0	15.0	6.0	9.0	22.0	17.0	5.0	0.2972972972972973	0.5454545454545454	0.45454545454545453	0.7027027027027027	0.6538461538461539	0.34615384615384615	0.40540540540540543	0.4	0.6	0.5945945945945946	0.7727272727272727	0.22727272727272727	93.91334289813489	0.5144606201933533	104.77934844070882	23	14	0.17272727272727284
StackedEnsemblePredictor_weka_svm_rbf_Probabilities	0.6424242424242426	0.5675675675675675	0.4054054054054054	-0.027027027027027084	NA	0.43243243243243246	0.04207119741100324	0.444864864864865	9.0	4.0	5.0	28.0	17.0	11.0	15.0	4.0	11.0	22.0	17.0	5.0	0.24324324324324326	0.4444444444444444	0.5555555555555556	0.7567567567567568	0.6071428571428571	0.39285714285714285	0.40540540540540543	0.26666666666666666	0.7333333333333333	0.5945945945945946	0.7727272727272727	0.22727272727272727	92.1004304160689	0.4898669979450296	99.77040584368793	21	16	0.039393939393939315
utahontario2_BIOCARTA_41BB_PATHWAY_weka_svm_weights_r_svm_rbf	0.6333333333333333	0.5945945945945946	0.4054054054054054	0.0	NA	0.4054054054054054	0.0	0.4632151510124242	0.0	0.0	0.0	37.0	22.0	15.0	15.0	0.0	15.0	22.0	22.0	0.0	0.0	NaN	NaN	1.0	0.5945945945945946	0.40540540540540543	0.40540540540540543	0.0	1.0	0.5945945945945946	1.0	0.0	95.89949252667546	0.4964854404509677	101.11837314428297	22	15	0.0
utahontario2_BIOCARTA_41BB_PATHWAY_weka_svm_weights_r_svm_rbf_Training_Data	0.3755656108597285	0.6854838709677419	0.3145161290322581	0.0	NA	0.3145161290322581	0.0	0.44025828485277896	0.0	0.0	0.0	124.0	85.0	39.0	39.0	0.0	39.0	85.0	85.0	0.0	0.0	NaN	NaN	1.0	0.6854838709677419	0.31451612903225806	0.31451612903225806	0.0	1.0	0.6854838709677419	1.0	0.0	101.8447652137966	0.4730643803744515	101.88058668213603	85	39	0.0
