Feature	Mean Rank
9738	1.0
5048	2.0
79959	3.0
891	4.0
80321	5.0
10844	6.0
1069	7.0
10733	8.0
22994	9.0
4957	10.0
80254	11.0
9814	12.0
22897	13.0
8655	14.0
8636	15.0
23332	16.0
10806	17.0
11116	18.0
3320	19.0
8481	20.0
11190	21.0
10142	22.0
11258	23.0
9702	24.0
27229	25.0
10540	26.0
1453	27.0
9793	28.0
54820	29.0
203068	30.0
22995	31.0
55125	32.0
10426	33.0
10382	34.0
984	35.0
121441	36.0
7840	37.0
27175	38.0
7846	39.0
5577	40.0
55722	41.0
9662	42.0
1639	43.0
55755	44.0
114791	45.0
7283	46.0
22981	47.0
55835	48.0
4751	49.0
11064	50.0
1781	51.0
10121	52.0
22919	53.0
7532	54.0
5108	55.0
5566	56.0
1454	57.0
7277	58.0
55142	59.0
84131	60.0
10383	61.0
1778	62.0
95681	63.0
5347	64.0
85378	65.0
5116	66.0
5518	67.0
80184	68.0
4926	69.0
7531	70.0
983	71.0
