@relation thedata

@attribute 1234 real
@attribute 355 real
@attribute 356 real
@attribute 915 real
@attribute 916 real
@attribute 917 real
@attribute 919 real
@attribute 920 real
@attribute 940 real
@attribute DependentVariable {BRCA,Control}

@data
5.0969811815,6.109057762,5.714184545,7.280935014,6.11956952,6.720624337,8.7285712195,7.587142037,6.411176756,Control
5.199818081,5.4568451785,6.1044474,8.193154688,6.912593359,7.355551793,9.701700705,7.564704211,5.313618859,BRCA
5.2580703925,5.8381822935,6.144867877,8.37636907067,7.731643389,8.04094875,10.17915014,7.27775495,6.037388399,BRCA
4.8089754805,5.9473627115,6.331145921,8.21299733433,7.627900667,7.285266093,10.0511208,7.757275197,5.706538322,Control
5.122460336,6.4964374115,6.16425895,8.28606754333,7.904094356,7.74183962,9.3494460205,7.922110302,5.593959684,BRCA
5.7395753315,6.60785894,5.609260937,6.930751522,6.389657687,6.529942434,8.381411497,7.239410274,6.062214149,BRCA
5.269756538,5.6801733885,5.032113243,8.51372939333,7.380766509,7.791799626,9.811707063,7.114005486,6.314112464,BRCA
5.094001894,6.0495207925,5.582112807,7.87859624933,6.876858011,6.566324756,9.1744218995,7.840024324,5.651777341,Control
5.5815958645,6.337979385,6.069858551,7.83390275633,6.663348622,6.735255184,8.5153541335,7.470071357,5.802975918,BRCA
5.494948245,5.7598219305,5.434637608,8.282150397,7.296207587,7.591674041,11.141348535,6.98547517,5.909779853,BRCA
5.476713145,6.208641296,6.110410879,8.51785897267,7.570768631,6.995713808,9.612806537,7.572626574,6.661853347,BRCA
5.274553208,6.375481896,5.613687265,7.581881758,6.88402128,6.472573571,9.0080471655,8.062317545,6.267072826,Control
5.44376233,5.903314583,5.647898183,7.36965209267,6.499212576,6.042212717,9.0364114565,7.324655646,5.612950486,Control
5.815593995,5.6600815695,5.601853411,7.90980533,7.678848562,6.149448008,9.450971204,7.340030607,5.532169853,BRCA
5.3501798975,6.0033585645,5.964982644,6.772887585,6.107798352,6.777686415,9.327483072,7.504284952,6.086301455,BRCA
5.456655096,5.5939594105,6.072969298,7.87435355567,7.259487003,7.154213379,10.315147335,7.060753003,5.476714818,BRCA
5.454992331,5.620415832,5.974650478,7.794650782,7.444975776,6.514442352,11.79381229,7.078260574,5.331822758,BRCA
5.4770915855,5.7709950315,5.963191597,8.18961236433,7.680572483,6.785946496,8.947881972,7.628739198,6.282074289,BRCA
5.2824126215,5.7781471465,6.180213143,7.67099175533,7.868808861,6.114789302,8.294422198,7.524289246,5.672857555,BRCA
5.4101039815,5.81841107,5.606894664,6.22075007433,6.848156962,7.653850253,7.8549590105,7.818200484,5.762422735,BRCA
