@relation thedata

@attribute 4087 real
@attribute 4088 real
@attribute 4089 real
@attribute 4091 real
@attribute 4092 real
@attribute 5045 real
@attribute 57154 real
@attribute 64750 real
@attribute 6497 real
@attribute 7040 real
@attribute 7046 real
@attribute 7048 real
@attribute 7321 real
@attribute 7323 real
@attribute 9372 real
@attribute DependentVariable {BRCA,Control}

@data
6.170533443,10.68629503,11.0532575,10.29378807,8.020993819,8.461204311,6.402697489,6.52916161,8.273120853,5.682300273,6.451380618,11.1277065827,4.932168974,9.04886255525,6.50467181975,Control
6.372627633,10.45921159,10.8409276,8.72948575,6.874066659,8.201463713,6.6651319955,6.186416987,8.166967861,5.101199635,6.425850025,10.8486273113,5.03365563,8.64025604375,5.884258418,BRCA
6.60179747,10.2807653,11.02832761,7.831594052,7.3666631265,8.280957618,6.310344814,6.382672115,7.733796852,5.014814152,6.18913825,10.3325384797,5.717135739,8.9246383145,6.2420233145,BRCA
6.7426452755,10.1682337,10.65863127,8.379336261,6.9710928515,7.976365247,6.363957719,6.090118375,8.740388881,4.808914358,5.673352364,9.576518828,5.249456007,8.3639902815,5.95039492675,Control
6.7719424625,9.769929197,11.06244102,8.040674833,7.680109502,8.4332945,6.1748846505,6.410201693,8.124096911,4.828848945,6.53056679,10.893048167,4.615340623,8.531981883,5.8131269045,BRCA
6.996606232,10.22471354,11.60575973,8.808434225,7.8158328445,7.818472134,6.4138825345,6.888411832,8.157600995,5.321216715,6.537921615,11.242027743,5.499695432,9.22160397925,6.6184581815,BRCA
6.786368352,10.43082915,10.12003731,8.462605665,6.7548444665,7.72720765,6.663246393,6.77840942,9.352430332,4.73770262,7.387675143,10.2865973123,5.178725843,8.2964469305,6.09198690775,BRCA
6.47982421,10.42491714,10.90767581,9.008163257,7.370300644,7.679622822,6.1008280115,6.508710401,7.964515778,5.167931151,6.018039483,10.851322655,5.07383228,9.076772582,6.40859148925,Control
6.895004248,10.30035288,11.18856429,7.712460152,7.417844963,8.140562835,6.3467928815,5.91379373,7.748915903,5.46083367,6.385953509,10.487156052,5.247558487,8.8458484785,6.235374841,BRCA
6.7272770485,10.53162541,10.84298691,8.777182254,7.0915813315,8.434608552,6.582122422,6.124747507,8.037507317,5.062004299,6.276734513,10.2302503277,4.73770262,8.80346790275,5.96169079875,BRCA
6.421738015,10.87489706,10.75143132,8.828216731,7.2192229175,8.38999815,6.2092135305,6.217623937,8.038481623,6.147057976,6.183690582,10.3983485903,5.681316606,8.67281078,5.6229262635,BRCA
6.454770335,10.17969799,11.09442761,9.240493895,7.5142450375,7.893060493,6.009683679,6.332533963,8.149672347,5.382071697,6.995289824,10.9433576167,5.760760691,8.9353793825,6.298464707,Control
6.5529715385,10.27293332,10.65306923,9.769077925,7.373551244,8.601288997,6.4151120395,6.578641107,8.338291947,5.502084908,6.460910954,10.957163474,5.162100493,8.8008051175,6.598984357,Control
6.1525984655,10.40859541,10.79459886,8.007981913,7.043230672,8.436004724,6.612198624,6.11187183,7.641421617,5.115003321,6.352798794,10.7426136877,4.458724733,9.05184921075,5.90755464775,BRCA
6.874519166,10.55937736,10.92510768,9.846603446,6.7708678745,7.518498011,6.270492624,6.11894691,7.763014999,4.924350826,6.43304759,10.852317469,5.808521004,9.25615006925,6.03675135275,BRCA
6.627057127,10.55420777,10.7377039,8.79952539,7.0819860465,8.340875026,6.4370236,6.055397005,7.646560735,5.605710071,6.665126693,10.211321263,4.931459981,8.80098146275,5.555252801,BRCA
6.402383265,10.66841992,10.63715491,8.077484859,7.349938213,8.448705991,6.4903392755,6.06512595,7.520129761,5.66449084,6.174232248,9.906558606,5.226519366,9.11244812125,6.0233210635,BRCA
6.587465623,10.44034522,10.67427198,8.68863596,7.202597889,8.364332902,6.504711949,6.084920637,7.535860745,5.37574431,6.817882628,10.012841776,5.406342144,8.94346215275,5.7427537585,BRCA
6.5239716815,10.53098201,10.66574031,7.232279709,7.2776412805,8.721869154,6.5142032995,6.011904408,7.532124306,5.19062597,6.449607283,10.0676639323,5.250593322,9.0846237905,5.9397288265,BRCA
6.867288967,10.55871514,10.11653277,10.03355416,7.098744046,8.554369289,6.9344759175,6.130936659,8.920026109,5.716038325,6.861555705,9.30348832867,5.377654117,8.627349539,5.577995128,BRCA
