@relation thedata

@attribute 10371 real
@attribute 2242 real
@attribute 23396 real
@attribute 2534 real
@attribute 27289 real
@attribute 5361 real
@attribute 5362 real
@attribute 55558 real
@attribute 5879 real
@attribute 6237 real
@attribute 7094 real
@attribute 8829 real
@attribute 91584 real
@attribute 9855 real
@attribute DependentVariable {BRCA,Control}

@data
7.743759193,9.792831413,10.17096442,9.2289642325,8.99900014,9.04464761,6.442740861,8.287228851,8.85850435833,12.60891324,10.9484368,10.158127895,6.139557107,7.449646227,Control
8.276811994,9.972305339,10.56803712,8.8907159655,7.013074525,8.83564079,6.107327595,8.148376321,9.23532012167,11.94269603,10.35004996,9.137476819,5.372787809,7.587498371,BRCA
7.286698963,9.533437358,10.27665401,8.275073194,6.547670085,8.737501821,6.18913825,7.90251248,9.280236709,10.99298809,10.20981921,8.616895971,5.469732364,7.413926432,BRCA
6.966479856,10.1090997,10.63491565,8.08464112175,6.800741793,9.085698921,6.323194968,8.803470139,9.422761191,11.64851725,10.43742988,8.2676729985,5.30196368,7.925926933,Control
8.324744376,9.680329247,10.32819838,8.34620788925,6.289378595,8.562730038,6.119673262,8.518791936,9.29741101033,11.70655442,9.987545106,9.144599091,5.846249617,7.414898982,BRCA
7.918477361,9.819365272,9.844219734,8.716652398,8.157600995,8.703316278,5.969767112,7.702278545,9.14697742367,10.98249473,10.55627639,10.134166214,5.79064906,7.670870646,BRCA
8.402085935,9.790479288,10.93816836,8.39165280725,5.873451033,9.879085849,5.66903474,8.852499177,9.62804284167,11.28199972,10.32302692,7.834786368,4.713162871,8.583798412,BRCA
7.797176966,9.352739287,9.805502513,8.80415305075,6.202570157,8.616430414,5.982771878,7.743893804,8.82865486733,11.76088636,10.49035982,9.863085986,5.083438106,8.152476418,Control
7.373259136,9.402735565,9.827843283,8.0162301535,7.567844162,8.298281562,6.127793825,7.988799878,9.29235500067,11.27294773,9.984080577,8.737701857,5.281894103,7.165914764,BRCA
7.777684566,9.464102115,10.62563148,8.42904151725,6.835675032,8.601288997,5.956644051,8.661084302,9.23513699733,11.87114877,10.50808719,8.911799081,5.883749862,7.65478123,BRCA
8.656783369,10.04541878,10.20626383,8.9502413505,6.484948231,8.597718431,6.499212576,8.678425073,8.92818876867,12.20145783,10.87277127,9.2948509005,5.123305363,7.930857249,BRCA
7.398617851,9.401200125,9.894151244,8.477755757,6.940933492,8.173503659,6.227669487,7.669064202,8.97755484267,11.94088626,10.38874414,10.0002065505,5.201056716,7.699539704,Control
8.397504713,9.670745253,10.06419075,8.5293685075,6.993564335,8.509419853,6.097300677,8.215958981,8.882604615,12.45678569,11.16338255,9.9281851165,6.47151722,7.327106013,Control
7.386080459,10.16124563,10.76155147,8.5706565075,6.494500115,9.877656504,6.114268757,9.702986948,8.867882958,12.04910329,11.32350252,8.832306626,5.481404906,7.810348506,BRCA
7.748010194,10.18422484,10.72489348,8.93480514275,6.54048116,9.92487229,6.086301455,8.778833709,8.552349278,10.97417815,10.42478333,9.6690879865,6.2085325,7.827852559,BRCA
7.32591507,9.697975811,10.20761871,8.1157153055,7.7743936,9.507616831,6.342701959,9.139564862,8.787767491,11.966264,10.80365511,8.771707186,5.482696044,7.570123478,BRCA
7.297744257,9.749777737,10.51017103,7.9997957695,10.29228169,9.619138373,6.142827586,9.362930698,8.934366304,11.70577504,10.88922276,8.473825855,5.769514729,7.503032882,BRCA
7.409584255,9.385178158,10.28510773,8.34669283075,7.005852233,9.258413586,6.29655434,8.887647971,9.01840760867,11.95778233,10.80905688,8.945314097,5.388026974,7.582144099,BRCA
6.95239509,9.778192608,10.77710346,8.21665827025,6.965931792,9.151613494,6.351695128,9.41509797,9.258466301,11.80942059,10.86047424,8.316603575,5.238988625,7.414814438,BRCA
7.825835106,10.59849016,10.67450813,7.74146486825,7.159924617,9.136145956,6.018707189,7.565846802,8.91017192567,12.53830178,11.58959862,7.5528271515,5.167730486,9.55198751,BRCA
