@relation thedata

@attribute 169355 real
@attribute 2150 real
@attribute 23236 real
@attribute 2776 real
@attribute 3039 real
@attribute 3040 real
@attribute 3043 real
@attribute 3045 real
@attribute 3250 real
@attribute 335 real
@attribute 3383 real
@attribute 3458 real
@attribute 355 real
@attribute 3553 real
@attribute 356 real
@attribute 3569 real
@attribute 3586 real
@attribute 3592 real
@attribute 3593 real
@attribute 3606 real
@attribute 3620 real
@attribute 3910 real
@attribute 4615 real
@attribute 5330 real
@attribute 5331 real
@attribute 5332 real
@attribute 54106 real
@attribute 5578 real
@attribute 5579 real
@attribute 5582 real
@attribute 6401 real
@attribute 7064 real
@attribute 7124 real
@attribute 7412 real
@attribute 8542 real
@attribute DependentVariable {BRCA,Control}

@data
5.464840793,7.656660937,6.8772890085,9.668318219,14.89141327,14.20597115,14.65075364,6.141397664,5.5381597585,5.287261033,5.250214317,5.676529235,6.109057762,9.000106455,5.714184545,13.60771409,8.621509826,6.597386379,4.636656248,13.61228456,7.366412106,9.9370151895,9.4642502,7.476788978,5.876585242,6.9141724395,5.412113573,8.688181342,6.21136540967,5.313256056,8.0750153535,8.881298397,8.519696323,8.07772679633,6.4506420375,Control
5.633294061,7.6259565305,6.8906417385,8.930930318,13.90066922,13.2267238,13.62992806,5.40668228,5.869188284,4.752897783,5.652207716,5.277995204,5.4568451785,8.25032344,6.1044474,8.608616259,9.0225626735,6.147057976,5.272407006,14.36769016,5.049534115,8.801453058,9.905361101,7.453231788,6.036839159,7.100683958,5.359671604,9.433471275,6.479820979,5.115003321,6.6993817635,9.321195924,7.177920594,7.24691632933,5.81294915,BRCA
5.905393774,8.475698669,6.771545835,9.213384421,14.02580012,13.44437567,13.59822064,5.535750687,5.500088522,5.161092822,5.724112195,5.336114869,5.8381822935,8.349592102,6.144867877,7.664022547,8.5481499285,6.608332915,5.379561399,14.05593823,5.515393331,7.1871764155,9.70697128,7.462177348,5.98687237,6.8982166245,5.651633855,8.48506563,5.889051372,5.434470814,5.8323785675,9.593774448,8.414834386,7.63218285233,6.104873731,BRCA
6.040679456,8.2515712815,7.226006717,7.435526765,13.58212966,13.13392329,13.0288437,4.754101184,5.852736956,5.62000808,6.125832527,5.464840793,5.9473627115,7.718260793,6.331145921,6.879402901,8.7223001635,5.82808014,5.412113573,14.45988849,6.756826906,8.1189968445,9.766156644,7.601141445,6.1476177,7.2768077175,6.225261069,9.211511834,6.312672729,5.36790503,6.2096398735,10.2800983,8.370459788,7.136062181,6.0667876225,Control
6.175530214,9.176961807,6.848015995,9.924501194,12.47196608,11.77608148,11.9684077,5.586322838,5.538686611,5.368603583,5.190230876,5.115211455,6.4964374115,7.361595391,6.16425895,6.192791506,8.63491322,6.568568473,4.805822905,13.90840625,6.472817234,8.65547585,9.855452948,6.773076963,5.887775801,6.6548276045,5.776374632,8.977409535,7.50900425433,5.333791561,6.4027685645,9.089067163,6.675961001,8.760944586,6.191100975,BRCA
6.114685208,8.0914711865,6.727722821,10.54993411,13.57316849,12.79172868,13.46969908,5.151991962,5.711643218,5.202134845,5.923750128,5.298302041,6.60785894,8.525208673,5.609260937,10.84461576,8.5984358945,6.123713395,4.790265497,13.58466312,6.026363672,9.347397084,10.48083592,7.658927519,5.94872421,6.9752829565,5.256643908,8.467749328,6.98490046733,4.940884687,8.0932205485,9.164342007,6.320264091,7.97951833233,6.17609969,BRCA
6.413421135,7.138591387,7.4861886795,7.39744174,14.61254488,14.18524172,14.55659977,5.899484569,5.486333024,5.472984221,5.229406468,5.213941395,5.6801733885,5.250782787,5.032113243,6.331772944,9.1479749325,5.850631456,5.328236218,14.600699,5.486079796,7.8410433245,9.530631222,6.111350232,5.48205062,6.945356743,5.71384099,9.024558716,6.81582852467,5.832707292,6.0295344665,10.03475121,6.423120638,8.35458352167,6.2800094325,BRCA
6.193087311,8.196728483,6.719520862,9.665460782,14.80269307,14.04737959,14.26763347,5.176333993,5.599211999,4.29432028,4.759970032,5.989996857,6.0495207925,7.134583224,5.582112807,10.45145612,8.2346108605,7.117464214,5.256643908,13.48222565,6.901292687,8.942056513,9.695555047,6.898937271,6.202570157,6.5861642735,5.870741528,8.419813926,6.87117032933,5.495064524,5.7188226725,8.761053454,6.14308278,8.34799793867,5.4796299155,Control
5.536838744,8.8823081985,6.995146243,9.303998235,12.90439101,12.23565236,12.7645524,5.346612346,5.8513567415,6.078850631,5.659076304,5.178725843,6.337979385,9.153147365,6.069858551,10.12252426,8.326192676,7.818711782,4.809043025,13.46969908,5.639529738,8.2456295,9.573046472,7.321975714,5.352274105,7.024481502,5.59156816,8.419971893,6.13414385767,5.606746643,6.5953012555,9.65934534,8.252974189,8.260992009,5.8891122605,BRCA
5.850006293,7.877938346,6.432879816,8.352640608,14.91431039,14.44356588,14.70323068,5.731733958,5.618626215,5.630093262,5.391983545,5.114586962,5.7598219305,6.678428044,5.434637608,7.723389827,8.946522269,5.69321599,4.314057196,14.24008548,7.243129047,9.119176652,9.269361142,7.469827229,5.586623085,7.1430110225,5.605858198,8.01888328,6.39658479233,5.139972076,6.0246519895,9.729417293,6.105390642,7.44841126567,6.7023130275,BRCA
5.372961888,7.129007453,6.4844860445,6.808774778,14.42653276,13.71793344,14.15265365,5.89185128,5.4064426625,6.073719165,6.278129404,5.77657203,6.208641296,8.823033698,6.110410879,9.620715209,8.8805531315,6.371476641,5.211023147,13.88385421,5.89185128,10.206726031,9.630713575,7.616550911,5.199683385,6.8672911265,5.387510099,8.202296649,6.39932068633,5.996621069,6.8686221495,9.796364594,6.992205122,8.36555046,5.970028436,BRCA
6.356324862,8.0922726865,6.6696596965,9.546605663,13.84737503,13.06490613,13.54172225,5.135464327,5.3289938005,5.563166712,5.65306808,4.921497326,6.375481896,8.814719539,5.613687265,10.86030351,8.629169544,6.861865828,5.622060057,13.86848405,6.192939416,9.3222193395,9.909466033,7.210454923,5.628781795,6.6906065225,5.179920282,8.474558864,6.68769140167,5.507010655,6.0981082295,8.648933758,7.871691396,8.73512390433,6.171490194,Control
5.957921126,7.4327022365,6.8308282135,9.998851701,14.42029878,13.86848405,13.60139652,5.442952823,5.939247929,5.612950486,6.003552345,5.303243061,5.903314583,7.972263464,5.647898183,11.58397843,8.100279525,6.342079669,4.997530935,13.42739342,7.019037798,9.3859954115,9.531343017,7.225668073,5.637792259,6.47943359,5.848755155,8.584390499,6.24070564267,5.499695432,6.7974526965,8.928141645,6.162699096,8.26673643233,5.8794718745,Control
5.827953159,7.398284041,6.0566410755,9.061277435,11.3294966,10.07879165,11.46908991,5.545359333,5.737401161,5.363706598,5.726293954,5.196047562,5.6600815695,7.25221866,5.601853411,8.333559164,8.0593538555,6.424674922,4.693784032,13.44910353,6.460665271,7.6152573625,10.01320441,8.314312607,5.427447991,6.1256933725,5.325000691,7.646632733,6.35314852433,5.292792099,5.857791136,10.14854685,5.841225451,7.55920272067,6.2468054795,BRCA
5.818908863,7.640807645,6.1713175965,9.803614982,12.5093322,11.75371412,13.20549015,5.617953179,5.7097802225,5.007208117,6.147312423,4.702259784,6.0033585645,7.254369939,5.964982644,7.561137318,8.1004276705,7.469094598,4.481826553,13.2860567,6.930918032,9.1976298995,9.847089115,7.715929611,5.661643617,7.150427771,5.666480557,7.883225397,6.73899581333,5.670168482,6.1058187865,9.791985416,5.923868951,8.845032775,6.148328286,BRCA
5.217435519,7.6061155495,6.211869299,8.90929393,12.05450776,11.06828976,12.07863128,5.346257748,5.6578204945,5.264922245,5.870618247,5.131765663,5.5939594105,8.923402608,6.072969298,6.535668564,8.34204317,7.799671995,4.735808811,13.09148337,5.115003321,7.763838099,9.757607158,8.095424881,5.276693226,6.6456791705,5.573807162,8.420129842,6.39469361333,5.558582385,6.154571457,9.603413599,7.264445239,7.756862813,5.931125976,BRCA
5.325090664,7.3943535655,5.8868527975,8.5896522,12.25622352,11.4091179,11.97837451,5.452044542,5.626117439,5.638733653,6.067010094,4.923400286,5.620415832,10.52528127,5.974650478,10.18060575,7.8964651425,6.888746673,5.179920282,13.15586736,5.038272922,7.5974834745,9.995046727,8.03491053,4.800655715,6.090948927,5.561487483,7.621284726,6.135427533,5.391811746,7.3461644945,9.856531013,6.665268844,7.31795544933,5.448998168,BRCA
5.510417048,7.5916893165,6.0972822555,8.886520521,12.36339568,11.42710081,12.24985722,5.281801394,5.667633347,5.530766234,6.381807349,5.568952692,5.7709950315,7.974186731,5.963191597,8.411575733,7.6852114755,7.360761781,4.96464266,12.49153253,5.007208117,8.4890405005,9.86581875,7.95691498,5.321757891,6.3105461925,5.931926036,7.779918143,6.82794277033,5.446761787,6.416274815,9.668318219,7.183985468,8.277693489,6.110905294,BRCA
5.652781349,7.294305955,6.0356141115,8.45292188,13.28052217,12.26909023,12.80969082,5.606154407,5.935413444,5.622206516,6.298892537,5.682019293,5.7781471465,8.186474713,6.180213143,7.543536723,7.728983218,6.876182709,5.246228736,12.50251243,4.613574062,7.7831345875,10.14810827,8.341164221,5.532793245,6.1597871345,5.829095581,7.098719371,6.69079792733,5.836562468,6.1383725425,9.844219734,6.778573689,8.22433804633,6.0590014915,BRCA
6.303329264,7.289896142,5.0579964415,9.284894137,12.99332148,12.95342354,11.15202194,4.879597034,5.8254822785,5.052688948,6.482691508,4.96556642,5.81841107,6.824675979,5.606894664,8.685494426,7.9403482215,6.207019812,4.71233763,11.01241872,5.753023652,6.842843372,10.66050207,8.136146677,5.255700175,7.305777696,4.891432858,7.791197286,6.127634878,5.91922759,7.007439457,10.15068061,5.97155002,7.380815007,6.5379101595,BRCA
