@relation thedata

@attribute 1022 real
@attribute 1069 real
@attribute 10714 real
@attribute 1161 real
@attribute 1642 real
@attribute 1643 real
@attribute 2067 real
@attribute 2068 real
@attribute 2071 real
@attribute 2072 real
@attribute 2073 real
@attribute 2074 real
@attribute 2965 real
@attribute 2966 real
@attribute 2967 real
@attribute 2968 real
@attribute 29935 real
@attribute 3978 real
@attribute 404672 real
@attribute 4331 real
@attribute 5111 real
@attribute 54107 real
@attribute 5424 real
@attribute 5425 real
@attribute 5426 real
@attribute 5427 real
@attribute 56655 real
@attribute 57804 real
@attribute 5886 real
@attribute 5887 real
@attribute 5981 real
@attribute 5982 real
@attribute 5983 real
@attribute 5984 real
@attribute 5985 real
@attribute 6117 real
@attribute 6118 real
@attribute 6119 real
@attribute 7507 real
@attribute 7508 real
@attribute 8450 real
@attribute 8451 real
@attribute 902 real
@attribute 9978 real
@attribute DependentVariable {BRCA,Control}

@data
9.361681261,12.14240395,7.2083497295,5.98923741275,9.28863507075,6.645049976,9.188663982,8.220113618,10.0776573,6.3552688025,10.8503707,6.023427942,6.107234293,5.474931823,8.439499644,10.43957668,6.59544818,8.306085763,11.76843466,6.69676284,7.30666968733,12.09842044,7.558728975,12.66507944,7.905163024,7.168850407,12.18335943,8.824450546,11.17150852,9.849237412,8.7287213215,6.4996565905,6.65416022267,8.8069355085,7.105454747,10.83471386,11.61752958,10.66108355,6.002877587,11.01901053,8.491596928,8.41478984433,8.45525079,10.96486087,Control
9.155780297,12.20355304,7.3078710955,5.671599723,9.382637282,6.494940064,8.87572558875,8.497094498,10.50841903,6.408355982,11.24175993,5.469081112,6.586162299,5.210049084,8.965352223,9.94572954,6.81198833,9.214775128,11.42258795,7.086882265,7.18042006333,12.28769659,7.88603356,12.99332148,7.56639873,7.041826475,11.96427598,8.865378449,11.47190394,9.747668991,8.46553658,6.4959528655,6.803627506,8.3511951665,7.5130075585,10.800436875,11.88379655,10.48441034,6.374174967,11.56978693,8.254613967,8.48631951,7.832012647,10.89468537,BRCA
9.394656215,12.20355304,7.33191487,5.76207503975,9.370427593,6.857020303,9.4100312975,8.892012333,10.71269919,6.4049587985,11.18453773,5.7913656,6.582656103,5.664561948,8.580466923,10.27514127,6.899994664,9.862320087,11.10966436,6.839081327,7.63223048933,12.41833894,8.575114814,13.23568448,8.099283532,8.010949209,11.79461296,8.72987657,11.27393851,9.348673457,8.908217113,7.0004963375,7.26523884267,9.396101263,7.613135391,11.330452225,12.02968073,10.72737618,5.770175754,11.5269639,8.525535024,8.676459545,7.667131787,11.00293473,BRCA
9.99050151,12.08138533,6.472480484,5.44909299075,9.1882839575,6.866076894,9.282287986,8.85164062,10.43052602,5.8412655795,10.98412667,6.424087011,6.970019164,6.002540089,7.704562712,10.44466839,7.123296633,9.825110289,10.92851118,7.265055029,6.55166353833,12.60891324,9.123553123,13.52549699,8.251862414,7.627900667,12.17272761,9.24062507,11.80901857,9.261261134,8.594608411,6.4544177505,6.47039307033,8.859174667,7.7690752125,11.057611095,12.38193096,10.83441597,5.171138007,11.43596985,8.021716204,8.61834041667,7.517316273,11.11718547,Control
9.627078354,12.11321645,7.2216641085,5.729943951,9.2360283925,6.134329409,9.282575993,8.312657375,9.889641277,6.0308847905,11.05169516,5.607338636,7.045217151,5.206341637,8.732388881,9.47543003,6.667115534,8.767556421,11.16600002,6.867961695,7.35432909133,12.31128435,7.821010387,12.73729283,7.31664612,7.098298285,11.84868564,8.91062109,11.6627575,10.17351822,8.8095545205,7.0312218105,7.072920173,8.74540583,7.403741513,10.93374845,11.96009799,10.45090222,6.117700885,11.57537865,8.632920517,8.465489011,8.195898639,11.46239505,BRCA
9.01498366,11.82418918,7.523174648,6.00430999675,9.695129357,6.41193939,8.85686059575,8.645353223,10.75975321,6.4132325025,10.9376315,6.249071368,6.922969386,5.527329405,8.769772669,9.72642302,6.578490159,9.430484502,10.07218659,6.499332184,7.408697217,12.64120964,8.467973436,12.65702034,8.336909437,7.395150919,10.82382918,7.992656742,10.91950976,10.45470056,8.81729114,7.138537016,7.68158217733,9.358156732,7.0064152045,11.641461875,11.54965727,9.132050545,6.020708453,11.88081762,9.093031217,8.69550353333,8.0884774495,10.11198692,BRCA
9.547121611,12.23236854,6.6588492955,5.31781740375,9.70044005225,5.460260315,8.88063195375,8.838495753,10.0173308,6.5872881545,10.97255645,5.455665247,6.719438847,6.082580853,8.357575234,9.822443813,6.497057936,8.95908991,10.65628209,5.895672973,6.44602920733,12.39881323,8.346005182,13.63244094,7.690279365,6.452575359,11.99297383,9.121676695,11.68315485,9.250826081,7.738491062,6.220650197,6.54805513767,7.4871109445,7.0904318015,10.3458464955,12.52245777,10.38702135,5.751283781,11.49170796,8.0038435175,8.01699249233,7.0980443305,11.10530635,BRCA
9.825825817,12.29746809,7.325273656,6.4364185585,9.079293666,6.299625309,9.45367708375,7.900747773,10.17798975,6.169888467,10.549732,6.616552979,6.479895483,5.520745364,8.78938784,9.751904322,6.167122676,9.111501597,11.81753744,6.573196985,8.02092389867,12.0199261,7.539955806,12.59766508,7.956610113,6.995289824,12.10871075,9.20124246,10.87994333,8.938213094,8.303306849,6.9810465865,6.93605146533,9.1247667975,7.5927585855,11.06229666,11.90810746,10.88785292,5.551370856,11.16600002,8.588868621,8.75905363033,8.2150115435,11.15845524,Control
10.15470456,12.35961925,7.244781381,6.10800944,9.197656891,6.653207393,9.7162674425,8.755431019,10.24019539,6.350290065,10.99419451,5.982201443,7.1126508515,5.082799703,8.620110863,9.751444107,6.640032041,9.394248914,11.67867508,7.327824597,7.82590120133,12.5708958,8.608200408,13.17297049,8.048106907,7.782983675,11.97488965,8.811664588,11.16642377,9.561608303,8.9257842175,7.2222320135,7.65912161233,9.70168359,7.7796863265,11.49735519,11.92126273,10.77226531,5.835425946,11.07481734,8.676463397,8.82094804867,8.2231503775,11.16113206,BRCA
9.154553037,12.29684318,7.099785483,5.652080806,9.154795135,7.181105347,9.004615212,8.379801934,10.10676612,6.2036937575,11.17080781,5.442621133,7.07342704,5.287630431,8.305344864,10.12301596,6.536368163,9.143141549,11.69692854,6.996504912,7.315615812,12.25692522,8.45693048,12.92825655,7.391761545,6.840718531,12.17272761,9.25541878,11.58622772,9.377612436,8.7210455935,6.8236640905,6.42676862133,8.509561114,7.4371940695,10.656153568,12.52742331,10.47860813,5.846751073,11.62135377,8.228862775,8.35240614633,8.1149854775,11.1379023,BRCA
9.6014742,12.14433968,7.463332523,5.37892543225,8.69978708025,6.839081327,9.53272454825,9.204131621,10.65722043,5.8030248085,11.23824666,6.80361816,6.858718118,5.171538364,7.676452764,10.34768534,6.798896608,9.309431518,11.39624368,7.173305173,7.19178534067,11.96367651,8.833563055,13.07564465,8.622089465,7.713319706,12.44389288,9.427680085,11.59972937,8.811375597,8.906142604,7.1596856165,6.23579617167,8.8655786105,7.2999723835,10.87490854,12.53830178,10.35810202,6.411727587,11.48011881,8.307133539,8.59592696067,8.174296834,11.01901053,BRCA
9.65659519,12.22131078,7.1852972805,6.046814128,9.5174660655,6.0664182,9.072729628,7.815256994,10.16944939,6.369285011,11.01404508,5.84925574,6.7861813475,5.37574431,8.933248873,9.399502844,6.553902353,8.824657385,11.90369558,7.443588263,7.66789353567,12.23798527,7.324543144,12.68199828,7.321637554,7.322110956,12.18094263,8.66980731,10.99101531,9.612141036,8.716427139,6.8101934035,7.04973393733,9.023735752,7.544617301,11.11875956,11.75528414,10.88129775,6.456851828,11.11057321,8.645554837,8.73401087833,8.4740299995,11.44340995,Control
