ID	55157	79587	5917	6301	57176	51067	16	7453	3035	2193	54938	57038	4677	23395	10056	57505	8565	79731	2617	55699	3735	10352	123283	51520	7407	25973	3376	833	92935	80222	51091	123263	6897	1615	118672	23438	5859	124454	4141	10667	2058	DependentVariable
Instance1	7.67246269	7.108213734	11.12769149	9.202485753	10.18121784	10.12277013	12.35836419	11.225708785	10.93699877	8.527067524	8.002535343	10.4054024	10.98367433	7.773569684	10.331338604	8.572009618	10.82582957	8.016392025	11.21785793	11.41001948	10.10138519	5.771100681	6.8307089	10.52975779	6.83624178375	5.619861398	7.5649494475	8.6701719665	6.8180915925	7.410580934	6.634612319	6.517095321	9.158850196	13.25344278	6.672782877	10.1173058	12.98742218	8.480952861	8.476382827	10.03126048	11.93257475	Control
Instance2	8.195262847	7.032103943	11.36247141	9.065686152	9.442410225	9.928970257	12.41617348	10.844042685	11.17208697	8.70989467	9.004516227	10.55192478	11.34349681	7.92068204	10.894347115	9.099519506	10.91047056	8.128382501	11.42903544	11.24301642	10.27030734	8.138106815	6.612061707	10.44517037	6.992355184	5.773212576	7.891835239	8.713783424	6.6164794605	7.5453142	6.520393073	6.768328282	9.363494782	13.64744159	6.718194209	10.74006345	13.34055118	8.883942361	8.118657079	9.993561549	12.02694363	BRCA
Instance3	8.176423915	6.743929347	11.6188926	9.061189663	9.705218147	10.15270033	12.44389288	10.563932945	11.3537149	8.845098843	9.520668337	10.36865954	11.20749043	8.523739464	10.6329191455	9.209758642	11.07296681	8.115760429	11.40394419	11.27204377	10.71640389	5.438967501	7.135045173	11.14549296	6.988105476	6.889051006	8.165733327	8.5117252785	6.7589382085	7.800869372	6.3522870675	6.5270815175	9.439405556	13.78618183	7.290620516	10.62715107	13.69898245	9.116110723	8.303599401	10.35987613	12.28941816	BRCA
Instance4	8.881153068	8.072107308	11.69069438	9.075372932	10.32957805	9.674898929	12.7347446	10.85260783	11.77105209	9.565350184	9.260196903	10.20252214	11.10294695	8.055487334	10.1782122685	9.324226193	11.31587145	8.266787858	11.12873886	10.86620503	10.77735008	5.407702206	7.590458165	10.69048718	7.293153349	7.489167837	7.4345854795	8.5319149305	6.6331033035	7.970308868	6.2128762635	6.6194555355	10.0034902	13.78618183	7.439916311	10.8507848	13.80179072	8.800140445	8.616430414	10.45834538	12.15122597	Control
Instance5	7.925556109	7.559035019	11.14476675	9.789998625	9.640182167	10.41142654	12.26503342	10.80894147	10.64225055	8.40009078	8.34245377	10.18382799	11.30927755	7.495377629	10.484209801	8.931846371	11.03306523	7.885118455	11.86693899	11.24651217	10.89969322	8.485629214	7.07087531	11.07134187	7.09810511075	6.702834562	7.859556644	8.940072489	6.785164346	7.930857249	6.450560288	6.3943666325	9.866278672	13.70458133	7.003774032	10.30739469	13.65917147	8.631578266	8.262201898	10.17764724	12.15122597	BRCA
Instance6	8.219968468	7.155959474	11.61973409	9.952283008	10.40186112	10.36457548	12.59868303	11.217182255	11.01447057	8.309761823	8.857670911	10.44585319	11.84160377	7.839520524	10.770094075	8.456345302	11.31639767	8.48631327	12.09367844	11.90502978	10.80850192	8.253411568	6.61574411	11.13649152	7.19565685025	6.089906589	8.312147156	8.9013673735	7.709869293	8.000902987	6.7325744335	6.7593017615	9.989394899	13.79334119	6.462834023	10.02278431	13.87385551	8.278683064	8.595538276	9.732744526	12.35836419	BRCA
Instance7	8.410834102	7.834346409	11.33051934	8.886962465	10.90604899	9.571942743	13.0381217	10.985933675	11.55749974	8.953397026	9.405376108	11.24175993	11.85376385	7.248831584	10.4149549525	9.82934264	11.71363365	8.348994901	11.44938612	9.583572263	9.936402792	8.548755575	6.314112464	10.77656897	7.35380487475	6.825598426	7.2989102995	9.1829497	7.151707634	8.633341407	6.532326766	6.7162105265	9.516695351	14.17756905	6.822287601	11.28858078	13.75810714	8.85945801	7.846933787	10.3906422	11.52544754	BRCA
Instance8	8.102515268	7.382929013	10.82755134	9.534264516	9.953578497	10.38986015	12.24572955	10.608166365	10.86896549	8.023506434	8.548572569	10.57244471	11.03059147	7.865827785	10.5390413485	8.818774784	10.78864516	8.092124337	11.0799649	11.24266817	10.68460862	5.682019293	6.715210855	10.75607697	6.90658961075	6.053769117	7.8993448145	8.3706028935	6.715078527	7.269105927	6.404214398	6.8891315025	9.375289885	13.37131522	7.156262928	10.42373077	13.06629278	8.562396156	8.427167336	10.09533805	11.90965135	Control
Instance9	8.19761126	7.877393233	11.40257259	9.979418452	10.24263856	10.27514127	12.40655986	10.76660432	11.0249286	8.759165094	9.291833246	10.06332804	11.70800194	7.562645263	10.6336621305	9.122000391	11.30662298	8.638129173	11.74370273	11.48354892	10.83114513	5.883872025	6.682998532	11.7044031	7.185272818	6.986129665	7.927072787	8.6855140365	7.165582062	8.004727673	6.6899147085	6.6902614525	10.21367569	13.59313376	7.161361499	10.23164154	13.82037647	9.161560926	8.627160965	10.46466855	12.43207997	BRCA
Instance10	8.034690481	7.925926933	11.11317258	9.905109092	10.03937186	9.93964941	12.59868303	10.815856815	11.11140976	9.04967237	8.791277783	10.65051801	11.50137708	8.04094875	10.702378005	9.614636753	11.07032913	8.435150511	11.89259415	10.85124954	10.35112727	8.022868681	7.123322502	10.80616717	6.9889101295	7.015418188	7.452412626	8.818984926	6.321334851	8.136992553	6.4931417875	6.4003601505	9.315976624	13.59313376	6.970684363	10.43894285	13.35514394	8.516567879	8.595333135	10.55403266	11.92604216	BRCA
