ID	3725	9530	841	8517	4796	7124	330	6416	7186	8772	8837	8737	8717	7182	329	4215	10928	6885	7133	836	7132	7128	4791	4790	4793	4792	4795	4794	DependentVariable
Instance1	14.72492149	7.2304857115	5.6639776582	10.2072374	5.201056716	8.519696323	9.50184663267	8.585478725	7.722570406	9.964760013	11.98737426	9.943694688	8.13891188267	6.322383937	10.1203149015	7.727140233	9.377872676	9.487800372	8.084942721	7.931813168	12.08918571	10.89735788	6.613275006	12.34771002	6.709066159	15.00532806	6.192791506	6.748330821	Control
Instance2	14.11502538	7.646662423	5.8528914586	10.39985497	5.648473532	7.177920594	9.90022641533	8.106593131	8.156008632	10.15158143	12.5292244	10.07879165	7.57672874133	7.151552216	9.6275956935	7.609246281	9.253115391	9.4310771815	7.532124306	8.1988449165	12.001308	9.536461479	6.847355026	12.34109771	6.373840507	13.91249272	6.22776574	7.391761545	BRCA
Instance3	14.41297137	7.1997887055	5.7897319854	10.04121461	6.234487549	8.414834386	10.2655236773	8.6701660175	8.551997661	10.64474883	11.86027624	9.929872764	7.91175192233	6.690001901	9.7717912665	7.4638150875	9.361132921	8.9013859115	7.074920481	8.03923302	11.63162057	10.07659888	6.882157689	12.51631937	6.74855168667	14.51605303	6.053334703	7.403653582	BRCA
Instance4	14.08054111	7.656293033	5.6257131728	10.50969117	6.056697995	8.370459788	10.2724422663	8.231806127	9.141437341	10.26616024	12.50251243	10.01119619	7.18497456933	8.078352484	9.477837206	6.539903837	9.850210723	8.417672848	8.059386544	8.049352819	11.41027128	9.301536849	7.43686989633	12.26985874	6.91424652367	14.35403309	6.605705905	8.142746712	Control
Instance5	13.43392773	7.499193841	5.7767472574	9.78258103	5.699476154	6.675961001	9.404843943	8.6043275615	8.106250323	10.77308997	12.26224618	9.484878832	7.786651762	6.506054132	9.3861165135	7.0459737065	9.356210469	9.2133861525	7.497654525	8.040914571	11.76197512	8.967688197	6.867992672	12.37603319	6.52162721267	13.73047547	6.823052312	7.427105645	BRCA
Instance6	13.80946823	6.775472276	6.1557894346	10.54285319	6.068676855	6.320264091	9.51612918533	8.9337864765	7.922110302	10.34100757	11.64430934	10.12499078	8.01981551	6.678498469	10.3317089185	7.516631177	9.291666361	9.9163703245	8.260238737	8.276164252	11.96720294	10.31472516	6.82836121733	12.87483063	6.160625593	13.77694807	6.248027763	7.759191003	BRCA
Instance7	13.91249272	8.589382972	5.645039366	10.10111594	5.654644083	6.423120638	10.4052109017	8.457614913	8.283761058	9.911339974	12.89557628	9.601752743	6.84780819533	8.246765682	10.214895946	6.6799591085	9.991267129	8.575344218	7.800739973	8.3070644095	11.42772678	9.257317784	7.129972705	12.52075501	6.344653246	15.02279519	6.003271234	7.435068318	BRCA
Instance8	13.96294256	6.780637691	6.1264922834	10.4077487	6.220915761	6.14308278	9.25162105967	8.519260169	7.748127633	10.36365325	11.28307404	9.671351374	8.008015864	6.211553127	10.0771995225	7.490035246	8.685494426	8.9471097785	7.711014946	8.3666695385	11.92850738	10.35735437	6.370347138	12.20475003	6.20271008933	14.22362506	6.744434014	6.971661738	Control
Instance9	14.44356588	7.2078722295	5.8838277246	9.861979055	5.950124992	8.252974189	9.76997316367	8.505661469	8.550151431	10.67652155	11.75034492	9.108531726	7.927182045	6.792989118	9.6996756995	7.0317903905	9.697254787	9.204869818	7.59152445	8.288078818	11.36056745	10.15313434	7.15645079333	12.42766909	6.496869675	14.37348409	6.729828466	7.718706032	BRCA
Instance10	13.15952927	7.8772033795	5.7581840748	10.22738163	5.825538406	6.105390642	8.98711892533	8.616861979	8.509301078	10.1525514	12.5617021	9.863923404	7.73106613	6.593283266	9.526270562	6.992861854	9.657095607	8.9430429875	7.286837552	7.806017873	11.57911804	8.773379189	6.83844174133	12.09766027	6.537366551	13.54172225	6.427443278	7.388170429	BRCA
Instance11	14.17314893	6.890428139	5.3816807882	10.6073352	5.97637008	6.992205122	9.10786861	7.974032126	8.81368591	10.44646331	11.30927755	9.933705821	8.26798057567	6.147057976	9.181680732	7.589149038	9.550160511	8.596587527	7.427399015	8.021098551	11.97837451	9.453435848	7.168375022	12.2590489	6.53208433767	13.43573605	7.217330395	7.827931929	BRCA
Instance12	13.87385551	6.978671921	6.0308489854	10.68519142	5.839462851	7.871691396	9.64187447267	8.704684954	7.562397229	10.4522647	11.86370244	9.477151683	7.74767978867	6.561406812	9.602668372	6.9964711445	9.04992417	9.0816140535	8.409445169	8.158617651	11.79193625	10.33092839	6.57488857867	12.38541089	6.30944562733	14.39776555	6.305519722	7.419372713	Control
Instance13	14.67256817	8.1261586565	5.9638642464	10.55664043	5.864874046	6.162699096	8.950697414	8.3498677015	7.489328426	10.26227726	11.85228967	9.882639658	7.976421966	6.577433076	9.748937848	7.630412058	9.058229305	9.1999885685	8.577788631	8.264536249	11.70928645	9.956354783	6.82571524133	12.24889125	6.83411040533	14.10537413	6.29655434	7.177023614	Control
Instance14	13.48222565	6.3861084835	6.0564723368	10.78787423	6.088105148	5.841225451	8.831709234	8.5569316505	8.174789799	9.334318613	11.32122928	10.43762494	8.60516057033	6.276641472	9.3641773755	7.6667872165	8.632523723	8.733092931	8.171178205	7.961727034	12.32501877	9.396830118	7.207652156	12.29388695	7.043476808	14.13459319	6.944100378	7.056315612	BRCA
