@relation thedata

@attribute 10488 real
@attribute 10818 real
@attribute 1385 real
@attribute 1387 real
@attribute 1399 real
@attribute 1605 real
@attribute 1958 real
@attribute 1959 real
@attribute 1960 real
@attribute 1961 real
@attribute 2002 real
@attribute 207 real
@attribute 23162 real
@attribute 23542 real
@attribute 2776 real
@attribute 3725 real
@attribute 4131 real
@attribute 427 real
@attribute 466 real
@attribute 4914 real
@attribute 5288 real
@attribute 5290 real
@attribute 5293 real
@attribute 5295 real
@attribute 54386 real
@attribute 5594 real
@attribute 5595 real
@attribute 5599 real
@attribute 5601 real
@attribute 5602 real
@attribute 5609 real
@attribute 5781 real
@attribute 5956 real
@attribute 6197 real
@attribute 6416 real
@attribute 6464 real
@attribute 6714 real
@attribute 673 real
@attribute 7054 real
@attribute 820 real
@attribute 9479 real
@attribute 9586 real
@attribute DependentVariable {BRCA,Control}

@data
6.490735075,5.772677763,10.707890538,9.174412855,12.02214941,11.37070935,11.55326703,10.83319472,7.662804641,5.558582385,9.719046985,9.746089281,7.6558645925,5.272687206,9.668318219,14.72492149,8.24826437033,7.0964976515,6.205212267,5.19152344233,7.44476877,6.685313404,8.467616885,7.0703331436,11.4675955,8.27215776867,11.634256725,5.939777752,7.621649748,6.7523535558,7.887344199,11.64123906,5.061788345,6.52702968625,8.585478725,9.15105029633,6.75911734333,6.513534664,5.5858837835,5.66449084,6.622019321,6.7355365388,Control
6.524350224,5.65943283333,11.4528809893,9.719195242,12.15020274,11.95147243,8.266787858,11.64933041,8.1546050485,4.932641442,9.192268846,9.68028616833,7.835585289,5.30256690525,8.930930318,14.11502538,7.80632764467,6.6682528355,5.424931532,5.505510586,8.180905107,7.098719371,8.699078855,7.6111323212,11.4871292,7.85669691467,11.27623323,5.0886580415,7.563421716,6.347242776,7.798165773,11.64123906,4.569042829,6.64235424625,8.106593131,8.42779587067,6.586005659,5.99820185,5.125650212,5.501288856,6.94063991,6.2571731356,BRCA
6.786534696,5.55073379133,10.8440250817,9.441990946,12.31403378,12.10871075,9.805502513,12.07463999,8.0047726485,5.73478497,9.676230874,9.69256516467,7.720110902,5.74908091175,9.213384421,14.41297137,7.029731349,6.509385796,6.225935832,5.26733198233,8.132681099,6.212526175,9.063247518,7.448654099,11.40579844,8.11094053067,11.198356615,5.6701097255,7.8060539105,5.84197348,8.166013814,11.37070935,4.628224624,6.2422901355,8.6701660175,8.45925672733,7.22912163867,6.84843868,5.5904720335,5.375570566,7.466547848,6.4740992638,BRCA
6.976424143,5.33781834633,11.337274206,9.0089772035,11.37479785,12.23392978,7.952247829,10.48569377,6.9357521195,5.224205518,9.684192438,9.98949733167,7.6219394855,5.911395507,7.435526765,14.08054111,6.81576802733,6.174467902,6.574181472,5.99442656267,8.324001746,5.584068992,8.649598507,7.6522265588,11.59410425,7.98209816267,11.274247985,5.7758281875,6.9189611885,6.4393043462,8.473463378,11.77608148,5.193979903,6.33404855075,8.231806127,7.73867912133,6.91032494133,6.723630657,5.8439838165,5.312711681,7.763745393,5.9052108054,Control
6.189286535,5.688073818,11.0490871027,9.6688997565,11.90965135,11.96551025,8.894909539,10.89668076,7.5911075405,5.692518737,9.981439248,9.506100771,7.371165726,5.57238100075,9.924501194,13.43392773,7.688517241,6.6870181055,5.965559928,5.547936593,8.367328607,7.405441727,8.565760069,7.950268865,11.42258795,7.82991936767,11.21839075,5.704258658,8.1880407455,6.3743216144,8.264326623,11.54684638,5.530141964,6.76922237325,8.6043275615,8.10318445333,6.72839437467,6.818713579,5.5701302945,5.166927545,7.225475281,5.8986169228,BRCA
6.499332184,6.26184317333,10.8002004453,9.509274839,12.34480084,11.84561169,12.54269462,12.06801669,9.020739586,5.114378737,9.979768545,9.688092646,7.5912355975,5.8076052875,10.54993411,13.80946823,8.39630350233,7.253156792,6.478491062,5.422961591,8.878894761,7.460253403,8.146264608,7.4183463498,11.55657325,8.18650002,11.07534033,6.517858181,8.3174977465,6.511764621,7.443878302,11.95147243,4.963718308,7.19245125,8.9337864765,8.70127661067,6.38912935567,6.520033725,4.992983245,5.651849079,7.295863332,6.1394132438,BRCA
6.998198677,6.52939292733,11.1354255073,9.006275549,11.50866771,12.01701203,7.940814415,11.24231983,6.7640626775,5.003839723,9.212867878,10.0480993307,8.1337188695,5.67586018225,7.39744174,13.91249272,7.37479607033,6.4765995115,4.84060329,6.52639166833,7.322741917,6.662423158,8.302457433,8.3350079456,10.90219441,8.451561107,11.151396135,5.6011167705,6.747341416,5.495877927,8.963388234,12.03524768,5.192698437,6.5621458705,8.457614913,8.36198243367,7.54701473933,6.949071249,5.8633026145,7.161134718,7.09798239,6.2350466806,BRCA
6.418279038,5.97148952467,10.258386433,8.7304792815,11.90894245,11.17361954,13.01560762,10.82850567,7.5116822205,5.018602184,9.290572499,9.436876068,7.1382352555,5.87366306175,9.665460782,13.96294256,7.61831452633,7.3763370605,6.691119292,5.618990182,8.077831971,6.020263967,8.452633655,7.757716558,11.56304622,8.171538624,11.40345044,5.401013329,7.762308173,6.3190254744,8.267911597,11.28411575,5.540872931,6.575528975,8.519260169,8.53051419067,7.00963552967,6.880413479,5.423904716,5.655646098,6.807551749,6.8237722894,Control
7.109990256,5.54762997267,10.6759547673,9.1075112315,11.86434298,12.04072818,11.2444532,11.96427598,8.1855142205,5.011910695,10.01823535,9.58057105933,7.4450950475,5.45727825775,9.303998235,14.44356588,7.45942290033,7.118253504,6.507006194,5.580399701,8.94185541,7.205282841,8.407417683,7.6719006758,11.46239505,7.91861634733,10.99057863,5.8779809975,8.3694050275,6.1710283688,8.382668468,11.64347756,5.479627701,6.443440984,8.505661469,8.16926655967,6.85674479767,6.894518054,5.73397804,5.536838744,7.478124711,6.1964141492,BRCA
6.732544377,5.70757979267,11.1110274023,9.532397347,11.70471109,11.58294888,10.71219619,10.08868262,7.2645655465,5.86561652,9.726661428,9.75364579767,7.8198117485,5.78465598875,8.352640608,13.15952927,7.39439722,6.8930044005,6.207019812,5.61823474067,7.920146076,7.606018576,8.72987657,7.3060563712,11.51908594,7.74245236133,11.551814785,5.5839936855,7.524249938,6.6645194764,8.896605722,11.52775569,5.279296008,6.26822091,8.616861979,8.39504068233,6.973025285,6.877072814,5.484697035,5.764746385,7.345052847,5.7908224398,BRCA
