@relation thedata

@attribute 1311 real
@attribute 1378 real
@attribute 1440 real
@attribute 22914 real
@attribute 2532 real
@attribute 2993 real
@attribute 2994 real
@attribute 2995 real
@attribute 3039 real
@attribute 3040 real
@attribute 3043 real
@attribute 3045 real
@attribute 3082 real
@attribute 3383 real
@attribute 3458 real
@attribute 3553 real
@attribute 3569 real
@attribute 3576 real
@attribute 3586 real
@attribute 3592 real
@attribute 3606 real
@attribute 3683 real
@attribute 3689 real
@attribute 3820 real
@attribute 4035 real
@attribute 4233 real
@attribute 4615 real
@attribute 5175 real
@attribute 54106 real
@attribute 6347 real
@attribute 6382 real
@attribute 6383 real
@attribute 6385 real
@attribute 6401 real
@attribute 6403 real
@attribute 7040 real
@attribute 7042 real
@attribute 7043 real
@attribute 7057 real
@attribute 7058 real
@attribute 7059 real
@attribute 7060 real
@attribute 7097 real
@attribute 7099 real
@attribute 7124 real
@attribute 7412 real
@attribute 948 real
@attribute 958 real
@attribute 959 real
@attribute 9672 real
@attribute 975 real
@attribute DependentVariable {BRCA,Control}

@data
6.580149725,5.4577519455,6.47579111167,6.411176756,13.00646289,5.122684364,4.567524578,10.243715255,14.89141327,14.20597115,14.65075364,6.141397664,5.47987952867,5.250214317,5.676529235,9.000106455,13.60771409,9.6189422155,8.621509826,6.597386379,13.61228456,6.893001507,11.423270155,8.555711803,9.123255645,5.899182429,9.4642502,12.12241722,5.412113573,12.18459653,6.69339494667,7.707361073,11.24502395,8.0750153535,7.545024544,5.682300273,6.78103548,9.289875449,12.26985874,12.52245777,7.42286607,10.48083592,5.492342928,8.456252884,8.519696323,8.07772679633,12.2115918747,7.8256296225,5.703219255,5.30199728233,15.05985438,Control
6.455126318,4.95536856925,5.45065757067,6.579885831,13.18452521,4.682873814,5.013251478,9.71547663967,13.90066922,13.2267238,13.62992806,5.40668228,5.02570987867,5.652207716,5.277995204,8.25032344,8.608616259,6.7790147065,9.0225626735,6.147057976,14.36769016,7.712339773,11.4456095,9.707117998,9.105660483,6.1044474,9.905361101,11.52829551,5.359671604,11.20148395,6.80248407133,7.576562054,12.11959782,6.6993817635,6.458780312,5.101199635,6.166218956,9.578863787,10.93386418,12.34365079,7.995118605,10.06394142,6.063509009,6.966306806,7.177920594,7.24691632933,9.47518757767,7.1910294905,5.355449107,5.69256794067,14.81202536,BRCA
5.9784309,5.080452378,5.37552042867,6.401780305,11.75371412,4.828341227,4.883878898,9.43986579967,14.02580012,13.44437567,13.59822064,5.535750687,5.56538002167,5.724112195,5.336114869,8.349592102,7.664022547,7.352992936,8.5481499285,6.608332915,14.05593823,7.905749702,11.82795379,10.48191069,7.580562199,6.482691508,9.70697128,10.40487575,5.651633855,9.033120888,7.01954666733,6.967604178,11.71544309,5.8323785675,6.451215749,5.014814152,5.995434345,9.330514214,11.57272404,10.98935922,7.538307535,7.589503452,6.577621898,6.90941648,8.414834386,7.63218285233,8.73530426033,7.2054038215,6.511322251,5.764809288,14.58875125,BRCA
5.574564199,4.8380303745,5.02824661567,6.985560555,11.39128671,5.088111112,4.496948002,9.785555816,13.58212966,13.13392329,13.0288437,4.754101184,5.84045983967,6.125832527,5.464840793,7.718260793,6.879402901,6.039562885,8.7223001635,5.82808014,14.45988849,8.08212392,11.954544835,8.971091653,7.937346047,5.838328613,9.766156644,9.922525358,6.225261069,9.114152992,6.84715873633,8.334922547,11.41782366,6.2096398735,6.015142517,4.808914358,5.797150007,10.06419075,10.57445661,9.335111797,8.938859983,9.131690517,6.559687298,6.225261069,8.370459788,7.136062181,9.66659547467,6.308850296,6.235732444,5.95027885467,14.61254488,Control
4.911705061,5.28998155325,5.14660261833,6.314882854,12.35836419,5.294355387,4.915773338,9.77785534767,12.47196608,11.77608148,11.9684077,5.586322838,5.512426183,5.190230876,5.115211455,7.361595391,6.192791506,6.0044384665,8.63491322,6.568568473,13.90840625,7.843106264,11.664734205,9.985949041,8.885087083,5.978202066,9.855452948,10.6953025,5.776374632,11.06078055,7.26605911,8.318227715,12.00568429,6.4027685645,7.347712434,4.828848945,6.737352562,9.272076349,11.52882293,11.03947449,7.773437814,8.822746975,6.542068896,7.753252064,6.675961001,8.760944586,10.9707605477,7.0635894335,6.303968491,5.621287411,14.89547873,BRCA
6.947055725,5.5119388795,5.90057271633,6.33396538,12.72627038,4.905220009,4.985513237,9.408123239,13.57316849,12.79172868,13.46969908,5.151991962,5.61398481133,5.923750128,5.298302041,8.525208673,10.84461576,8.452055235,8.5984358945,6.123713395,13.58466312,6.814297663,13.379465115,7.352090061,7.680572483,6.638801971,10.48083592,11.90810746,5.256643908,13.10877685,7.75935687733,7.82918539,13.09148337,8.0932205485,7.45762943,5.321216715,7.238598499,9.540317507,13.7210223,11.93520936,7.73696186,9.753910816,6.055559693,8.209345068,6.320264091,7.97951833233,11.069213795,7.223262653,5.453691444,5.979631625,15.11026186,BRCA
7.793962719,5.470879269,5.05878049733,6.685313404,10.64514978,4.987447357,5.357737827,9.51846004167,14.61254488,14.18524172,14.55659977,5.899484569,6.16552457967,5.229406468,5.213941395,5.250782787,6.331772944,6.8963072275,9.1479749325,5.850631456,14.600699,7.851001152,11.636086735,9.949363896,8.340875026,6.272028439,9.530631222,9.176011741,5.71384099,9.122738147,7.208733561,8.090034492,11.30974934,6.0295344665,6.452575359,4.73770262,6.518854253,11.79415195,11.00370783,11.90965135,8.850844048,9.65525393,6.371171674,5.606746643,6.423120638,8.35458352167,7.52927220333,6.3213830765,5.665201768,6.65184961133,15.01411749,BRCA
6.616552979,5.19499797775,5.23336336333,6.288825133,11.75528414,5.002490161,4.649642211,10.1085341477,14.80269307,14.04737959,14.26763347,5.176333993,5.59968438933,4.759970032,5.989996857,7.134583224,10.45145612,7.9782570685,8.2346108605,7.117464214,13.48222565,6.876858011,11.69409393,10.1415679,8.502872693,5.651777341,9.695555047,11.48554018,5.870741528,11.19005631,7.17661645,8.304535141,11.26440904,5.7188226725,6.809675295,5.167931151,7.822174254,10.56613044,12.27296951,12.83574159,8.207967411,10.38358581,5.443615974,7.833192323,6.14308278,8.34799793867,10.9210727577,7.3111102725,6.597423627,6.111541681,15.01411749,Control
5.61353994,5.1666971575,5.02918243733,6.226224919,12.14356347,5.368254349,5.305251227,9.502613536,12.90439101,12.23565236,12.7645524,5.346612346,5.343803875,5.659076304,5.178725843,9.153147365,10.12252426,8.04737784,8.326192676,7.818711782,13.46969908,6.901292687,11.5577866,8.836477359,8.075614354,5.995038554,9.573046472,10.8590069,5.59156816,11.25995523,6.98821417,8.022452603,12.25102085,6.5953012555,6.575921614,5.46083367,6.303694572,9.938499406,11.58397843,11.17704903,8.343475697,8.896847871,6.380768944,6.888990144,8.252974189,8.260992009,9.16133675633,7.191795379,5.849756153,5.59119822733,14.95604237,BRCA
4.688758955,4.95573704225,5.44629653933,6.787775665,11.36217961,4.795210185,4.932168974,9.98069144667,14.91431039,14.44356588,14.70323068,5.731733958,5.03988211767,5.391983545,5.114586962,6.678428044,7.723389827,5.9031564735,8.946522269,5.69321599,14.24008548,7.699539704,10.97266949,9.925925682,8.444912513,5.819036642,9.269361142,10.25957296,5.605858198,10.0442852,6.95405461767,7.904094356,12.64414927,6.0246519895,6.894093582,5.062004299,6.274406692,9.642061229,10.78761308,10.30479083,8.034690481,9.960056657,5.831251023,6.819352447,6.105390642,7.44841126567,10.719990343,7.028214693,6.052030675,5.640813613,14.72963536,BRCA
