@relation thedata

@attribute 1022 real
@attribute 10714 real
@attribute 1161 real
@attribute 1642 real
@attribute 1643 real
@attribute 2067 real
@attribute 2068 real
@attribute 2071 real
@attribute 2072 real
@attribute 2073 real
@attribute 2074 real
@attribute 2965 real
@attribute 2966 real
@attribute 2967 real
@attribute 2968 real
@attribute 3978 real
@attribute 4331 real
@attribute 5111 real
@attribute 5424 real
@attribute 5425 real
@attribute 5426 real
@attribute 5427 real
@attribute 5430 real
@attribute 5431 real
@attribute 5432 real
@attribute 5433 real
@attribute 5435 real
@attribute 5436 real
@attribute 5437 real
@attribute 5438 real
@attribute 5439 real
@attribute 5440 real
@attribute 5441 real
@attribute 56949 real
@attribute 57804 real
@attribute 5887 real
@attribute 5981 real
@attribute 5982 real
@attribute 5983 real
@attribute 5984 real
@attribute 5985 real
@attribute 6117 real
@attribute 6118 real
@attribute 6119 real
@attribute 6917 real
@attribute 7507 real
@attribute 7508 real
@attribute 902 real
@attribute DependentVariable {BRCA,Control}

@data
9.361681261,7.2083497295,5.98923741275,9.28863507075,6.645049976,9.188663982,8.220113618,10.0776573,6.3552688025,10.8503707,6.023427942,6.107234293,5.474931823,8.439499644,10.43957668,8.306085763,6.69676284,7.30666968733,7.558728975,12.66507944,7.905163024,7.168850407,11.4871292,9.502643438,9.734545643,9.588630847,12.07353083,11.06244102,10.33896506,11.03306523,7.484019523,6.365977347,9.950818724,10.22941402,8.824450546,9.849237412,8.7287213215,6.4996565905,6.65416022267,8.8069355085,7.105454747,10.83471386,11.61752958,10.66108355,7.69516215867,6.002877587,11.01901053,8.45525079,Control
9.155780297,7.3078710955,5.671599723,9.382637282,6.494940064,8.87572558875,8.497094498,10.50841903,6.408355982,11.24175993,5.469081112,6.586162299,5.210049084,8.965352223,9.94572954,9.214775128,7.086882265,7.18042006333,7.88603356,12.99332148,7.56639873,7.041826475,11.94573106,9.076489033,9.498501844,9.975440003,12.14356347,11.20928598,11.03103278,11.31379869,6.750074255,6.504704302,8.536044277,11.47305897,8.865378449,9.747668991,8.46553658,6.4959528655,6.803627506,8.3511951665,7.5130075585,10.800436875,11.88379655,10.48441034,7.36046158267,6.374174967,11.56978693,7.832012647,BRCA
9.394656215,7.33191487,5.76207503975,9.370427593,6.857020303,9.4100312975,8.892012333,10.71269919,6.4049587985,11.18453773,5.7913656,6.582656103,5.664561948,8.580466923,10.27514127,9.862320087,6.839081327,7.63223048933,8.575114814,13.23568448,8.099283532,8.010949209,11.65775177,9.480992671,9.55547611,9.936402792,12.38193096,11.27344029,11.02625388,11.43055462,6.90941648,6.401780305,8.618450775,11.36143133,8.72987657,9.348673457,8.908217113,7.0004963375,7.26523884267,9.396101263,7.613135391,11.330452225,12.02968073,10.72737618,7.362647587,5.770175754,11.5269639,7.667131787,BRCA
9.99050151,6.472480484,5.44909299075,9.1882839575,6.866076894,9.282287986,8.85164062,10.43052602,5.8412655795,10.98412667,6.424087011,6.970019164,6.002540089,7.704562712,10.44466839,9.825110289,7.265055029,6.55166353833,9.123553123,13.52549699,8.251862414,7.627900667,11.94385185,8.607368346,9.5760667495,9.42569906,12.34948589,11.08706186,11.73846187,11.62261253,7.827852559,6.648325671,8.674016666,12.36769602,9.24062507,9.261261134,8.594608411,6.4544177505,6.47039307033,8.859174667,7.7690752125,11.057611095,12.38193096,10.83441597,6.74089657333,5.171138007,11.43596985,7.517316273,Control
9.627078354,7.2216641085,5.729943951,9.2360283925,6.134329409,9.282575993,8.312657375,9.889641277,6.0308847905,11.05169516,5.607338636,7.045217151,5.206341637,8.732388881,9.47543003,8.767556421,6.867961695,7.35432909133,7.821010387,12.73729283,7.31664612,7.098298285,11.82274022,9.566592153,9.5036457565,9.787507202,12.13760287,11.3442156,10.79386361,11.5269639,6.693630261,6.908516092,7.919118257,11.45168263,8.91062109,10.17351822,8.8095545205,7.0312218105,7.072920173,8.74540583,7.403741513,10.93374845,11.96009799,10.45090222,7.74437634867,6.117700885,11.57537865,8.195898639,BRCA
9.01498366,7.523174648,6.00430999675,9.695129357,6.41193939,8.85686059575,8.645353223,10.75975321,6.4132325025,10.9376315,6.249071368,6.922969386,5.527329405,8.769772669,9.72642302,9.430484502,6.499332184,7.408697217,8.467973436,12.65702034,8.336909437,7.395150919,11.63953303,10.07813116,9.9366689445,10.20626383,10.92233559,10.31037169,9.875964751,9.599160216,6.361510132,5.738505243,7.686957644,10.44344636,7.992656742,10.45470056,8.81729114,7.138537016,7.68158217733,9.358156732,7.0064152045,11.641461875,11.54965727,9.132050545,8.590482648,6.020708453,11.88081762,8.0884774495,BRCA
9.547121611,6.6588492955,5.31781740375,9.70044005225,5.460260315,8.88063195375,8.838495753,10.0173308,6.5872881545,10.97255645,5.455665247,6.719438847,6.082580853,8.357575234,9.822443813,8.95908991,5.895672973,6.44602920733,8.346005182,13.63244094,7.690279365,6.452575359,11.94707994,7.728874776,9.310331427,8.931979298,12.15346979,10.67974863,11.62683849,11.33246195,6.933398915,6.973327498,8.661565351,13.06629278,9.121676695,9.250826081,7.738491062,6.220650197,6.54805513767,7.4871109445,7.0904318015,10.3458464955,12.52245777,10.38702135,7.92873725133,5.751283781,11.49170796,7.0980443305,BRCA
9.825825817,7.325273656,6.4364185585,9.079293666,6.299625309,9.45367708375,7.900747773,10.17798975,6.169888467,10.549732,6.616552979,6.479895483,5.520745364,8.78938784,9.751904322,9.111501597,6.573196985,8.02092389867,7.539955806,12.59766508,7.956610113,6.995289824,11.36417449,9.579754867,9.9425822725,9.659501442,12.42339047,11.18055585,11.02111204,11.33541843,5.975453214,7.098982487,8.961436038,10.3940878,9.20124246,8.938213094,8.303306849,6.9810465865,6.93605146533,9.1247667975,7.5927585855,11.06229666,11.90810746,10.88785292,8.33785800367,5.551370856,11.16600002,8.2150115435,Control
10.15470456,7.244781381,6.10800944,9.197656891,6.653207393,9.7162674425,8.755431019,10.24019539,6.350290065,10.99419451,5.982201443,7.1126508515,5.082799703,8.620110863,9.751444107,9.394248914,7.327824597,7.82590120133,8.608200408,13.17297049,8.048106907,7.782983675,11.48468963,9.777995431,9.5458512545,9.969027107,12.19349773,11.62550351,11.34089896,11.31701417,6.260971855,6.517673816,8.771812245,10.65887222,8.811664588,9.561608303,8.9257842175,7.2222320135,7.65912161233,9.70168359,7.7796863265,11.49735519,11.92126273,10.77226531,7.93997874133,5.835425946,11.07481734,8.2231503775,BRCA
9.154553037,7.099785483,5.652080806,9.154795135,7.181105347,9.004615212,8.379801934,10.10676612,6.2036937575,11.17080781,5.442621133,7.07342704,5.287630431,8.305344864,10.12301596,9.143141549,6.996504912,7.315615812,8.45693048,12.92825655,7.391761545,6.840718531,12.0199261,8.832954179,9.4451757265,9.532570767,12.31595909,11.31223081,11.14633337,11.64258438,6.154418781,6.645878602,9.146391192,11.44205205,9.25541878,9.377612436,8.7210455935,6.8236640905,6.42676862133,8.509561114,7.4371940695,10.656153568,12.52742331,10.47860813,7.448378636,5.846751073,11.62135377,8.1149854775,BRCA
