@relation thedata

@attribute 1950 real
@attribute 1956 real
@attribute 2833 real
@attribute 3265 real
@attribute 3672 real
@attribute 3688 real
@attribute 4633 real
@attribute 4638 real
@attribute 5567 real
@attribute 5568 real
@attribute 5573 real
@attribute 5575 real
@attribute 5576 real
@attribute 5577 real
@attribute 5594 real
@attribute 5595 real
@attribute 5747 real
@attribute 58 real
@attribute 5829 real
@attribute 7094 real
@attribute 7430 real
@attribute 823 real
@attribute 824 real
@attribute 826 real
@attribute 84290 real
@attribute DependentVariable {BRCA,Control}

@data
6.141397664,7.05035509475,5.673281687,7.4423513115,9.101017795,9.30169669467,5.711516483,9.50331156833,5.4829326402,5.48205062,9.78527191267,7.409181146,8.786482932,4.767140212,8.27215776867,11.634256725,9.55016911,6.569556123,7.441203595,10.9484368,12.41104094,11.2551704,8.739789996,11.697272845,5.309623002,Control
6.795134192,6.79791370075,6.006977493,7.8897640555,7.86511636,8.828078384,5.8271941275,9.09094023867,5.5428379012,5.804719114,9.789873514,7.391761545,8.66542575,5.442455259,7.85669691467,11.27623323,9.45642471,5.19062597,7.229350286,10.35004996,12.7347446,11.68974045,8.297078042,11.931845525,5.355449107,BRCA
7.503172055,6.80402066425,6.389313513,7.856102429,7.148936963,8.9042892375,5.407860596,9.01551201767,5.4641368762,5.527329405,9.801472324,7.677704008,8.815320146,5.112503363,8.11094053067,11.198356615,8.9981409465,5.283469238,7.347468842,10.20981921,12.91499054,11.88601099,7.742008106,12.01265521,5.724112195,BRCA
7.0134654,6.3257817405,6.198794315,8.398114105,6.516492413,8.75186424133,5.8881516615,8.53219426233,5.1156792046,5.655216748,9.34823014567,6.105076296,8.115695415,5.7109519,7.98209816267,11.274247985,9.0133211855,6.563810693,7.84508404,10.43742988,13.25089354,11.65213254,8.249778486,11.69996459,5.442289366,Control
8.466587485,6.78190965925,6.209020126,7.697637374,7.441058314,9.13491446,5.573662743,9.705586173,5.466218321,6.407145055,7.772929909,7.418993406,9.518791383,5.377654117,7.82991936767,11.21839075,9.0250253645,5.301780818,7.615006311,9.987545106,12.63069834,11.8267889,7.584306987,11.99649338,5.494584616,BRCA
7.455781587,7.10041818325,6.050290137,7.3388634815,7.98845907,9.489530799,5.8595748445,9.68830932967,5.6759717936,5.625863148,9.84054935,7.890402801,9.231287868,5.316879984,8.18650002,11.07534033,9.420287121,5.802329755,7.335951076,10.55627639,13.74850791,12.36339568,8.175725588,11.72437653,5.14017664,BRCA
6.973327498,6.9842760015,5.984140004,7.9742866725,7.580354917,9.251714595,6.2923220485,9.12043218767,5.5322651396,6.430289978,9.55785931,7.572418149,8.344585666,4.904497645,8.451561107,11.151396135,8.8796586,5.472984221,7.91692611,10.32302692,13.34320241,11.27204377,8.429386994,11.524918645,5.28356184,BRCA
6.405231362,6.998917209,5.651777341,7.7095138065,7.865827785,9.23773095817,5.3157706865,9.486682492,5.3094441946,5.233822166,7.854087509,7.90344675,8.118825763,5.023045997,8.171538624,11.40345044,9.585335464,5.551370856,7.737283051,10.49035982,12.46971692,11.60505131,8.449727594,11.71505535,4.494877856,Control
7.872399588,6.85070537275,6.363088376,7.94496816,7.418993406,9.05065703483,5.5998750555,9.58901573033,5.291675395,5.844493149,9.60954968233,7.548207573,9.026662535,5.398154738,7.91861634733,10.99057863,9.2675642675,5.771232765,7.766232595,9.984080577,12.84191128,11.85690996,7.692966108,12.07541004,6.086407617,BRCA
6.79717879,6.30061577025,6.189237109,8.148239231,7.512564929,9.06946628383,5.354306944,9.227921381,5.3589494338,5.913135501,9.492243668,7.121070136,8.794173061,5.778347403,7.74245236133,11.551814785,8.984597332,5.608965365,7.647892114,10.50808719,13.04989878,11.49594259,7.982909641,11.963536945,5.096358059,BRCA
6.522938973,6.71360662325,6.537921615,8.198599078,7.438794191,8.5429645305,5.6062123695,7.787443455,5.0578073466,6.287994543,9.08887684467,7.988004536,8.176760488,5.492182674,8.06297051567,11.573459625,8.7160245685,5.541492575,8.041222615,10.87277127,12.53395999,11.72339443,8.647873119,12.24721091,5.199683385,BRCA
