@relation thedata

@attribute 1965 real
@attribute 1968 real
@attribute 1983 real
@attribute 27102 real
@attribute 2932 real
@attribute 440275 real
@attribute 5499 real
@attribute 5610 real
@attribute 8893 real
@attribute 8894 real
@attribute 9451 real
@attribute DependentVariable {BRCA,Control}

@data
9.04464761,12.54698855,8.30208090125,12.10871075,10.00381342,10.17662856,9.5855365545,11.56729791,10.257176,8.011871746,7.067383603,Control
9.062600116,12.41355925,7.8618298665,12.18459653,10.79867858,10.82735881,9.3156588355,11.99021932,10.52792683,8.206820391,6.909956444,BRCA
8.757715954,12.58650212,7.572178161,12.44183936,10.42204403,10.49616,9.882436552,11.56651327,10.81229788,8.451284404,6.687134631,BRCA
9.881236778,12.32689017,7.1905176805,12.45835798,11.11828268,11.49113672,9.0515971275,11.79550409,11.22557215,8.088365735,6.551443438,Control
9.021133451,12.61750082,7.5496504275,12.40728377,10.40311354,10.66032156,9.717115444,12.04827069,10.49650957,8.132963791,7.300126299,BRCA
9.234303192,12.56435203,8.06943447975,12.62053951,9.953578497,9.444332211,10.080564477,11.45478009,10.37781545,8.582933341,7.289468224,BRCA
10.27966894,11.89363345,7.39038211675,12.9844599,12.02630394,12.3726448,8.7738660505,12.77087865,11.08484843,7.481256805,5.765011707,BRCA
8.729128822,12.82346582,7.63530847525,12.19216651,9.584981814,9.787507202,9.8100499835,11.05745385,10.27966894,7.476667486,6.96728715,Control
8.943233566,12.62461163,7.991473406,12.58378567,9.460251675,9.894560542,10.06551331,11.15153369,10.51763522,8.36573313,7.100087051,BRCA
9.041249229,12.52393564,7.6060092145,12.60023009,11.10846093,11.27653172,9.747962555,12.19541382,10.80520803,7.620111894,6.534579623,BRCA
8.700908799,12.02694363,7.1416488745,12.20870084,9.583290187,10.19263222,10.5894170155,10.24482795,10.67427198,8.469917638,6.640538236,BRCA
8.798262085,12.34260121,7.76869199125,12.40187556,9.857779317,10.23091542,9.753951278,11.23218123,10.36808656,7.889977115,7.138018634,Control
8.735937695,12.51631937,7.99378231275,12.37149904,9.894916689,10.09430243,9.775057581,11.28265136,10.44585319,7.772530879,6.579923533,Control
7.356850554,12.65253473,7.8614020395,12.72020477,9.243632862,9.510448266,10.043198149,9.608310793,10.95523962,8.091145926,5.932280461,BRCA
8.580617665,12.26795863,7.2235006385,12.94317143,10.71182636,9.779383313,9.957884427,10.70308623,11.15442592,8.334453331,6.26697916,BRCA
7.698359359,12.94317143,7.7918103,12.70768381,9.940739781,9.328193084,9.9873893335,10.03126048,10.72626524,8.11816389,5.856494782,BRCA
7.382107644,12.89271362,7.83154808125,12.92133986,9.388491534,9.43507698,10.2225047675,9.948228915,10.76332881,8.043931078,6.0290173,BRCA
7.86996565,13.02126635,7.5914202035,13.00161496,9.946226836,9.675216591,10.030525935,9.881236778,10.68336774,8.28785217,6.300403471,BRCA
7.437629589,12.90226493,7.67109926025,12.92639149,9.355059844,9.160905775,10.396135035,9.489090861,10.4984955,8.063477494,6.170932156,BRCA
8.730980488,12.90606669,7.97831046975,12.50573969,10.72853303,9.920397939,10.5077297325,7.690401599,11.2089234,8.704639545,5.577739426,BRCA
