@relation thedata

@attribute 1975 real
@attribute 1977 real
@attribute 1978 real
@attribute 1981 real
@attribute 2475 real
@attribute 29904 real
@attribute 57521 real
@attribute 6009 real
@attribute 6194 real
@attribute 6198 real
@attribute 64223 real
@attribute DependentVariable {BRCA,Control}

@data
13.591191,5.3832028615,6.891088384,8.34459771725,10.40794251,11.56243576,6.2950853,11.39766944,14.28777857,10.80480483,8.366847964,Control
13.51771248,5.478418359,6.950471695,8.3610623935,10.37262599,11.53336151,5.722746919,11.0078229,14.277329135,10.83272413,8.842626225,BRCA
13.78998546,5.231526198,7.435172523,8.390530265,10.44466839,11.51908594,6.201345317,11.33795649,14.525874365,10.9243451,9.630577078,BRCA
12.77497238,5.0419966805,7.499688706,8.382971217,10.39039231,11.32101501,6.118843116,10.44278832,14.01633132,11.19937192,10.00278026,Control
13.67421216,5.609549966,7.662759375,8.19236132175,9.62228117,11.36922669,6.324725674,11.47602735,14.629290115,10.47933595,9.484878832,BRCA
13.99263349,5.428588795,6.493499734,8.41952105375,10.04182378,11.36276316,7.180831933,11.41291396,14.408070605,11.22643043,8.90097329,BRCA
12.001308,5.593019755,6.682577247,8.41313930575,9.710815526,11.42649031,5.754494213,10.22441209,13.397046395,11.68974045,9.95563942,BRCA
13.63630348,5.2934412195,6.606446392,8.26782455825,9.922785491,10.96976983,5.830554026,11.68597092,14.48710829,10.38915837,9.017533022,Control
13.77286407,5.6159439165,7.327824597,8.44736918625,10.26710886,11.39549546,5.904009092,11.55993163,14.506684105,10.83540327,9.695411499,BRCA
13.33778081,5.59106726,6.268944869,8.355856072,9.976514407,11.07134187,5.935466377,10.97540039,14.439438795,10.84783275,9.099374852,BRCA
13.67421216,5.6362406355,7.601327189,8.61824620425,10.36865954,10.77455876,5.770968585,10.80572395,14.576325285,10.51995589,9.467392148,BRCA
13.60139652,4.9107340725,6.67299497,8.126741237,9.964760013,11.04774441,6.194762393,11.48988071,14.25599975,10.94695398,8.49777314,Control
13.62077142,5.521543841,6.979857081,8.09491549125,10.29122283,11.05586894,5.870864797,11.31960737,14.413640505,10.51147622,8.822380524,Control
13.59555882,5.296964961,6.928136739,8.5641207665,11.20290453,11.47190394,5.802329755,11.51908594,13.95530667,10.31178269,9.353169505,BRCA
13.91975024,5.107609878,6.685803961,8.65826985425,11.0078229,11.50429776,5.989145395,11.76197512,14.16842824,10.97955044,9.276311202,BRCA
13.80581744,5.2643122405,7.355551793,8.2623949255,10.76808942,11.7240492,5.985962156,11.58695951,14.05339857,10.24904266,9.223954101,BRCA
13.83906107,4.7722227,7.137660093,8.31187329725,10.72173602,11.49398064,6.18913825,11.26252082,13.91533815,10.35443153,9.397546894,BRCA
13.94334633,5.5008898215,7.761021136,8.358305307,10.52528127,11.4075202,5.735529792,11.41529827,13.943996395,10.70897201,9.328529711,BRCA
14.02134875,5.5432517045,7.431583526,8.26751803975,10.75721104,11.46692035,5.908699592,11.34154956,13.599646315,10.08429722,9.589014912,BRCA
13.74850791,5.0158799165,7.975462708,8.31909203125,7.276057213,6.966133735,5.666764579,10.09874638,11.871924085,10.88129775,10.2392289,BRCA
